1c#app#app11#app1162/t  0.239 1.554  0.239 1.384  0.171 1.242  0.158 1.078  0.158 0.907  0.158 0.737  0.152 0.569  0.077 0.416  0.077 0.246  0.077 0.076  0.077 -0.094  0.077 -0.264  0.077 -0.435  0.077 -0.605  0.077 -0.775  0.077 -0.945  0.077 -1.115  0.077 -1.285  0.158 -1.422  0.055 -1.344  -0.065 -1.224  -0.185 -1.104  -0.306 -0.983  -0.426 -0.863  -0.546 -0.743  -0.666 -0.622  -0.787 -0.502  -0.907 -0.382  -1.027 -0.261  -1.148 -0.141  -1.268 -0.021  -1.180 0.013  -1.010 0.013  -0.856 0.053  -0.703 0.094  -0.546 0.148  -0.382 0.175  -0.218 0.212  -0.057 0.266  0.105 0.320  0.260 0.389  0.418 0.451  0.578 0.507  0.731 0.581  0.901 0.581  1.071 0.581  1.230 0.630  1.392 0.662  1.563 0.662  1.699 0.581
1c#app#app11#app1162/h  -0.429 1.938  -0.429 1.783  -0.453 1.638  -0.522 1.511  -0.522 1.356  -0.522 1.201  -0.522 1.046  -0.522 0.892  -0.522 0.737  -0.522 0.582  -0.522 0.427  -0.522 0.272  -0.522 0.117  -0.522 -0.038  -0.516 -0.192  -0.447 -0.330  -0.429 -0.481  -0.429 -0.636  -0.429 -0.791  -0.429 -0.946  -0.429 -1.101  -0.429 -1.133  -0.374 -0.991  -0.337 -0.844  -0.337 -0.689  -0.331 -0.536  -0.261 -0.397  -0.226 -0.254  -0.153 -0.130  -0.131 0.003  -0.061 0.088  0.031 0.205  0.111 0.280  0.174 0.372  0.237 0.464  0.392 0.464  0.547 0.464  0.602 0.354  0.676 0.229  0.756 0.108  0.789 -0.038  0.858 -0.176  0.860 -0.331  0.860 -0.486  0.901 -0.631  0.953 -0.774  0.956 -0.928  1.005 -1.075  1.045 -1.224  1.045 -1.379
1c#app#app11#app1162/e  -0.893 -0.205  -0.735 -0.205  -0.577 -0.205  -0.418 -0.205  -0.260 -0.205  -0.133 -0.133  -0.021 -0.021  0.119 0.024  0.236 0.121  0.348 0.233  0.482 0.268  0.524 0.409  0.636 0.521  0.748 0.633  0.826 0.758  0.890 0.890  0.941 1.027  0.926 1.170  0.826 1.228  0.724 1.284  0.582 1.219  0.435 1.170  0.304 1.106  0.192 0.994  0.056 0.940  -0.065 0.851  -0.177 0.740  -0.289 0.628  -0.371 0.495  -0.445 0.356  -0.557 0.245  -0.663 0.131  -0.686 -0.022  -0.757 -0.163  -0.778 -0.316  -0.778 -0.474  -0.778 -0.633  -0.769 -0.787  -0.663 -0.901  -0.612 -1.007  -0.482 -1.075  -0.370 -1.186  -0.233 -1.237  -0.075 -1.237  0.083 -1.237  0.242 -1.237  0.400 -1.237  0.558 -1.237  0.681 -1.153  0.826 -1.122
1c#app#app11#app1162/m  -0.951 1.025  -0.951 0.812  -0.951 0.598  -0.951 0.384  -0.951 0.170  -1.044 -0.006  -1.044 -0.220  -1.044 -0.434  -1.044 -0.648  -1.044 -0.809  -0.951 -0.688  -0.951 -0.474  -0.860 -0.282  -0.806 -0.081  -0.672 0.031  -0.632 0.228  -0.579 0.420  -0.486 0.595  -0.393 0.771  -0.300 0.892  -0.207 1.013  -0.099 0.932  0.010 0.809  0.072 0.621  0.072 0.407  0.072 0.193  0.072 -0.021  0.072 -0.235  0.072 -0.449  0.072 -0.663  0.072 -0.877  0.072 -0.952  0.165 -0.831  0.188 -0.627  0.274 -0.448  0.352 -0.267  0.445 -0.091  0.538 0.084  0.631 0.205  0.676 0.374  0.851 0.467  1.065 0.467  1.186 0.374  1.272 0.198  1.358 0.019  1.377 -0.187  1.468 -0.380  1.468 -0.594  1.468 -0.807  1.468 -1.021
1c#app#app11#app1162/o  0.473 1.321  0.337 1.321  0.205 1.311  0.109 1.215  0.013 1.119  -0.045 1.007  -0.106 0.932  -0.222 0.885  -0.318 0.788  -0.414 0.692  -0.433 0.564  -0.515 0.462  -0.593 0.353  -0.654 0.232  -0.692 0.105  -0.692 -0.031  -0.737 -0.148  -0.822 -0.249  -0.822 -0.385  -0.822 -0.521  -0.822 -0.657  -0.822 -0.793  -0.822 -0.929  -0.782 -1.048  -0.684 -1.139  -0.548 -1.139  -0.412 -1.139  -0.276 -1.139  -0.140 -1.139  -0.016 -1.110  0.080 -1.014  0.214 -1.009  0.310 -0.913  0.343 -0.791  0.343 -0.655  0.415 -0.549  0.511 -0.453  0.607 -0.357  0.704 -0.261  0.732 -0.136  0.732 -0.001  0.809 0.103  0.861 0.218  0.861 0.354  0.861 0.489  0.861 0.625  0.799 0.735  0.732 0.844  0.698 0.966  0.602 1.062
1c#app#app11#app1162/c  0.757 1.482  0.664 1.482  0.587 1.445  0.521 1.380  0.455 1.314  0.390 1.248  0.310 1.216  0.224 1.209  0.224 1.116  0.182 1.041  0.116 0.975  0.051 0.909  -0.015 0.844  -0.081 0.778  -0.146 0.712  -0.176 0.632  -0.183 0.542  -0.249 0.476  -0.310 0.408  -0.310 0.316  -0.352 0.240  -0.418 0.174  -0.483 0.109  -0.549 0.043  -0.576 -0.038  -0.576 -0.131  -0.576 -0.224  -0.576 -0.317  -0.576 -0.410  -0.576 -0.503  -0.576 -0.596  -0.550 -0.678  -0.484 -0.743  -0.419 -0.809  -0.353 -0.875  -0.287 -0.940  -0.222 -1.006  -0.147 -1.051  -0.054 -1.051  0.038 -1.051  0.131 -1.051  0.224 -1.051  0.317 -1.051  0.407 -1.035  0.495 -1.005  0.583 -0.976  0.672 -0.946  0.759 -0.916  0.825 -0.850  0.890 -0.785
1c#app#app11#app1162/k  -0.457 2.216  -0.457 2.024  -0.457 1.831  -0.457 1.639  -0.457 1.447  -0.457 1.255  -0.457 1.063  -0.457 0.871  -0.457 0.678  -0.457 0.486  -0.457 0.294  -0.457 0.102  -0.457 -0.090  -0.457 -0.283  -0.378 -0.442  -0.354 -0.624  -0.354 -0.816  -0.354 -1.009  -0.304 -0.981  -0.222 -0.807  -0.140 -0.633  -0.057 -0.460  0.025 -0.286  0.107 -0.112  0.190 0.061  0.272 0.235  0.354 0.409  0.436 0.582  0.519 0.756  0.575 0.814  0.554 0.627  0.466 0.456  0.369 0.305  0.267 0.154  0.179 0.050  0.111 -0.105  0.006 -0.263  -0.124 -0.363  -0.213 -0.466  -0.302 -0.569  -0.212 -0.569  -0.057 -0.659  0.087 -0.776  0.245 -0.858  0.385 -0.982  0.547 -1.057  0.684 -1.188  0.866 -1.231  1.028 -1.332  1.194 -1.395
1c#app#app11#app1162/j  -0.119 1.842  -0.119 1.757  -0.119 1.673  -0.119 1.589  -0.119 1.504  -0.119 1.420  -0.119 1.336  -0.119 1.251  -0.106 1.170  -0.068 1.095  -0.038 1.017  -0.033 0.934  -0.013 0.852  0.008 0.770  0.028 0.688  0.043 0.606  0.055 0.524  0.093 0.449  0.124 0.372  0.124 0.287  0.124 0.203  0.135 0.121  0.173 0.046  0.205 -0.031  0.205 -0.115  0.205 -0.200  0.216 -0.281  0.253 -0.357  0.286 -0.434  0.286 -0.518  0.286 -0.602  0.286 -0.687  0.286 -0.771  0.286 -0.855  0.252 -0.906  0.205 -0.943  0.205 -1.028  0.161 -1.068  0.124 -1.115  0.073 -1.149  -0.011 -1.149  -0.096 -1.149  -0.180 -1.149  -0.257 -1.120  -0.333 -1.082  -0.414 -1.068  -0.482 -1.028  -0.541 -0.968  -0.601 -0.909  -0.604 -0.826
1c#app#app11#app1162/u  -0.897 1.191  -0.897 1.091  -0.897 0.992  -0.897 0.892  -0.897 0.793  -0.897 0.693  -0.897 0.594  -0.897 0.494  -0.897 0.395  -0.897 0.295  -0.897 0.195  -0.897 0.096  -0.897 -0.004  -0.897 -0.103  -0.875 -0.181  -0.775 -0.181  -0.759 -0.265  -0.727 -0.351  -0.657 -0.421  -0.586 -0.492  -0.516 -0.562  -0.445 -0.632  -0.375 -0.703  -0.287 -0.730  -0.187 -0.730  -0.088 -0.730  0.012 -0.730  0.111 -0.730  0.211 -0.730  0.311 -0.730  0.389 -0.679  0.460 -0.609  0.530 -0.539  0.600 -0.468  0.671 -0.398  0.741 -0.327  0.812 -0.257  0.882 -0.187  0.928 -0.099  0.973 -0.010  1.017 0.079  1.025 0.177  1.057 0.263  1.128 0.333  1.162 0.419  1.162 0.518  1.162 0.618  1.162 0.717  1.162 0.817  1.162 0.917
1c#app#app11#app1162/r  -0.694 0.717  -0.545 0.717  -0.526 0.587  -0.448 0.471  -0.359 0.359  -0.359 0.211  -0.359 0.063  -0.359 -0.086  -0.359 -0.234  -0.263 -0.287  -0.192 -0.364  -0.192 -0.512  -0.192 -0.661  -0.177 -0.803  -0.072 -0.908  -0.025 -1.037  -0.025 -1.185  0.006 -1.321  0.111 -1.426  0.143 -1.561  0.143 -1.540  0.096 -1.411  -0.009 -1.306  -0.025 -1.164  -0.025 -1.016  -0.025 -0.867  -0.025 -0.719  -0.025 -0.570  -0.047 -0.431  -0.152 -0.326  -0.192 -0.194  -0.192 -0.046  -0.192 0.102  -0.192 0.251  -0.192 0.399  -0.192 0.548  -0.192 0.696  -0.192 0.844  -0.115 0.961  -0.004 1.051  0.143 1.053  0.143 1.202  0.274 1.218  0.423 1.218  0.571 1.218  0.720 1.218  0.868 1.218  1.016 1.218  1.165 1.218  1.313 1.218
1c#app#app11#app1162/y  -0.526 1.065  -0.489 0.967  -0.451 0.868  -0.404 0.773  -0.343 0.685  -0.340 0.571  -0.289 0.469  -0.209 0.395  -0.156 0.334  -0.041 0.334  0.058 0.369  0.108 0.469  0.144 0.577  0.205 0.666  0.262 0.756  0.266 0.869  0.327 0.958  0.375 1.052  0.388 1.161  0.388 1.221  0.380 1.109  0.329 1.007  0.327 0.894  0.281 0.790  0.266 0.680  0.243 0.569  0.207 0.461  0.171 0.353  0.137 0.244  0.109 0.133  0.082 0.023  0.054 -0.088  0.026 -0.199  0.022 -0.312  0.022 -0.426  0.002 -0.538  -0.025 -0.649  -0.050 -0.760  -0.072 -0.872  -0.095 -0.984  -0.100 -1.097  -0.100 -1.211  -0.123 -1.322  -0.159 -1.430  -0.161 -1.544  -0.174 -1.656  -0.210 -1.764  -0.221 -1.876  -0.221 -1.990  -0.221 -2.104
