1b#apb#apb28#app2816/J  0.200 0.629  0.159 0.496  0.147 0.355  0.137 0.215  0.132 0.074  0.126 -0.067  0.113 -0.207  0.096 -0.347  0.079 -0.487  0.061 -0.627  0.043 -0.767  0.020 -0.906  -0.011 -1.043  -0.100 -1.137  -0.241 -1.137  -0.378 -1.112  -0.511 -1.068  -0.650 -1.042  -0.788 -1.015  -0.813 -0.977  -0.803 -0.845  -0.811 -0.704  -0.820 -0.563  -0.828 -0.422  -0.837 -0.282  -0.845 -0.141  -0.854 -0.000  -0.862 0.140  -0.871 0.281  -0.879 0.422  -0.804 0.506  -0.664 0.523  -0.524 0.540  -0.384 0.554  -0.244 0.568  -0.104 0.582  0.037 0.596  0.177 0.609  0.317 0.622  0.458 0.635  0.599 0.641  0.740 0.641  0.880 0.641  1.021 0.644  1.162 0.653  1.303 0.663  1.444 0.666  1.585 0.666  1.726 0.666  1.866 0.666
1b#apb#apb28#app2816/O  0.486 1.095  0.359 1.071  0.233 1.048  0.107 1.024  -0.007 0.972  -0.108 0.893  -0.209 0.813  -0.310 0.734  -0.392 0.636  -0.465 0.530  -0.538 0.424  -0.611 0.318  -0.676 0.208  -0.733 0.093  -0.791 -0.022  -0.848 -0.137  -0.906 -0.252  -0.953 -0.370  -0.968 -0.498  -0.983 -0.626  -0.998 -0.753  -0.962 -0.867  -0.885 -0.970  -0.787 -1.040  -0.661 -1.063  -0.534 -1.085  -0.413 -1.043  -0.292 -1.000  -0.170 -0.957  -0.052 -0.909  0.050 -0.830  0.151 -0.751  0.253 -0.672  0.354 -0.593  0.452 -0.510  0.537 -0.414  0.622 -0.317  0.707 -0.221  0.792 -0.124  0.868 -0.022  0.929 0.092  0.990 0.205  1.038 0.321  1.038 0.450  1.035 0.578  0.987 0.697  0.939 0.817  0.867 0.922  0.779 1.015  0.679 1.095
1b#apb#apb28#app2816/N  -0.850 0.015  -0.927 -0.083  -1.004 -0.180  -1.081 -0.278  -1.158 -0.375  -1.230 -0.476  -1.299 -0.580  -1.234 -0.589  -1.163 -0.488  -1.094 -0.385  -1.025 -0.281  -0.950 -0.182  -0.872 -0.085  -0.795 0.012  -0.717 0.109  -0.640 0.206  -0.570 0.308  -0.499 0.411  -0.431 0.514  -0.369 0.622  -0.282 0.619  -0.243 0.506  -0.235 0.382  -0.227 0.258  -0.208 0.135  -0.188 0.013  -0.167 -0.110  -0.125 -0.225  -0.066 -0.334  0.009 -0.427  0.118 -0.487  0.228 -0.543  0.353 -0.543  0.477 -0.543  0.583 -0.497  0.674 -0.412  0.765 -0.327  0.857 -0.244  0.953 -0.165  1.049 -0.087  1.146 -0.009  1.229 0.081  1.294 0.187  1.360 0.293  1.400 0.409  1.428 0.530  1.448 0.652  1.448 0.776  1.448 0.900  1.381 0.997
1b#apb#apb28#app2816/E  1.047 0.556  0.794 0.482  0.541 0.408  0.289 0.333  0.039 0.250  -0.211 0.166  -0.467 0.106  -0.726 0.058  -0.959 -0.056  -0.854 -0.216  -0.599 -0.248  -0.336 -0.240  -0.074 -0.212  0.127 -0.166  -0.074 0.004  -0.275 0.175  -0.476 0.345  -0.666 0.407  -0.826 0.198  -0.986 -0.011  -1.040 -0.265  -1.035 -0.519  -0.918 -0.755  -0.763 -0.967  -0.584 -1.155  -0.338 -1.249  -0.085 -1.264  0.175 -1.218  0.436 -1.182  0.698 -1.153  0.942 -1.069  1.174 -0.944  1.020 -0.771  0.826 -0.593  0.631 -0.414  0.437 -0.236  0.243 -0.058  0.049 0.120  -0.145 0.298  -0.339 0.477  -0.533 0.655  -0.595 0.860  -0.340 0.926  -0.087 1.002  0.165 1.077  0.421 1.139  0.678 1.198  0.937 1.241  1.200 1.241  1.464 1.241
1b#apb#apb28#app2816/S  0.548 1.658  0.528 1.614  0.447 1.561  0.367 1.507  0.287 1.454  0.218 1.387  0.150 1.318  0.081 1.250  0.013 1.182  -0.055 1.114  -0.119 1.043  -0.173 0.963  -0.226 0.882  -0.280 0.802  -0.333 0.722  -0.349 0.629  -0.356 0.533  -0.363 0.436  -0.370 0.340  -0.350 0.250  -0.302 0.167  -0.253 0.084  -0.205 0.000  -0.153 -0.081  -0.088 -0.152  -0.023 -0.223  0.043 -0.294  0.108 -0.365  0.173 -0.436  0.237 -0.508  0.301 -0.580  0.365 -0.652  0.434 -0.719  0.509 -0.779  0.574 -0.849  0.573 -0.908  0.479 -0.931  0.384 -0.950  0.290 -0.969  0.195 -0.988  0.101 -1.007  0.005 -1.021  -0.091 -1.027  -0.187 -1.034  -0.283 -1.040  -0.379 -1.046  -0.475 -1.060  -0.570 -1.076  -0.665 -1.092  -0.760 -1.108
1b#apb#apb28#app2816/L  0.910 1.635  0.844 1.573  0.777 1.510  0.711 1.447  0.645 1.384  0.578 1.321  0.527 1.245  0.476 1.169  0.426 1.093  0.375 1.017  0.324 0.941  0.274 0.865  0.223 0.789  0.172 0.713  0.121 0.637  0.071 0.561  0.020 0.485  -0.031 0.409  -0.081 0.333  -0.132 0.257  -0.182 0.180  -0.230 0.103  -0.279 0.025  -0.327 -0.052  -0.376 -0.130  -0.424 -0.207  -0.472 -0.285  -0.521 -0.362  -0.571 -0.439  -0.620 -0.516  -0.670 -0.593  -0.711 -0.673  -0.729 -0.762  -0.741 -0.853  -0.668 -0.901  -0.586 -0.917  -0.501 -0.883  -0.415 -0.855  -0.325 -0.840  -0.235 -0.825  -0.144 -0.832  -0.053 -0.840  0.038 -0.854  0.128 -0.869  0.211 -0.902  0.289 -0.951  0.366 -1.000  0.436 -1.058  0.506 -1.117  0.576 -1.175
1b#apb#apb28#app2816/E  -0.490 0.625  -0.571 0.455  -0.652 0.285  -0.735 0.117  -0.824 -0.049  -0.884 -0.225  -0.921 -0.409  -0.951 -0.594  -0.951 -0.783  -0.927 -0.965  -0.848 -1.136  -0.730 -1.278  -0.578 -1.374  -0.390 -1.374  -0.203 -1.391  -0.017 -1.416  0.160 -1.355  0.336 -1.289  0.358 -1.107  0.373 -0.920  0.388 -0.732  0.403 -0.545  0.417 -0.357  0.432 -0.170  0.447 0.018  0.462 0.205  0.476 0.393  0.491 0.580  0.409 0.626  0.239 0.545  0.069 0.464  -0.091 0.366  -0.243 0.256  -0.296 0.142  -0.113 0.102  0.071 0.086  0.258 0.110  0.444 0.135  0.428 0.255  0.328 0.415  0.229 0.575  0.130 0.734  0.030 0.894  0.087 1.025  0.237 1.137  0.402 1.228  0.568 1.316  0.738 1.395  0.915 1.460  1.091 1.525
1b#apb#apb28#app2816/E  -0.614 0.352  -0.562 0.224  -0.601 0.070  -0.655 -0.079  -0.717 -0.224  -0.760 -0.376  -0.782 -0.532  -0.816 -0.687  -0.863 -0.838  -0.868 -0.992  -0.787 -1.123  -0.662 -1.200  -0.504 -1.213  -0.346 -1.210  -0.188 -1.201  -0.031 -1.181  0.121 -1.136  0.272 -1.090  0.346 -1.013  0.267 -0.876  0.188 -0.738  0.110 -0.600  0.031 -0.463  -0.048 -0.325  -0.126 -0.188  -0.205 -0.050  -0.283 0.088  -0.366 0.168  -0.332 0.110  -0.181 0.156  -0.028 0.195  0.131 0.195  0.289 0.195  0.447 0.187  0.604 0.168  0.749 0.158  0.669 0.294  0.588 0.431  0.507 0.567  0.427 0.704  0.346 0.840  0.266 0.976  0.185 1.113  0.263 1.229  0.398 1.310  0.538 1.384  0.679 1.457  0.823 1.522  0.968 1.588  1.112 1.653
1b#apb#apb28#app2816/M  -0.477 0.431  -0.599 0.338  -0.720 0.243  -0.814 0.122  -0.909 0.000  -1.007 -0.118  -1.110 -0.232  -1.213 -0.347  -1.302 -0.472  -1.392 -0.597  -1.409 -0.667  -1.308 -0.560  -1.210 -0.441  -1.108 -0.326  -1.006 -0.211  -0.904 -0.096  -0.802 0.019  -0.699 0.134  -0.597 0.249  -0.490 0.359  -0.378 0.465  -0.264 0.567  -0.154 0.600  -0.144 0.446  -0.160 0.294  -0.170 0.140  -0.170 -0.014  -0.119 -0.157  0.025 -0.194  0.175 -0.163  0.325 -0.128  0.456 -0.049  0.587 0.032  0.718 0.114  0.848 0.196  0.978 0.278  1.108 0.360  1.234 0.448  1.359 0.538  1.478 0.543  1.457 0.396  1.400 0.253  1.333 0.115  1.258 -0.019  1.183 -0.154  1.108 -0.288  1.033 -0.422  0.954 -0.554  0.859 -0.674  0.763 -0.795
1b#apb#apb28#app2816/O  0.217 0.899  0.117 0.808  0.018 0.717  -0.081 0.626  -0.180 0.535  -0.279 0.445  -0.378 0.354  -0.478 0.263  -0.570 0.165  -0.659 0.064  -0.748 -0.037  -0.837 -0.138  -0.926 -0.239  -0.995 -0.353  -1.050 -0.475  -1.106 -0.598  -1.099 -0.730  -1.084 -0.864  -1.006 -0.971  -0.919 -1.073  -0.796 -1.073  -0.664 -1.047  -0.532 -1.020  -0.406 -0.979  -0.290 -0.910  -0.174 -0.842  -0.058 -0.773  0.057 -0.705  0.173 -0.636  0.281 -0.556  0.383 -0.469  0.486 -0.382  0.588 -0.295  0.691 -0.208  0.793 -0.120  0.874 -0.014  0.947 0.099  1.020 0.212  1.092 0.325  1.092 0.460  1.092 0.594  1.008 0.698  0.923 0.803  0.842 0.910  0.762 1.018  0.629 1.039  0.496 1.058  0.363 1.077  0.243 1.134  0.126 1.201
1b#apb#apb28#app2816/O  0.211 1.218  0.112 1.136  0.012 1.053  -0.087 0.970  -0.186 0.888  -0.285 0.805  -0.374 0.713  -0.450 0.608  -0.526 0.503  -0.601 0.399  -0.677 0.294  -0.752 0.189  -0.824 0.081  -0.895 -0.026  -0.967 -0.134  -0.986 -0.257  -0.986 -0.386  -0.986 -0.516  -0.986 -0.645  -0.916 -0.751  -0.840 -0.856  -0.764 -0.960  -0.652 -1.006  -0.525 -1.025  -0.397 -1.045  -0.270 -1.039  -0.143 -1.014  -0.016 -0.988  0.110 -0.963  0.207 -0.879  0.301 -0.791  0.395 -0.702  0.490 -0.614  0.584 -0.526  0.668 -0.428  0.747 -0.326  0.827 -0.224  0.907 -0.123  0.957 -0.008  0.977 0.119  0.997 0.247  1.000 0.374  0.975 0.501  0.949 0.628  0.862 0.721  0.771 0.812  0.672 0.896  0.569 0.973  0.460 1.040  0.334 1.065
