3#apb#apb42#app4209/G  0.418 1.471  0.279 1.491  0.139 1.492  0.003 1.471  -0.130 1.427  -0.245 1.352  -0.348 1.257  -0.451 1.162  -0.517 1.039  -0.582 0.915  -0.644 0.790  -0.685 0.656  -0.726 0.522  -0.767 0.388  -0.784 0.251  -0.784 0.111  -0.784 -0.029  -0.784 -0.169  -0.775 -0.309  -0.745 -0.445  -0.716 -0.582  -0.686 -0.719  -0.603 -0.828  -0.508 -0.931  -0.413 -1.033  -0.275 -1.056  -0.136 -1.076  0.002 -1.097  0.141 -1.077  0.279 -1.056  0.417 -1.035  0.525 -0.946  0.633 -0.856  0.722 -0.750  0.770 -0.625  0.770 -0.485  0.690 -0.373  0.598 -0.267  0.491 -0.178  0.383 -0.088  0.251 -0.045  0.114 -0.020  0.198 -0.020  0.338 -0.020  0.478 -0.016  0.615 0.011  0.752 0.039  0.890 0.067  1.027 0.096  1.164 0.125
3#apb#apb42#app4209/e  -0.648 -0.269  -0.548 -0.173  -0.412 -0.103  -0.270 -0.047  -0.128 0.010  0.007 0.081  0.142 0.154  0.276 0.226  0.391 0.322  0.483 0.444  0.574 0.566  0.666 0.688  0.755 0.813  0.844 0.937  0.904 1.062  0.790 1.155  0.637 1.155  0.484 1.155  0.336 1.125  0.192 1.073  0.048 1.022  -0.093 0.965  -0.209 0.866  -0.326 0.768  -0.443 0.669  -0.555 0.566  -0.647 0.444  -0.739 0.322  -0.831 0.200  -0.894 0.062  -0.942 -0.083  -0.990 -0.228  -0.973 -0.374  -0.929 -0.520  -0.861 -0.649  -0.734 -0.734  -0.607 -0.819  -0.471 -0.888  -0.332 -0.953  -0.194 -1.017  -0.055 -1.082  0.094 -1.065  0.245 -1.040  0.396 -1.014  0.547 -0.989  0.699 -0.976  0.851 -0.968  1.004 -0.961  1.157 -0.953  1.309 -0.945
3#apb#apb42#app4209/o  0.040 0.662  -0.012 0.794  -0.124 0.891  -0.252 0.958  -0.396 0.990  -0.531 0.948  -0.661 0.877  -0.780 0.793  -0.878 0.682  -0.975 0.570  -1.036 0.435  -1.098 0.300  -1.099 0.156  -1.082 0.009  -1.064 -0.138  -1.017 -0.275  -0.940 -0.402  -0.864 -0.529  -0.777 -0.645  -0.649 -0.719  -0.520 -0.792  -0.389 -0.859  -0.243 -0.882  -0.096 -0.905  0.050 -0.928  0.197 -0.930  0.343 -0.910  0.490 -0.890  0.637 -0.870  0.777 -0.832  0.900 -0.750  1.024 -0.668  1.147 -0.586  1.232 -0.466  1.302 -0.339  1.266 -0.195  1.230 -0.052  1.140 0.060  1.031 0.160  0.922 0.261  0.795 0.332  0.658 0.389  0.521 0.445  0.383 0.501  0.245 0.551  0.097 0.561  -0.051 0.572  -0.195 0.600  -0.315 0.598  -0.382 0.465
3#apb#apb42#app4209/r  -0.153 0.524  -0.244 0.477  -0.228 0.342  -0.203 0.207  -0.178 0.072  -0.154 -0.063  -0.085 -0.181  -0.014 -0.298  0.057 -0.416  0.125 -0.534  0.182 -0.659  0.239 -0.784  0.296 -0.909  0.351 -1.034  0.394 -1.164  0.438 -1.294  0.499 -1.417  0.527 -1.547  0.527 -1.443  0.446 -1.336  0.355 -1.234  0.264 -1.131  0.173 -1.029  0.117 -0.905  0.065 -0.778  0.013 -0.651  -0.039 -0.524  -0.092 -0.398  -0.144 -0.271  -0.214 -0.153  -0.288 -0.038  -0.362 0.077  -0.436 0.193  -0.510 0.308  -0.562 0.430  -0.562 0.567  -0.562 0.704  -0.562 0.841  -0.518 0.971  -0.475 1.101  -0.432 1.231  -0.315 1.291  -0.187 1.339  -0.058 1.386  0.079 1.386  0.216 1.386  0.353 1.384  0.486 1.355  0.620 1.325  0.754 1.295
3#apb#apb42#app4209/g  -0.309 0.878  -0.216 0.944  -0.132 1.024  -0.201 1.126  -0.331 1.122  -0.453 1.062  -0.552 0.969  -0.646 0.872  -0.699 0.747  -0.753 0.622  -0.770 0.488  -0.776 0.353  -0.737 0.223  -0.659 0.117  -0.555 0.033  -0.419 0.021  -0.289 0.039  -0.163 0.092  -0.059 0.174  0.032 0.275  0.055 0.406  0.060 0.541  0.045 0.676  -0.004 0.803  -0.073 0.917  -0.113 0.889  -0.073 0.760  -0.006 0.642  0.071 0.529  0.148 0.418  0.218 0.301  0.289 0.185  0.363 0.071  0.437 -0.043  0.495 -0.164  0.534 -0.295  0.573 -0.425  0.594 -0.558  0.594 -0.693  0.594 -0.829  0.579 -0.964  0.559 -1.098  0.538 -1.233  0.517 -1.367  0.460 -1.490  0.399 -1.611  0.334 -1.731  0.262 -1.845  0.173 -1.945  0.064 -2.027
3#apb#apb42#app4209/e  -0.758 -0.805  -0.758 -0.644  -0.744 -0.488  -0.645 -0.362  -0.516 -0.265  -0.387 -0.170  -0.245 -0.093  -0.103 -0.017  0.038 0.059  0.180 0.136  0.322 0.212  0.463 0.288  0.585 0.393  0.704 0.501  0.821 0.611  0.914 0.742  0.975 0.884  0.893 1.010  0.779 1.124  0.647 1.194  0.486 1.194  0.325 1.194  0.169 1.162  0.015 1.114  -0.138 1.067  -0.262 0.967  -0.381 0.858  -0.500 0.750  -0.593 0.620  -0.679 0.484  -0.760 0.346  -0.781 0.187  -0.802 0.027  -0.823 -0.132  -0.796 -0.291  -0.768 -0.449  -0.687 -0.582  -0.579 -0.700  -0.470 -0.819  -0.348 -0.917  -0.194 -0.961  -0.039 -1.006  0.117 -1.041  0.278 -1.050  0.439 -1.060  0.599 -1.069  0.760 -1.065  0.921 -1.056  1.081 -1.047  1.242 -1.038
3#apb#apb42#app4209/'  -1.236 0.067  -1.170 0.142  -1.104 0.218  -1.037 0.294  -0.971 0.370  -0.905 0.446  -0.838 0.522  -0.772 0.597  -0.705 0.673  -0.626 0.731  -0.533 0.772  -0.441 0.813  -0.349 0.853  -0.257 0.894  -0.165 0.935  -0.073 0.976  0.019 1.017  0.105 0.993  0.189 0.937  0.273 0.881  0.357 0.825  0.441 0.769  0.525 0.713  0.560 0.620  0.592 0.525  0.624 0.429  0.656 0.334  0.688 0.238  0.675 0.139  0.657 0.040  0.639 -0.059  0.621 -0.158  0.603 -0.257  0.585 -0.356  0.567 -0.456  0.549 -0.555  0.531 -0.654  0.464 -0.729  0.396 -0.803  0.328 -0.877  0.260 -0.952  0.192 -1.026  0.124 -1.100  0.056 -1.174  -0.012 -1.249  -0.080 -1.323  -0.149 -1.397  -0.217 -1.472  -0.285 -1.546  -0.353 -1.620
3#apb#apb42#app4209/s  -0.487 0.437  -0.380 0.544  -0.274 0.650  -0.156 0.743  -0.014 0.770  -0.058 0.870  -0.209 0.870  -0.359 0.867  -0.496 0.805  -0.633 0.743  -0.771 0.683  -0.911 0.627  -1.051 0.571  -1.168 0.477  -1.280 0.376  -1.373 0.261  -1.329 0.126  -1.192 0.104  -1.041 0.104  -0.891 0.104  -0.740 0.104  -0.590 0.104  -0.439 0.104  -0.288 0.104  -0.138 0.104  0.013 0.104  0.163 0.104  0.314 0.104  0.464 0.104  0.615 0.104  0.765 0.104  0.912 0.077  1.057 0.037  1.198 -0.012  1.315 -0.106  1.379 -0.238  1.388 -0.379  1.328 -0.517  1.218 -0.607  1.083 -0.674  0.948 -0.741  0.812 -0.804  0.669 -0.852  0.526 -0.900  0.383 -0.947  0.240 -0.994  0.092 -1.019  -0.057 -1.044  -0.205 -1.068  -0.354 -1.093
3#apb#apb42#app4209/R  -0.568 0.663  -0.545 0.615  -0.511 0.428  -0.482 0.240  -0.434 0.056  -0.380 -0.127  -0.347 -0.313  -0.329 -0.503  -0.311 -0.692  -0.322 -0.882  -0.332 -1.072  -0.335 -1.262  -0.359 -1.432  -0.388 -1.244  -0.419 -1.056  -0.452 -0.869  -0.491 -0.683  -0.541 -0.499  -0.592 -0.316  -0.643 -0.132  -0.693 0.051  -0.744 0.234  -0.748 0.412  -0.653 0.577  -0.558 0.741  -0.463 0.906  -0.368 1.071  -0.214 1.152  -0.029 1.193  0.152 1.253  0.339 1.270  0.530 1.270  0.700 1.231  0.739 1.054  0.689 0.871  0.593 0.711  0.470 0.566  0.349 0.419  0.230 0.270  0.156 0.098  0.191 -0.079  0.318 -0.221  0.463 -0.344  0.621 -0.450  0.788 -0.541  0.951 -0.638  1.097 -0.756  1.211 -0.909  1.294 -1.080  1.371 -1.254
3#apb#apb42#app4209/a  0.681 0.958  0.586 1.053  0.465 1.107  0.339 1.154  0.210 1.161  0.079 1.132  -0.052 1.102  -0.170 1.038  -0.289 0.974  -0.407 0.911  -0.525 0.846  -0.609 0.741  -0.693 0.636  -0.777 0.531  -0.840 0.414  -0.885 0.287  -0.930 0.161  -0.975 0.034  -0.997 -0.097  -0.997 -0.231  -0.997 -0.365  -0.997 -0.500  -0.943 -0.623  -0.889 -0.746  -0.812 -0.844  -0.684 -0.886  -0.556 -0.929  -0.429 -0.971  -0.296 -0.966  -0.162 -0.953  -0.028 -0.941  0.100 -0.900  0.226 -0.855  0.353 -0.810  0.480 -0.764  0.564 -0.664  0.641 -0.554  0.718 -0.444  0.781 -0.326  0.831 -0.201  0.881 -0.076  0.880 0.052  0.824 0.171  0.754 0.283  0.754 0.257  0.796 0.131  0.849 0.008  0.941 -0.085  1.048 -0.166  1.156 -0.247
3#apb#apb42#app4209/d  0.314 -0.128  0.313 0.044  0.160 0.152  -0.033 0.190  -0.231 0.187  -0.391 0.070  -0.550 -0.049  -0.705 -0.173  -0.849 -0.310  -0.990 -0.450  -1.091 -0.620  -1.182 -0.796  -1.143 -0.991  -1.040 -1.156  -0.891 -1.262  -0.692 -1.275  -0.499 -1.250  -0.311 -1.187  -0.138 -1.093  0.021 -0.974  0.176 -0.851  0.294 -0.691  0.411 -0.531  0.478 -0.346  0.531 -0.154  0.537 0.038  0.491 0.231  0.445 0.425  0.400 0.618  0.354 0.811  0.254 0.977  0.126 1.129  -0.002 1.281  -0.089 1.456  -0.147 1.646  -0.184 1.602  -0.125 1.412  -0.059 1.225  0.014 1.040  0.114 0.868  0.213 0.696  0.309 0.523  0.402 0.347  0.493 0.170  0.562 -0.016  0.630 -0.203  0.709 -0.385  0.793 -0.565  0.870 -0.748  0.927 -0.938
