3#apa#apa04#app0435/h  -0.169 1.357  -0.169 1.513  -0.108 1.607  -0.044 1.699  0.078 1.732  -0.027 1.624  -0.044 1.476  -0.081 1.357  -0.169 1.290  -0.169 1.134  -0.169 0.979  -0.184 0.827  -0.254 0.688  -0.294 0.542  -0.294 0.386  -0.294 0.231  -0.294 0.075  -0.338 -0.062  -0.419 -0.184  -0.419 -0.339  -0.419 -0.495  -0.419 -0.650  -0.419 -0.806  -0.419 -0.961  -0.419 -1.117  -0.424 -1.268  -0.509 -1.268  -0.419 -1.202  -0.323 -1.143  -0.294 -1.016  -0.280 -0.864  -0.210 -0.725  -0.124 -0.598  -0.044 -0.476  -0.044 -0.320  0.059 -0.268  0.087 -0.137  0.197 -0.027  0.331 0.000  0.379 0.107  0.512 0.051  0.581 -0.076  0.581 -0.231  0.699 -0.268  0.706 -0.417  0.744 -0.557  0.831 -0.676  0.895 -0.768  0.956 -0.862  1.081 -0.893
3#apa#apa04#app0435/e  -0.375 0.133  -0.486 0.244  -0.562 0.370  -0.542 0.507  -0.385 0.507  -0.375 0.654  -0.258 0.694  -0.101 0.694  0.056 0.694  0.213 0.694  0.369 0.694  0.526 0.694  0.683 0.694  0.840 0.694  0.997 0.694  1.154 0.694  1.305 0.694  1.148 0.694  0.991 0.694  0.834 0.694  0.677 0.694  0.520 0.694  0.373 0.684  0.373 0.527  0.236 0.507  0.079 0.507  -0.055 0.453  -0.166 0.342  -0.315 0.320  -0.443 0.252  -0.554 0.141  -0.665 0.030  -0.749 -0.093  -0.755 -0.247  -0.866 -0.358  -0.936 -0.486  -0.936 -0.643  -0.936 -0.800  -0.826 -0.911  -0.715 -1.022  -0.604 -1.133  -0.465 -1.176  -0.308 -1.176  -0.155 -1.192  -0.014 -1.262  0.126 -1.333  0.276 -1.363  0.433 -1.363  0.590 -1.363  0.747 -1.363
3#apa#apa04#app0435/s  0.533 1.181  0.400 1.181  0.266 1.181  0.133 1.181  -0.001 1.181  -0.134 1.181  -0.268 1.181  -0.401 1.181  -0.535 1.181  -0.645 1.157  -0.645 1.024  -0.645 0.890  -0.645 0.757  -0.645 0.623  -0.573 0.520  -0.478 0.425  -0.384 0.331  -0.290 0.237  -0.172 0.199  -0.043 0.187  0.051 0.092  0.147 0.003  0.281 0.003  0.414 0.003  0.548 0.003  0.681 0.003  0.790 -0.058  0.884 -0.152  0.979 -0.246  1.073 -0.341  1.077 -0.435  0.983 -0.530  0.888 -0.624  0.794 -0.718  0.687 -0.783  0.554 -0.783  0.420 -0.783  0.287 -0.783  0.153 -0.783  0.020 -0.783  -0.114 -0.783  -0.247 -0.783  -0.343 -0.874  -0.437 -0.968  -0.566 -0.979  -0.700 -0.979  -0.833 -0.979  -0.967 -0.979  -1.100 -0.979  -1.234 -0.979
3#apa#apa04#app0435/o  -0.379 0.899  -0.526 0.899  -0.673 0.899  -0.820 0.899  -0.940 0.873  -0.940 0.726  -0.940 0.579  -0.940 0.432  -0.940 0.285  -0.940 0.138  -0.940 -0.009  -0.940 -0.156  -0.884 -0.280  -0.780 -0.384  -0.676 -0.488  -0.660 -0.628  -0.660 -0.775  -0.523 -0.785  -0.377 -0.787  -0.273 -0.891  -0.169 -0.995  -0.051 -1.066  0.096 -1.066  0.243 -1.066  0.390 -1.066  0.463 -0.993  0.463 -0.846  0.550 -0.785  0.697 -0.785  0.815 -0.715  0.919 -0.611  1.023 -0.507  1.025 -0.361  1.025 -0.213  1.025 -0.066  1.008 0.074  0.904 0.178  0.800 0.282  0.744 0.405  0.744 0.552  0.663 0.619  0.516 0.619  0.463 0.713  0.463 0.860  0.356 0.899  0.209 0.899  0.062 0.899  -0.085 0.899  -0.232 0.899  -0.379 0.899
3#apa#apa04#app0435/o  -0.087 0.437  -0.236 0.437  -0.385 0.437  -0.533 0.437  -0.682 0.437  -0.831 0.437  -0.979 0.437  -1.128 0.437  -1.277 0.437  -1.323 0.335  -1.323 0.186  -1.323 0.038  -1.269 -0.057  -1.120 -0.057  -1.076 -0.161  -1.070 -0.304  -0.921 -0.304  -0.789 -0.344  -0.684 -0.449  -0.578 -0.551  -0.429 -0.551  -0.286 -0.575  -0.153 -0.642  -0.020 -0.708  0.113 -0.775  0.256 -0.798  0.405 -0.798  0.553 -0.798  0.702 -0.798  0.851 -0.798  0.901 -0.700  0.901 -0.551  1.049 -0.551  1.148 -0.501  1.148 -0.352  1.148 -0.204  1.147 -0.055  1.042 0.050  0.936 0.155  0.901 0.289  0.901 0.437  0.901 0.586  0.851 0.685  0.702 0.685  0.583 0.755  0.478 0.861  0.358 0.932  0.210 0.932  0.160 0.833  0.160 0.685
3#apa#apa04#app0435/n  -1.199 -0.122  -1.077 -0.122  -1.041 -0.208  -1.041 -0.330  -1.041 -0.452  -1.041 -0.573  -1.041 -0.695  -1.041 -0.817  -1.014 -0.912  -0.892 -0.912  -0.883 -0.799  -0.883 -0.678  -0.855 -0.568  -0.768 -0.481  -0.682 -0.395  -0.596 -0.309  -0.567 -0.199  -0.536 -0.091  -0.449 -0.005  -0.409 0.101  -0.380 0.194  -0.259 0.194  -0.251 0.308  -0.196 0.407  -0.110 0.493  -0.023 0.579  0.063 0.665  0.065 0.786  0.148 0.825  0.223 0.872  0.233 0.983  0.355 0.983  0.449 0.915  0.535 0.829  0.621 0.743  0.696 0.652  0.696 0.531  0.741 0.419  0.796 0.310  0.850 0.202  0.934 0.114  1.012 0.024  1.012 -0.098  1.081 -0.191  1.167 -0.277  1.170 -0.398  1.228 -0.496  1.314 -0.582  1.400 -0.668  1.486 -0.754
3#apa#apa04#app0435/t  -0.055 2.105  -0.055 1.926  -0.055 1.748  -0.055 1.569  -0.130 1.422  -0.227 1.275  -0.298 1.113  -0.317 0.937  -0.360 0.763  -0.403 0.590  -0.469 0.425  -0.541 0.264  -0.541 0.085  -0.541 -0.093  -0.541 -0.272  -0.487 -0.437  -0.420 -0.600  -0.359 -0.753  -0.233 -0.880  -0.078 -0.936  0.055 -1.046  0.229 -1.057  0.403 -1.088  0.572 -1.145  0.745 -1.179  0.923 -1.179  0.988 -1.145  0.839 -1.046  0.691 -0.946  0.542 -0.847  0.394 -0.748  0.245 -0.649  0.097 -0.550  -0.052 -0.451  -0.200 -0.352  -0.349 -0.253  -0.497 -0.154  -0.646 -0.055  -0.773 0.037  -0.614 0.086  -0.488 0.212  -0.338 0.280  -0.160 0.280  -0.003 0.333  0.147 0.402  0.326 0.402  0.504 0.402  0.683 0.402  0.861 0.402  1.040 0.402
3#apa#apa04#app0435/o  -0.403 0.437  -0.539 0.437  -0.676 0.437  -0.810 0.430  -0.906 0.334  -1.003 0.237  -1.100 0.140  -1.196 0.044  -1.203 -0.090  -1.203 -0.227  -1.203 -0.364  -1.106 -0.460  -1.009 -0.557  -0.913 -0.654  -0.816 -0.750  -0.685 -0.763  -0.548 -0.763  -0.411 -0.763  -0.274 -0.763  -0.138 -0.763  -0.001 -0.763  0.136 -0.763  0.272 -0.763  0.406 -0.755  0.502 -0.659  0.600 -0.563  0.729 -0.520  0.859 -0.476  0.989 -0.433  1.118 -0.390  1.198 -0.311  1.198 -0.174  1.198 -0.037  1.198 0.099  1.198 0.236  1.102 0.333  1.006 0.430  0.909 0.526  0.812 0.623  0.681 0.637  0.560 0.675  0.464 0.772  0.354 0.837  0.218 0.837  0.081 0.837  -0.056 0.837  -0.193 0.837  -0.329 0.837  -0.466 0.837  -0.603 0.837
3#apa#apa04#app0435/o  -0.232 0.360  -0.369 0.360  -0.506 0.360  -0.643 0.360  -0.780 0.360  -0.917 0.360  -1.054 0.360  -1.159 0.283  -1.256 0.187  -1.296 0.066  -1.296 -0.071  -1.296 -0.208  -1.249 -0.325  -1.152 -0.422  -1.044 -0.491  -0.907 -0.491  -0.770 -0.491  -0.633 -0.491  -0.496 -0.491  -0.384 -0.552  -0.287 -0.649  -0.173 -0.704  -0.036 -0.704  0.101 -0.704  0.238 -0.704  0.375 -0.704  0.512 -0.704  0.640 -0.682  0.737 -0.586  0.834 -0.491  0.971 -0.491  1.089 -0.445  1.186 -0.349  1.256 -0.241  1.256 -0.104  1.256 0.033  1.240 0.163  1.143 0.260  1.047 0.357  0.950 0.454  0.853 0.551  0.736 0.620  0.614 0.681  0.491 0.742  0.364 0.785  0.227 0.785  0.120 0.858  0.024 0.954  -0.095 0.998  -0.232 0.998
3#apa#apa04#app0435/k  -0.396 1.968  -0.264 1.878  -0.264 1.656  -0.269 1.436  -0.396 1.266  -0.396 1.043  -0.396 0.821  -0.419 0.604  -0.518 0.405  -0.559 0.192  -0.658 -0.007  -0.659 -0.229  -0.680 -0.446  -0.780 -0.645  -0.791 -0.865  -0.791 -1.087  -0.791 -1.309  -0.647 -1.183  -0.490 -1.026  -0.333 -0.869  -0.175 -0.712  -0.018 -0.555  0.139 -0.397  0.296 -0.240  0.454 -0.083  0.611 0.074  0.768 0.232  0.925 0.389  1.027 0.546  0.847 0.650  0.625 0.650  0.527 0.525  0.312 0.518  0.132 0.476  -0.001 0.386  -0.168 0.254  -0.321 0.141  -0.450 -0.009  -0.528 -0.154  -0.528 -0.377  -0.334 -0.405  -0.156 -0.513  0.057 -0.537  0.279 -0.537  0.490 -0.584  0.693 -0.668  0.915 -0.668  1.137 -0.668  1.360 -0.668  1.582 -0.668
3#apa#apa04#app0435/e  -0.635 0.818  -0.511 0.694  -0.482 0.530  -0.329 0.507  -0.329 0.332  -0.329 0.156  -0.256 0.053  -0.081 0.053  0.095 0.053  0.271 0.053  0.446 0.053  0.622 0.053  0.781 0.092  0.895 0.221  0.933 0.359  1.048 0.419  0.990 0.571  0.895 0.707  0.830 0.818  0.680 0.880  0.542 0.971  0.367 0.971  0.191 0.971  0.027 0.920  -0.130 0.841  -0.300 0.818  -0.476 0.818  -0.602 0.698  -0.693 0.550  -0.771 0.393  -0.926 0.359  -0.941 0.198  -0.941 0.023  -0.941 -0.153  -0.941 -0.329  -0.941 -0.504  -0.820 -0.559  -0.687 -0.661  -0.563 -0.785  -0.427 -0.893  -0.270 -0.972  -0.112 -1.050  0.045 -1.129  0.210 -1.171  0.386 -1.171  0.562 -1.171  0.694 -1.276  0.850 -1.324  1.025 -1.324  1.048 -1.477
