3#apb#apb38#app3802/S  0.741 1.373  0.685 1.464  0.594 1.455  0.502 1.391  0.413 1.324  0.324 1.256  0.236 1.188  0.149 1.116  0.067 1.041  -0.015 0.965  -0.098 0.890  -0.177 0.810  -0.253 0.728  -0.329 0.646  -0.405 0.564  -0.484 0.485  -0.571 0.415  -0.657 0.344  -0.744 0.273  -0.801 0.177  -0.855 0.079  -0.875 -0.027  -0.783 -0.089  -0.671 -0.095  -0.559 -0.102  -0.448 -0.097  -0.336 -0.092  -0.224 -0.091  -0.112 -0.096  -0.000 -0.101  0.108 -0.123  0.216 -0.154  0.322 -0.187  0.412 -0.254  0.497 -0.326  0.572 -0.409  0.600 -0.512  0.601 -0.622  0.556 -0.725  0.510 -0.827  0.450 -0.921  0.387 -1.014  0.324 -1.106  0.254 -1.192  0.179 -1.276  0.104 -1.359  0.025 -1.437  -0.060 -1.510  -0.145 -1.584  -0.229 -1.657
3#apb#apb38#app3802/e  -0.505 -0.294  -0.410 -0.368  -0.286 -0.380  -0.170 -0.334  -0.054 -0.288  0.057 -0.231  0.166 -0.171  0.275 -0.110  0.378 -0.039  0.473 0.041  0.568 0.122  0.663 0.203  0.759 0.284  0.854 0.364  0.950 0.445  1.042 0.528  1.127 0.620  1.212 0.712  1.275 0.818  1.222 0.911  1.097 0.902  0.975 0.883  0.859 0.836  0.744 0.788  0.628 0.741  0.520 0.679  0.413 0.614  0.307 0.549  0.200 0.484  0.094 0.417  -0.006 0.343  -0.106 0.269  -0.207 0.194  -0.307 0.120  -0.406 0.044  -0.504 -0.033  -0.602 -0.111  -0.700 -0.188  -0.796 -0.268  -0.871 -0.368  -0.946 -0.468  -1.021 -0.568  -1.076 -0.678  -1.116 -0.796  -1.155 -0.915  -1.174 -1.038  -1.188 -1.162  -1.163 -1.274  -1.083 -1.369  -1.002 -1.465
3#apb#apb38#app3802/p  -0.085 0.612  -0.101 0.638  -0.041 0.725  0.022 0.809  0.094 0.886  0.174 0.954  0.260 1.014  0.353 1.064  0.450 1.104  0.549 1.139  0.654 1.143  0.751 1.121  0.812 1.041  0.814 0.939  0.790 0.836  0.752 0.740  0.693 0.652  0.635 0.564  0.573 0.479  0.507 0.397  0.441 0.315  0.371 0.237  0.280 0.184  0.189 0.130  0.094 0.086  -0.003 0.044  -0.108 0.034  -0.207 0.052  -0.287 0.116  -0.302 0.162  -0.271 0.064  -0.263 -0.041  -0.268 -0.146  -0.273 -0.251  -0.290 -0.355  -0.312 -0.458  -0.335 -0.561  -0.362 -0.663  -0.390 -0.764  -0.418 -0.866  -0.446 -0.968  -0.476 -1.068  -0.507 -1.169  -0.537 -1.270  -0.569 -1.371  -0.604 -1.470  -0.638 -1.570  -0.675 -1.669  -0.722 -1.763  -0.769 -1.857
3#apb#apb38#app3802/t  0.109 0.600  0.037 0.484  0.014 0.348  0.014 0.208  -0.022 0.074  -0.063 -0.058  -0.109 -0.190  -0.157 -0.321  -0.204 -0.452  -0.248 -0.584  -0.292 -0.716  -0.326 -0.851  -0.357 -0.987  -0.399 -1.118  -0.485 -1.228  -0.432 -1.318  -0.473 -1.188  -0.517 -1.056  -0.561 -0.924  -0.605 -0.791  -0.649 -0.659  -0.693 -0.527  -0.737 -0.395  -0.781 -0.263  -0.825 -0.131  -0.869 0.002  -0.913 0.134  -0.957 0.266  -0.912 0.263  -0.775 0.285  -0.636 0.292  -0.497 0.301  -0.361 0.330  -0.224 0.358  -0.088 0.386  0.048 0.415  0.184 0.445  0.321 0.475  0.457 0.505  0.593 0.531  0.730 0.558  0.867 0.584  1.003 0.614  1.137 0.651  1.272 0.687  1.406 0.723  1.541 0.760  1.675 0.797  1.811 0.826  1.948 0.854
3#apb#apb38#app3802/.  -1.755 -0.336  -1.675 -0.315  -1.594 -0.295  -1.514 -0.275  -1.433 -0.255  -1.353 -0.235  -1.272 -0.215  -1.191 -0.195  -1.111 -0.175  -1.030 -0.154  -0.958 -0.119  -0.900 -0.060  -0.841 -0.002  -0.782 0.057  -0.723 0.116  -0.665 0.174  -0.606 0.233  -0.528 0.245  -0.445 0.245  -0.362 0.245  -0.279 0.245  -0.196 0.245  -0.113 0.245  -0.030 0.245  0.053 0.245  0.136 0.245  0.219 0.245  0.302 0.245  0.385 0.245  0.468 0.245  0.551 0.245  0.567 0.178  0.567 0.095  0.595 0.080  0.654 0.138  0.713 0.197  0.771 0.234  0.830 0.175  0.889 0.117  0.948 0.058  1.006 -0.001  1.065 -0.059  1.124 -0.118  1.182 -0.177  1.241 -0.236  1.300 -0.294  1.359 -0.353  1.417 -0.412  1.476 -0.470  1.535 -0.529
3#apb#apb38#app3802/2  -0.578 1.038  -0.668 1.118  -0.556 1.219  -0.425 1.293  -0.288 1.352  -0.138 1.369  0.011 1.366  0.159 1.333  0.294 1.272  0.418 1.187  0.522 1.080  0.607 0.956  0.657 0.818  0.678 0.668  0.685 0.519  0.657 0.371  0.628 0.222  0.577 0.082  0.508 -0.052  0.438 -0.186  0.357 -0.312  0.259 -0.427  0.161 -0.542  0.063 -0.657  -0.059 -0.743  -0.189 -0.821  -0.318 -0.900  -0.452 -0.966  -0.595 -1.015  -0.738 -1.065  -0.888 -1.069  -1.034 -1.045  -1.103 -0.953  -1.059 -0.808  -0.947 -0.708  -0.833 -0.609  -0.705 -0.530  -0.572 -0.458  -0.436 -0.394  -0.295 -0.341  -0.153 -0.288  -0.005 -0.264  0.145 -0.247  0.295 -0.232  0.446 -0.232  0.597 -0.233  0.747 -0.249  0.896 -0.269  1.038 -0.321  1.189 -0.325
3#apb#apb38#app3802/3  -0.542 1.099  -0.505 1.196  -0.398 1.238  -0.291 1.278  -0.181 1.306  -0.067 1.306  0.038 1.273  0.136 1.214  0.223 1.139  0.296 1.053  0.342 0.949  0.361 0.839  0.295 0.746  0.200 0.683  0.101 0.625  0.002 0.569  -0.098 0.513  -0.202 0.467  -0.312 0.437  -0.425 0.416  -0.333 0.374  -0.220 0.356  -0.107 0.336  0.002 0.306  0.096 0.241  0.190 0.176  0.284 0.111  0.378 0.046  0.441 -0.048  0.495 -0.148  0.542 -0.252  0.572 -0.361  0.572 -0.475  0.562 -0.589  0.545 -0.702  0.483 -0.793  0.406 -0.878  0.320 -0.952  0.224 -1.016  0.129 -1.079  0.027 -1.131  -0.075 -1.182  -0.178 -1.233  -0.286 -1.269  -0.395 -1.302  -0.505 -1.336  -0.616 -1.363  -0.728 -1.384  -0.841 -1.399  -0.956 -1.399
3#apb#apb38#app3802/N  -1.195 -1.346  -1.173 -1.244  -1.134 -1.108  -1.093 -0.973  -1.050 -0.838  -1.006 -0.703  -0.960 -0.569  -0.914 -0.435  -0.860 -0.304  -0.798 -0.177  -0.737 -0.049  -0.680 0.080  -0.624 0.211  -0.568 0.341  -0.492 0.460  -0.414 0.578  -0.329 0.691  -0.240 0.802  -0.140 0.892  -0.074 0.796  -0.060 0.655  -0.060 0.514  -0.061 0.372  -0.066 0.230  -0.071 0.089  -0.073 -0.053  -0.073 -0.194  -0.075 -0.336  -0.089 -0.477  -0.089 -0.617  -0.049 -0.752  0.049 -0.829  0.168 -0.753  0.261 -0.647  0.347 -0.535  0.428 -0.419  0.507 -0.302  0.588 -0.185  0.670 -0.070  0.753 0.045  0.832 0.163  0.910 0.281  0.984 0.402  1.053 0.525  1.122 0.649  1.188 0.774  1.254 0.900  1.314 1.028  1.376 1.155  1.444 1.280
3#apb#apb38#app3802/o  0.136 1.239  0.078 1.132  0.021 1.025  -0.044 0.922  -0.118 0.826  -0.192 0.729  -0.266 0.633  -0.339 0.536  -0.413 0.440  -0.487 0.343  -0.561 0.247  -0.641 0.155  -0.721 0.064  -0.801 -0.028  -0.876 -0.123  -0.940 -0.226  -1.005 -0.329  -1.065 -0.433  -1.065 -0.555  -1.065 -0.677  -1.011 -0.782  -0.943 -0.883  -0.829 -0.917  -0.711 -0.946  -0.593 -0.971  -0.477 -0.934  -0.361 -0.897  -0.246 -0.860  -0.131 -0.822  -0.027 -0.758  0.076 -0.694  0.179 -0.630  0.283 -0.566  0.376 -0.488  0.466 -0.407  0.557 -0.326  0.647 -0.244  0.735 -0.161  0.806 -0.062  0.877 0.036  0.948 0.135  1.013 0.237  1.062 0.348  1.111 0.460  1.145 0.573  1.137 0.695  1.129 0.816  1.096 0.931  1.048 1.043  1.000 1.155
3#apb#apb38#app3802/v  -0.687 0.933  -0.793 0.933  -0.845 0.878  -0.845 0.772  -0.845 0.665  -0.849 0.559  -0.862 0.454  -0.874 0.348  -0.881 0.243  -0.867 0.137  -0.853 0.032  -0.835 -0.073  -0.811 -0.177  -0.787 -0.280  -0.760 -0.383  -0.723 -0.483  -0.686 -0.582  -0.648 -0.682  -0.584 -0.766  -0.518 -0.850  -0.432 -0.911  -0.342 -0.968  -0.245 -1.000  -0.139 -1.000  -0.040 -0.970  0.053 -0.919  0.145 -0.865  0.231 -0.803  0.318 -0.741  0.402 -0.677  0.454 -0.584  0.506 -0.492  0.558 -0.399  0.607 -0.305  0.655 -0.210  0.703 -0.114  0.741 -0.016  0.762 0.088  0.782 0.193  0.801 0.297  0.818 0.402  0.834 0.507  0.851 0.612  0.873 0.716  0.895 0.820  0.916 0.925  0.933 1.030  0.950 1.135  0.950 1.241  1.009 1.328
3#apb#apb38#app3802/.  1.211 1.233  1.157 1.186  1.102 1.139  1.047 1.093  0.992 1.046  0.938 0.999  0.883 0.952  0.828 0.905  0.773 0.858  0.719 0.811  0.664 0.764  0.609 0.717  0.554 0.670  0.500 0.623  0.445 0.576  0.390 0.530  0.335 0.483  0.281 0.436  0.226 0.389  0.171 0.342  0.116 0.295  0.066 0.244  0.026 0.184  -0.014 0.124  -0.054 0.064  -0.094 0.004  -0.133 -0.056  -0.173 -0.116  -0.213 -0.176  -0.253 -0.236  -0.293 -0.296  -0.333 -0.356  -0.373 -0.416  -0.413 -0.476  -0.453 -0.536  -0.493 -0.596  -0.533 -0.656  -0.568 -0.718  -0.568 -0.790  -0.568 -0.862  -0.633 -0.869  -0.705 -0.869  -0.763 -0.903  -0.814 -0.954  -0.865 -1.005  -0.891 -1.066  -0.891 -1.138  -0.909 -1.192  -0.981 -1.192  -1.053 -1.192
