2#apb#apb21#app2173/K  0.099 0.651  -0.139 0.525  -0.419 0.467  -0.702 0.425  -0.985 0.385  -1.270 0.370  -1.341 0.570  -1.106 0.733  -0.857 0.874  -0.598 0.993  -0.324 1.076  -0.042 1.114  0.113 0.939  0.053 0.662  -0.045 0.393  -0.171 0.138  -0.315 -0.109  -0.450 -0.361  -0.588 -0.611  -0.747 -0.849  -0.898 -1.092  -1.090 -1.270  -0.948 -1.044  -0.731 -0.858  -0.514 -0.673  -0.296 -0.487  -0.079 -0.301  0.139 -0.115  0.356 0.070  0.573 0.256  0.791 0.442  1.008 0.628  1.226 0.814  1.088 0.678  0.839 0.538  0.581 0.415  0.337 0.265  0.081 0.138  -0.172 0.020  0.021 0.153  0.244 0.070  0.253 -0.216  0.253 -0.502  0.302 -0.782  0.445 -1.021  0.699 -1.138  0.974 -1.072  1.226 -0.942  1.457 -0.775  1.669 -0.583
2#apb#apb21#app2173/e  -1.528 -0.809  -1.584 -0.753  -1.518 -0.635  -1.393 -0.559  -1.275 -0.472  -1.156 -0.386  -1.015 -0.348  -0.874 -0.309  -0.755 -0.225  -0.641 -0.133  -0.519 -0.054  -0.385 0.006  -0.254 0.071  -0.142 0.166  -0.028 0.257  0.094 0.338  0.199 0.441  0.262 0.572  0.320 0.706  0.378 0.841  0.433 0.977  0.444 1.099  0.297 1.099  0.150 1.099  0.031 1.022  -0.077 0.923  -0.170 0.811  -0.242 0.684  -0.294 0.548  -0.321 0.406  -0.321 0.259  -0.321 0.112  -0.301 -0.032  -0.269 -0.175  -0.181 -0.290  -0.083 -0.399  0.033 -0.489  0.149 -0.579  0.292 -0.604  0.437 -0.625  0.582 -0.635  0.727 -0.613  0.872 -0.591  1.013 -0.551  1.152 -0.505  1.291 -0.458  1.426 -0.402  1.560 -0.341  1.689 -0.273  1.811 -0.192
2#apb#apb21#app2173/i  -1.293 -0.947  -1.215 -0.864  -1.109 -0.749  -0.993 -0.643  -0.878 -0.538  -0.762 -0.433  -0.657 -0.316  -0.554 -0.198  -0.455 -0.077  -0.359 0.047  -0.267 0.174  -0.175 0.301  -0.104 0.432  -0.126 0.530  -0.247 0.442  -0.357 0.331  -0.436 0.196  -0.504 0.055  -0.557 -0.092  -0.613 -0.238  -0.672 -0.384  -0.681 -0.539  -0.621 -0.673  -0.502 -0.767  -0.354 -0.820  -0.204 -0.855  -0.048 -0.847  0.109 -0.840  0.260 -0.802  0.411 -0.759  0.559 -0.707  0.701 -0.641  0.841 -0.571  0.979 -0.497  0.982 -0.364  0.942 -0.213  0.901 -0.062  0.861 0.090  0.820 0.241  0.780 0.392  0.739 0.544  0.699 0.695  0.659 0.846  0.618 0.998  0.578 1.149  0.537 1.300  0.497 1.452  0.456 1.603  0.416 1.754  0.400 1.863
2#apb#apb21#app2173/k  -1.801 -0.824  -1.674 -0.793  -1.472 -0.734  -1.267 -0.682  -1.065 -0.621  -0.865 -0.554  -0.666 -0.484  -0.477 -0.391  -0.293 -0.289  -0.117 -0.172  0.055 -0.050  0.214 0.088  0.372 0.228  0.499 0.397  0.622 0.568  0.723 0.753  0.813 0.943  0.870 1.146  0.927 1.349  0.912 1.554  0.741 1.541  0.592 1.392  0.451 1.235  0.340 1.057  0.207 0.893  0.084 0.723  -0.020 0.539  -0.129 0.358  -0.234 0.175  -0.325 -0.015  -0.422 -0.202  -0.464 -0.398  -0.546 -0.555  -0.638 -0.692  -0.574 -0.563  -0.429 -0.414  -0.262 -0.284  -0.097 -0.152  0.082 -0.043  0.278 0.003  0.196 -0.176  0.053 -0.331  0.000 -0.529  0.090 -0.708  0.278 -0.794  0.483 -0.807  0.692 -0.777  0.893 -0.715  1.090 -0.641  1.281 -0.551
2#apb#apb21#app2173/o  -0.832 -0.076  -0.675 -0.031  -0.530 0.047  -0.425 0.162  -0.358 0.274  -0.346 0.336  -0.493 0.259  -0.631 0.172  -0.716 0.030  -0.801 -0.112  -0.886 -0.254  -0.961 -0.401  -1.020 -0.556  -1.066 -0.713  -1.066 -0.878  -1.000 -1.021  -0.898 -1.152  -0.749 -1.215  -0.593 -1.225  -0.441 -1.161  -0.295 -1.086  -0.164 -0.985  -0.032 -0.884  0.059 -0.750  0.137 -0.603  0.214 -0.457  0.263 -0.300  0.301 -0.139  0.339 0.022  0.360 0.186  0.381 0.350  0.365 0.509  0.297 0.660  0.197 0.790  0.056 0.862  -0.084 0.784  -0.128 0.663  -0.015 0.563  0.138 0.507  0.301 0.474  0.463 0.448  0.626 0.474  0.790 0.500  0.953 0.528  1.108 0.585  1.263 0.642  1.419 0.700  1.572 0.762  1.725 0.825  1.878 0.888
2#apb#apb21#app2173/L  -0.580 1.036  -0.544 1.238  -0.584 1.074  -0.648 0.878  -0.704 0.681  -0.715 0.478  -0.621 0.313  -0.440 0.229  -0.234 0.229  -0.029 0.239  0.175 0.268  0.373 0.317  0.567 0.388  0.751 0.479  0.930 0.581  1.101 0.695  1.239 0.843  1.287 1.043  1.158 1.130  0.988 1.014  0.828 0.885  0.674 0.749  0.528 0.603  0.384 0.457  0.242 0.307  0.101 0.158  -0.044 0.012  -0.190 -0.134  -0.332 -0.282  -0.473 -0.432  -0.625 -0.571  -0.782 -0.704  -0.941 -0.834  -1.105 -0.959  -1.072 -0.855  -0.921 -0.716  -0.784 -0.563  -0.648 -0.408  -0.503 -0.263  -0.373 -0.278  -0.348 -0.482  -0.321 -0.686  -0.243 -0.868  -0.094 -1.004  0.093 -1.091  0.294 -1.111  0.499 -1.103  0.699 -1.056  0.896 -0.996  1.090 -0.928
2#apb#apb21#app2173/a  -0.003 -0.044  0.069 0.035  0.175 0.194  0.286 0.349  0.393 0.507  0.498 0.666  0.411 0.809  0.246 0.869  0.055 0.869  -0.126 0.814  -0.304 0.747  -0.458 0.635  -0.612 0.522  -0.764 0.406  -0.915 0.290  -1.062 0.169  -1.202 0.040  -1.343 -0.089  -1.462 -0.237  -1.575 -0.390  -1.538 -0.485  -1.348 -0.498  -1.158 -0.514  -0.977 -0.457  -0.796 -0.396  -0.615 -0.336  -0.437 -0.267  -0.259 -0.199  -0.100 -0.094  0.056 0.015  0.178 0.162  0.310 0.299  0.350 0.482  0.222 0.358  0.129 0.192  0.044 0.021  -0.003 -0.158  0.003 -0.348  0.114 -0.494  0.297 -0.549  0.483 -0.557  0.671 -0.528  0.859 -0.498  1.047 -0.465  1.234 -0.429  1.422 -0.393  1.607 -0.350  1.787 -0.287  1.967 -0.224  2.147 -0.161
2#apb#apb21#app2173/u  -1.566 -0.737  -1.613 -0.622  -1.478 -0.515  -1.334 -0.419  -1.200 -0.311  -1.086 -0.182  -0.971 -0.053  -0.856 0.076  -0.746 0.209  -0.640 0.346  -0.551 0.493  -0.454 0.629  -0.345 0.675  -0.410 0.517  -0.496 0.367  -0.599 0.230  -0.721 0.108  -0.830 -0.026  -0.926 -0.168  -0.969 -0.333  -0.916 -0.479  -0.757 -0.520  -0.584 -0.520  -0.415 -0.495  -0.254 -0.435  -0.092 -0.374  0.066 -0.305  0.223 -0.232  0.382 -0.166  0.541 -0.099  0.671 0.014  0.756 0.163  0.849 0.293  0.867 0.376  0.928 0.507  1.039 0.623  1.112 0.729  1.050 0.739  0.933 0.612  0.832 0.474  0.762 0.316  0.687 0.160  0.659 -0.006  0.725 -0.151  0.857 -0.251  1.030 -0.262  1.202 -0.274  1.374 -0.259  1.546 -0.240  1.717 -0.221
2#apb#apb21#app2173/r  -1.251 -0.195  -1.323 -0.278  -1.397 -0.361  -1.352 -0.353  -1.292 -0.251  -1.218 -0.158  -1.143 -0.066  -1.057 0.015  -0.969 0.096  -0.882 0.177  -0.808 0.269  -0.740 0.366  -0.670 0.462  -0.599 0.557  -0.526 0.651  -0.448 0.741  -0.353 0.798  -0.254 0.742  -0.148 0.694  -0.060 0.620  -0.060 0.501  -0.068 0.383  -0.100 0.269  -0.147 0.160  -0.200 0.054  -0.253 -0.052  -0.306 -0.159  -0.324 -0.273  -0.310 -0.386  -0.226 -0.470  -0.121 -0.515  -0.004 -0.533  0.113 -0.552  0.230 -0.568  0.342 -0.528  0.454 -0.488  0.566 -0.448  0.678 -0.407  0.789 -0.366  0.896 -0.315  1.003 -0.264  1.111 -0.212  1.218 -0.161  1.321 -0.104  1.418 -0.035  1.515 0.033  1.612 0.102  1.701 0.180  1.780 0.269  1.860 0.357
2#apb#apb21#app2173/a  -0.470 -0.238  -0.323 -0.107  -0.187 0.034  -0.072 0.195  0.046 0.353  0.145 0.523  0.228 0.702  0.216 0.880  0.030 0.901  -0.167 0.901  -0.359 0.864  -0.546 0.802  -0.712 0.696  -0.873 0.583  -1.005 0.436  -1.135 0.288  -1.258 0.134  -1.359 -0.031  -1.401 -0.224  -1.371 -0.416  -1.200 -0.514  -1.011 -0.494  -0.819 -0.449  -0.631 -0.390  -0.444 -0.327  -0.275 -0.224  -0.107 -0.121  0.046 0.003  0.194 0.134  0.305 0.296  0.243 0.366  0.083 0.255  -0.057 0.116  -0.162 -0.049  -0.257 -0.223  -0.240 -0.416  -0.125 -0.572  0.037 -0.653  0.235 -0.664  0.432 -0.675  0.618 -0.618  0.803 -0.548  0.987 -0.478  1.170 -0.403  1.351 -0.325  1.532 -0.246  1.713 -0.167  1.883 -0.068  2.051 0.037  2.218 0.141
2#apb#apb21#app2173/M  -0.463 0.424  -0.690 0.384  -0.946 0.327  -1.197 0.252  -1.455 0.203  -1.662 0.286  -1.536 0.503  -1.330 0.664  -1.107 0.803  -0.870 0.913  -0.622 1.001  -0.372 0.987  -0.204 0.798  -0.197 0.541  -0.273 0.290  -0.374 0.047  -0.486 -0.190  -0.620 -0.416  -0.778 -0.625  -0.874 -0.784  -0.687 -0.601  -0.501 -0.416  -0.321 -0.224  -0.143 -0.031  0.015 0.179  0.193 0.369  0.367 0.228  0.332 -0.031  0.257 -0.282  0.142 -0.518  -0.020 -0.719  -0.026 -0.663  0.147 -0.465  0.327 -0.274  0.508 -0.084  0.684 0.111  0.855 0.311  1.018 0.517  1.150 0.612  1.033 0.377  0.889 0.157  0.757 -0.069  0.632 -0.300  0.609 -0.562  0.697 -0.794  0.950 -0.831  1.201 -0.784  1.444 -0.683  1.666 -0.546  1.880 -0.394
