1b#tos#t3#t3036066/A  -0.830 -1.214  -0.985 -1.289  -0.981 -1.205  -0.908 -0.992  -0.830 -0.794  -0.809 -0.570  -0.755 -0.353  -0.695 -0.133  -0.579 0.016  -0.530 0.240  -0.503 0.453  -0.338 0.597  -0.154 0.668  -0.154 0.898  -0.079 1.097  0.023 1.245  0.071 1.463  0.071 1.693  0.146 1.585  0.297 1.462  0.297 1.232  0.372 1.077  0.372 0.848  0.468 0.698  0.522 0.481  0.597 0.283  0.597 0.053  0.608 -0.172  0.747 -0.344  0.773 -0.563  0.822 -0.773  0.898 -0.927  0.973 -1.082  1.042 -1.144  0.872 -1.004  0.689 -0.865  0.506 -0.726  0.323 -0.587  0.141 -0.447  -0.042 -0.308  -0.225 -0.169  -0.407 -0.030  -0.606 0.064  -0.755 -0.017  -0.746 -0.087  -0.516 -0.087  -0.286 -0.087  -0.057 -0.087  0.173 -0.087  0.372 -0.012
1b#tos#t3#t3036066/F  -0.262 0.893  -0.402 0.827  -0.573 0.827  -0.368 0.827  -0.162 0.827  0.043 0.827  0.183 0.893  0.388 0.893  0.593 0.893  0.799 0.893  1.004 0.893  1.210 0.893  1.343 0.893  1.139 0.871  0.938 0.831  0.737 0.790  0.535 0.750  0.334 0.710  0.132 0.670  -0.069 0.629  -0.270 0.589  -0.438 0.498  -0.525 0.319  -0.525 0.113  -0.459 -0.026  -0.459 -0.232  -0.459 -0.437  -0.459 -0.643  -0.459 -0.848  -0.590 -0.972  -0.590 -1.178  -0.590 -1.383  -0.590 -1.588  -0.642 -1.608  -0.594 -1.408  -0.547 -1.208  -0.499 -1.008  -0.451 -0.808  -0.404 -0.609  -0.356 -0.409  -0.410 -0.289  -0.500 -0.354  -0.294 -0.354  -0.089 -0.354  0.117 -0.354  0.322 -0.354  0.527 -0.354  0.730 -0.362  0.911 -0.420  1.051 -0.486
1b#tos#t3#t3036066/H  -0.795 0.938  -0.975 0.924  -0.961 0.811  -0.961 0.626  -0.961 0.440  -0.961 0.255  -0.961 0.069  -0.935 -0.110  -0.906 -0.288  -0.906 -0.474  -0.906 -0.659  -0.906 -0.845  -0.906 -1.030  -0.855 -1.165  -0.801 -0.995  -0.728 -0.825  -0.655 -0.654  -0.582 -0.484  -0.509 -0.313  -0.436 -0.143  -0.363 0.028  -0.500 0.006  -0.409 0.052  -0.223 0.052  -0.038 0.052  0.148 0.052  0.333 0.052  0.509 0.009  0.691 -0.003  0.717 0.173  0.743 0.356  0.769 0.540  0.795 0.723  0.822 0.907  0.848 1.091  0.810 1.209  0.755 1.079  0.755 0.894  0.755 0.708  0.755 0.523  0.755 0.338  0.755 0.152  0.755 -0.033  0.810 -0.163  0.810 -0.349  0.810 -0.534  0.810 -0.720  0.810 -0.905  0.810 -1.091  0.810 -1.276
1b#tos#t3#t3036066/I  -0.214 1.229  -0.326 1.229  -0.388 1.178  -0.493 1.171  -0.428 1.113  -0.315 1.113  -0.203 1.113  -0.090 1.113  0.022 1.113  0.135 1.113  0.247 1.113  0.360 1.113  0.472 1.113  0.391 1.075  0.287 1.034  0.182 0.996  0.088 0.949  0.019 0.866  0.019 0.753  0.019 0.641  0.019 0.528  0.019 0.416  0.019 0.303  0.019 0.191  0.019 0.079  0.019 -0.034  0.019 -0.146  0.019 -0.259  0.019 -0.371  0.019 -0.484  0.019 -0.596  0.019 -0.709  0.019 -0.821  0.019 -0.934  0.019 -1.046  0.016 -1.155  -0.093 -1.127  -0.202 -1.100  -0.314 -1.097  -0.330 -1.194  -0.388 -1.179  -0.299 -1.155  -0.187 -1.155  -0.074 -1.155  0.038 -1.155  0.151 -1.155  0.263 -1.155  0.376 -1.155  0.488 -1.155  0.484 -1.155
1b#tos#t3#t3036066/J  -0.328 1.075  -0.428 1.065  -0.448 0.975  -0.397 0.975  -0.337 1.025  -0.227 1.025  -0.116 1.025  -0.006 1.025  0.105 1.025  0.206 1.066  0.314 1.075  0.414 1.120  0.523 1.126  0.569 1.169  0.497 1.085  0.425 1.001  0.353 0.917  0.281 0.833  0.225 0.775  0.224 0.665  0.224 0.555  0.224 0.445  0.224 0.334  0.224 0.224  0.224 0.113  0.224 0.003  0.224 -0.108  0.224 -0.218  0.224 -0.329  0.224 -0.439  0.224 -0.550  0.224 -0.660  0.224 -0.771  0.222 -0.879  0.173 -0.941  0.123 -1.031  0.080 -1.124  0.023 -1.181  -0.038 -1.234  -0.142 -1.269  -0.201 -1.331  -0.311 -1.331  -0.378 -1.287  -0.461 -1.230  -0.528 -1.187  -0.566 -1.092  -0.662 -1.038  -0.679 -0.938  -0.679 -0.828  -0.729 -0.729
1b#tos#t3#t3036066/L  -0.262 1.766  -0.338 1.735  -0.380 1.649  -0.382 1.554  -0.382 1.458  -0.382 1.363  -0.382 1.267  -0.382 1.171  -0.354 1.080  -0.324 0.990  -0.322 0.894  -0.322 0.799  -0.322 0.703  -0.322 0.607  -0.322 0.512  -0.322 0.416  -0.322 0.321  -0.322 0.225  -0.322 0.129  -0.322 0.034  -0.322 -0.062  -0.322 -0.158  -0.364 -0.243  -0.382 -0.335  -0.422 -0.421  -0.442 -0.512  -0.442 -0.607  -0.442 -0.703  -0.404 -0.761  -0.309 -0.761  -0.213 -0.761  -0.141 -0.737  -0.141 -0.642  -0.047 -0.641  0.049 -0.641  0.145 -0.641  0.240 -0.641  0.336 -0.641  0.432 -0.641  0.527 -0.641  0.623 -0.641  0.658 -0.701  0.754 -0.701  0.789 -0.761  0.885 -0.761  0.981 -0.761  1.076 -0.761  1.172 -0.761  1.207 -0.821  1.303 -0.821
1b#tos#t3#t3036066/M  -0.656 1.147  -0.856 1.002  -0.876 0.761  -0.876 0.511  -0.821 0.316  -0.821 0.066  -0.821 -0.184  -0.821 -0.434  -0.821 -0.683  -0.821 -0.933  -0.812 -1.027  -0.783 -0.779  -0.755 -0.531  -0.727 -0.283  -0.698 -0.034  -0.670 0.214  -0.642 0.462  -0.613 0.710  -0.743 0.817  -0.656 0.700  -0.563 0.543  -0.491 0.323  -0.343 0.192  -0.293 -0.040  -0.217 -0.226  -0.162 -0.421  -0.052 -0.561  0.003 -0.756  0.014 -0.885  0.113 -0.812  0.203 -0.611  0.223 -0.381  0.278 -0.154  0.380 -0.006  0.408 0.224  0.538 0.378  0.655 0.543  0.772 0.675  0.880 0.817  0.992 0.955  1.102 0.869  1.156 0.674  1.156 0.424  1.156 0.174  1.156 -0.075  1.211 -0.270  1.211 -0.520  1.211 -0.770  1.266 -0.965  1.321 -1.160
1b#tos#t3#t3036066/N  -0.587 1.209  -0.773 1.177  -0.773 0.958  -0.773 0.740  -0.773 0.521  -0.728 0.313  -0.711 0.099  -0.711 -0.120  -0.649 -0.324  -0.649 -0.542  -0.649 -0.761  -0.649 -0.980  -0.634 -0.849  -0.614 -0.632  -0.594 -0.414  -0.574 -0.196  -0.554 0.022  -0.535 0.239  -0.515 0.457  -0.495 0.675  -0.475 0.892  -0.550 1.023  -0.592 0.961  -0.469 0.786  -0.381 0.651  -0.237 0.510  -0.215 0.296  -0.117 0.119  -0.029 -0.064  0.095 -0.195  0.223 -0.288  0.281 -0.493  0.432 -0.581  0.467 -0.792  0.591 -0.933  0.658 -1.085  0.803 -1.174  0.901 -1.315  0.963 -1.195  0.963 -0.976  0.963 -0.758  0.963 -0.539  0.963 -0.321  0.963 -0.102  0.963 0.117  0.963 0.335  0.963 0.554  0.963 0.772  0.963 0.991  0.963 1.209
1b#tos#t3#t3036066/R  -0.368 1.522  -0.559 1.384  -0.593 1.240  -0.593 0.975  -0.537 0.767  -0.537 0.502  -0.537 0.238  -0.537 -0.027  -0.537 -0.292  -0.480 -0.543  -0.480 -0.808  -0.424 -1.017  -0.423 -1.188  -0.417 -0.924  -0.410 -0.659  -0.404 -0.394  -0.398 -0.130  -0.391 0.135  -0.385 0.400  -0.379 0.664  -0.372 0.929  -0.429 1.121  -0.522 1.016  -0.313 1.072  -0.049 1.072  0.193 1.128  0.434 1.072  0.645 0.952  0.735 0.757  0.870 0.615  0.870 0.350  0.870 0.085  0.701 -0.077  0.533 -0.216  0.298 -0.278  0.033 -0.278  -0.119 -0.391  -0.323 -0.459  -0.424 -0.471  -0.296 -0.341  -0.032 -0.363  0.232 -0.385  0.195 -0.533  0.324 -0.745  0.549 -0.841  0.695 -0.997  0.826 -1.190  0.960 -1.347  1.039 -1.533  1.264 -1.572
1b#tos#t3#t3036066/U  -0.795 1.177  -0.795 1.052  -0.795 0.927  -0.795 0.801  -0.795 0.676  -0.795 0.550  -0.795 0.425  -0.795 0.300  -0.795 0.174  -0.795 0.049  -0.795 -0.076  -0.795 -0.202  -0.795 -0.327  -0.795 -0.452  -0.795 -0.578  -0.750 -0.684  -0.670 -0.730  -0.613 -0.799  -0.523 -0.833  -0.476 -0.912  -0.351 -0.912  -0.225 -0.912  -0.114 -0.926  -0.023 -0.954  0.060 -0.912  0.185 -0.912  0.250 -0.851  0.340 -0.816  0.380 -0.730  0.431 -0.656  0.494 -0.594  0.567 -0.542  0.567 -0.417  0.613 -0.337  0.659 -0.231  0.704 -0.150  0.704 -0.025  0.704 0.101  0.704 0.226  0.704 0.351  0.704 0.477  0.749 0.557  0.784 0.667  0.794 0.788  0.794 0.914  0.794 1.039  0.794 1.165  0.749 1.244  0.738 1.359  0.704 1.450
1b#tos#t3#t3036066/V  -0.828 1.245  -0.943 1.186  -0.932 1.055  -0.887 0.934  -0.828 0.854  -0.826 0.716  -0.711 0.658  -0.711 0.519  -0.680 0.392  -0.652 0.265  -0.652 0.126  -0.593 0.045  -0.593 -0.094  -0.527 -0.172  -0.476 -0.290  -0.417 -0.404  -0.417 -0.544  -0.337 -0.619  -0.299 -0.750  -0.286 -0.883  -0.241 -1.004  -0.202 -1.104  -0.180 -1.222  -0.065 -1.245  -0.019 -1.339  0.056 -1.272  0.100 -1.140  0.154 -1.045  0.170 -0.922  0.229 -0.807  0.229 -0.668  0.323 -0.587  0.405 -0.521  0.405 -0.382  0.405 -0.243  0.405 -0.103  0.430 0.011  0.523 0.058  0.523 0.197  0.581 0.312  0.601 0.443  0.666 0.540  0.699 0.647  0.803 0.716  0.816 0.842  0.816 0.981  0.927 1.010  0.992 1.083  0.992 1.223  1.051 1.303
