3#apb#apb35#app3577/O  0.049 0.932  -0.079 0.810  -0.168 0.655  -0.260 0.501  -0.349 0.346  -0.429 0.186  -0.506 0.025  -0.573 -0.141  -0.640 -0.306  -0.689 -0.478  -0.738 -0.650  -0.766 -0.827  -0.786 -1.004  -0.782 -1.183  -0.743 -1.355  -0.649 -1.504  -0.489 -1.546  -0.337 -1.461  -0.200 -1.347  -0.069 -1.225  0.035 -1.080  0.139 -0.934  0.235 -0.784  0.329 -0.631  0.422 -0.479  0.502 -0.319  0.573 -0.155  0.644 0.009  0.710 0.175  0.752 0.349  0.794 0.522  0.829 0.697  0.832 0.876  0.834 1.055  0.776 1.220  0.686 1.370  0.529 1.439  0.363 1.374  0.219 1.271  0.083 1.154  -0.001 0.997  -0.085 0.839  -0.136 0.667  -0.187 0.496  -0.211 0.320  -0.225 0.141  -0.194 -0.031  -0.134 -0.200  -0.021 -0.333  0.111 -0.453
3#apb#apb35#app3577/'  0.324 1.472  0.394 1.472  0.464 1.472  0.484 1.437  0.459 1.371  0.433 1.306  0.408 1.240  0.383 1.175  0.358 1.109  0.333 1.043  0.307 0.978  0.282 0.912  0.257 0.847  0.232 0.781  0.207 0.716  0.181 0.650  0.156 0.584  0.131 0.519  0.106 0.453  0.080 0.388  0.058 0.321  0.040 0.253  0.022 0.185  0.005 0.118  -0.013 0.050  -0.031 -0.018  -0.049 -0.086  -0.066 -0.154  -0.084 -0.222  -0.102 -0.290  -0.120 -0.358  -0.137 -0.426  -0.155 -0.494  -0.173 -0.562  -0.190 -0.630  -0.208 -0.698  -0.226 -0.766  -0.244 -0.834  -0.261 -0.902  -0.279 -0.970  -0.297 -1.038  -0.315 -1.106  -0.332 -1.174  -0.350 -1.242  -0.368 -1.310  -0.385 -1.378  -0.403 -1.446  -0.421 -1.514  -0.439 -1.582  -0.456 -1.650
3#apb#apb35#app3577/B  -0.124 1.007  -0.216 0.787  -0.318 0.571  -0.410 0.351  -0.492 0.127  -0.558 -0.102  -0.633 -0.328  -0.714 -0.552  -0.807 -0.772  -0.904 -0.990  -1.048 -1.137  -1.028 -0.904  -0.961 -0.676  -0.883 -0.450  -0.776 -0.237  -0.669 -0.024  -0.553 0.185  -0.438 0.393  -0.318 0.599  -0.193 0.803  -0.067 1.006  0.082 1.191  0.252 1.355  0.468 1.441  0.578 1.272  0.575 1.034  0.517 0.803  0.442 0.577  0.342 0.360  0.216 0.159  0.059 -0.020  -0.155 -0.090  -0.086 0.127  0.076 0.302  0.272 0.431  0.503 0.487  0.740 0.488  0.955 0.387  1.080 0.188  1.115 -0.048  1.097 -0.286  1.022 -0.512  0.910 -0.720  0.766 -0.908  0.582 -1.061  0.387 -1.196  0.180 -1.315  -0.053 -1.364  -0.288 -1.384  -0.524 -1.353
3#apb#apb35#app3577/r  -1.561 -1.089  -1.455 -1.023  -1.385 -0.917  -1.314 -0.811  -1.233 -0.714  -1.143 -0.624  -1.053 -0.534  -0.963 -0.444  -0.875 -0.352  -0.788 -0.259  -0.701 -0.166  -0.614 -0.073  -0.527 0.020  -0.441 0.114  -0.356 0.208  -0.270 0.302  -0.184 0.396  -0.099 0.490  -0.013 0.585  0.071 0.680  0.156 0.775  0.240 0.870  0.325 0.965  0.401 1.067  0.476 1.170  0.533 1.244  0.479 1.129  0.425 1.014  0.368 0.900  0.311 0.786  0.332 0.662  0.356 0.537  0.405 0.427  0.506 0.351  0.622 0.300  0.741 0.255  0.819 0.161  0.834 0.036  0.808 -0.085  0.747 -0.196  0.698 -0.313  0.649 -0.431  0.589 -0.542  0.522 -0.651  0.468 -0.766  0.417 -0.882  0.371 -1.001  0.349 -1.121  0.417 -1.210  0.540 -1.243
3#apb#apb35#app3577/i  -1.277 -1.004  -1.191 -0.934  -1.087 -0.860  -0.985 -0.782  -0.887 -0.699  -0.790 -0.617  -0.694 -0.532  -0.598 -0.447  -0.502 -0.362  -0.408 -0.276  -0.314 -0.189  -0.220 -0.102  -0.127 -0.015  -0.034 0.072  -0.058 0.001  -0.132 -0.103  -0.207 -0.206  -0.277 -0.313  -0.337 -0.427  -0.379 -0.547  -0.394 -0.673  -0.356 -0.795  -0.263 -0.870  -0.137 -0.881  -0.010 -0.891  0.117 -0.896  0.204 -0.884  0.228 -0.759  0.252 -0.633  0.277 -0.508  0.301 -0.382  0.326 -0.256  0.350 -0.131  0.374 -0.005  0.399 0.121  0.423 0.246  0.448 0.372  0.472 0.497  0.496 0.623  0.521 0.749  0.545 0.874  0.570 1.000  0.594 1.125  0.618 1.251  0.643 1.377  0.667 1.502  0.692 1.628  0.716 1.754  0.740 1.879  0.690 1.907
3#apb#apb35#app3577/e  -1.544 -0.966  -1.419 -0.917  -1.270 -0.851  -1.124 -0.778  -0.978 -0.705  -0.827 -0.641  -0.677 -0.577  -0.527 -0.512  -0.381 -0.439  -0.235 -0.366  -0.089 -0.291  0.051 -0.207  0.191 -0.123  0.331 -0.039  0.431 0.090  0.532 0.219  0.632 0.347  0.725 0.482  0.818 0.616  0.900 0.756  0.959 0.909  0.980 1.064  0.944 1.223  0.825 1.329  0.661 1.329  0.512 1.279  0.371 1.196  0.230 1.113  0.106 1.007  -0.016 0.899  -0.139 0.791  -0.226 0.654  -0.308 0.512  -0.389 0.371  -0.450 0.219  -0.508 0.067  -0.566 -0.086  -0.584 -0.248  -0.595 -0.411  -0.492 -0.536  -0.387 -0.661  -0.246 -0.730  -0.088 -0.772  0.070 -0.815  0.228 -0.855  0.390 -0.833  0.551 -0.811  0.713 -0.789  0.875 -0.767  1.037 -0.745
3#apb#apb35#app3577/n  -0.285 0.905  -0.373 0.807  -0.454 0.698  -0.537 0.590  -0.619 0.481  -0.689 0.365  -0.760 0.249  -0.832 0.134  -0.905 0.019  -0.977 -0.096  -1.047 -0.213  -1.114 -0.331  -1.170 -0.454  -1.201 -0.585  -1.148 -0.578  -1.055 -0.478  -0.963 -0.379  -0.876 -0.274  -0.790 -0.169  -0.702 -0.065  -0.608 0.033  -0.514 0.132  -0.421 0.230  -0.327 0.328  -0.234 0.427  -0.140 0.526  -0.043 0.620  0.076 0.685  0.205 0.715  0.284 0.632  0.286 0.497  0.272 0.361  0.255 0.227  0.245 0.091  0.236 -0.045  0.288 -0.165  0.363 -0.277  0.471 -0.360  0.579 -0.443  0.713 -0.464  0.848 -0.485  0.982 -0.505  1.117 -0.501  1.251 -0.484  1.386 -0.467  1.521 -0.449  1.654 -0.421  1.786 -0.388  1.918 -0.355  2.050 -0.322
3#apb#apb35#app3577/P  0.016 0.354  -0.056 0.201  -0.116 0.044  -0.165 -0.117  -0.217 -0.277  -0.269 -0.437  -0.316 -0.599  -0.363 -0.761  -0.414 -0.922  -0.472 -1.079  -0.549 -1.229  -0.625 -1.379  -0.749 -1.477  -0.860 -1.360  -0.880 -1.193  -0.872 -1.025  -0.854 -0.858  -0.816 -0.694  -0.775 -0.531  -0.726 -0.369  -0.678 -0.208  -0.608 -0.056  -0.528 0.092  -0.447 0.240  -0.354 0.381  -0.261 0.521  -0.167 0.661  -0.047 0.779  0.076 0.894  0.200 1.008  0.346 1.092  0.492 1.176  0.655 1.215  0.820 1.224  0.984 1.188  1.132 1.106  1.215 0.964  1.200 0.802  1.160 0.639  1.080 0.491  0.999 0.343  0.884 0.220  0.768 0.098  0.628 0.006  0.484 -0.082  0.333 -0.156  0.179 -0.225  0.013 -0.240  -0.155 -0.241  -0.323 -0.225
3#apb#apb35#app3577/r  -1.528 -1.192  -1.457 -1.095  -1.376 -1.003  -1.294 -0.911  -1.213 -0.819  -1.131 -0.727  -1.050 -0.636  -0.968 -0.544  -0.886 -0.452  -0.804 -0.361  -0.721 -0.271  -0.639 -0.180  -0.556 -0.089  -0.473 0.002  -0.390 0.092  -0.307 0.183  -0.224 0.273  -0.141 0.364  -0.059 0.454  0.018 0.550  0.093 0.647  0.168 0.744  0.243 0.842  0.318 0.939  0.403 1.028  0.490 1.115  0.564 1.209  0.604 1.197  0.572 1.081  0.529 0.967  0.526 0.844  0.532 0.722  0.556 0.602  0.585 0.483  0.650 0.379  0.736 0.292  0.820 0.203  0.857 0.088  0.838 -0.032  0.797 -0.147  0.728 -0.248  0.652 -0.344  0.573 -0.438  0.492 -0.531  0.417 -0.628  0.346 -0.727  0.283 -0.833  0.224 -0.941  0.244 -1.057  0.360 -1.096
3#apb#apb35#app3577/a  0.954 1.261  0.783 1.307  0.612 1.285  0.442 1.237  0.303 1.127  0.165 1.016  0.027 0.904  -0.109 0.790  -0.245 0.676  -0.381 0.562  -0.512 0.443  -0.640 0.320  -0.768 0.197  -0.896 0.075  -1.005 -0.065  -1.114 -0.205  -1.222 -0.345  -1.305 -0.502  -1.371 -0.663  -1.363 -0.836  -1.216 -0.935  -1.044 -0.971  -0.874 -0.958  -0.711 -0.887  -0.549 -0.816  -0.393 -0.732  -0.241 -0.641  -0.089 -0.550  0.054 -0.446  0.184 -0.326  0.315 -0.206  0.445 -0.086  0.574 0.036  0.703 0.158  0.831 0.280  0.948 0.414  1.057 0.553  1.048 0.593  0.912 0.479  0.785 0.357  0.678 0.215  0.572 0.073  0.461 -0.065  0.346 -0.201  0.276 -0.360  0.238 -0.528  0.340 -0.674  0.493 -0.745  0.665 -0.788  0.837 -0.831
3#apb#apb35#app3577/t  0.528 1.342  0.680 1.479  0.600 1.336  0.515 1.151  0.399 0.982  0.282 0.815  0.162 0.649  0.043 0.483  -0.072 0.314  -0.180 0.141  -0.269 -0.043  -0.358 -0.227  -0.423 -0.421  -0.484 -0.615  -0.484 -0.819  -0.432 -1.015  -0.312 -1.173  -0.136 -1.252  0.068 -1.270  0.265 -1.229  0.459 -1.167  0.651 -1.096  0.840 -1.018  1.014 -0.915  1.175 -0.789  1.240 -0.676  1.051 -0.597  0.863 -0.518  0.674 -0.439  0.486 -0.360  0.298 -0.281  0.109 -0.202  -0.079 -0.123  -0.268 -0.044  -0.456 0.035  -0.645 0.114  -0.833 0.193  -1.022 0.272  -1.210 0.351  -1.398 0.430  -1.241 0.474  -1.041 0.518  -0.841 0.560  -0.640 0.597  -0.437 0.614  -0.233 0.631  -0.030 0.654  0.172 0.686  0.373 0.718  0.575 0.750
