2#apb#apb09#app0903/P  -0.426 0.409  -0.411 0.230  -0.411 0.051  -0.411 -0.128  -0.411 -0.307  -0.411 -0.486  -0.421 -0.664  -0.435 -0.843  -0.442 -1.021  -0.442 -1.200  -0.420 -1.378  -0.454 -1.452  -0.496 -1.278  -0.538 -1.104  -0.573 -0.929  -0.590 -0.750  -0.608 -0.572  -0.620 -0.394  -0.629 -0.215  -0.639 -0.036  -0.639 0.142  -0.615 0.319  -0.590 0.497  -0.541 0.668  -0.482 0.837  -0.373 0.977  -0.255 1.112  -0.097 1.195  0.064 1.270  0.243 1.277  0.421 1.283  0.580 1.200  0.738 1.117  0.860 0.986  0.979 0.853  1.077 0.704  1.167 0.549  1.209 0.377  1.224 0.200  1.201 0.023  1.093 -0.119  0.961 -0.233  0.799 -0.309  0.631 -0.372  0.463 -0.431  0.285 -0.452  0.107 -0.462  -0.069 -0.431  -0.241 -0.383  -0.411 -0.326
2#apb#apb09#app0903/r  -0.564 0.263  -0.553 0.168  -0.565 0.065  -0.572 -0.039  -0.579 -0.142  -0.586 -0.246  -0.598 -0.350  -0.609 -0.453  -0.621 -0.556  -0.620 -0.660  -0.607 -0.763  -0.593 -0.866  -0.576 -0.968  -0.556 -1.070  -0.543 -1.173  -0.529 -1.271  -0.520 -1.182  -0.497 -1.081  -0.473 -0.979  -0.449 -0.878  -0.425 -0.777  -0.401 -0.676  -0.377 -0.575  -0.352 -0.474  -0.324 -0.374  -0.287 -0.276  -0.250 -0.179  -0.213 -0.082  -0.176 0.015  -0.116 0.099  -0.051 0.180  0.015 0.261  0.081 0.341  0.150 0.419  0.221 0.495  0.292 0.570  0.363 0.646  0.439 0.716  0.528 0.771  0.616 0.826  0.704 0.882  0.798 0.924  0.897 0.955  0.996 0.986  1.096 1.017  1.195 1.048  1.295 1.079  1.395 1.103  1.498 1.120  1.601 1.138
2#apb#apb09#app0903/e  -0.480 -0.077  -0.338 -0.060  -0.199 -0.020  -0.063 0.026  0.068 0.087  0.199 0.148  0.310 0.239  0.420 0.333  0.530 0.426  0.639 0.520  0.749 0.614  0.830 0.732  0.906 0.855  0.959 0.988  0.923 1.111  0.798 1.150  0.654 1.147  0.515 1.106  0.377 1.066  0.243 1.014  0.112 0.952  -0.018 0.890  -0.144 0.821  -0.248 0.722  -0.353 0.622  -0.457 0.523  -0.562 0.423  -0.647 0.307  -0.732 0.190  -0.817 0.074  -0.899 -0.044  -0.947 -0.181  -0.995 -0.317  -0.990 -0.449  -0.926 -0.578  -0.861 -0.707  -0.757 -0.806  -0.649 -0.901  -0.540 -0.996  -0.404 -1.037  -0.263 -1.067  -0.122 -1.096  0.022 -1.111  0.165 -1.125  0.309 -1.135  0.452 -1.121  0.596 -1.107  0.738 -1.087  0.878 -1.050  1.017 -1.013
2#apb#apb09#app0903/s  0.312 1.044  0.211 1.100  0.101 1.130  -0.015 1.138  -0.130 1.138  -0.246 1.132  -0.362 1.126  -0.471 1.087  -0.580 1.046  -0.689 1.006  -0.798 0.966  -0.854 0.868  -0.855 0.752  -0.808 0.656  -0.726 0.574  -0.624 0.522  -0.517 0.477  -0.410 0.432  -0.297 0.404  -0.184 0.379  -0.071 0.353  0.038 0.315  0.147 0.274  0.255 0.233  0.359 0.181  0.459 0.123  0.559 0.065  0.651 -0.005  0.736 -0.084  0.821 -0.163  0.877 -0.264  0.928 -0.368  0.909 -0.482  0.870 -0.587  0.788 -0.669  0.706 -0.751  0.614 -0.820  0.514 -0.879  0.414 -0.938  0.311 -0.990  0.206 -1.040  0.101 -1.089  -0.008 -1.124  -0.122 -1.146  -0.236 -1.168  -0.351 -1.186  -0.466 -1.201  -0.581 -1.210  -0.697 -1.210  -0.791 -1.145
2#apb#apb09#app0903/i  -0.204 1.668  -0.173 1.606  -0.142 1.543  -0.111 1.481  -0.079 1.419  -0.059 1.353  -0.046 1.285  -0.034 1.216  -0.021 1.148  -0.009 1.079  0.004 1.011  0.004 0.941  0.004 0.872  0.004 0.802  0.004 0.732  0.004 0.663  0.004 0.593  0.004 0.523  0.004 0.454  0.004 0.384  0.004 0.315  0.004 0.245  0.004 0.175  0.004 0.106  0.004 0.036  0.004 -0.033  0.004 -0.103  0.004 -0.173  0.004 -0.242  0.004 -0.312  0.004 -0.382  0.004 -0.451  0.004 -0.521  0.004 -0.590  0.004 -0.660  0.008 -0.729  0.015 -0.799  0.022 -0.868  0.029 -0.937  0.036 -1.006  0.038 -1.076  0.038 -1.146  0.038 -1.215  0.038 -1.285  0.038 -1.354  0.054 -1.421  0.076 -1.488  0.098 -1.554  0.120 -1.620  0.142 -1.686
2#apb#apb09#app0903/d  0.303 1.624  0.298 1.458  0.338 1.295  0.389 1.135  0.440 0.974  0.492 0.814  0.543 0.654  0.597 0.494  0.650 0.334  0.700 0.173  0.749 0.012  0.782 -0.153  0.804 -0.320  0.832 -0.485  0.826 -0.653  0.748 -0.631  0.654 -0.492  0.582 -0.340  0.505 -0.191  0.418 -0.046  0.332 0.098  0.231 0.233  0.123 0.362  0.015 0.491  -0.114 0.599  -0.249 0.700  -0.398 0.766  -0.565 0.794  -0.723 0.750  -0.870 0.672  -0.994 0.558  -1.088 0.421  -1.166 0.272  -1.190 0.107  -1.205 -0.061  -1.145 -0.218  -1.085 -0.376  -0.979 -0.506  -0.870 -0.635  -0.744 -0.744  -0.607 -0.843  -0.468 -0.936  -0.310 -0.994  -0.151 -1.051  0.016 -1.066  0.184 -1.079  0.350 -1.061  0.515 -1.026  0.674 -0.971  0.832 -0.912
2#apb#apb09#app0903/e  -0.350 -0.091  -0.212 -0.087  -0.077 -0.058  0.057 -0.028  0.181 0.033  0.304 0.095  0.412 0.180  0.515 0.272  0.619 0.362  0.726 0.450  0.816 0.552  0.887 0.670  0.873 0.799  0.832 0.931  0.739 1.026  0.627 1.105  0.490 1.126  0.354 1.139  0.218 1.115  0.082 1.091  -0.044 1.039  -0.165 0.972  -0.286 0.906  -0.399 0.829  -0.494 0.728  -0.589 0.628  -0.683 0.527  -0.749 0.406  -0.810 0.283  -0.872 0.159  -0.870 0.022  -0.864 -0.116  -0.857 -0.254  -0.817 -0.384  -0.764 -0.511  -0.710 -0.638  -0.628 -0.748  -0.534 -0.849  -0.440 -0.950  -0.330 -1.032  -0.218 -1.113  -0.096 -1.171  0.040 -1.195  0.176 -1.219  0.313 -1.217  0.451 -1.210  0.589 -1.203  0.721 -1.165  0.853 -1.123  0.985 -1.081
2#apb#apb09#app0903/n  -0.839 0.274  -0.860 0.156  -0.878 0.038  -0.878 -0.081  -0.878 -0.201  -0.878 -0.321  -0.878 -0.440  -0.878 -0.560  -0.878 -0.679  -0.878 -0.799  -0.878 -0.918  -0.878 -0.997  -0.861 -0.879  -0.836 -0.763  -0.807 -0.647  -0.771 -0.533  -0.735 -0.419  -0.698 -0.305  -0.650 -0.195  -0.602 -0.086  -0.553 0.023  -0.505 0.133  -0.441 0.232  -0.366 0.325  -0.290 0.418  -0.215 0.511  -0.136 0.600  -0.038 0.668  0.060 0.737  0.157 0.806  0.270 0.841  0.387 0.866  0.505 0.880  0.625 0.880  0.722 0.826  0.806 0.742  0.880 0.648  0.945 0.548  1.009 0.447  1.047 0.334  1.079 0.219  1.111 0.104  1.128 -0.014  1.141 -0.133  1.155 -0.252  1.163 -0.371  1.170 -0.490  1.177 -0.610  1.206 -0.726  1.235 -0.842
2#apb#apb09#app0903/t  -1.466 0.003  -1.323 -0.033  -1.160 -0.066  -0.997 -0.093  -0.834 -0.118  -0.671 -0.144  -0.506 -0.155  -0.341 -0.155  -0.176 -0.155  -0.011 -0.148  0.152 -0.120  0.315 -0.093  0.479 -0.069  0.643 -0.051  0.807 -0.032  0.971 -0.008  0.999 0.067  0.893 0.193  0.787 0.320  0.680 0.446  0.574 0.573  0.468 0.700  0.361 0.826  0.255 0.953  0.149 1.079  0.042 1.206  -0.064 1.332  -0.170 1.459  -0.171 1.370  -0.126 1.211  -0.091 1.050  -0.075 0.885  -0.059 0.721  -0.045 0.556  -0.031 0.391  -0.019 0.227  -0.019 0.061  -0.019 -0.104  -0.019 -0.269  -0.008 -0.434  0.006 -0.599  0.021 -0.764  0.006 -0.928  -0.010 -1.093  -0.019 -1.258  -0.019 -1.423  -0.019 -1.588  -0.019 -1.753  -0.047 -1.915  -0.078 -2.059
2#apb#apb09#app0903/A  -0.751 0.756  -0.724 0.965  -0.742 0.717  -0.754 0.468  -0.795 0.223  -0.831 -0.024  -0.848 -0.272  -0.866 -0.521  -0.885 -0.769  -0.899 -1.018  -0.889 -1.266  -0.760 -1.082  -0.644 -0.863  -0.546 -0.634  -0.489 -0.392  -0.445 -0.147  -0.408 0.099  -0.375 0.346  -0.324 0.589  -0.252 0.828  -0.156 1.055  -0.015 1.260  0.143 1.452  0.379 1.441  0.571 1.285  0.710 1.079  0.808 0.852  0.890 0.616  0.975 0.382  1.041 0.142  1.095 -0.101  1.150 -0.344  1.181 -0.591  1.208 -0.838  1.091 -0.993  0.868 -0.881  0.646 -0.769  0.423 -0.657  0.201 -0.545  -0.021 -0.432  -0.244 -0.320  -0.466 -0.208  -0.689 -0.096  -0.541 -0.125  -0.292 -0.125  -0.042 -0.125  0.207 -0.125  0.456 -0.125  0.703 -0.102  0.949 -0.065
2#apb#apb09#app0903/s  0.768 0.911  0.648 0.971  0.521 0.996  0.387 0.996  0.254 0.996  0.121 0.987  -0.012 0.971  -0.144 0.955  -0.277 0.939  -0.409 0.918  -0.540 0.895  -0.672 0.871  -0.803 0.846  -0.932 0.811  -1.047 0.758  -1.009 0.658  -0.907 0.574  -0.788 0.512  -0.670 0.450  -0.552 0.388  -0.429 0.338  -0.302 0.295  -0.175 0.253  -0.049 0.211  0.078 0.168  0.200 0.114  0.322 0.060  0.444 0.007  0.566 -0.047  0.665 -0.134  0.755 -0.232  0.842 -0.333  0.911 -0.448  0.958 -0.568  0.958 -0.702  0.879 -0.805  0.790 -0.904  0.675 -0.967  0.551 -1.018  0.428 -1.068  0.296 -1.082  0.162 -1.089  0.029 -1.096  -0.104 -1.097  -0.238 -1.097  -0.371 -1.094  -0.502 -1.069  -0.634 -1.045  -0.760 -1.004  -0.882 -0.949
