2#apb#apb41#app4191/R  -0.369 1.342  -0.233 1.262  -0.135 1.087  -0.084 0.898  -0.073 0.698  -0.061 0.497  -0.050 0.296  -0.039 0.096  -0.049 -0.104  -0.070 -0.304  -0.088 -0.503  -0.025 -0.694  0.021 -0.887  0.027 -1.088  0.076 -1.181  0.038 -0.994  -0.078 -0.835  -0.182 -0.664  -0.240 -0.472  -0.298 -0.279  -0.355 -0.087  -0.413 0.105  -0.471 0.298  -0.528 0.490  -0.586 0.683  -0.592 0.883  -0.592 1.083  -0.545 1.279  -0.496 1.473  -0.459 1.402  -0.427 1.204  -0.396 1.005  -0.364 0.807  -0.333 0.609  -0.301 0.410  -0.269 0.212  -0.238 0.014  -0.206 -0.185  -0.174 -0.383  0.022 -0.420  0.219 -0.456  0.417 -0.492  0.608 -0.553  0.777 -0.655  0.923 -0.792  1.054 -0.944  1.207 -1.075  1.351 -1.214  1.471 -1.373  1.608 -1.498
2#apb#apb41#app4191/a  0.741 1.026  0.589 1.047  0.438 1.068  0.286 1.089  0.134 1.110  -0.017 1.131  -0.156 1.089  -0.288 1.010  -0.419 0.931  -0.535 0.835  -0.630 0.715  -0.724 0.594  -0.815 0.471  -0.883 0.334  -0.952 0.197  -1.020 0.060  -1.074 -0.083  -1.125 -0.227  -1.166 -0.372  -1.141 -0.524  -1.115 -0.675  -1.021 -0.793  -0.920 -0.908  -0.771 -0.935  -0.619 -0.958  -0.468 -0.954  -0.318 -0.927  -0.167 -0.901  -0.025 -0.851  0.101 -0.764  0.226 -0.677  0.341 -0.577  0.444 -0.463  0.547 -0.350  0.624 -0.219  0.657 -0.073  0.657 0.080  0.647 0.231  0.566 0.358  0.438 0.382  0.405 0.236  0.441 0.088  0.539 -0.029  0.655 -0.127  0.780 -0.215  0.917 -0.271  1.070 -0.283  1.223 -0.295  1.375 -0.309  1.528 -0.322
2#apb#apb41#app4191/b  -0.890 1.788  -0.855 1.632  -0.821 1.476  -0.779 1.322  -0.725 1.171  -0.677 1.019  -0.646 0.862  -0.615 0.705  -0.587 0.548  -0.566 0.390  -0.544 0.231  -0.520 0.074  -0.489 -0.083  -0.457 -0.240  -0.418 -0.394  -0.363 -0.545  -0.274 -0.650  -0.184 -0.531  -0.117 -0.386  -0.050 -0.241  0.018 -0.096  0.080 0.051  0.133 0.201  0.187 0.352  0.270 0.487  0.366 0.607  0.522 0.571  0.678 0.535  0.833 0.499  0.983 0.448  1.100 0.346  1.171 0.203  1.194 0.048  1.179 -0.109  1.120 -0.257  1.037 -0.393  0.945 -0.523  0.811 -0.610  0.676 -0.696  0.530 -0.758  0.378 -0.806  0.226 -0.854  0.069 -0.887  -0.088 -0.915  -0.245 -0.944  -0.404 -0.954  -0.564 -0.954  -0.724 -0.954  -0.878 -0.923  -1.026 -0.863
2#apb#apb41#app4191/b  -0.966 1.873  -0.918 1.734  -0.870 1.594  -0.822 1.455  -0.774 1.315  -0.726 1.176  -0.674 1.037  -0.622 0.899  -0.587 0.756  -0.558 0.611  -0.529 0.467  -0.503 0.321  -0.477 0.176  -0.449 0.031  -0.415 -0.112  -0.381 -0.256  -0.361 -0.402  -0.343 -0.549  -0.323 -0.695  -0.293 -0.690  -0.281 -0.543  -0.261 -0.397  -0.226 -0.254  -0.190 -0.111  -0.167 0.035  -0.139 0.178  -0.044 0.292  0.101 0.296  0.248 0.282  0.394 0.264  0.541 0.246  0.681 0.212  0.799 0.124  0.930 0.057  1.063 -0.007  1.176 -0.101  1.179 -0.247  1.137 -0.388  1.078 -0.521  0.979 -0.631  0.878 -0.738  0.746 -0.804  0.614 -0.870  0.477 -0.924  0.336 -0.965  0.194 -1.007  0.051 -1.043  -0.092 -1.079  -0.235 -1.068  -0.377 -1.029
2#apb#apb41#app4191/i  -0.167 0.481  -0.131 0.400  -0.115 0.284  -0.094 0.169  -0.073 0.053  -0.043 -0.060  0.005 -0.167  0.053 -0.274  0.094 -0.384  0.123 -0.497  0.151 -0.611  0.180 -0.725  0.205 -0.840  0.229 -0.955  0.252 -1.070  0.266 -1.186  0.266 -1.303  0.266 -1.421  0.266 -1.538  0.246 -1.424  0.226 -1.308  0.206 -1.192  0.186 -1.077  0.166 -0.961  0.146 -0.845  0.126 -0.729  0.105 -0.614  0.085 -0.498  0.065 -0.382  0.045 -0.267  0.025 -0.151  0.005 -0.035  -0.015 0.080  -0.035 0.196  -0.055 0.312  -0.075 0.427  -0.095 0.543  -0.115 0.659  -0.135 0.774  -0.155 0.890  -0.175 1.006  -0.196 1.121  -0.216 1.237  -0.236 1.353  -0.256 1.468  -0.276 1.584  -0.296 1.700  -0.316 1.815  -0.336 1.931  -0.383 2.032
2#apb#apb41#app4191/E  -0.091 1.193  0.105 1.210  0.136 0.922  0.068 0.642  -0.042 0.374  -0.171 0.113  -0.288 -0.153  -0.398 -0.422  -0.501 -0.694  -0.599 -0.968  -0.456 -1.045  -0.180 -0.976  0.111 -0.986  0.400 -0.994  0.690 -0.976  0.978 -0.959  1.168 -0.867  0.881 -0.823  0.593 -0.778  0.306 -0.733  0.019 -0.688  -0.269 -0.643  -0.556 -0.598  -0.843 -0.553  -1.131 -0.508  -1.072 -0.542  -0.784 -0.517  -0.498 -0.462  -0.211 -0.419  0.076 -0.369  0.360 -0.306  0.642 -0.238  0.834 -0.186  0.580 -0.044  0.326 0.097  0.072 0.239  -0.182 0.380  -0.436 0.522  -0.690 0.663  -0.944 0.805  -1.094 0.938  -0.810 0.893  -0.521 0.927  -0.231 0.954  0.059 0.977  0.347 1.015  0.632 1.069  0.918 1.123  1.205 1.171  1.491 1.219
2#apb#apb41#app4191/s  0.475 1.009  0.572 1.117  0.447 1.139  0.304 1.118  0.172 1.052  0.039 0.986  -0.093 0.920  -0.226 0.857  -0.360 0.795  -0.494 0.732  -0.628 0.669  -0.760 0.603  -0.892 0.537  -1.024 0.470  -1.157 0.404  -1.105 0.311  -0.963 0.283  -0.816 0.269  -0.668 0.263  -0.521 0.263  -0.373 0.263  -0.225 0.263  -0.077 0.256  0.070 0.248  0.218 0.239  0.365 0.231  0.508 0.195  0.651 0.156  0.790 0.108  0.925 0.047  1.059 -0.014  1.142 -0.130  1.156 -0.274  1.128 -0.408  1.010 -0.498  0.893 -0.588  0.776 -0.678  0.652 -0.757  0.523 -0.829  0.394 -0.902  0.265 -0.974  0.126 -1.015  -0.021 -1.035  -0.167 -1.055  -0.314 -1.074  -0.460 -1.094  -0.607 -1.106  -0.755 -1.115  -0.902 -1.123  -1.050 -1.132
2#apb#apb41#app4191/q  0.179 1.037  0.222 1.213  0.172 1.356  0.003 1.416  -0.164 1.376  -0.322 1.288  -0.473 1.188  -0.585 1.045  -0.661 0.885  -0.681 0.705  -0.602 0.560  -0.429 0.536  -0.250 0.511  -0.087 0.561  0.070 0.651  0.163 0.793  0.179 0.972  0.148 1.006  0.081 0.844  0.047 0.666  0.021 0.486  0.001 0.305  -0.018 0.125  -0.040 -0.055  -0.063 -0.236  -0.081 -0.416  -0.096 -0.597  -0.106 -0.778  -0.098 -0.960  -0.090 -1.141  -0.072 -1.322  -0.054 -1.503  0.007 -1.674  0.141 -1.790  0.303 -1.712  0.390 -1.558  0.465 -1.392  0.534 -1.224  0.602 -1.056  0.584 -0.878  0.556 -0.698  0.505 -0.528  0.401 -0.379  0.298 -0.230  0.183 -0.089  0.059 0.044  -0.088 0.145  -0.253 0.214  -0.430 0.200  -0.573 0.088
2#apb#apb41#app4191/.  0.363 1.146  0.363 1.220  0.363 1.294  0.363 1.367  0.356 1.424  0.304 1.372  0.252 1.319  0.200 1.267  0.148 1.215  0.096 1.163  0.068 1.097  0.052 1.025  0.036 0.953  0.020 0.881  0.004 0.809  -0.012 0.737  -0.028 0.666  -0.044 0.594  -0.060 0.522  -0.076 0.450  -0.092 0.378  -0.108 0.306  -0.111 0.232  -0.111 0.158  -0.111 0.085  -0.111 0.011  -0.111 -0.063  -0.111 -0.136  -0.111 -0.210  -0.111 -0.284  -0.111 -0.358  -0.111 -0.431  -0.111 -0.505  -0.111 -0.579  -0.111 -0.653  -0.111 -0.726  -0.111 -0.800  -0.111 -0.874  -0.111 -0.947  -0.111 -1.021  -0.111 -1.095  -0.111 -1.169  -0.111 -1.242  -0.111 -1.316  -0.111 -1.390  -0.085 -1.456  -0.044 -1.517  -0.003 -1.578  0.038 -1.640  0.079 -1.701
2#apb#apb41#app4191/F  -0.154 1.092  -0.188 0.857  -0.264 0.632  -0.343 0.408  -0.412 0.180  -0.478 -0.048  -0.538 -0.278  -0.602 -0.507  -0.672 -0.735  -0.746 -0.961  -0.824 -1.185  -0.894 -1.413  -0.875 -1.386  -0.829 -1.155  -0.796 -0.920  -0.763 -0.684  -0.729 -0.449  -0.696 -0.213  -0.663 0.022  -0.630 0.258  -0.619 0.429  -0.384 0.461  -0.149 0.502  0.081 0.560  0.307 0.633  0.533 0.706  0.762 0.770  0.992 0.833  1.223 0.890  1.455 0.941  1.690 0.973  1.600 0.877  1.403 0.743  1.207 0.610  1.010 0.476  0.813 0.342  0.617 0.209  0.420 0.075  0.223 -0.059  0.026 -0.193  -0.170 -0.326  -0.367 -0.460  -0.564 -0.594  -0.660 -0.678  -0.434 -0.613  -0.222 -0.506  -0.008 -0.402  0.213 -0.314  0.437 -0.235  0.664 -0.164
2#apb#apb41#app4191/a  0.675 0.864  0.620 0.993  0.535 1.077  0.394 1.077  0.254 1.073  0.114 1.062  -0.026 1.051  -0.151 0.999  -0.264 0.916  -0.378 0.834  -0.488 0.746  -0.595 0.655  -0.702 0.564  -0.809 0.474  -0.878 0.352  -0.945 0.228  -1.011 0.104  -1.057 -0.028  -1.095 -0.163  -1.134 -0.298  -1.150 -0.436  -1.150 -0.577  -1.081 -0.685  -0.974 -0.777  -0.846 -0.815  -0.705 -0.824  -0.565 -0.833  -0.427 -0.825  -0.291 -0.789  -0.156 -0.752  -0.021 -0.714  0.088 -0.626  0.197 -0.537  0.305 -0.448  0.411 -0.355  0.516 -0.261  0.599 -0.154  0.644 -0.021  0.683 0.114  0.706 0.251  0.665 0.246  0.721 0.118  0.766 -0.015  0.826 -0.139  0.926 -0.238  1.025 -0.337  1.131 -0.430  1.237 -0.521  1.365 -0.577  1.496 -0.626
