1c#tos#f1#f1012064/a  -0.241 -0.224  -0.223 -0.414  -0.044 -0.344  0.058 -0.178  0.181 -0.013  0.279 0.169  0.392 0.330  0.508 0.467  0.519 0.668  0.582 0.813  0.582 1.021  0.519 1.165  0.315 1.169  0.170 1.232  -0.038 1.232  -0.244 1.229  -0.401 1.106  -0.591 1.026  -0.684 0.876  -0.747 0.694  -0.795 0.520  -0.963 0.421  -1.001 0.222  -1.064 0.029  -1.137 -0.134  -1.191 -0.309  -1.191 -0.517  -1.150 -0.708  -0.977 -0.794  -0.769 -0.794  -0.561 -0.794  -0.416 -0.677  -0.247 -0.604  -0.073 -0.492  0.104 -0.386  0.139 -0.192  0.238 -0.053  0.320 0.137  0.392 0.328  0.456 0.182  0.486 -0.017  0.582 -0.196  0.639 -0.394  0.709 -0.575  0.709 -0.783  0.873 -0.903  1.025 -1.019  1.116 -1.174  1.324 -1.174  1.532 -1.174
1c#tos#f1#f1012064/b  -0.141 1.906  -0.204 1.992  -0.312 2.011  -0.287 1.865  -0.269 1.718  -0.269 1.569  -0.269 1.421  -0.269 1.272  -0.269 1.124  -0.269 0.975  -0.269 0.827  -0.269 0.678  -0.269 0.529  -0.269 0.381  -0.269 0.232  -0.269 0.084  -0.269 -0.065  -0.255 -0.212  -0.227 -0.358  -0.227 -0.506  -0.227 -0.655  -0.227 -0.803  -0.227 -0.952  -0.199 -1.094  -0.141 -1.196  -0.164 -1.079  -0.184 -0.935  -0.184 -0.786  -0.184 -0.638  -0.184 -0.489  -0.143 -0.358  -0.095 -0.221  -0.000 -0.129  0.051 -0.014  0.158 0.027  0.305 0.028  0.436 0.071  0.582 0.058  0.695 -0.022  0.742 -0.159  0.730 -0.295  0.712 -0.436  0.698 -0.583  0.639 -0.697  0.555 -0.812  0.450 -0.917  0.327 -0.996  0.210 -1.072  0.075 -1.124  -0.056 -1.166
1c#tos#f1#f1012064/g  -0.079 0.488  0.059 0.494  0.144 0.605  0.240 0.708  0.306 0.804  0.351 0.913  0.351 1.054  0.315 1.186  0.234 1.283  0.093 1.283  -0.039 1.233  -0.160 1.162  -0.245 1.097  -0.335 1.021  -0.443 0.940  -0.443 0.799  -0.471 0.664  -0.447 0.554  -0.310 0.537  -0.172 0.521  -0.031 0.521  0.110 0.521  0.206 0.583  0.254 0.687  0.252 0.676  0.210 0.546  0.152 0.429  0.152 0.288  0.152 0.147  0.152 0.006  0.152 -0.135  0.152 -0.276  0.152 -0.417  0.157 -0.558  0.186 -0.695  0.186 -0.836  0.186 -0.977  0.186 -1.119  0.186 -1.260  0.153 -1.377  0.086 -1.470  0.073 -1.598  -0.035 -1.631  -0.176 -1.631  -0.295 -1.571  -0.397 -1.498  -0.410 -1.370  -0.410 -1.229  -0.377 -1.102  -0.311 -1.002
1c#tos#f1#f1012064/i  -0.003 1.344  -0.078 1.344  -0.154 1.344  -0.229 1.344  -0.266 1.306  -0.258 1.239  -0.183 1.239  -0.108 1.239  -0.032 1.239  -0.003 1.193  -0.001 1.118  0.011 1.043  0.022 0.969  0.033 0.895  0.045 0.820  0.056 0.746  0.068 0.672  0.079 0.597  0.091 0.523  0.102 0.449  0.102 0.374  0.081 0.303  0.047 0.236  0.014 0.169  -0.003 0.098  -0.003 0.023  -0.003 -0.053  -0.003 -0.128  -0.003 -0.203  -0.003 -0.278  -0.003 -0.353  -0.003 -0.429  -0.003 -0.504  -0.003 -0.579  -0.003 -0.654  -0.003 -0.729  -0.003 -0.805  -0.003 -0.880  -0.003 -0.955  -0.003 -1.030  -0.003 -1.105  -0.003 -1.180  0.031 -1.248  0.049 -1.318  0.051 -1.393  0.085 -1.460  0.102 -1.532  0.102 -1.607  0.102 -1.682  0.102 -1.757
1c#tos#f1#f1012064/j  0.163 1.477  0.041 1.477  -0.081 1.477  -0.017 1.477  0.105 1.477  0.227 1.477  0.349 1.477  0.435 1.441  0.410 1.324  0.365 1.211  0.297 1.113  0.198 1.048  0.163 0.935  0.163 0.813  0.163 0.691  0.163 0.569  0.117 0.493  0.117 0.371  0.117 0.249  0.117 0.127  0.117 0.005  0.117 -0.117  0.117 -0.239  0.132 -0.355  0.218 -0.441  0.266 -0.545  0.299 -0.659  0.332 -0.749  0.344 -0.858  0.344 -0.980  0.299 -1.056  0.233 -1.112  0.202 -1.203  0.080 -1.203  -0.023 -1.248  -0.145 -1.248  -0.246 -1.192  -0.324 -1.119  -0.413 -1.036  -0.483 -0.976  -0.519 -0.889  -0.609 -0.824  -0.609 -0.702  -0.609 -0.580  -0.609 -0.458  -0.575 -0.350  -0.505 -0.254  -0.452 -0.158  -0.349 -0.113  -0.246 -0.067
1c#tos#f1#f1012064/k  -0.114 1.787  -0.206 1.925  -0.374 1.963  -0.346 1.956  -0.345 1.779  -0.310 1.606  -0.300 1.431  -0.300 1.254  -0.300 1.077  -0.300 0.901  -0.300 0.724  -0.300 0.548  -0.300 0.371  -0.300 0.194  -0.300 0.018  -0.300 -0.159  -0.300 -0.335  -0.300 -0.512  -0.300 -0.689  -0.300 -0.865  -0.300 -1.042  -0.300 -1.218  -0.300 -1.395  -0.216 -1.405  -0.116 -1.260  -0.016 -1.115  0.085 -0.969  0.185 -0.824  0.285 -0.678  0.385 -0.533  0.486 -0.388  0.586 -0.242  0.674 -0.093  0.720 0.037  0.578 0.071  0.401 0.071  0.225 0.071  0.048 0.071  -0.129 0.071  -0.295 0.027  -0.378 -0.083  -0.221 -0.156  -0.098 -0.244  0.062 -0.319  0.232 -0.346  0.368 -0.449  0.526 -0.528  0.674 -0.624  0.790 -0.717  0.952 -0.764
1c#tos#f1#f1012064/o  0.624 -0.689  0.554 -0.796  0.432 -0.870  0.288 -0.870  0.143 -0.870  -0.001 -0.870  -0.145 -0.870  -0.290 -0.870  -0.434 -0.870  -0.579 -0.870  -0.675 -0.799  -0.729 -0.665  -0.796 -0.540  -0.916 -0.463  -0.949 -0.339  -0.949 -0.195  -0.949 -0.051  -0.949 0.094  -0.949 0.238  -0.949 0.383  -0.947 0.526  -0.879 0.653  -0.763 0.736  -0.662 0.832  -0.578 0.945  -0.433 0.945  -0.308 1.010  -0.181 1.066  -0.037 1.066  0.108 1.066  0.252 1.066  0.396 1.066  0.541 1.066  0.665 0.999  0.745 0.897  0.804 0.767  0.805 0.623  0.805 0.478  0.805 0.334  0.805 0.189  0.805 0.045  0.772 -0.095  0.745 -0.236  0.745 -0.381  0.701 -0.518  0.624 -0.635  0.603 -0.770  0.500 -0.872  0.398 -0.975  0.382 -1.112
1c#tos#f1#f1012064/q  0.110 1.541  -0.020 1.474  -0.020 1.277  0.008 1.083  0.024 0.889  0.062 0.696  0.067 0.499  0.067 0.302  0.067 0.105  0.067 -0.091  0.067 -0.288  0.099 -0.482  0.110 -0.678  0.110 -0.874  0.110 -1.071  0.110 -1.268  0.110 -1.465  0.150 -1.622  0.232 -1.761  0.283 -1.822  0.295 -1.625  0.308 -1.429  0.321 -1.232  0.335 -1.036  0.348 -0.840  0.361 -0.643  0.375 -0.447  0.388 -0.251  0.401 -0.054  0.415 0.142  0.428 0.339  0.441 0.535  0.455 0.731  0.289 0.761  0.179 0.847  0.069 0.934  -0.041 1.021  -0.202 1.107  -0.390 1.084  -0.569 1.028  -0.669 0.870  -0.800 0.773  -0.886 0.627  -0.886 0.430  -0.830 0.245  -0.729 0.083  -0.575 -0.039  -0.403 -0.106  -0.217 -0.149  -0.020 -0.149
1c#tos#f1#f1012064/r  -0.263 1.515  -0.399 1.570  -0.425 1.451  -0.378 1.310  -0.373 1.163  -0.373 1.014  -0.373 0.866  -0.360 0.720  -0.294 0.587  -0.263 0.446  -0.263 0.297  -0.263 0.149  -0.263 0.000  -0.263 -0.148  -0.237 -0.294  -0.208 -0.439  -0.208 -0.587  -0.208 -0.736  -0.208 -0.884  -0.208 -1.033  -0.208 -1.181  -0.147 -1.306  -0.100 -1.447  -0.098 -1.595  -0.098 -1.600  -0.137 -1.468  -0.153 -1.326  -0.153 -1.178  -0.153 -1.029  -0.153 -0.880  -0.153 -0.732  -0.153 -0.583  -0.153 -0.435  -0.153 -0.286  -0.137 -0.140  -0.098 0.002  -0.098 0.150  -0.064 0.285  0.041 0.390  0.156 0.471  0.232 0.544  0.342 0.582  0.469 0.636  0.586 0.686  0.698 0.746  0.846 0.746  0.995 0.746  1.143 0.746  1.292 0.746  1.441 0.746
1c#tos#f1#f1012064/s  0.921 0.694  0.867 0.766  0.777 0.803  0.758 0.910  0.701 1.021  0.595 1.041  0.554 1.158  0.443 1.184  0.317 1.184  0.191 1.184  0.064 1.184  -0.062 1.184  -0.131 1.111  -0.162 0.988  -0.271 0.966  -0.375 0.912  -0.439 0.850  -0.439 0.724  -0.494 0.652  -0.548 0.548  -0.548 0.421  -0.548 0.295  -0.458 0.259  -0.439 0.151  -0.408 0.032  -0.332 -0.067  -0.227 -0.118  -0.155 -0.222  -0.068 -0.308  0.050 -0.340  0.172 -0.352  0.277 -0.403  0.377 -0.456  0.377 -0.583  0.431 -0.687  0.431 -0.813  0.431 -0.939  0.416 -1.056  0.300 -1.102  0.174 -1.102  0.157 -1.212  0.043 -1.266  -0.084 -1.266  -0.210 -1.266  -0.336 -1.266  -0.456 -1.249  -0.557 -1.195  -0.619 -1.086  -0.690 -0.983  -0.766 -0.885
1c#tos#f1#f1012064/t  -0.721 0.405  -0.871 0.361  -0.938 0.261  -0.800 0.231  -0.642 0.274  -0.482 0.318  -0.323 0.361  -0.155 0.361  0.013 0.361  0.181 0.361  0.349 0.361  0.517 0.361  0.685 0.361  0.647 0.484  0.567 0.632  0.488 0.780  0.408 0.928  0.329 1.076  0.249 1.223  0.169 1.371  0.073 1.491  -0.095 1.491  -0.069 1.351  -0.069 1.183  -0.069 1.015  -0.069 0.847  -0.069 0.679  -0.069 0.511  -0.105 0.347  -0.112 0.180  -0.112 0.012  -0.112 -0.156  -0.144 -0.320  -0.156 -0.487  -0.156 -0.655  -0.156 -0.823  -0.156 -0.991  -0.156 -1.159  -0.156 -1.327  -0.112 -1.451  -0.069 -1.576  0.037 -1.638  0.205 -1.638  0.340 -1.558  0.366 -1.396  0.409 -1.246  0.409 -1.078  0.325 -0.945  0.229 -0.812  0.148 -0.725
