3#apa#apa10#app1027/w  -1.068 0.448  -1.112 0.536  -1.157 0.625  -1.201 0.714  -1.218 0.687  -1.218 0.588  -1.218 0.489  -1.200 0.393  -1.168 0.299  -1.137 0.205  -1.106 0.111  -1.074 0.017  -1.033 -0.072  -0.989 -0.161  -0.944 -0.250  -0.878 -0.302  -0.779 -0.302  -0.680 -0.302  -0.581 -0.302  -0.482 -0.302  -0.387 -0.275  -0.293 -0.244  -0.199 -0.213  -0.105 -0.181  -0.013 -0.147  0.057 -0.077  0.127 -0.007  0.197 0.063  0.267 0.133  0.337 0.203  0.407 0.273  0.477 0.253  0.547 0.183  0.618 0.113  0.688 0.043  0.748 -0.034  0.793 -0.123  0.837 -0.211  0.881 -0.300  0.951 -0.370  1.021 -0.440  1.115 -0.452  1.205 -0.430  1.275 -0.360  1.345 -0.290  1.415 -0.220  1.483 -0.149  1.483 -0.050  1.483 0.049  1.483 0.148
3#apa#apa10#app1027/a  0.609 0.858  0.483 0.984  0.358 1.110  0.215 1.131  0.055 1.052  -0.104 0.972  -0.263 0.892  -0.404 0.786  -0.530 0.660  -0.656 0.535  -0.781 0.409  -0.907 0.283  -1.033 0.157  -1.159 0.031  -1.274 -0.100  -1.274 -0.278  -1.274 -0.456  -1.274 -0.634  -1.174 -0.712  -0.996 -0.712  -0.842 -0.633  -0.694 -0.534  -0.545 -0.435  -0.397 -0.337  -0.249 -0.238  -0.101 -0.139  0.038 -0.028  0.163 0.098  0.289 0.224  0.415 0.350  0.541 0.476  0.609 0.625  0.609 0.804  0.609 0.734  0.609 0.556  0.535 0.395  0.455 0.236  0.376 0.076  0.296 -0.083  0.295 -0.261  0.314 -0.435  0.393 -0.594  0.473 -0.753  0.553 -0.912  0.661 -1.026  0.839 -1.026  1.017 -1.026  1.195 -1.026  1.373 -1.026  1.551 -1.026
3#apa#apa10#app1027/s  -1.493 -0.409  -1.609 -0.409  -1.668 -0.466  -1.668 -0.581  -1.555 -0.584  -1.439 -0.584  -1.324 -0.584  -1.208 -0.584  -1.103 -0.553  -1.011 -0.484  -0.918 -0.415  -0.826 -0.345  -0.733 -0.276  -0.641 -0.207  -0.549 -0.137  -0.456 -0.068  -0.360 -0.003  -0.264 0.061  -0.168 0.125  -0.072 0.189  0.024 0.253  0.120 0.317  0.216 0.381  0.313 0.445  0.409 0.509  0.505 0.573  0.601 0.637  0.704 0.689  0.807 0.741  0.911 0.793  1.022 0.813  1.126 0.801  1.126 0.686  1.126 0.570  1.123 0.455  1.087 0.346  1.050 0.236  1.013 0.127  0.977 0.017  0.927 -0.084  0.845 -0.166  0.760 -0.243  0.657 -0.295  0.554 -0.346  0.450 -0.398  0.342 -0.381  0.232 -0.344  0.123 -0.308  0.013 -0.271  -0.096 -0.235
3#apa#apa10#app1027/o  -0.012 0.425  -0.012 0.578  -0.107 0.635  -0.261 0.635  -0.414 0.635  -0.528 0.540  -0.636 0.432  -0.723 0.306  -0.808 0.178  -0.893 0.051  -0.978 -0.077  -1.063 -0.204  -1.065 -0.357  -1.065 -0.510  -1.065 -0.663  -1.065 -0.817  -0.948 -0.898  -0.811 -0.966  -0.674 -1.035  -0.528 -1.021  -0.379 -0.984  -0.230 -0.947  -0.082 -0.909  0.067 -0.872  0.214 -0.832  0.351 -0.763  0.488 -0.695  0.625 -0.626  0.763 -0.558  0.900 -0.489  1.037 -0.420  1.108 -0.286  1.176 -0.149  1.245 -0.012  1.209 0.133  1.161 0.278  1.112 0.423  1.064 0.569  0.962 0.662  0.817 0.710  0.672 0.758  0.526 0.807  0.379 0.846  0.226 0.846  0.073 0.846  -0.080 0.846  -0.232 0.841  -0.369 0.772  -0.506 0.704  -0.644 0.635
3#apa#apa10#app1027/n  -0.112 0.095  -0.231 0.135  -0.351 0.175  -0.471 0.215  -0.590 0.255  -0.710 0.294  -0.830 0.334  -0.949 0.374  -1.041 0.295  -1.130 0.206  -1.219 0.117  -1.241 -0.001  -1.241 -0.127  -1.211 -0.246  -1.155 -0.359  -1.098 -0.472  -1.042 -0.584  -0.986 -0.697  -0.912 -0.705  -0.823 -0.616  -0.734 -0.527  -0.645 -0.438  -0.556 -0.349  -0.466 -0.260  -0.374 -0.174  -0.269 -0.104  -0.164 -0.034  -0.059 0.036  0.046 0.106  0.150 0.176  0.255 0.246  0.360 0.316  0.466 0.384  0.579 0.440  0.692 0.497  0.805 0.553  0.917 0.610  1.027 0.649  1.117 0.560  1.206 0.471  1.295 0.382  1.299 0.257  1.299 0.131  1.299 0.005  1.299 -0.121  1.299 -0.247  1.299 -0.373  1.299 -0.499  1.299 -0.626  1.299 -0.752
3#apa#apa10#app1027/l  0.197 1.273  0.197 1.345  0.197 1.417  0.197 1.489  0.172 1.454  0.140 1.389  0.108 1.325  0.076 1.261  0.044 1.196  0.011 1.132  -0.021 1.068  -0.034 0.999  -0.034 0.927  -0.034 0.855  -0.034 0.783  -0.034 0.711  -0.034 0.639  -0.034 0.567  -0.034 0.495  -0.034 0.423  -0.034 0.351  -0.034 0.280  -0.034 0.208  -0.034 0.136  -0.034 0.064  -0.034 -0.008  -0.034 -0.080  -0.034 -0.152  -0.034 -0.224  -0.034 -0.296  -0.034 -0.368  -0.034 -0.440  -0.034 -0.512  -0.034 -0.584  -0.034 -0.656  -0.034 -0.728  -0.034 -0.799  -0.034 -0.871  -0.034 -0.943  -0.034 -1.015  -0.034 -1.087  -0.034 -1.159  -0.034 -1.231  -0.034 -1.303  -0.034 -1.375  -0.034 -1.447  -0.034 -1.519  -0.034 -1.591  -0.034 -1.663  -0.034 -1.735
3#apa#apa10#app1027/y  -0.585 0.865  -0.707 0.926  -0.829 0.987  -0.945 1.005  -1.041 0.909  -1.086 0.790  -1.086 0.654  -1.076 0.521  -0.979 0.424  -0.867 0.364  -0.730 0.364  -0.594 0.364  -0.470 0.421  -0.348 0.483  -0.224 0.540  -0.094 0.583  0.035 0.626  0.165 0.670  0.283 0.731  0.380 0.828  0.501 0.865  0.583 0.810  0.594 0.676  0.656 0.554  0.717 0.431  0.778 0.309  0.839 0.187  0.900 0.064  0.917 -0.068  0.917 -0.205  0.917 -0.342  0.915 -0.478  0.871 -0.608  0.828 -0.738  0.785 -0.867  0.726 -0.983  0.603 -1.044  0.481 -1.106  0.352 -1.138  0.215 -1.138  0.079 -1.138  -0.058 -1.138  -0.195 -1.138  -0.287 -1.066  -0.348 -0.944  -0.409 -0.821  -0.455 -0.693  -0.498 -0.563  -0.542 -0.433  -0.585 -0.303
3#apa#apa10#app1027/t  0.063 1.415  0.063 1.571  0.063 1.727  0.063 1.707  0.063 1.551  0.063 1.395  0.063 1.239  0.063 1.083  0.045 0.928  0.020 0.774  -0.006 0.620  -0.031 0.467  -0.057 0.313  -0.083 0.159  -0.108 0.005  -0.126 -0.150  -0.126 -0.306  -0.126 -0.462  -0.126 -0.618  -0.126 -0.774  -0.126 -0.930  -0.126 -1.086  -0.126 -1.242  -0.126 -1.398  -0.126 -1.554  -0.161 -1.541  -0.222 -1.398  -0.284 -1.254  -0.345 -1.111  -0.407 -0.967  -0.468 -0.824  -0.530 -0.681  -0.591 -0.537  -0.653 -0.394  -0.696 -0.247  -0.685 -0.098  -0.545 -0.028  -0.406 0.042  -0.260 0.087  -0.104 0.087  0.052 0.087  0.205 0.115  0.358 0.146  0.511 0.176  0.664 0.207  0.817 0.237  0.970 0.268  1.113 0.327  1.253 0.397  1.392 0.466
3#apa#apa10#app1027/o  0.547 0.851  0.411 0.851  0.275 0.851  0.140 0.851  0.004 0.851  -0.126 0.835  -0.222 0.739  -0.318 0.642  -0.414 0.546  -0.529 0.477  -0.651 0.416  -0.772 0.355  -0.894 0.295  -1.015 0.234  -1.094 0.147  -1.094 0.011  -1.094 -0.125  -1.094 -0.261  -1.094 -0.397  -1.094 -0.533  -1.094 -0.669  -1.080 -0.790  -0.944 -0.790  -0.808 -0.790  -0.672 -0.790  -0.536 -0.790  -0.400 -0.790  -0.265 -0.790  -0.129 -0.790  0.007 -0.790  0.143 -0.790  0.273 -0.763  0.394 -0.703  0.516 -0.642  0.637 -0.581  0.759 -0.520  0.877 -0.457  0.920 -0.328  0.963 -0.199  1.006 -0.070  1.049 0.059  1.092 0.188  1.135 0.317  1.178 0.445  1.155 0.547  1.033 0.608  0.912 0.669  0.790 0.729  0.669 0.790  0.547 0.851
3#apa#apa10#app1027/o  -0.079 0.669  -0.161 0.751  -0.243 0.833  -0.325 0.914  -0.417 0.931  -0.521 0.880  -0.624 0.828  -0.728 0.776  -0.831 0.724  -0.935 0.673  -0.943 0.561  -0.943 0.446  -0.943 0.330  -0.943 0.214  -0.943 0.098  -0.943 -0.018  -0.943 -0.133  -0.918 -0.243  -0.866 -0.347  -0.815 -0.451  -0.763 -0.554  -0.711 -0.658  -0.659 -0.761  -0.549 -0.770  -0.433 -0.770  -0.317 -0.770  -0.202 -0.770  -0.086 -0.770  0.030 -0.770  0.146 -0.770  0.262 -0.770  0.377 -0.770  0.493 -0.770  0.576 -0.691  0.658 -0.609  0.740 -0.527  0.822 -0.445  0.904 -0.363  0.985 -0.281  1.067 -0.199  1.072 -0.086  1.072 0.030  1.072 0.146  1.072 0.262  1.072 0.378  1.072 0.493  1.072 0.609  1.072 0.725  1.072 0.841  1.072 0.957
3#apa#apa10#app1027/p  -0.222 0.275  -0.222 0.409  -0.222 0.348  -0.222 0.214  -0.222 0.080  -0.222 -0.053  -0.222 -0.187  -0.243 -0.318  -0.276 -0.448  -0.308 -0.577  -0.341 -0.707  -0.373 -0.837  -0.392 -0.968  -0.392 -1.102  -0.392 -1.236  -0.392 -1.369  -0.392 -1.503  -0.392 -1.550  -0.392 -1.416  -0.392 -1.283  -0.392 -1.149  -0.392 -1.015  -0.392 -0.882  -0.392 -0.748  -0.392 -0.614  -0.359 -0.486  -0.312 -0.361  -0.266 -0.236  -0.219 -0.111  -0.172 0.014  -0.125 0.139  -0.078 0.265  -0.031 0.390  0.016 0.515  0.063 0.640  0.110 0.765  0.197 0.865  0.292 0.959  0.386 1.054  0.472 1.155  0.532 1.274  0.592 1.394  0.666 1.426  0.760 1.332  0.855 1.237  0.949 1.143  0.967 1.016  0.967 0.883  0.967 0.749  0.967 0.615
