3#apb#apb23#app2348/6  0.786 1.572  0.876 1.695  0.778 1.773  0.667 1.662  0.557 1.552  0.468 1.425  0.386 1.292  0.304 1.160  0.222 1.027  0.140 0.894  0.059 0.761  -0.023 0.629  -0.105 0.496  -0.181 0.360  -0.253 0.222  -0.325 0.083  -0.397 -0.055  -0.469 -0.194  -0.531 -0.337  -0.594 -0.479  -0.657 -0.622  -0.720 -0.765  -0.745 -0.918  -0.767 -1.073  -0.697 -1.205  -0.572 -1.274  -0.420 -1.271  -0.272 -1.221  -0.124 -1.172  0.010 -1.093  0.144 -1.012  0.260 -0.913  0.344 -0.782  0.428 -0.651  0.503 -0.514  0.576 -0.377  0.628 -0.233  0.639 -0.077  0.623 0.071  0.533 0.198  0.386 0.249  0.240 0.237  0.096 0.178  -0.048 0.118  -0.174 0.028  -0.296 -0.070  -0.417 -0.167  -0.520 -0.284  -0.622 -0.402  -0.725 -0.520
3#apb#apb23#app2348/  0.643 1.469  0.597 1.513  0.559 1.463  0.530 1.400  0.500 1.337  0.470 1.274  0.448 1.209  0.428 1.142  0.407 1.076  0.387 1.009  0.367 0.942  0.343 0.877  0.317 0.813  0.291 0.748  0.265 0.684  0.238 0.619  0.212 0.555  0.186 0.490  0.160 0.426  0.134 0.361  0.109 0.296  0.085 0.231  0.061 0.165  0.036 0.100  0.012 0.035  -0.013 -0.030  -0.037 -0.095  -0.062 -0.160  -0.086 -0.226  -0.112 -0.290  -0.139 -0.354  -0.166 -0.419  -0.192 -0.483  -0.219 -0.547  -0.246 -0.611  -0.272 -0.676  -0.299 -0.740  -0.326 -0.804  -0.350 -0.869  -0.371 -0.936  -0.392 -1.002  -0.412 -1.069  -0.433 -1.135  -0.454 -1.202  -0.474 -1.268  -0.499 -1.333  -0.525 -1.398  -0.551 -1.462  -0.572 -1.528  -0.583 -1.597
3#apb#apb23#app2348/8  0.286 0.974  0.286 1.212  0.198 1.359  -0.010 1.249  -0.185 1.087  -0.345 0.912  -0.486 0.720  -0.613 0.519  -0.731 0.313  -0.778 0.079  -0.649 -0.119  -0.422 -0.158  -0.189 -0.118  0.039 -0.057  0.228 0.088  0.414 0.237  0.597 0.389  0.719 0.592  0.783 0.818  0.771 1.045  0.639 1.230  0.415 1.254  0.197 1.166  0.044 0.985  -0.021 0.782  0.035 0.551  0.092 0.320  0.149 0.089  0.206 -0.142  0.262 -0.374  0.069 -0.267  -0.161 -0.323  -0.380 -0.417  -0.558 -0.567  -0.709 -0.750  -0.827 -0.957  -0.909 -1.178  -0.925 -1.409  -0.790 -1.558  -0.557 -1.556  -0.324 -1.508  -0.119 -1.387  0.085 -1.264  0.264 -1.107  0.443 -0.951  0.590 -0.763  0.720 -0.566  0.820 -0.350  0.768 -0.128  0.570 0.004
3#apb#apb23#app2348/8  0.132 0.982  0.028 1.189  -0.145 1.067  -0.298 0.873  -0.446 0.675  -0.545 0.449  -0.636 0.219  -0.694 -0.020  -0.596 -0.210  -0.362 -0.243  -0.129 -0.173  0.095 -0.068  0.304 0.063  0.510 0.201  0.654 0.401  0.786 0.610  0.896 0.831  0.907 1.076  0.858 1.312  0.682 1.451  0.447 1.418  0.220 1.326  0.051 1.145  -0.118 0.964  -0.037 0.738  0.057 0.509  0.151 0.280  0.245 0.052  0.165 0.010  -0.069 -0.034  -0.259 -0.184  -0.434 -0.359  -0.580 -0.558  -0.716 -0.764  -0.834 -0.982  -0.901 -1.217  -0.865 -1.439  -0.673 -1.578  -0.438 -1.598  -0.206 -1.511  0.018 -1.408  0.237 -1.292  0.403 -1.114  0.548 -0.916  0.597 -0.673  0.560 -0.429  0.437 -0.227  0.202 -0.167  -0.007 -0.262  -0.203 -0.413
3#apb#apb23#app2348/  0.613 1.422  0.582 1.485  0.545 1.471  0.504 1.415  0.464 1.358  0.437 1.293  0.410 1.229  0.383 1.165  0.355 1.100  0.328 1.036  0.301 0.972  0.278 0.906  0.257 0.839  0.236 0.773  0.215 0.706  0.193 0.640  0.172 0.573  0.151 0.507  0.129 0.440  0.108 0.374  0.085 0.308  0.063 0.241  0.041 0.175  0.019 0.109  -0.003 0.043  -0.025 -0.024  -0.047 -0.090  -0.069 -0.156  -0.091 -0.222  -0.113 -0.288  -0.133 -0.355  -0.154 -0.422  -0.174 -0.489  -0.195 -0.556  -0.215 -0.622  -0.235 -0.689  -0.256 -0.756  -0.276 -0.823  -0.297 -0.889  -0.317 -0.956  -0.338 -1.023  -0.358 -1.090  -0.377 -1.157  -0.397 -1.224  -0.417 -1.291  -0.437 -1.358  -0.457 -1.425  -0.477 -1.492  -0.496 -1.558  -0.516 -1.625
3#apb#apb23#app2348/4  -0.369 1.086  -0.382 1.066  -0.480 0.912  -0.570 0.755  -0.637 0.586  -0.705 0.417  -0.797 0.261  -0.892 0.105  -0.987 -0.050  -1.060 -0.216  -1.129 -0.384  -1.203 -0.550  -1.297 -0.706  -1.393 -0.860  -1.233 -0.793  -1.076 -0.700  -0.921 -0.605  -0.761 -0.519  -0.598 -0.437  -0.434 -0.359  -0.269 -0.282  -0.100 -0.220  0.079 -0.186  0.258 -0.153  0.433 -0.103  0.608 -0.053  0.784 -0.008  0.961 0.033  1.143 0.033  1.289 0.114  1.225 0.284  1.161 0.454  1.096 0.624  1.032 0.795  0.967 0.965  0.875 1.063  0.738 0.956  0.657 0.793  0.616 0.615  0.574 0.439  0.513 0.267  0.452 0.096  0.396 -0.077  0.344 -0.252  0.291 -0.426  0.244 -0.601  0.202 -0.779  0.161 -0.956  0.120 -1.133  0.079 -1.310
3#apb#apb23#app2348/1  0.216 1.685  0.216 1.615  0.216 1.545  0.211 1.476  0.201 1.407  0.191 1.338  0.182 1.269  0.172 1.200  0.162 1.131  0.152 1.063  0.142 0.994  0.132 0.925  0.127 0.855  0.122 0.786  0.117 0.716  0.112 0.647  0.107 0.578  0.102 0.508  0.097 0.439  0.092 0.369  0.087 0.300  0.082 0.230  0.077 0.161  0.072 0.091  0.067 0.022  0.062 -0.047  0.057 -0.117  0.052 -0.186  0.047 -0.256  0.033 -0.323  0.012 -0.390  -0.009 -0.456  -0.030 -0.523  -0.050 -0.589  -0.071 -0.656  -0.092 -0.722  -0.113 -0.789  -0.133 -0.855  -0.154 -0.921  -0.175 -0.988  -0.196 -1.054  -0.216 -1.121  -0.237 -1.187  -0.258 -1.254  -0.279 -1.320  -0.299 -1.387  -0.320 -1.453  -0.341 -1.519  -0.362 -1.586  -0.383 -1.652
3#apb#apb23#app2348/1  0.552 1.592  0.544 1.524  0.508 1.464  0.472 1.404  0.436 1.344  0.400 1.284  0.364 1.224  0.328 1.164  0.292 1.105  0.256 1.045  0.220 0.985  0.212 0.915  0.203 0.846  0.194 0.776  0.186 0.707  0.177 0.638  0.168 0.568  0.160 0.499  0.151 0.429  0.142 0.360  0.134 0.290  0.125 0.221  0.116 0.152  0.103 0.083  0.076 0.019  0.049 -0.046  0.023 -0.111  -0.004 -0.175  -0.030 -0.240  -0.057 -0.305  -0.084 -0.369  -0.110 -0.434  -0.137 -0.499  -0.164 -0.563  -0.190 -0.628  -0.217 -0.693  -0.243 -0.757  -0.270 -0.822  -0.294 -0.888  -0.318 -0.953  -0.341 -1.019  -0.365 -1.085  -0.389 -1.151  -0.412 -1.217  -0.436 -1.283  -0.459 -1.349  -0.483 -1.415  -0.506 -1.480  -0.530 -1.546  -0.553 -1.612
3#apb#apb23#app2348/  0.334 1.643  0.351 1.592  0.336 1.524  0.320 1.456  0.305 1.389  0.287 1.321  0.268 1.255  0.249 1.188  0.230 1.121  0.211 1.054  0.192 0.988  0.174 0.920  0.157 0.853  0.139 0.786  0.122 0.719  0.105 0.652  0.087 0.585  0.070 0.517  0.058 0.449  0.047 0.380  0.035 0.312  0.024 0.243  0.013 0.175  0.001 0.106  -0.010 0.038  -0.022 -0.030  -0.033 -0.099  -0.044 -0.167  -0.056 -0.236  -0.067 -0.304  -0.079 -0.373  -0.090 -0.441  -0.102 -0.510  -0.113 -0.578  -0.124 -0.647  -0.135 -0.715  -0.146 -0.784  -0.157 -0.852  -0.169 -0.921  -0.180 -0.989  -0.191 -1.058  -0.202 -1.126  -0.213 -1.195  -0.233 -1.261  -0.252 -1.328  -0.272 -1.395  -0.291 -1.461  -0.304 -1.529  -0.311 -1.598  -0.318 -1.667
3#apb#apb23#app2348/1  0.504 1.439  0.553 1.489  0.511 1.472  0.448 1.441  0.424 1.376  0.402 1.309  0.379 1.242  0.357 1.176  0.335 1.109  0.313 1.043  0.291 0.976  0.268 0.909  0.246 0.843  0.224 0.776  0.200 0.710  0.174 0.645  0.148 0.580  0.122 0.514  0.096 0.449  0.070 0.384  0.044 0.319  0.018 0.253  -0.009 0.188  -0.035 0.123  -0.061 0.058  -0.087 -0.007  -0.113 -0.073  -0.139 -0.138  -0.150 -0.207  -0.160 -0.277  -0.170 -0.346  -0.180 -0.416  -0.190 -0.485  -0.200 -0.555  -0.209 -0.624  -0.219 -0.694  -0.229 -0.763  -0.239 -0.833  -0.249 -0.902  -0.259 -0.972  -0.271 -1.041  -0.282 -1.111  -0.294 -1.180  -0.306 -1.249  -0.317 -1.318  -0.329 -1.388  -0.340 -1.457  -0.352 -1.526  -0.363 -1.595  -0.375 -1.665
3#apb#apb23#app2348/9  0.543 -0.298  0.543 -0.117  0.549 0.063  0.569 0.243  0.618 0.417  0.665 0.592  0.700 0.769  0.694 0.948  0.616 1.097  0.469 1.198  0.299 1.260  0.132 1.258  -0.033 1.182  -0.195 1.102  -0.351 1.011  -0.507 0.919  -0.657 0.820  -0.784 0.692  -0.912 0.564  -1.034 0.432  -1.124 0.275  -1.214 0.118  -1.244 -0.055  -1.244 -0.236  -1.178 -0.402  -1.056 -0.511  -0.880 -0.552  -0.702 -0.577  -0.521 -0.577  -0.340 -0.577  -0.173 -0.512  -0.007 -0.439  0.154 -0.359  0.299 -0.251  0.443 -0.142  0.580 -0.024  0.693 0.109  0.737 0.285  0.667 0.145  0.615 -0.028  0.564 -0.202  0.513 -0.375  0.458 -0.547  0.398 -0.718  0.338 -0.888  0.300 -1.065  0.273 -1.243  0.263 -1.423  0.257 -1.603  0.208 -1.777
