1c#apa#apa00#app0010/f  0.370 0.935  0.429 1.062  0.429 1.213  0.429 1.365  0.370 1.492  0.311 1.584  0.193 1.515  0.134 1.423  0.075 1.296  0.016 1.169  0.016 1.018  0.016 0.866  0.016 0.715  0.075 0.577  0.075 0.426  0.075 0.274  0.075 0.123  0.088 -0.023  0.134 -0.155  0.134 -0.307  0.122 -0.456  0.075 -0.600  0.075 -0.751  0.075 -0.903  0.056 -1.050  -0.012 -1.185  -0.043 -1.329  -0.102 -1.456  -0.161 -1.549  -0.220 -1.641  -0.330 -1.610  -0.338 -1.462  -0.397 -1.335  -0.388 -1.184  -0.368 -1.034  -0.347 -0.884  -0.326 -0.734  -0.306 -0.584  -0.285 -0.434  -0.264 -0.284  -0.243 -0.134  -0.223 0.016  -0.202 0.166  -0.181 0.316  -0.158 0.463  -0.066 0.522  0.061 0.581  0.205 0.616  0.346 0.657  0.488 0.699
1c#apa#apa00#app0010/e  -0.413 -0.227  -0.278 -0.227  -0.182 -0.134  -0.087 -0.039  0.012 0.047  0.144 0.055  0.239 0.150  0.334 0.245  0.437 0.321  0.548 0.346  0.567 0.468  0.688 0.529  0.808 0.589  0.906 0.680  0.959 0.793  0.959 0.928  0.921 1.046  0.825 1.142  0.692 1.145  0.557 1.145  0.423 1.145  0.324 1.058  0.210 1.008  0.093 0.965  -0.002 0.869  -0.097 0.774  -0.138 0.657  -0.191 0.544  -0.286 0.448  -0.381 0.353  -0.413 0.231  -0.475 0.122  -0.550 0.019  -0.568 -0.108  -0.663 -0.204  -0.687 -0.328  -0.687 -0.463  -0.687 -0.598  -0.687 -0.733  -0.623 -0.841  -0.550 -0.945  -0.537 -1.077  -0.477 -1.197  -0.417 -1.318  -0.324 -1.415  -0.209 -1.463  -0.138 -1.527  -0.077 -1.600  0.041 -1.642  0.136 -1.737
1c#apa#apa00#app0010/w  -1.122 0.728  -1.021 0.791  -0.932 0.918  -0.920 0.986  -0.920 0.822  -0.920 0.658  -0.920 0.495  -0.920 0.331  -0.920 0.167  -0.920 0.003  -0.920 -0.161  -0.819 -0.283  -0.819 -0.447  -0.819 -0.610  -0.756 -0.749  -0.710 -0.888  -0.546 -0.888  -0.421 -0.794  -0.377 -0.648  -0.313 -0.511  -0.288 -0.358  -0.212 -0.225  -0.128 -0.096  -0.111 0.061  -0.111 0.225  -0.111 0.388  -0.111 0.298  -0.111 0.134  -0.111 -0.029  -0.103 -0.190  -0.010 -0.315  0.058 -0.451  0.192 -0.500  0.247 -0.641  0.393 -0.686  0.556 -0.686  0.713 -0.670  0.829 -0.554  0.945 -0.438  1.061 -0.322  1.101 -0.175  1.150 -0.031  1.202 0.111  1.202 0.274  1.253 0.426  1.303 0.578  1.303 0.742  1.303 0.906  1.303 1.070  1.303 1.234
1c#apa#apa00#app0010/q  0.241 0.856  0.241 1.015  0.226 1.160  0.067 1.160  -0.061 1.085  -0.142 1.004  -0.255 0.892  -0.381 0.827  -0.458 0.689  -0.570 0.577  -0.616 0.433  -0.669 0.286  -0.669 0.127  -0.615 0.023  -0.532 -0.053  -0.373 -0.053  -0.214 -0.053  -0.131 0.023  -0.048 0.098  0.035 0.174  0.110 0.271  0.222 0.383  0.281 0.518  0.316 0.662  0.316 0.821  0.392 0.949  0.416 1.084  0.446 0.986  0.392 0.850  0.392 0.691  0.323 0.560  0.293 0.408  0.243 0.257  0.241 0.099  0.241 -0.060  0.241 -0.219  0.241 -0.378  0.166 -0.507  0.165 -0.665  0.125 -0.815  0.089 -0.965  0.089 -1.124  0.024 -1.256  0.013 -1.410  -0.063 -1.538  -0.086 -1.691  -0.138 -1.838  -0.214 -1.965  -0.214 -2.124  -0.138 -2.252
1c#apa#apa00#app0010/u  -0.556 1.445  -0.556 1.333  -0.589 1.229  -0.639 1.130  -0.689 1.030  -0.705 0.922  -0.705 0.810  -0.705 0.698  -0.705 0.587  -0.705 0.475  -0.705 0.363  -0.705 0.251  -0.705 0.140  -0.705 0.028  -0.705 -0.084  -0.705 -0.195  -0.705 -0.307  -0.705 -0.419  -0.687 -0.526  -0.637 -0.626  -0.587 -0.726  -0.556 -0.830  -0.550 -0.936  -0.438 -0.936  -0.327 -0.936  -0.215 -0.936  -0.103 -0.936  0.009 -0.936  0.039 -0.855  0.083 -0.787  0.193 -0.782  0.272 -0.703  0.351 -0.624  0.430 -0.545  0.500 -0.460  0.550 -0.360  0.600 -0.261  0.659 -0.167  0.738 -0.088  0.817 -0.009  0.896 0.070  0.975 0.149  1.054 0.228  1.081 0.328  1.081 0.440  1.081 0.552  1.192 0.552  1.230 0.626  1.230 0.738  1.230 0.850
1c#apa#apa00#app0010/i  -0.141 0.648  -0.148 0.525  -0.237 0.436  -0.257 0.317  -0.257 0.191  -0.257 0.065  -0.257 -0.062  -0.257 -0.188  -0.280 -0.305  -0.370 -0.394  -0.373 -0.519  -0.373 -0.646  -0.373 -0.772  -0.373 -0.898  -0.373 -1.025  -0.373 -1.151  -0.373 -1.278  -0.296 -1.327  -0.170 -1.327  -0.141 -1.230  -0.033 -1.211  0.059 -1.128  0.171 -1.095  0.271 -1.032  0.361 -0.942  0.450 -0.853  0.539 -0.763  0.530 -0.648  0.497 -0.526  0.463 -0.404  0.430 -0.282  0.397 -0.160  0.364 -0.038  0.330 0.084  0.297 0.206  0.264 0.328  0.231 0.450  0.197 0.572  0.164 0.694  0.131 0.816  0.097 0.937  0.064 1.059  0.031 1.181  -0.002 1.303  -0.036 1.425  -0.069 1.547  -0.102 1.669  -0.135 1.791  -0.141 1.917  -0.141 2.043
1c#apa#apa00#app0010/p  -0.074 0.922  0.005 0.817  -0.074 0.665  -0.074 0.481  -0.074 0.297  -0.074 0.113  -0.074 -0.071  -0.074 -0.255  -0.120 -0.429  -0.152 -0.605  -0.214 -0.775  -0.231 -0.955  -0.231 -1.139  -0.231 -1.323  -0.298 -1.491  -0.310 -1.673  -0.337 -1.829  -0.384 -1.697  -0.379 -1.513  -0.373 -1.329  -0.368 -1.145  -0.363 -0.961  -0.357 -0.777  -0.352 -0.593  -0.346 -0.409  -0.341 -0.224  -0.336 -0.040  -0.330 0.144  -0.325 0.328  -0.319 0.512  -0.314 0.696  -0.310 0.880  -0.231 0.985  -0.089 1.064  0.041 1.194  0.208 1.237  0.360 1.315  0.544 1.315  0.649 1.237  0.791 1.194  0.857 1.026  0.870 0.845  0.870 0.660  0.791 0.509  0.679 0.417  0.580 0.265  0.441 0.179  0.308 0.057  0.156 -0.021  0.005 -0.100
1c#apa#apa00#app0010/s  0.608 1.315  0.509 1.315  0.409 1.315  0.309 1.315  0.209 1.315  0.110 1.315  0.010 1.315  -0.087 1.307  -0.157 1.237  -0.228 1.166  -0.299 1.096  -0.354 1.019  -0.354 0.919  -0.354 0.820  -0.354 0.720  -0.354 0.620  -0.354 0.520  -0.305 0.441  -0.235 0.370  -0.142 0.352  -0.053 0.326  0.017 0.256  0.088 0.185  0.158 0.115  0.229 0.044  0.300 -0.026  0.370 -0.097  0.441 -0.168  0.471 -0.255  0.471 -0.355  0.471 -0.454  0.471 -0.554  0.451 -0.649  0.407 -0.739  0.362 -0.828  0.333 -0.921  0.333 -1.021  0.236 -1.023  0.154 -1.065  0.083 -1.136  -0.006 -1.160  -0.106 -1.160  -0.206 -1.160  -0.306 -1.160  -0.406 -1.160  -0.505 -1.160  -0.605 -1.160  -0.705 -1.160  -0.767 -1.123  -0.767 -1.023
1c#apa#apa00#app0010/g  0.167 1.128  0.111 1.205  -0.021 1.205  -0.127 1.141  -0.254 1.128  -0.359 1.063  -0.398 0.947  -0.510 0.897  -0.554 0.791  -0.601 0.679  -0.601 0.547  -0.586 0.421  -0.525 0.314  -0.448 0.258  -0.368 0.206  -0.235 0.206  -0.103 0.206  0.002 0.272  0.090 0.367  0.135 0.481  0.167 0.600  0.167 0.733  0.167 0.865  0.190 0.974  0.244 0.896  0.244 0.763  0.244 0.631  0.244 0.499  0.275 0.374  0.321 0.252  0.323 0.120  0.355 -0.008  0.387 -0.137  0.397 -0.268  0.397 -0.400  0.397 -0.532  0.397 -0.665  0.397 -0.797  0.397 -0.929  0.346 -1.050  0.321 -1.176  0.244 -1.277  0.189 -1.386  0.095 -1.480  0.001 -1.573  -0.104 -1.638  -0.208 -1.706  -0.337 -1.715  -0.469 -1.715  -0.601 -1.715
1c#apa#apa00#app0010/a  -0.404 1.023  -0.524 1.049  -0.472 1.143  -0.404 1.221  -0.300 1.264  -0.274 1.384  -0.128 1.384  0.019 1.384  0.165 1.384  0.198 1.271  0.332 1.250  0.435 1.147  0.539 1.044  0.559 0.906  0.559 0.760  0.559 0.613  0.559 0.467  0.559 0.321  0.447 0.244  0.316 0.178  0.213 0.074  0.110 -0.029  -0.024 -0.061  -0.133 -0.151  -0.266 -0.181  -0.292 -0.302  -0.428 -0.326  -0.524 -0.433  -0.561 -0.542  -0.645 -0.605  -0.733 -0.663  -0.765 -0.778  -0.765 -0.924  -0.719 -1.024  -0.645 -1.096  -0.547 -1.144  -0.400 -1.144  -0.254 -1.144  -0.108 -1.144  0.039 -1.144  0.185 -1.144  0.292 -1.050  0.428 -1.024  0.449 -0.893  0.553 -0.790  0.559 -0.646  0.559 -0.500  0.559 -0.354  0.559 -0.207  0.559 -0.061
1c#apa#apa00#app0010/l  -0.036 1.735  -0.036 1.654  0.031 1.641  0.058 1.587  0.058 1.507  0.058 1.427  0.058 1.347  0.058 1.267  0.058 1.186  0.058 1.106  0.058 1.026  0.058 0.946  0.058 0.866  0.058 0.785  0.058 0.705  0.058 0.625  0.058 0.545  0.058 0.464  0.027 0.397  -0.029 0.340  -0.036 0.263  -0.036 0.182  -0.036 0.102  -0.036 0.022  -0.036 -0.058  -0.039 -0.137  -0.096 -0.194  -0.129 -0.260  -0.129 -0.340  -0.129 -0.421  -0.129 -0.501  -0.181 -0.559  -0.223 -0.623  -0.223 -0.703  -0.223 -0.783  -0.223 -0.863  -0.223 -0.943  -0.223 -1.024  -0.197 -1.093  -0.141 -1.150  -0.129 -1.226  -0.078 -1.255  0.002 -1.255  0.082 -1.255  0.159 -1.247  0.216 -1.190  0.284 -1.161  0.364 -1.161  0.444 -1.161  0.525 -1.161
