2#app#app19#app1984/s  0.312 0.529  0.312 0.662  0.312 0.794  0.293 0.908  0.160 0.908  0.028 0.908  -0.105 0.908  -0.237 0.908  -0.370 0.908  -0.502 0.908  -0.635 0.908  -0.767 0.908  -0.877 0.854  -0.971 0.760  -1.086 0.719  -1.202 0.702  -1.202 0.569  -1.136 0.464  -1.042 0.370  -0.922 0.340  -0.800 0.317  -0.706 0.223  -0.603 0.151  -0.471 0.151  -0.369 0.076  -0.276 -0.018  -0.152 -0.038  -0.019 -0.038  0.113 -0.038  0.210 -0.125  0.304 -0.219  0.433 -0.227  0.546 -0.273  0.640 -0.366  0.752 -0.417  0.883 -0.420  0.976 -0.513  1.069 -0.608  1.069 -0.740  1.069 -0.873  1.048 -0.984  0.915 -0.984  0.783 -0.984  0.662 -1.013  0.568 -1.106  0.463 -1.173  0.331 -1.173  0.199 -1.173  0.066 -1.173  -0.066 -1.173
2#app#app19#app1984/c  1.266 0.385  1.109 0.385  0.952 0.385  0.795 0.385  0.660 0.363  0.660 0.206  0.526 0.183  0.458 0.094  0.414 -0.019  0.257 -0.019  0.256 0.136  0.366 0.183  0.458 0.248  0.458 0.405  0.458 0.562  0.590 0.587  0.660 0.674  0.660 0.832  0.660 0.989  0.506 0.992  0.349 0.992  0.192 0.992  0.035 0.992  -0.122 0.992  -0.241 0.899  -0.352 0.788  -0.463 0.677  -0.574 0.566  -0.685 0.455  -0.755 0.327  -0.768 0.183  -0.925 0.183  -0.957 0.058  -0.957 -0.099  -0.957 -0.256  -0.957 -0.413  -0.957 -0.570  -0.957 -0.728  -0.917 -0.868  -0.806 -0.979  -0.695 -1.090  -0.584 -1.201  -0.439 -1.232  -0.282 -1.232  -0.125 -1.232  0.032 -1.232  0.189 -1.232  0.346 -1.232  0.503 -1.232  0.660 -1.232
2#app#app19#app1984/r  -0.266 -0.080  -0.266 -0.186  -0.266 -0.293  -0.266 -0.399  -0.266 -0.506  -0.266 -0.612  -0.266 -0.718  -0.266 -0.825  -0.266 -0.931  -0.266 -1.038  -0.266 -1.144  -0.266 -1.250  -0.266 -1.357  -0.186 -1.383  -0.080 -1.383  -0.005 -1.352  -0.005 -1.245  -0.005 -1.139  -0.005 -1.032  -0.005 -0.926  -0.005 -0.819  -0.005 -0.713  -0.005 -0.607  -0.005 -0.500  -0.005 -0.394  -0.005 -0.287  -0.005 -0.181  -0.005 -0.075  -0.005 0.032  -0.005 0.138  -0.005 0.245  -0.005 0.351  -0.005 0.457  -0.005 0.564  -0.005 0.670  -0.005 0.777  -0.005 0.883  -0.005 0.990  -0.005 1.096  -0.005 1.202  0.080 1.224  0.186 1.224  0.255 1.261  0.255 1.367  0.255 1.474  0.351 1.484  0.458 1.484  0.564 1.484  0.670 1.484  0.777 1.484
2#app#app19#app1984/e  -1.816 -0.183  -1.639 -0.183  -1.611 -0.332  -1.490 -0.389  -1.312 -0.389  -1.135 -0.389  -0.957 -0.389  -0.780 -0.389  -0.603 -0.389  -0.425 -0.389  -0.248 -0.389  -0.173 -0.286  -0.098 -0.183  0.079 -0.183  0.251 -0.170  0.377 -0.045  0.526 0.022  0.649 0.077  0.676 0.228  0.853 0.228  0.855 0.404  1.002 0.433  1.060 0.553  1.060 0.731  0.996 0.844  0.829 0.870  0.704 0.995  0.549 1.050  0.372 1.050  0.194 1.050  0.017 1.050  -0.161 1.050  -0.173 0.884  -0.270 0.747  -0.378 0.615  -0.378 0.437  -0.378 0.260  -0.378 0.082  -0.378 -0.095  -0.315 -0.246  -0.190 -0.372  -0.064 -0.497  0.061 -0.623  0.187 -0.748  0.312 -0.874  0.438 -0.999  0.613 -1.005  0.749 -1.105  0.883 -1.210  1.060 -1.210
2#app#app19#app1984/a  0.204 0.586  0.031 0.586  -0.143 0.586  -0.316 0.586  -0.489 0.586  -0.662 0.586  -0.787 0.468  -0.918 0.368  -1.092 0.368  -1.265 0.368  -1.324 0.253  -1.393 0.149  -1.542 0.125  -1.542 -0.048  -1.542 -0.222  -1.434 -0.287  -1.279 -0.331  -1.157 -0.454  -1.005 -0.505  -0.832 -0.505  -0.658 -0.505  -0.485 -0.505  -0.312 -0.505  -0.139 -0.505  0.035 -0.505  0.208 -0.505  0.381 -0.505  0.516 -0.412  0.638 -0.289  0.811 -0.287  0.859 -0.162  0.939 -0.069  1.077 -0.034  1.077 0.140  0.961 0.265  0.831 0.368  0.657 0.368  0.640 0.524  0.529 0.586  0.422 0.520  0.437 0.353  0.560 0.230  0.682 0.108  0.805 -0.015  0.859 -0.166  0.911 -0.287  1.084 -0.287  1.257 -0.287  1.391 -0.383  1.514 -0.505
2#app#app19#app1984/m  -1.489 0.372  -1.489 0.235  -1.489 0.099  -1.489 -0.037  -1.410 -0.094  -1.333 -0.154  -1.293 -0.250  -1.157 -0.250  -1.020 -0.250  -0.884 -0.250  -0.783 -0.165  -0.712 -0.059  -0.695 0.061  -0.559 0.061  -0.557 0.195  -0.476 0.297  -0.401 0.403  -0.401 0.539  -0.401 0.675  -0.401 0.553  -0.401 0.417  -0.401 0.281  -0.401 0.145  -0.349 0.061  -0.222 0.037  -0.126 -0.059  -0.091 -0.181  -0.024 -0.250  0.065 -0.298  0.093 -0.405  0.230 -0.405  0.366 -0.405  0.465 -0.315  0.531 -0.207  0.555 -0.094  0.689 -0.091  0.786 0.005  0.841 0.119  0.869 0.243  0.965 0.340  1.088 0.372  1.152 0.299  1.189 0.179  1.286 0.083  1.354 -0.034  1.415 -0.155  1.484 -0.271  1.581 -0.368  1.677 -0.464  1.773 -0.560
2#app#app19#app1984/e  -1.388 0.317  -1.388 0.122  -1.388 -0.073  -1.292 -0.172  -1.097 -0.172  -0.902 -0.172  -0.899 -0.364  -0.756 -0.416  -0.561 -0.416  -0.366 -0.416  -0.171 -0.416  0.024 -0.416  0.219 -0.416  0.414 -0.416  0.569 -0.376  0.569 -0.181  0.755 -0.172  0.950 -0.172  1.058 -0.086  1.095 0.073  1.290 0.073  1.303 0.255  1.303 0.450  1.244 0.621  1.106 0.759  0.968 0.897  0.831 1.035  0.642 1.051  0.447 1.051  0.252 1.051  0.057 1.051  -0.138 1.051  -0.284 0.932  -0.422 0.795  -0.559 0.657  -0.654 0.501  -0.654 0.306  -0.654 0.111  -0.654 -0.084  -0.654 -0.280  -0.596 -0.416  -0.409 -0.425  -0.409 -0.620  -0.255 -0.661  -0.091 -0.735  0.047 -0.873  0.229 -0.906  0.325 -1.005  0.374 -1.150  0.569 -1.150
2#app#app19#app1984/d  -0.104 -0.655  -0.249 -0.697  -0.363 -0.811  -0.412 -0.953  -0.363 -1.066  -0.201 -1.066  -0.039 -1.066  0.020 -0.963  0.102 -0.883  0.201 -0.762  0.205 -0.601  0.205 -0.439  0.205 -0.277  0.205 -0.115  0.167 0.039  0.102 0.185  0.102 0.348  0.041 0.495  -0.001 0.648  -0.058 0.796  -0.104 0.948  -0.109 1.109  -0.160 1.263  -0.207 1.417  -0.240 1.572  -0.310 1.717  -0.310 1.748  -0.303 1.587  -0.251 1.433  -0.207 1.278  -0.207 1.116  -0.207 0.954  -0.139 0.820  -0.104 0.672  -0.104 0.510  -0.092 0.351  -0.020 0.206  -0.001 0.048  -0.001 -0.114  0.014 -0.273  0.086 -0.418  0.102 -0.576  0.102 -0.738  0.181 -0.876  0.271 -1.011  0.308 -1.163  0.418 -1.279  0.513 -1.402  0.599 -1.478  0.719 -1.580
2#app#app19#app1984/a  0.551 0.020  0.551 0.194  0.437 0.320  0.366 0.464  0.303 0.575  0.181 0.627  0.141 0.761  -0.033 0.761  -0.206 0.761  -0.380 0.761  -0.554 0.761  -0.679 0.642  -0.825 0.575  -0.999 0.575  -1.156 0.535  -1.279 0.412  -1.401 0.290  -1.486 0.151  -1.486 -0.023  -1.464 -0.188  -1.341 -0.310  -1.301 -0.467  -1.195 -0.536  -1.022 -0.536  -0.848 -0.536  -0.674 -0.536  -0.500 -0.536  -0.327 -0.536  -0.153 -0.536  0.021 -0.536  0.191 -0.526  0.314 -0.403  0.465 -0.351  0.614 -0.289  0.736 -0.166  0.859 -0.043  1.007 0.020  1.107 0.094  1.107 0.267  1.056 0.390  0.894 0.362  0.771 0.239  0.737 0.080  0.737 -0.094  0.809 -0.238  0.922 -0.365  0.924 -0.538  1.046 -0.661  1.169 -0.783  1.292 -0.906
2#app#app19#app1984/t  0.295 1.776  0.276 1.893  0.141 1.893  0.022 1.854  -0.057 1.752  -0.057 1.617  -0.057 1.481  -0.057 1.346  -0.125 1.239  -0.174 1.124  -0.174 0.989  -0.174 0.854  -0.174 0.718  -0.174 0.583  -0.174 0.448  -0.174 0.312  -0.174 0.177  -0.174 0.042  -0.174 -0.093  -0.174 -0.229  -0.161 -0.361  -0.100 -0.482  -0.057 -0.607  -0.057 -0.742  -0.057 -0.877  0.009 -0.985  0.104 -1.081  0.200 -1.177  0.296 -1.272  0.417 -1.332  0.523 -1.380  0.444 -1.271  0.364 -1.162  0.284 -1.052  0.205 -0.943  0.125 -0.833  0.046 -0.724  -0.034 -0.615  -0.113 -0.505  -0.193 -0.396  -0.272 -0.286  -0.352 -0.177  -0.409 -0.139  -0.351 -0.217  -0.216 -0.217  -0.081 -0.217  0.054 -0.217  0.190 -0.217  0.316 -0.195  0.412 -0.099
2#app#app19#app1984/h  -0.573 1.655  -0.470 1.655  -0.571 1.653  -0.496 1.577  -0.468 1.482  -0.468 1.375  -0.468 1.269  -0.468 1.162  -0.468 1.055  -0.468 0.949  -0.468 0.842  -0.468 0.735  -0.468 0.629  -0.468 0.522  -0.468 0.415  -0.468 0.308  -0.468 0.202  -0.468 0.095  -0.468 -0.012  -0.468 -0.118  -0.468 -0.225  -0.468 -0.332  -0.468 -0.439  -0.399 -0.517  -0.363 -0.608  -0.306 -0.658  -0.199 -0.658  -0.110 -0.615  -0.035 -0.540  0.041 -0.465  0.116 -0.389  0.192 -0.314  0.267 -0.238  0.343 -0.163  0.437 -0.132  0.543 -0.132  0.583 -0.199  0.583 -0.306  0.583 -0.412  0.583 -0.519  0.635 -0.604  0.688 -0.689  0.721 -0.763  0.794 -0.797  0.794 -0.904  0.820 -1.000  0.895 -1.075  0.899 -1.181  0.899 -1.287  1.004 -1.289
