2#apb#apb40#app4062/R  0.018 0.955  -0.099 0.776  -0.150 0.557  -0.189 0.335  -0.203 0.110  -0.224 -0.113  -0.265 -0.335  -0.315 -0.553  -0.408 -0.758  -0.504 -0.962  -0.612 -1.159  -0.712 -1.329  -0.678 -1.107  -0.641 -0.885  -0.607 -0.663  -0.580 -0.439  -0.540 -0.218  -0.485 0.000  -0.400 0.208  -0.309 0.414  -0.210 0.616  -0.098 0.811  -0.018 1.022  0.057 1.234  0.180 1.420  0.350 1.563  0.564 1.590  0.766 1.497  0.924 1.345  1.043 1.157  1.069 0.934  1.076 0.711  1.032 0.490  0.967 0.277  0.863 0.077  0.726 -0.100  0.570 -0.262  0.399 -0.407  0.197 -0.505  -0.015 -0.571  -0.240 -0.589  -0.463 -0.563  -0.685 -0.524  -0.750 -0.550  -0.566 -0.680  -0.362 -0.776  -0.157 -0.868  0.060 -0.926  0.255 -1.034  0.371 -1.222
2#apb#apb40#app4062/a  0.504 1.043  0.504 1.202  0.436 1.322  0.290 1.345  0.135 1.306  0.010 1.210  -0.113 1.108  -0.233 1.003  -0.333 0.879  -0.433 0.756  -0.533 0.632  -0.633 0.508  -0.711 0.369  -0.787 0.229  -0.864 0.089  -0.940 -0.050  -0.992 -0.199  -1.021 -0.356  -1.050 -0.512  -1.074 -0.669  -1.029 -0.821  -0.984 -0.974  -0.861 -1.066  -0.721 -1.138  -0.562 -1.138  -0.405 -1.131  -0.272 -1.044  -0.138 -0.957  -0.006 -0.868  0.106 -0.755  0.219 -0.643  0.332 -0.530  0.397 -0.386  0.456 -0.238  0.515 -0.090  0.557 0.063  0.582 0.220  0.607 0.377  0.629 0.535  0.644 0.694  0.644 0.553  0.644 0.394  0.648 0.234  0.664 0.076  0.679 -0.083  0.733 -0.230  0.807 -0.370  0.887 -0.508  0.986 -0.633  1.084 -0.758
2#apb#apb40#app4062/b  -0.034 2.031  -0.150 1.996  -0.222 1.860  -0.275 1.715  -0.302 1.563  -0.328 1.411  -0.335 1.257  -0.341 1.103  -0.347 0.948  -0.352 0.794  -0.357 0.640  -0.367 0.486  -0.389 0.334  -0.412 0.181  -0.426 0.028  -0.426 -0.127  -0.426 -0.281  -0.426 -0.435  -0.426 -0.590  -0.426 -0.744  -0.393 -0.838  -0.372 -0.686  -0.338 -0.535  -0.300 -0.386  -0.245 -0.242  -0.191 -0.097  -0.113 0.033  -0.012 0.150  0.106 0.243  0.249 0.300  0.403 0.300  0.545 0.266  0.663 0.167  0.758 0.048  0.834 -0.086  0.882 -0.231  0.912 -0.382  0.915 -0.533  0.883 -0.684  0.788 -0.804  0.687 -0.921  0.557 -1.004  0.426 -1.086  0.275 -1.114  0.123 -1.133  -0.029 -1.107  -0.178 -1.071  -0.314 -0.998  -0.426 -0.899  -0.328 -0.843
2#apb#apb40#app4062/b  0.356 2.260  0.287 2.133  0.233 1.999  0.189 1.861  0.169 1.718  0.148 1.574  0.128 1.431  0.107 1.287  0.085 1.144  0.064 1.000  0.043 0.857  0.020 0.713  -0.004 0.570  -0.029 0.427  -0.053 0.284  -0.077 0.141  -0.104 -0.001  -0.134 -0.143  -0.163 -0.285  -0.192 -0.427  -0.209 -0.571  -0.223 -0.715  -0.241 -0.859  -0.276 -1.000  -0.299 -1.132  -0.292 -0.994  -0.268 -0.851  -0.236 -0.709  -0.204 -0.568  -0.165 -0.428  -0.125 -0.289  -0.080 -0.152  0.004 -0.033  0.110 0.061  0.247 0.097  0.383 0.055  0.446 -0.063  0.463 -0.207  0.430 -0.342  0.356 -0.457  0.314 -0.595  0.266 -0.731  0.225 -0.839  0.150 -0.961  0.029 -1.036  -0.111 -1.074  -0.253 -1.104  -0.395 -1.092  -0.528 -1.038  -0.591 -0.918
2#apb#apb40#app4062/i  -0.257 0.056  -0.225 0.178  -0.199 0.301  -0.278 0.292  -0.342 0.183  -0.423 0.086  -0.504 -0.011  -0.568 -0.119  -0.624 -0.232  -0.674 -0.347  -0.708 -0.469  -0.723 -0.594  -0.723 -0.720  -0.674 -0.836  -0.650 -0.960  -0.566 -1.041  -0.446 -1.075  -0.323 -1.104  -0.197 -1.105  -0.071 -1.099  0.055 -1.092  0.180 -1.073  0.304 -1.048  0.425 -1.015  0.542 -0.980  0.585 -0.925  0.562 -0.801  0.539 -0.676  0.516 -0.552  0.493 -0.428  0.470 -0.304  0.447 -0.179  0.424 -0.055  0.401 0.069  0.378 0.194  0.355 0.318  0.332 0.442  0.309 0.566  0.286 0.691  0.263 0.815  0.240 0.939  0.217 1.063  0.194 1.188  0.171 1.312  0.148 1.436  0.125 1.560  0.102 1.685  0.079 1.809  0.015 1.891  0.015 1.765
2#apb#apb40#app4062/E  0.462 0.822  0.621 0.920  0.768 1.031  0.892 1.167  0.934 1.327  0.756 1.365  0.577 1.308  0.406 1.229  0.230 1.164  0.065 1.076  -0.093 0.975  -0.241 0.860  -0.391 0.746  -0.529 0.620  -0.652 0.478  -0.762 0.326  -0.850 0.161  -0.878 -0.021  -0.797 -0.183  -0.617 -0.228  -0.431 -0.219  -0.256 -0.152  -0.083 -0.078  0.085 0.006  0.252 0.091  0.419 0.178  0.578 0.277  0.700 0.414  0.542 0.355  0.380 0.261  0.217 0.167  0.058 0.068  -0.092 -0.046  -0.224 -0.178  -0.354 -0.314  -0.471 -0.460  -0.568 -0.621  -0.664 -0.783  -0.730 -0.955  -0.729 -1.140  -0.640 -1.293  -0.475 -1.372  -0.289 -1.397  -0.108 -1.351  0.073 -1.298  0.246 -1.227  0.419 -1.152  0.585 -1.066  0.751 -0.978  0.908 -0.880
2#apb#apb40#app4062/s  -1.384 -1.081  -1.432 -1.107  -1.367 -0.981  -1.276 -0.872  -1.179 -0.768  -1.081 -0.664  -0.983 -0.560  -0.884 -0.457  -0.787 -0.352  -0.693 -0.246  -0.598 -0.139  -0.503 -0.032  -0.413 0.078  -0.337 0.199  -0.261 0.319  -0.185 0.440  -0.110 0.561  -0.025 0.675  0.066 0.785  0.157 0.895  0.248 1.005  0.351 1.100  0.477 1.167  0.603 1.233  0.742 1.213  0.829 1.112  0.900 0.989  0.914 0.847  0.925 0.705  0.935 0.563  0.932 0.420  0.926 0.278  0.914 0.136  0.872 -0.000  0.831 -0.137  0.787 -0.272  0.739 -0.407  0.690 -0.540  0.608 -0.657  0.502 -0.749  0.368 -0.798  0.238 -0.760  0.110 -0.697  -0.010 -0.620  -0.130 -0.542  -0.226 -0.438  -0.320 -0.331  -0.418 -0.227  -0.519 -0.126  -0.546 -0.163
2#apb#apb40#app4062/q  0.619 0.869  0.756 1.032  0.766 1.220  0.653 1.390  0.440 1.411  0.237 1.342  0.035 1.263  -0.161 1.171  -0.343 1.055  -0.504 0.911  -0.635 0.738  -0.758 0.564  -0.794 0.351  -0.750 0.143  -0.582 0.025  -0.374 0.063  -0.180 0.158  0.003 0.273  0.169 0.412  0.335 0.551  0.506 0.684  0.558 0.697  0.439 0.516  0.328 0.330  0.200 0.156  0.099 -0.036  0.005 -0.231  -0.074 -0.433  -0.154 -0.634  -0.234 -0.836  -0.311 -1.038  -0.384 -1.242  -0.459 -1.446  -0.536 -1.648  -0.629 -1.843  -0.549 -1.692  -0.416 -1.521  -0.275 -1.357  -0.124 -1.202  0.046 -1.068  0.190 -0.906  0.267 -0.705  0.280 -0.491  0.266 -0.275  0.244 -0.060  0.213 0.155  0.093 0.311  0.278 0.268  0.494 0.291  0.709 0.313
2#apb#apb40#app4062/.  0.749 -1.106  0.668 -1.106  0.587 -1.106  0.506 -1.106  0.425 -1.106  0.344 -1.106  0.262 -1.106  0.181 -1.106  0.100 -1.106  0.019 -1.106  -0.062 -1.106  -0.129 -1.072  -0.187 -1.015  -0.244 -0.957  -0.301 -0.900  -0.359 -0.843  -0.377 -0.769  -0.377 -0.688  -0.377 -0.607  -0.377 -0.525  -0.377 -0.444  -0.377 -0.363  -0.377 -0.282  -0.377 -0.201  -0.377 -0.120  -0.377 -0.039  -0.367 0.040  -0.331 0.113  -0.294 0.185  -0.258 0.258  -0.222 0.330  -0.185 0.403  -0.149 0.475  -0.113 0.548  -0.077 0.621  -0.040 0.693  -0.004 0.766  0.032 0.838  0.069 0.911  0.105 0.983  0.141 1.056  0.177 1.129  0.214 1.201  0.250 1.274  0.286 1.346  0.323 1.419  0.359 1.491  0.395 1.564  0.431 1.636  0.468 1.709
2#apb#apb40#app4062/F  -0.510 0.768  -0.395 0.786  -0.237 0.851  -0.083 0.926  0.071 1.003  0.217 1.091  0.363 1.181  0.505 1.276  0.639 1.382  0.646 1.386  0.538 1.253  0.455 1.104  0.394 0.945  0.362 0.777  0.349 0.607  0.343 0.435  0.329 0.265  0.314 0.094  0.294 -0.076  0.273 -0.246  0.235 -0.413  0.196 -0.580  0.136 -0.740  0.072 -0.899  -0.009 -1.049  -0.115 -1.182  -0.244 -1.295  -0.408 -1.322  -0.577 -1.293  -0.726 -1.216  -0.867 -1.118  -0.978 -0.988  -1.087 -0.856  -1.186 -0.717  -1.118 -0.636  -0.959 -0.574  -0.799 -0.513  -0.661 -0.451  -0.509 -0.376  -0.349 -0.314  -0.197 -0.234  -0.046 -0.155  0.107 -0.078  0.266 -0.015  0.426 0.048  0.585 0.110  0.745 0.172  0.905 0.233  1.065 0.294  1.226 0.352
2#apb#apb40#app4062/a  0.546 -0.019  0.587 0.132  0.627 0.283  0.659 0.437  0.686 0.591  0.699 0.747  0.694 0.901  0.610 1.019  0.467 1.083  0.329 1.020  0.192 0.945  0.055 0.869  -0.075 0.782  -0.198 0.685  -0.321 0.589  -0.445 0.492  -0.568 0.395  -0.685 0.292  -0.789 0.174  -0.892 0.057  -0.996 -0.061  -1.099 -0.179  -1.188 -0.306  -1.256 -0.447  -1.323 -0.589  -1.359 -0.734  -1.312 -0.878  -1.164 -0.927  -1.015 -0.911  -0.865 -0.863  -0.716 -0.816  -0.571 -0.759  -0.437 -0.678  -0.303 -0.596  -0.169 -0.515  -0.035 -0.434  0.093 -0.344  0.213 -0.243  0.333 -0.143  0.454 -0.043  0.574 0.058  0.710 0.136  0.847 0.210  0.982 0.204  1.046 0.062  1.099 -0.085  1.173 -0.223  1.247 -0.361  1.365 -0.461  1.493 -0.551
