3#apa#apa15#app1522/A  -1.123 -0.767  -1.109 -0.596  -1.012 -0.450  -0.915 -0.304  -0.819 -0.157  -0.814 0.018  -0.780 0.190  -0.745 0.362  -0.711 0.534  -0.676 0.707  -0.626 0.874  -0.570 1.041  -0.513 1.206  -0.389 1.331  -0.365 1.496  -0.207 1.495  -0.129 1.338  -0.036 1.203  0.106 1.157  0.161 0.990  0.217 0.824  0.268 0.656  0.316 0.487  0.365 0.318  0.413 0.149  0.461 -0.019  0.509 -0.188  0.545 -0.359  0.545 -0.534  0.545 -0.710  0.574 -0.882  0.616 -1.052  0.659 -1.222  0.696 -1.393  0.696 -1.482  0.696 -1.306  0.696 -1.131  0.696 -0.955  0.696 -0.779  0.696 -0.604  0.671 -0.439  0.547 -0.315  0.423 -0.191  0.299 -0.066  0.147 -0.009  -0.029 -0.009  -0.204 -0.009  -0.331 -0.127  -0.492 -0.161  -0.668 -0.161
3#apa#apa15#app1522/Q  -0.034 0.508  0.112 0.654  0.138 0.850  0.106 1.025  -0.100 1.025  -0.307 1.025  -0.474 0.929  -0.620 0.783  -0.737 0.621  -0.787 0.420  -0.837 0.220  -0.887 0.020  -0.950 -0.177  -1.016 -0.373  -1.066 -0.571  -1.066 -0.778  -1.066 -0.984  -1.066 -1.191  -0.901 -1.295  -0.717 -1.382  -0.532 -1.290  -0.354 -1.188  -0.208 -1.042  -0.062 -0.896  0.084 -0.750  0.230 -0.604  0.376 -0.458  0.512 -0.304  0.618 -0.127  0.724 0.050  0.830 0.227  0.937 0.405  1.037 0.585  1.129 0.769  1.090 0.933  0.926 1.000  0.730 0.935  0.534 0.870  0.346 0.784  0.162 0.692  0.011 0.553  -0.034 0.365  -0.034 0.158  -0.005 -0.037  0.141 -0.182  0.313 -0.297  0.485 -0.411  0.656 -0.526  0.802 -0.672  0.827 -0.869
3#apa#apa15#app1522/u  -0.644 0.868  -0.758 0.868  -0.853 0.849  -0.853 0.735  -0.853 0.622  -0.853 0.508  -0.835 0.397  -0.799 0.289  -0.763 0.182  -0.727 0.074  -0.691 -0.034  -0.655 -0.142  -0.619 -0.250  -0.583 -0.357  -0.547 -0.465  -0.511 -0.573  -0.475 -0.681  -0.439 -0.789  -0.436 -0.902  -0.436 -1.015  -0.436 -1.129  -0.412 -1.204  -0.310 -1.153  -0.208 -1.102  -0.107 -1.051  -0.012 -0.993  0.039 -0.892  0.089 -0.790  0.140 -0.688  0.191 -0.587  0.250 -0.489  0.308 -0.392  0.367 -0.294  0.425 -0.197  0.484 -0.100  0.542 -0.002  0.601 0.095  0.659 0.193  0.718 0.290  0.776 0.388  0.822 0.490  0.844 0.601  0.867 0.713  0.889 0.824  0.911 0.936  0.933 1.047  0.956 1.159  0.978 1.270  1.000 1.381  1.023 1.493
3#apa#apa15#app1522/i  0.063 0.362  0.063 0.250  0.063 0.139  0.063 0.027  0.063 -0.085  0.063 -0.197  0.063 -0.309  0.063 -0.421  0.063 -0.533  0.063 -0.645  0.063 -0.757  0.063 -0.869  0.063 -0.981  0.063 -1.093  0.063 -1.204  0.063 -1.316  0.063 -1.428  0.062 -1.514  0.056 -1.402  0.050 -1.290  0.044 -1.178  0.038 -1.067  0.032 -0.955  0.027 -0.843  0.021 -0.731  0.015 -0.620  0.009 -0.508  0.003 -0.396  -0.003 -0.284  -0.009 -0.172  -0.015 -0.061  -0.020 0.051  -0.026 0.163  -0.032 0.275  -0.038 0.386  -0.044 0.498  -0.050 0.610  -0.056 0.722  -0.062 0.833  -0.068 0.945  -0.073 1.057  -0.079 1.169  -0.085 1.280  -0.091 1.392  -0.097 1.504  -0.103 1.616  -0.109 1.727  -0.115 1.839  -0.120 1.951  -0.126 2.063
3#apa#apa15#app1522/c  0.588 1.091  0.531 1.147  0.475 1.204  0.419 1.260  0.363 1.316  0.295 1.301  0.224 1.265  0.153 1.230  0.082 1.194  0.011 1.159  -0.060 1.123  -0.124 1.083  -0.124 1.004  -0.124 0.925  -0.126 0.845  -0.145 0.768  -0.164 0.691  -0.184 0.614  -0.203 0.537  -0.222 0.460  -0.241 0.383  -0.261 0.306  -0.280 0.229  -0.299 0.152  -0.318 0.075  -0.338 -0.002  -0.357 -0.079  -0.341 -0.155  -0.316 -0.230  -0.291 -0.305  -0.265 -0.381  -0.240 -0.456  -0.215 -0.531  -0.190 -0.607  -0.165 -0.682  -0.140 -0.757  -0.111 -0.831  -0.076 -0.902  -0.040 -0.973  -0.005 -1.044  0.031 -1.115  0.066 -1.186  0.102 -1.257  0.162 -1.304  0.233 -1.340  0.304 -1.375  0.375 -1.411  0.446 -1.446  0.517 -1.482  0.588 -1.517
3#apa#apa15#app1522/k  -0.495 1.837  -0.495 1.620  -0.495 1.403  -0.495 1.186  -0.495 0.969  -0.495 0.751  -0.495 0.534  -0.495 0.317  -0.495 0.100  -0.495 -0.117  -0.495 -0.335  -0.495 -0.552  -0.495 -0.769  -0.495 -0.986  -0.495 -1.203  -0.495 -1.421  -0.349 -1.492  -0.240 -1.329  -0.154 -1.129  -0.069 -0.929  0.017 -0.730  0.102 -0.530  0.188 -0.331  0.274 -0.131  0.359 0.069  0.445 0.268  0.530 0.468  0.616 0.668  0.701 0.867  0.787 1.067  0.616 1.098  0.584 0.913  0.370 0.892  0.164 0.824  -0.042 0.755  -0.241 0.669  -0.436 0.572  -0.495 0.392  -0.495 0.175  -0.288 0.151  -0.135 -0.002  -0.112 -0.210  0.042 -0.364  0.219 -0.488  0.400 -0.609  0.580 -0.729  0.772 -0.831  0.966 -0.928  1.073 -1.113  1.170 -1.307
3#apa#apa15#app1522/B  -0.534 0.138  -0.534 -0.074  -0.510 -0.284  -0.468 -0.493  -0.427 -0.701  -0.385 -0.909  -0.384 -1.122  -0.384 -1.334  -0.390 -1.192  -0.442 -0.986  -0.493 -0.779  -0.534 -0.572  -0.567 -0.365  -0.635 -0.163  -0.685 0.041  -0.685 0.253  -0.685 0.466  -0.685 0.678  -0.638 0.883  -0.570 1.085  -0.465 1.263  -0.315 1.413  -0.136 1.495  0.076 1.491  0.266 1.396  0.438 1.276  0.521 1.098  0.521 0.886  0.473 0.693  0.310 0.560  0.120 0.465  -0.070 0.370  -0.202 0.289  0.010 0.289  0.223 0.289  0.435 0.289  0.641 0.249  0.843 0.182  1.026 0.085  1.124 -0.087  1.090 -0.296  1.039 -0.502  0.987 -0.708  0.836 -0.834  0.646 -0.929  0.456 -1.024  0.254 -1.067  0.041 -1.067  -0.171 -1.067  -0.384 -1.067
3#apa#apa15#app1522/r  -0.448 0.193  -0.541 0.286  -0.634 0.379  -0.702 0.410  -0.702 0.279  -0.682 0.152  -0.623 0.035  -0.564 -0.083  -0.505 -0.200  -0.447 -0.318  -0.406 -0.443  -0.364 -0.568  -0.322 -0.692  -0.281 -0.817  -0.239 -0.942  -0.198 -1.067  -0.195 -1.198  -0.195 -1.328  -0.195 -1.196  -0.205 -1.075  -0.336 -1.075  -0.448 -1.056  -0.448 -0.924  -0.448 -0.793  -0.448 -0.661  -0.448 -0.530  -0.448 -0.398  -0.448 -0.267  -0.448 -0.135  -0.423 -0.010  -0.364 0.108  -0.305 0.225  -0.247 0.343  -0.181 0.453  -0.063 0.512  0.055 0.571  0.172 0.630  0.290 0.689  0.415 0.726  0.543 0.757  0.670 0.789  0.798 0.821  0.925 0.853  1.053 0.885  1.181 0.917  1.308 0.949  1.439 0.953  1.570 0.953  1.702 0.953  1.833 0.953
3#apa#apa15#app1522/o  -0.096 0.845  -0.096 0.989  -0.096 1.090  -0.096 0.946  -0.052 0.845  0.092 0.845  0.217 0.799  0.319 0.697  0.421 0.595  0.522 0.493  0.624 0.392  0.718 0.284  0.782 0.155  0.846 0.026  0.911 -0.103  0.983 -0.220  1.127 -0.220  1.220 -0.251  1.155 -0.380  1.091 -0.509  1.027 -0.638  0.954 -0.756  0.814 -0.791  0.674 -0.826  0.535 -0.861  0.395 -0.896  0.255 -0.931  0.115 -0.966  -0.024 -1.001  -0.154 -0.979  -0.274 -0.899  -0.394 -0.819  -0.514 -0.740  -0.634 -0.660  -0.753 -0.580  -0.873 -0.500  -0.947 -0.380  -1.012 -0.251  -1.076 -0.122  -1.141 0.007  -1.090 0.117  -0.988 0.219  -0.894 0.324  -0.894 0.468  -0.871 0.602  -0.769 0.704  -0.667 0.806  -0.565 0.908  -0.464 1.010  -0.362 1.111
3#apa#apa15#app1522/w  -0.916 0.988  -0.916 0.852  -0.916 0.716  -0.916 0.579  -0.916 0.443  -0.916 0.307  -0.916 0.170  -0.916 0.034  -0.916 -0.102  -0.916 -0.238  -0.916 -0.375  -0.894 -0.508  -0.851 -0.637  -0.808 -0.766  -0.765 -0.895  -0.703 -1.013  -0.607 -1.110  -0.510 -1.110  -0.414 -1.014  -0.340 -0.901  -0.279 -0.779  -0.218 -0.657  -0.157 -0.535  -0.096 -0.414  -0.035 -0.292  -0.021 -0.159  -0.021 -0.022  -0.007 0.108  0.089 0.205  0.157 0.233  0.157 0.097  0.157 -0.039  0.222 -0.149  0.318 -0.246  0.447 -0.264  0.576 -0.233  0.698 -0.172  0.820 -0.111  0.897 -0.012  0.940 0.117  0.984 0.247  1.027 0.376  1.092 0.492  1.188 0.588  1.231 0.707  1.231 0.843  1.231 0.979  1.174 1.102  1.113 1.224  1.052 1.346
3#apa#apa15#app1522/n  -0.804 0.826  -0.804 0.671  -0.804 0.515  -0.804 0.360  -0.704 0.246  -0.594 0.136  -0.563 -0.007  -0.563 -0.163  -0.563 -0.318  -0.563 -0.474  -0.563 -0.629  -0.563 -0.785  -0.563 -0.940  -0.563 -1.096  -0.563 -1.251  -0.563 -1.271  -0.563 -1.115  -0.563 -0.960  -0.563 -0.804  -0.563 -0.649  -0.563 -0.493  -0.563 -0.338  -0.563 -0.182  -0.563 -0.027  -0.550 0.125  -0.464 0.254  -0.377 0.384  -0.291 0.513  -0.205 0.642  -0.119 0.772  0.008 0.826  0.162 0.830  0.272 0.940  0.382 1.050  0.530 1.067  0.640 1.021  0.640 0.865  0.722 0.744  0.832 0.634  0.942 0.524  1.052 0.414  1.121 0.287  1.121 0.131  1.121 -0.024  1.121 -0.180  1.121 -0.335  1.121 -0.491  1.141 -0.638  1.251 -0.748  1.361 -0.858
