3#app#app14#app1460/P  -0.433 1.293  -0.433 1.095  -0.413 0.903  -0.325 0.726  -0.316 0.530  -0.316 0.333  -0.316 0.135  -0.269 -0.043  -0.199 -0.211  -0.199 -0.409  -0.199 -0.606  -0.199 -0.804  -0.199 -1.002  -0.199 -1.199  -0.199 -1.397  -0.199 -1.594  -0.199 -1.792  -0.199 -1.753  -0.199 -1.555  -0.199 -1.358  -0.199 -1.160  -0.199 -0.963  -0.199 -0.765  -0.199 -0.567  -0.199 -0.370  -0.225 -0.178  -0.313 -0.002  -0.316 0.195  -0.316 0.393  -0.316 0.590  -0.316 0.788  -0.316 0.986  -0.228 1.147  -0.054 1.203  0.107 1.293  0.304 1.293  0.502 1.293  0.677 1.238  0.816 1.098  0.856 0.917  0.856 0.720  0.856 0.522  0.856 0.325  0.778 0.160  0.675 -0.007  0.566 -0.169  0.394 -0.230  0.314 -0.348  0.116 -0.348  -0.081 -0.348
3#app#app14#app1460/e  -0.246 -0.098  -0.110 -0.098  -0.041 -0.031  -0.041 0.105  0.093 0.107  0.210 0.153  0.306 0.249  0.402 0.345  0.498 0.442  0.595 0.538  0.691 0.634  0.778 0.734  0.778 0.870  0.778 1.006  0.766 1.130  0.630 1.130  0.494 1.130  0.358 1.130  0.222 1.130  0.094 1.095  -0.027 1.035  -0.149 0.974  -0.246 0.898  -0.246 0.762  -0.341 0.721  -0.451 0.694  -0.451 0.558  -0.517 0.450  -0.613 0.354  -0.655 0.235  -0.655 0.099  -0.655 -0.037  -0.655 -0.173  -0.655 -0.309  -0.655 -0.445  -0.655 -0.581  -0.652 -0.715  -0.556 -0.811  -0.460 -0.908  -0.364 -1.004  -0.268 -1.100  -0.172 -1.196  -0.075 -1.292  0.046 -1.326  0.182 -1.326  0.318 -1.326  0.429 -1.387  0.525 -1.483  0.642 -1.531  0.778 -1.531
3#app#app14#app1460/r  -0.385 -1.562  -0.307 -1.562  -0.228 -1.562  -0.150 -1.562  -0.136 -1.497  -0.136 -1.419  -0.136 -1.341  -0.136 -1.262  -0.136 -1.184  -0.136 -1.106  -0.136 -1.027  -0.136 -0.949  -0.136 -0.870  -0.136 -0.792  -0.136 -0.714  -0.136 -0.635  -0.136 -0.557  -0.136 -0.478  -0.136 -0.400  -0.136 -0.322  -0.136 -0.243  -0.136 -0.165  -0.136 -0.086  -0.136 -0.008  -0.136 0.070  -0.136 0.149  -0.136 0.227  -0.136 0.306  -0.136 0.384  -0.136 0.462  -0.136 0.541  -0.136 0.619  -0.136 0.697  -0.136 0.776  -0.136 0.854  -0.134 0.930  -0.055 0.930  0.023 0.930  0.102 0.930  0.160 0.977  0.216 1.033  0.271 1.088  0.327 1.144  0.390 1.179  0.469 1.179  0.547 1.179  0.626 1.179  0.704 1.179  0.782 1.179  0.861 1.179
3#app#app14#app1460/h  -0.418 2.025  -0.418 1.888  -0.418 1.750  -0.418 1.612  -0.418 1.475  -0.418 1.337  -0.418 1.199  -0.418 1.062  -0.418 0.924  -0.418 0.786  -0.418 0.649  -0.418 0.511  -0.418 0.373  -0.418 0.236  -0.418 0.098  -0.418 -0.040  -0.418 -0.177  -0.418 -0.315  -0.418 -0.453  -0.418 -0.590  -0.418 -0.728  -0.418 -0.866  -0.325 -0.965  -0.257 -1.074  -0.257 -1.212  -0.257 -1.349  -0.257 -1.224  -0.180 -1.118  -0.096 -1.015  -0.096 -0.877  -0.002 -0.779  0.065 -0.669  0.065 -0.531  0.065 -0.393  0.160 -0.295  0.226 -0.185  0.241 -0.053  0.338 0.044  0.387 0.161  0.432 0.254  0.548 0.233  0.548 0.095  0.684 0.093  0.789 0.014  0.886 -0.083  0.983 -0.181  1.031 -0.298  1.078 -0.389  1.192 -0.413  1.192 -0.550
3#app#app14#app1460/a  0.504 0.635  0.677 0.635  0.796 0.689  0.796 0.863  0.687 0.927  0.514 0.927  0.340 0.927  0.166 0.927  -0.007 0.927  -0.181 0.927  -0.354 0.927  -0.483 0.818  -0.605 0.696  -0.754 0.635  -0.927 0.635  -0.959 0.493  -0.975 0.326  -1.098 0.203  -1.221 0.081  -1.251 -0.080  -1.251 -0.254  -1.251 -0.427  -1.205 -0.582  -1.082 -0.704  -0.960 -0.827  -0.786 -0.828  -0.613 -0.828  -0.439 -0.828  -0.374 -0.720  -0.374 -0.546  -0.211 -0.535  -0.038 -0.535  0.136 -0.535  0.281 -0.466  0.403 -0.343  0.504 -0.211  0.504 -0.038  0.590 0.050  0.764 0.050  0.796 0.191  0.796 0.320  0.796 0.147  0.796 -0.027  0.796 -0.200  0.796 -0.374  0.805 -0.544  0.928 -0.667  1.050 -0.789  1.089 -0.947  1.089 -1.120
3#app#app14#app1460/p  -0.364 0.404  -0.488 0.280  -0.525 0.120  -0.428 -0.015  -0.364 -0.164  -0.364 -0.339  -0.364 -0.514  -0.364 -0.689  -0.364 -0.865  -0.364 -1.040  -0.364 -1.215  -0.364 -1.390  -0.364 -1.565  -0.364 -1.634  -0.364 -1.459  -0.364 -1.284  -0.364 -1.108  -0.364 -0.933  -0.364 -0.758  -0.364 -0.583  -0.364 -0.407  -0.289 -0.250  -0.211 -0.093  -0.204 0.080  -0.204 0.255  -0.204 0.431  -0.204 0.606  -0.204 0.781  -0.204 0.956  -0.204 1.132  -0.134 1.278  -0.010 1.402  0.114 1.526  0.287 1.530  0.450 1.510  0.528 1.353  0.610 1.199  0.734 1.075  0.762 0.911  0.762 0.736  0.762 0.561  0.762 0.386  0.762 0.210  0.762 0.035  0.718 -0.122  0.601 -0.249  0.584 -0.417  0.460 -0.541  0.293 -0.561  0.118 -0.561
3#app#app14#app1460/s  0.675 1.264  0.675 1.137  0.675 1.010  0.559 0.999  0.432 0.999  0.306 0.999  0.179 0.999  0.052 0.999  -0.075 0.999  -0.119 0.917  -0.119 0.790  -0.191 0.735  -0.317 0.735  -0.444 0.735  -0.571 0.735  -0.698 0.735  -0.824 0.735  -0.912 0.696  -0.912 0.569  -0.884 0.471  -0.757 0.471  -0.635 0.458  -0.546 0.369  -0.456 0.279  -0.366 0.189  -0.277 0.100  -0.187 0.010  -0.089 -0.058  0.038 -0.058  0.159 -0.072  0.249 -0.161  0.338 -0.251  0.410 -0.348  0.410 -0.475  0.424 -0.587  0.551 -0.587  0.675 -0.591  0.675 -0.717  0.675 -0.844  0.591 -0.936  0.501 -1.026  0.411 -1.115  0.322 -1.205  0.232 -1.295  0.141 -1.381  0.014 -1.381  -0.112 -1.381  -0.204 -1.466  -0.293 -1.556  -0.383 -1.645
3#app#app14#app1460/t  1.269 -0.403  1.091 -0.403  0.914 -0.403  0.736 -0.403  0.558 -0.403  0.381 -0.403  0.203 -0.403  0.025 -0.403  -0.142 -0.427  -0.268 -0.553  -0.426 -0.602  -0.603 -0.602  -0.761 -0.650  -0.887 -0.775  -0.860 -0.667  -0.797 -0.501  -0.733 -0.335  -0.669 -0.169  -0.605 -0.003  -0.541 0.163  -0.478 0.328  -0.414 0.494  -0.350 0.660  -0.286 0.826  -0.222 0.992  -0.159 1.158  -0.095 1.323  -0.031 1.489  0.033 1.655  0.080 1.730  0.080 1.553  0.080 1.375  0.080 1.197  0.080 1.020  0.080 0.842  0.080 0.664  0.112 0.492  0.168 0.323  0.224 0.155  0.278 -0.014  0.278 -0.192  0.278 -0.370  0.278 -0.547  0.278 -0.725  0.278 -0.903  0.278 -1.080  0.278 -1.258  0.278 -1.436  0.278 -1.613  0.278 -1.791
3#app#app14#app1460/h  -0.249 2.155  -0.249 2.009  -0.249 1.864  -0.249 1.719  -0.249 1.573  -0.249 1.428  -0.249 1.282  -0.249 1.137  -0.249 0.991  -0.249 0.846  -0.249 0.700  -0.249 0.555  -0.249 0.409  -0.249 0.264  -0.249 0.118  -0.249 -0.027  -0.249 -0.173  -0.249 -0.318  -0.249 -0.464  -0.249 -0.609  -0.249 -0.754  -0.306 -0.886  -0.372 -1.017  -0.396 -1.156  -0.396 -1.302  -0.396 -1.268  -0.356 -1.132  -0.291 -1.001  -0.249 -0.866  -0.249 -0.720  -0.233 -0.577  -0.187 -0.439  -0.141 -0.301  -0.086 -0.169  0.017 -0.066  0.043 0.068  0.119 0.182  0.236 0.252  0.381 0.252  0.514 0.221  0.617 0.118  0.629 -0.022  0.719 -0.130  0.775 -0.253  0.775 -0.398  0.775 -0.544  0.775 -0.689  0.775 -0.834  0.819 -0.962  0.922 -1.065
3#app#app14#app1460/e  -0.143 0.072  -0.023 0.072  0.096 0.072  0.215 0.072  0.323 0.098  0.407 0.182  0.491 0.266  0.576 0.350  0.660 0.435  0.737 0.522  0.737 0.641  0.737 0.760  0.737 0.879  0.737 0.998  0.737 1.117  0.671 1.171  0.552 1.171  0.433 1.171  0.314 1.171  0.225 1.098  0.140 1.014  0.056 0.930  -0.028 0.846  -0.112 0.761  -0.196 0.677  -0.281 0.593  -0.364 0.508  -0.417 0.402  -0.470 0.295  -0.524 0.189  -0.577 0.082  -0.582 -0.036  -0.582 -0.155  -0.582 -0.274  -0.582 -0.393  -0.582 -0.512  -0.582 -0.631  -0.582 -0.750  -0.582 -0.869  -0.582 -0.988  -0.525 -1.084  -0.441 -1.168  -0.357 -1.252  -0.273 -1.337  -0.188 -1.421  -0.088 -1.467  0.031 -1.467  0.129 -1.518  0.213 -1.602  0.297 -1.686
3#app#app14#app1460/g  -0.052 1.262  0.080 1.300  0.005 1.395  -0.165 1.395  -0.317 1.376  -0.373 1.262  -0.543 1.262  -0.581 1.131  -0.700 1.011  -0.821 0.891  -0.845 0.731  -0.805 0.602  -0.658 0.547  -0.520 0.470  -0.350 0.470  -0.220 0.566  -0.065 0.602  0.059 0.713  0.179 0.833  0.212 0.743  0.212 0.573  0.212 0.404  0.212 0.234  0.312 0.105  0.344 -0.051  0.344 -0.221  0.344 -0.391  0.344 -0.560  0.349 -0.729  0.425 -0.881  0.476 -1.039  0.476 -1.208  0.476 -1.378  0.358 -1.499  0.326 -1.645  0.172 -1.605  0.041 -1.512  -0.052 -1.436  -0.052 -1.266  -0.052 -1.096  -0.052 -0.926  -0.052 -0.757  -0.052 -0.587  -0.052 -0.417  -0.052 -0.247  0.061 -0.191  0.099 -0.059  0.269 -0.059  0.439 -0.059  0.608 -0.059
