2#app#app35#app3520/8  0.563 1.218  0.388 1.218  0.212 1.218  0.037 1.218  -0.139 1.218  -0.272 1.115  -0.426 1.065  -0.482 0.912  -0.601 0.786  -0.691 0.648  -0.691 0.472  -0.691 0.297  -0.580 0.167  -0.456 0.043  -0.320 -0.064  -0.164 -0.144  -0.040 -0.268  0.084 -0.392  0.208 -0.516  0.332 -0.641  0.394 -0.767  0.459 -0.878  0.459 -1.053  0.427 -1.216  0.303 -1.340  0.150 -1.394  0.018 -1.498  -0.157 -1.498  -0.273 -1.438  -0.396 -1.375  -0.482 -1.235  -0.482 -1.060  -0.417 -0.911  -0.293 -0.787  -0.254 -0.624  -0.175 -0.467  -0.058 -0.338  0.020 -0.181  0.132 -0.048  0.256 0.076  0.371 0.207  0.449 0.364  0.481 0.532  0.559 0.689  0.563 0.863  0.563 1.039  0.463 1.114  0.392 1.218  0.216 1.218  0.041 1.218
2#app#app35#app3520/:  -0.173 1.031  -0.086 1.031  0.001 1.031  0.077 1.042  0.077 1.128  0.077 1.215  0.057 1.282  -0.030 1.282  -0.117 1.282  -0.173 1.251  -0.173 1.164  -0.173 1.077  -0.173 0.990  -0.173 0.904  -0.173 0.817  -0.122 0.781  -0.035 0.781  0.052 0.781  0.077 0.720  0.077 0.633  0.077 0.546  0.077 0.459  0.077 0.372  0.077 0.285  0.077 0.198  0.077 0.111  0.077 0.024  0.077 -0.063  0.077 -0.150  0.077 -0.236  0.077 -0.323  0.077 -0.410  0.077 -0.497  0.077 -0.584  0.077 -0.671  0.077 -0.758  0.077 -0.845  0.077 -0.932  0.077 -1.019  0.077 -1.106  0.077 -1.193  0.077 -1.279  0.077 -1.366  0.077 -1.453  0.011 -1.474  -0.076 -1.474  -0.163 -1.474  -0.173 -1.550  -0.173 -1.637  -0.173 -1.724
2#app#app35#app3520/4  -0.356 1.318  -0.408 1.173  -0.502 1.069  -0.509 0.874  -0.648 0.733  -0.648 0.535  -0.722 0.368  -0.862 0.228  -0.940 0.062  -1.039 -0.094  -1.085 -0.273  -1.047 -0.433  -0.849 -0.433  -0.652 -0.433  -0.454 -0.433  -0.256 -0.433  -0.058 -0.433  0.140 -0.433  0.338 -0.433  0.520 -0.449  0.506 -0.512  0.464 -0.319  0.423 -0.125  0.381 0.068  0.340 0.262  0.298 0.456  0.257 0.649  0.215 0.843  0.174 1.036  0.132 1.230  0.091 1.423  0.082 1.309  0.126 1.129  0.228 0.973  0.228 0.775  0.228 0.577  0.228 0.379  0.228 0.182  0.228 -0.016  0.261 -0.207  0.349 -0.384  0.374 -0.576  0.374 -0.774  0.374 -0.972  0.482 -1.125  0.520 -1.307  0.520 -1.505  0.592 -1.673  0.666 -1.840  0.666 -2.038
2#app#app35#app3520/&  0.510 -0.328  0.486 -0.193  0.340 -0.159  0.228 -0.046  0.115 0.067  0.002 0.180  -0.144 0.214  -0.168 0.349  -0.281 0.462  -0.303 0.613  -0.438 0.637  -0.438 0.796  -0.503 0.891  -0.574 0.980  -0.574 1.140  -0.574 1.299  -0.548 1.433  -0.388 1.433  -0.228 1.433  -0.167 1.334  -0.167 1.175  -0.167 1.015  -0.167 0.855  -0.209 0.713  -0.303 0.592  -0.303 0.433  -0.356 0.295  -0.438 0.170  -0.438 0.010  -0.438 -0.149  -0.438 -0.309  -0.438 -0.469  -0.438 -0.628  -0.438 -0.788  -0.438 -0.947  -0.337 -1.006  -0.214 -1.094  -0.074 -1.141  0.086 -1.141  0.245 -1.141  0.405 -1.141  0.549 -1.102  0.668 -1.006  0.828 -1.006  0.967 -0.955  1.091 -0.870  1.187 -0.807  1.187 -0.647  1.187 -0.711  1.052 -0.735
2#app#app35#app3520/4  -0.484 1.191  -0.518 1.012  -0.628 0.864  -0.628 0.671  -0.628 0.478  -0.656 0.296  -0.773 0.152  -0.773 -0.042  -0.862 -0.198  -0.917 -0.368  -1.033 -0.513  -1.169 -0.650  -1.065 -0.687  -0.872 -0.687  -0.773 -0.593  -0.630 -0.543  -0.437 -0.543  -0.244 -0.543  -0.051 -0.543  0.142 -0.543  0.335 -0.543  0.372 -0.397  0.359 -0.204  0.345 -0.012  0.331 0.181  0.317 0.374  0.304 0.566  0.290 0.759  0.276 0.952  0.262 1.144  0.248 1.337  0.274 1.444  0.383 1.297  0.470 1.191  0.527 1.055  0.527 0.862  0.527 0.668  0.527 0.475  0.527 0.282  0.527 0.089  0.527 -0.104  0.527 -0.297  0.527 -0.490  0.527 -0.684  0.527 -0.877  0.527 -1.070  0.527 -1.263  0.527 -1.456  0.527 -1.649  0.527 -1.843
2#app#app35#app3520/:  0.268 1.197  0.216 1.250  0.163 1.303  0.110 1.356  0.057 1.408  0.005 1.461  -0.004 1.408  -0.004 1.333  -0.004 1.258  -0.004 1.184  -0.004 1.109  -0.004 1.035  -0.004 0.960  -0.004 0.885  -0.004 0.811  -0.004 0.736  -0.004 0.662  -0.004 0.587  -0.004 0.513  -0.004 0.438  -0.004 0.363  -0.004 0.289  -0.004 0.214  -0.004 0.140  -0.004 0.065  -0.004 -0.009  -0.004 -0.084  -0.004 -0.159  -0.004 -0.233  -0.004 -0.308  -0.004 -0.382  -0.004 -0.457  -0.004 -0.531  -0.004 -0.606  -0.004 -0.681  -0.004 -0.755  -0.004 -0.830  -0.004 -0.904  -0.004 -0.979  -0.004 -1.053  -0.004 -1.128  -0.004 -1.203  -0.004 -1.277  -0.004 -1.352  -0.004 -1.426  -0.004 -1.501  -0.053 -1.527  -0.127 -1.527  -0.202 -1.527  -0.276 -1.527
2#app#app35#app3520/2  -0.807 0.601  -0.807 0.738  -0.807 0.875  -0.748 0.953  -0.689 1.031  -0.592 1.070  -0.455 1.070  -0.358 1.167  -0.230 1.188  -0.094 1.188  0.043 1.188  0.180 1.188  0.297 1.140  0.405 1.070  0.484 1.012  0.484 0.875  0.581 0.836  0.601 0.719  0.601 0.582  0.574 0.457  0.484 0.357  0.463 0.229  0.367 0.132  0.249 0.113  0.215 -0.003  0.092 -0.064  0.014 -0.152  -0.055 -0.220  -0.103 -0.309  -0.211 -0.337  -0.310 -0.428  -0.436 -0.455  -0.456 -0.572  -0.572 -0.592  -0.572 -0.729  -0.572 -0.866  -0.517 -0.979  -0.455 -1.091  -0.386 -1.158  -0.249 -1.158  -0.144 -1.082  -0.024 -1.041  0.113 -1.041  0.249 -1.041  0.386 -1.041  0.523 -1.041  0.660 -1.041  0.797 -1.041  0.836 -1.139  0.953 -1.158
2#app#app35#app3520/&  0.641 -0.346  0.507 -0.228  0.405 -0.146  0.287 -0.081  0.193 0.008  0.128 0.126  0.051 0.232  -0.071 0.362  -0.185 0.432  -0.280 0.575  -0.410 0.705  -0.422 0.883  -0.502 1.033  -0.540 1.201  -0.462 1.307  -0.321 1.407  -0.145 1.425  0.038 1.425  0.221 1.425  0.287 1.307  0.287 1.124  0.287 0.941  0.210 0.835  0.152 0.700  0.033 0.562  -0.049 0.399  -0.168 0.261  -0.298 0.132  -0.427 0.002  -0.540 -0.134  -0.629 -0.228  -0.684 -0.372  -0.776 -0.517  -0.776 -0.700  -0.776 -0.883  -0.658 -0.948  -0.580 -1.054  -0.439 -1.155  -0.263 -1.172  -0.080 -1.172  0.104 -1.172  0.287 -1.172  0.470 -1.172  0.615 -1.080  0.759 -1.026  0.853 -0.936  0.759 -0.895  0.865 -0.818  0.930 -0.700  1.113 -0.700
2#app#app35#app3520/2  -0.793 0.878  -0.793 0.998  -0.787 1.115  -0.702 1.200  -0.593 1.226  -0.473 1.226  -0.353 1.226  -0.233 1.226  -0.113 1.226  0.007 1.226  0.020 1.119  0.131 1.110  0.217 1.029  0.323 0.994  0.368 0.919  0.368 0.799  0.368 0.679  0.368 0.559  0.368 0.439  0.368 0.319  0.269 0.298  0.252 0.195  0.145 0.182  0.136 0.072  0.022 0.066  0.018 -0.052  -0.067 -0.137  -0.151 -0.221  -0.212 -0.316  -0.250 -0.398  -0.328 -0.440  -0.328 -0.560  -0.378 -0.630  -0.444 -0.684  -0.444 -0.804  -0.444 -0.924  -0.379 -0.979  -0.328 -1.047  -0.256 -1.095  -0.136 -1.095  -0.016 -1.095  0.104 -1.095  0.224 -1.095  0.344 -1.095  0.464 -1.095  0.584 -1.095  0.704 -1.095  0.824 -1.095  0.944 -1.095  1.064 -1.095
2#app#app35#app3520/:  -0.154 1.274  -0.154 1.356  -0.154 1.438  -0.205 1.469  -0.287 1.469  -0.335 1.455  -0.277 1.397  -0.219 1.339  -0.162 1.282  -0.142 1.204  -0.127 1.124  -0.112 1.043  -0.098 0.963  -0.083 0.882  -0.069 0.802  -0.054 0.722  -0.039 0.641  -0.025 0.561  -0.010 0.481  0.005 0.400  0.019 0.320  0.034 0.239  0.048 0.159  0.063 0.079  0.078 -0.002  0.092 -0.082  0.107 -0.162  0.121 -0.243  0.136 -0.323  0.151 -0.404  0.165 -0.484  0.180 -0.564  0.195 -0.645  0.209 -0.725  0.224 -0.805  0.234 -0.886  0.234 -0.968  0.234 -1.050  0.161 -1.058  0.079 -1.058  0.040 -1.100  0.040 -1.182  0.029 -1.252  -0.053 -1.252  -0.135 -1.252  -0.092 -1.252  -0.011 -1.252  0.040 -1.283  0.040 -1.365  0.040 -1.447
2#app#app35#app3520/1  -0.059 1.591  -0.132 1.591  -0.197 1.582  -0.197 1.509  -0.197 1.436  -0.197 1.363  -0.197 1.290  -0.197 1.217  -0.197 1.144  -0.197 1.071  -0.197 0.998  -0.197 0.925  -0.173 0.858  -0.140 0.792  -0.108 0.727  -0.075 0.662  -0.059 0.592  -0.059 0.519  -0.059 0.446  -0.059 0.373  -0.059 0.300  -0.059 0.227  -0.059 0.154  -0.059 0.081  -0.059 0.008  -0.059 -0.065  -0.059 -0.138  -0.047 -0.206  0.004 -0.257  0.056 -0.309  0.078 -0.373  0.078 -0.446  0.078 -0.519  0.078 -0.592  0.078 -0.665  0.078 -0.738  0.078 -0.811  0.081 -0.883  0.132 -0.934  0.184 -0.986  0.215 -1.046  0.215 -1.119  0.215 -1.192  0.215 -1.265  0.215 -1.338  0.215 -1.411  0.215 -1.484  0.215 -1.557  0.279 -1.566  0.352 -1.566
