1a#apb#apb35#app3562/4  -1.014 0.644  -0.966 0.581  -0.978 0.399  -1.031 0.220  -1.090 0.043  -1.150 -0.133  -1.215 -0.307  -1.282 -0.481  -1.181 -0.544  -1.002 -0.494  -0.818 -0.467  -0.632 -0.456  -0.448 -0.431  -0.263 -0.411  -0.077 -0.403  0.109 -0.399  0.295 -0.399  0.481 -0.410  0.665 -0.436  0.851 -0.442  1.008 -0.421  0.948 -0.244  0.888 -0.068  0.828 0.108  0.768 0.284  0.708 0.460  0.648 0.637  0.588 0.813  0.528 0.989  0.468 1.165  0.408 1.342  0.348 1.518  0.315 1.446  0.297 1.261  0.283 1.075  0.270 0.889  0.258 0.704  0.246 0.518  0.225 0.333  0.200 0.148  0.175 -0.036  0.154 -0.221  0.134 -0.406  0.114 -0.591  0.078 -0.774  0.043 -0.957  0.006 -1.139  -0.032 -1.321  -0.073 -1.503  -0.085 -1.685
1a#apb#apb35#app3562/8  0.464 1.353  0.324 1.415  0.174 1.434  0.022 1.425  -0.107 1.358  -0.215 1.252  -0.288 1.118  -0.349 0.978  -0.389 0.831  -0.406 0.680  -0.404 0.528  -0.356 0.383  -0.317 0.235  -0.262 0.095  -0.173 -0.029  -0.073 -0.144  0.021 -0.264  0.098 -0.395  0.172 -0.529  0.226 -0.670  0.252 -0.820  0.249 -0.970  0.194 -1.109  0.086 -1.217  -0.032 -1.313  -0.162 -1.394  -0.306 -1.442  -0.458 -1.434  -0.594 -1.367  -0.678 -1.251  -0.640 -1.113  -0.568 -0.978  -0.504 -0.839  -0.425 -0.710  -0.333 -0.588  -0.237 -0.470  -0.125 -0.366  -0.013 -0.262  0.095 -0.154  0.203 -0.046  0.297 0.074  0.390 0.195  0.476 0.321  0.557 0.450  0.623 0.587  0.674 0.731  0.703 0.879  0.712 1.032  0.708 1.184  0.698 1.336
1a#apb#apb35#app3562/1  0.312 1.461  0.312 1.531  0.344 1.524  0.369 1.467  0.352 1.399  0.335 1.331  0.318 1.263  0.301 1.195  0.284 1.127  0.268 1.059  0.253 0.991  0.238 0.922  0.223 0.854  0.207 0.785  0.192 0.717  0.177 0.649  0.162 0.580  0.146 0.512  0.131 0.443  0.115 0.375  0.099 0.307  0.083 0.239  0.068 0.170  0.052 0.102  0.036 0.034  0.020 -0.035  0.005 -0.103  -0.011 -0.171  -0.027 -0.240  -0.045 -0.307  -0.065 -0.374  -0.085 -0.441  -0.106 -0.508  -0.126 -0.576  -0.147 -0.643  -0.167 -0.710  -0.188 -0.777  -0.208 -0.844  -0.228 -0.911  -0.249 -0.978  -0.271 -1.044  -0.294 -1.111  -0.317 -1.177  -0.340 -1.243  -0.363 -1.309  -0.387 -1.375  -0.410 -1.441  -0.433 -1.508  -0.456 -1.574  -0.479 -1.640
1a#apb#apb35#app3562/0  -0.062 1.187  -0.145 1.095  -0.207 0.988  -0.268 0.879  -0.321 0.767  -0.374 0.654  -0.426 0.541  -0.477 0.427  -0.528 0.314  -0.577 0.200  -0.625 0.085  -0.673 -0.030  -0.721 -0.145  -0.755 -0.264  -0.786 -0.385  -0.816 -0.506  -0.821 -0.629  -0.821 -0.754  -0.802 -0.875  -0.757 -0.991  -0.693 -1.094  -0.596 -1.165  -0.473 -1.181  -0.350 -1.191  -0.238 -1.138  -0.125 -1.085  -0.019 -1.022  0.080 -0.946  0.179 -0.871  0.271 -0.788  0.353 -0.694  0.435 -0.601  0.503 -0.498  0.547 -0.382  0.591 -0.266  0.634 -0.149  0.669 -0.030  0.705 0.090  0.740 0.209  0.769 0.329  0.774 0.454  0.778 0.578  0.782 0.702  0.780 0.826  0.756 0.948  0.732 1.070  0.707 1.192  0.644 1.294  0.556 1.382  0.468 1.470
1a#apb#apb35#app3562/5  -0.292 0.922  -0.277 0.871  -0.318 0.687  -0.366 0.506  -0.436 0.331  -0.507 0.156  -0.577 -0.018  -0.650 -0.191  -0.610 -0.139  -0.473 -0.013  -0.325 0.102  -0.152 0.173  0.033 0.210  0.219 0.232  0.405 0.225  0.544 0.098  0.661 -0.049  0.731 -0.221  0.767 -0.405  0.779 -0.592  0.761 -0.779  0.681 -0.949  0.560 -1.091  0.425 -1.222  0.288 -1.350  0.104 -1.378  -0.083 -1.402  -0.268 -1.417  -0.448 -1.364  -0.613 -1.274  -0.614 -1.112  -0.568 -0.930  -0.521 -0.748  -0.475 -0.565  -0.428 -0.383  -0.382 -0.201  -0.335 -0.018  -0.289 0.164  -0.242 0.346  -0.195 0.529  -0.149 0.711  -0.102 0.894  -0.056 1.076  -0.001 1.253  0.167 1.335  0.352 1.370  0.539 1.386  0.726 1.398  0.913 1.412  1.100 1.426
1a#apb#apb35#app3562/7  -0.311 0.838  -0.332 0.731  -0.356 0.626  -0.387 0.522  -0.452 0.444  -0.527 0.368  -0.569 0.445  -0.584 0.550  -0.524 0.628  -0.449 0.702  -0.353 0.751  -0.267 0.816  -0.172 0.868  -0.073 0.914  0.028 0.947  0.136 0.947  0.238 0.981  0.338 1.020  0.438 1.040  0.533 1.075  0.564 0.997  0.562 0.889  0.531 0.785  0.498 0.681  0.462 0.579  0.425 0.477  0.396 0.372  0.368 0.267  0.341 0.162  0.308 0.059  0.270 -0.043  0.233 -0.145  0.195 -0.247  0.157 -0.348  0.122 -0.451  0.087 -0.554  0.053 -0.657  0.019 -0.760  -0.012 -0.864  -0.039 -0.969  -0.065 -1.075  -0.091 -1.180  -0.121 -1.284  -0.158 -1.386  -0.196 -1.488  -0.233 -1.590  -0.245 -1.697  -0.252 -1.806  -0.262 -1.914  -0.274 -2.022
1a#apb#apb35#app3562/1  0.491 1.192  0.472 1.261  0.453 1.331  0.442 1.400  0.459 1.413  0.465 1.345  0.441 1.278  0.417 1.210  0.394 1.142  0.370 1.074  0.347 1.006  0.328 0.937  0.310 0.867  0.291 0.798  0.273 0.728  0.254 0.659  0.236 0.589  0.217 0.520  0.195 0.452  0.170 0.385  0.144 0.318  0.118 0.251  0.092 0.184  0.066 0.117  0.040 0.049  0.014 -0.018  -0.012 -0.085  -0.036 -0.152  -0.061 -0.220  -0.085 -0.287  -0.110 -0.355  -0.135 -0.422  -0.159 -0.490  -0.184 -0.557  -0.208 -0.625  -0.235 -0.692  -0.263 -0.758  -0.291 -0.824  -0.319 -0.890  -0.347 -0.957  -0.375 -1.023  -0.403 -1.089  -0.433 -1.154  -0.465 -1.218  -0.497 -1.283  -0.529 -1.347  -0.561 -1.411  -0.584 -1.479  -0.598 -1.549  -0.612 -1.620
1a#apb#apb35#app3562/2  -0.099 1.218  -0.232 1.175  -0.343 1.074  -0.446 0.967  -0.472 1.047  -0.418 1.189  -0.301 1.276  -0.176 1.362  -0.043 1.417  0.104 1.399  0.237 1.326  0.313 1.195  0.368 1.057  0.387 0.907  0.407 0.757  0.380 0.608  0.354 0.458  0.324 0.310  0.273 0.167  0.222 0.025  0.167 -0.116  0.086 -0.244  0.004 -0.371  -0.080 -0.497  -0.184 -0.608  -0.287 -0.718  -0.409 -0.808  -0.532 -0.895  -0.676 -0.934  -0.824 -0.922  -0.883 -0.796  -0.890 -0.647  -0.862 -0.501  -0.778 -0.375  -0.653 -0.297  -0.516 -0.232  -0.366 -0.231  -0.215 -0.238  -0.083 -0.307  0.046 -0.387  0.171 -0.471  0.290 -0.566  0.408 -0.661  0.520 -0.762  0.630 -0.866  0.745 -0.964  0.877 -1.039  1.008 -1.115  1.152 -1.160  1.297 -1.206
1a#apb#apb35#app3562/6  0.219 1.368  0.219 1.492  0.143 1.498  0.081 1.391  0.037 1.276  -0.018 1.169  -0.104 1.080  -0.162 0.970  -0.220 0.861  -0.281 0.754  -0.364 0.662  -0.444 0.568  -0.495 0.455  -0.545 0.342  -0.596 0.229  -0.657 0.122  -0.717 0.014  -0.769 -0.098  -0.797 -0.218  -0.826 -0.339  -0.847 -0.460  -0.865 -0.583  -0.863 -0.705  -0.839 -0.826  -0.782 -0.936  -0.704 -1.024  -0.591 -1.075  -0.469 -1.083  -0.346 -1.082  -0.239 -1.019  -0.132 -0.957  -0.026 -0.894  0.083 -0.834  0.191 -0.775  0.300 -0.715  0.402 -0.646  0.499 -0.569  0.595 -0.491  0.692 -0.414  0.770 -0.320  0.836 -0.215  0.902 -0.110  0.965 -0.004  1.017 0.108  1.070 0.220  1.096 0.339  1.068 0.426  0.950 0.404  0.839 0.349  0.728 0.294
1a#apb#apb35#app3562/3  -0.731 1.098  -0.860 1.018  -0.776 1.057  -0.653 1.145  -0.511 1.202  -0.363 1.231  -0.212 1.252  -0.060 1.263  0.090 1.260  0.235 1.212  0.331 1.108  0.399 0.972  0.408 0.826  0.386 0.675  0.321 0.538  0.249 0.404  0.154 0.286  0.050 0.175  -0.059 0.069  -0.180 -0.024  -0.305 -0.110  -0.443 -0.174  -0.583 -0.233  -0.731 -0.268  -0.881 -0.285  -0.851 -0.204  -0.726 -0.117  -0.587 -0.058  -0.442 -0.014  -0.290 0.005  -0.139 0.022  0.013 0.022  0.166 0.022  0.315 -0.006  0.464 -0.038  0.576 -0.141  0.680 -0.249  0.735 -0.391  0.768 -0.538  0.768 -0.690  0.752 -0.841  0.730 -0.992  0.636 -1.111  0.540 -1.229  0.432 -1.333  0.302 -1.413  0.172 -1.492  0.038 -1.566  -0.097 -1.637  -0.231 -1.708
1a#apb#apb35#app3562/1  0.550 1.585  0.492 1.550  0.461 1.488  0.430 1.426  0.398 1.364  0.367 1.302  0.349 1.235  0.336 1.167  0.322 1.099  0.308 1.031  0.295 0.963  0.281 0.895  0.264 0.827  0.245 0.761  0.226 0.694  0.208 0.627  0.189 0.560  0.170 0.493  0.151 0.426  0.133 0.359  0.114 0.292  0.095 0.226  0.076 0.159  0.055 0.092  0.035 0.026  0.015 -0.040  -0.005 -0.107  -0.025 -0.173  -0.046 -0.240  -0.066 -0.306  -0.086 -0.373  -0.107 -0.439  -0.132 -0.504  -0.156 -0.569  -0.181 -0.634  -0.206 -0.698  -0.231 -0.763  -0.255 -0.828  -0.280 -0.893  -0.305 -0.958  -0.330 -1.023  -0.356 -1.087  -0.383 -1.151  -0.409 -1.216  -0.435 -1.280  -0.461 -1.344  -0.488 -1.408  -0.514 -1.473  -0.540 -1.537  -0.567 -1.601
