1c#app#app14#app1470/w  -0.918 1.286  -0.918 1.167  -0.918 1.048  -0.918 0.929  -0.918 0.810  -0.942 0.695  -0.980 0.582  -1.017 0.469  -1.055 0.356  -1.090 0.243  -1.090 0.124  -1.090 0.005  -1.090 -0.114  -1.090 -0.233  -1.004 -0.266  -0.885 -0.266  -0.766 -0.266  -0.647 -0.266  -0.528 -0.266  -0.409 -0.266  -0.322 -0.188  -0.238 -0.104  -0.123 -0.094  -0.056 -0.042  -0.056 0.077  -0.056 -0.038  -0.011 -0.139  0.074 -0.223  0.117 -0.324  0.121 -0.439  0.240 -0.439  0.289 -0.508  0.306 -0.611  0.425 -0.611  0.544 -0.611  0.663 -0.611  0.782 -0.611  0.873 -0.544  0.957 -0.460  1.041 -0.376  1.126 -0.292  1.151 -0.184  1.180 -0.094  1.299 -0.094  1.324 0.001  1.324 0.120  1.324 0.239  1.324 0.358  1.324 0.477  1.324 0.596
1c#app#app14#app1470/a  0.727 0.723  0.571 0.723  0.415 0.723  0.260 0.723  0.104 0.723  -0.052 0.723  -0.207 0.723  -0.363 0.723  -0.519 0.723  -0.674 0.723  -0.830 0.723  -0.902 0.639  -0.902 0.484  -0.971 0.397  -1.127 0.397  -1.228 0.343  -1.228 0.187  -1.228 0.031  -1.228 -0.124  -1.228 -0.280  -1.228 -0.436  -1.216 -0.580  -1.061 -0.580  -0.905 -0.580  -0.750 -0.580  -0.594 -0.580  -0.438 -0.580  -0.283 -0.580  -0.127 -0.580  0.029 -0.580  0.184 -0.580  0.340 -0.580  0.401 -0.485  0.401 -0.330  0.481 -0.254  0.637 -0.254  0.773 -0.208  0.883 -0.098  0.993 0.012  1.052 0.144  1.052 0.299  1.052 0.339  1.052 0.184  1.052 0.028  1.052 -0.127  1.052 -0.283  1.052 -0.439  1.067 -0.580  1.222 -0.580  1.378 -0.580
1c#app#app14#app1470/s  -0.350 1.534  -0.350 1.422  -0.350 1.309  -0.350 1.197  -0.452 1.186  -0.564 1.186  -0.677 1.186  -0.698 1.095  -0.698 0.983  -0.698 0.870  -0.618 0.838  -0.506 0.838  -0.393 0.838  -0.350 0.768  -0.350 0.656  -0.350 0.543  -0.292 0.490  -0.179 0.490  -0.067 0.490  -0.002 0.442  -0.002 0.329  -0.002 0.217  0.035 0.141  0.148 0.141  0.260 0.141  0.346 0.115  0.346 0.003  0.346 -0.110  0.362 -0.207  0.474 -0.207  0.587 -0.207  0.694 -0.212  0.694 -0.324  0.694 -0.437  0.694 -0.549  0.619 -0.630  0.539 -0.710  0.460 -0.789  0.380 -0.869  0.346 -0.967  0.346 -1.080  0.346 -1.192  0.293 -1.251  0.180 -1.251  0.068 -1.251  -0.032 -1.281  -0.112 -1.361  -0.191 -1.440  -0.271 -1.520  -0.350 -1.600
1c#app#app14#app1470/o  -1.048 0.174  -0.890 0.174  -0.750 0.218  -0.639 0.329  -0.540 0.447  -0.540 0.605  -0.459 0.682  -0.301 0.682  -0.185 0.783  -0.073 0.895  0.068 0.936  0.226 0.936  0.384 0.936  0.542 0.936  0.700 0.936  0.858 0.936  0.985 0.904  0.985 0.746  0.985 0.588  0.985 0.430  0.985 0.272  0.985 0.114  0.985 -0.045  0.985 -0.203  0.966 -0.353  0.854 -0.465  0.742 -0.577  0.730 -0.730  0.685 -0.843  0.527 -0.843  0.401 -0.919  0.289 -1.030  0.158 -1.097  0.000 -1.097  -0.158 -1.097  -0.316 -1.097  -0.474 -1.097  -0.605 -1.032  -0.717 -0.920  -0.794 -0.794  -0.794 -0.636  -0.794 -0.478  -0.794 -0.320  -0.794 -0.161  -0.794 -0.003  -0.794 0.155  -0.794 0.313  -0.764 0.458  -0.652 0.570  -0.540 0.682
1c#app#app14#app1470/n  -0.716 1.172  -0.716 1.027  -0.716 0.882  -0.716 0.737  -0.716 0.591  -0.716 0.446  -0.716 0.301  -0.716 0.156  -0.716 0.011  -0.716 -0.134  -0.716 -0.279  -0.716 -0.424  -0.716 -0.569  -0.797 -0.680  -0.900 -0.783  -1.002 -0.886  -1.020 -0.953  -0.875 -0.953  -0.730 -0.953  -0.716 -0.823  -0.716 -0.678  -0.669 -0.552  -0.566 -0.450  -0.463 -0.347  -0.361 -0.244  -0.258 -0.142  -0.156 -0.039  -0.053 0.063  0.050 0.166  0.152 0.269  0.255 0.371  0.357 0.474  0.460 0.576  0.562 0.679  0.665 0.782  0.795 0.818  0.940 0.818  1.055 0.788  1.055 0.643  1.055 0.497  1.055 0.352  1.055 0.207  1.055 0.062  1.055 -0.083  1.055 -0.228  1.055 -0.373  1.055 -0.518  1.119 -0.599  1.264 -0.599  1.410 -0.599
1c#app#app14#app1470/l  0.253 1.471  0.327 1.471  0.401 1.471  0.439 1.435  0.439 1.361  0.439 1.287  0.388 1.234  0.336 1.182  0.284 1.129  0.253 1.068  0.253 0.994  0.253 0.920  0.206 0.866  0.154 0.813  0.101 0.761  0.067 0.701  0.067 0.627  0.067 0.553  0.067 0.479  0.067 0.405  0.067 0.331  0.067 0.257  0.067 0.183  0.041 0.115  0.007 0.049  -0.026 -0.017  -0.059 -0.083  -0.092 -0.149  -0.119 -0.217  -0.119 -0.291  -0.119 -0.365  -0.119 -0.439  -0.119 -0.513  -0.119 -0.587  -0.119 -0.661  -0.119 -0.735  -0.152 -0.796  -0.204 -0.848  -0.257 -0.900  -0.306 -0.954  -0.306 -1.028  -0.306 -1.102  -0.306 -1.176  -0.306 -1.250  -0.306 -1.324  -0.306 -1.398  -0.306 -1.472  -0.306 -1.546  -0.306 -1.620  -0.306 -1.694
1c#app#app14#app1470/y  -0.906 1.281  -0.741 1.281  -0.672 1.185  -0.672 1.020  -0.672 0.855  -0.672 0.690  -0.672 0.525  -0.672 0.360  -0.567 0.239  -0.450 0.122  -0.438 -0.038  -0.359 -0.125  -0.203 -0.134  -0.203 -0.299  -0.098 -0.359  0.051 -0.329  0.142 -0.192  0.234 -0.055  0.325 0.083  0.417 0.220  0.508 0.357  0.600 0.495  0.691 0.632  0.783 0.769  0.875 0.907  0.966 1.044  0.968 0.885  0.968 0.720  0.945 0.578  0.780 0.578  0.734 0.459  0.684 0.344  0.519 0.344  0.499 0.198  0.445 0.056  0.329 -0.061  0.212 -0.178  0.095 -0.295  0.031 -0.433  0.028 -0.597  -0.089 -0.713  -0.206 -0.830  -0.323 -0.947  -0.439 -1.064  -0.512 -1.211  -0.586 -1.359  -0.660 -1.507  -0.672 -1.669  -0.672 -1.834  -0.672 -1.999
1c#app#app14#app1470/t  1.132 -0.494  0.963 -0.494  0.803 -0.458  0.652 -0.382  0.501 -0.307  0.349 -0.238  0.180 -0.238  0.011 -0.238  -0.158 -0.238  -0.326 -0.238  -0.495 -0.238  -0.664 -0.238  -0.833 -0.238  -0.871 -0.171  -0.773 -0.033  -0.675 0.104  -0.577 0.241  -0.479 0.379  -0.381 0.516  -0.283 0.653  -0.185 0.791  -0.087 0.928  0.011 1.065  0.109 1.202  0.207 1.340  0.306 1.477  0.292 1.557  0.123 1.557  0.106 1.405  0.106 1.237  0.106 1.068  0.106 0.899  0.106 0.730  0.106 0.562  0.106 0.393  0.106 0.224  0.106 0.055  0.106 -0.113  0.106 -0.282  0.106 -0.451  0.106 -0.620  0.106 -0.788  0.106 -0.957  0.106 -1.126  0.084 -1.285  -0.035 -1.405  -0.150 -1.526  -0.150 -1.695  -0.150 -1.863  -0.150 -2.032
1c#app#app14#app1470/o  -1.068 0.598  -0.928 0.598  -0.789 0.598  -0.649 0.598  -0.509 0.598  -0.372 0.604  -0.273 0.703  -0.174 0.801  -0.075 0.900  0.047 0.944  0.187 0.944  0.326 0.944  0.466 0.944  0.606 0.944  0.720 0.882  0.819 0.783  0.918 0.685  1.005 0.581  1.005 0.441  1.005 0.301  1.005 0.161  1.005 0.021  1.005 -0.118  1.005 -0.258  1.005 -0.398  0.905 -0.438  0.765 -0.438  0.659 -0.472  0.659 -0.612  0.659 -0.752  0.552 -0.784  0.412 -0.784  0.272 -0.784  0.132 -0.784  -0.008 -0.784  -0.147 -0.784  -0.287 -0.784  -0.427 -0.784  -0.567 -0.784  -0.707 -0.784  -0.723 -0.660  -0.723 -0.520  -0.781 -0.438  -0.920 -0.438  -1.060 -0.438  -1.068 -0.307  -1.068 -0.167  -1.134 -0.093  -1.274 -0.093  -1.414 -0.093
1c#app#app14#app1470/o  -0.733 1.139  -0.609 1.139  -0.484 1.139  -0.359 1.139  -0.234 1.139  -0.109 1.139  -0.007 1.083  0.082 0.995  0.170 0.907  0.259 0.818  0.377 0.803  0.502 0.803  0.622 0.791  0.710 0.702  0.799 0.614  0.887 0.525  0.945 0.424  0.945 0.299  0.945 0.174  0.945 0.049  0.945 -0.075  0.945 -0.200  0.824 -0.204  0.699 -0.204  0.609 -0.240  0.609 -0.365  0.609 -0.490  0.556 -0.593  0.468 -0.681  0.380 -0.769  0.291 -0.858  0.173 -0.875  0.048 -0.875  -0.077 -0.875  -0.202 -0.875  -0.327 -0.875  -0.452 -0.875  -0.577 -0.875  -0.702 -0.875  -0.733 -0.782  -0.733 -0.657  -0.741 -0.540  -0.866 -0.540  -0.991 -0.540  -1.069 -0.493  -1.069 -0.368  -1.069 -0.243  -1.069 -0.118  -1.069 0.007  -1.069 0.132
1c#app#app14#app1470/p  -0.448 0.863  -0.448 0.698  -0.448 0.532  -0.448 0.367  -0.448 0.202  -0.448 0.037  -0.448 -0.128  -0.448 -0.293  -0.448 -0.458  -0.448 -0.623  -0.448 -0.788  -0.448 -0.953  -0.526 -1.086  -0.642 -1.203  -0.656 -1.362  -0.656 -1.527  -0.614 -1.590  -0.497 -1.473  -0.448 -1.328  -0.448 -1.163  -0.448 -0.998  -0.448 -0.833  -0.355 -0.707  -0.240 -0.589  -0.240 -0.424  -0.240 -0.259  -0.182 -0.118  -0.065 -0.002  -0.032 0.150  -0.032 0.315  -0.009 0.470  0.108 0.587  0.175 0.724  0.202 0.863  0.367 0.863  0.383 1.011  0.458 1.145  0.575 1.262  0.733 1.278  0.869 1.208  0.986 1.092  1.007 0.936  1.007 0.770  1.007 0.605  1.001 0.447  0.836 0.447  0.799 0.318  0.713 0.239  0.548 0.239  0.383 0.239
