2#apa#apa10#app1014/t  -0.216 0.839  -0.216 1.000  -0.216 1.161  -0.153 1.308  -0.081 1.452  -0.045 1.605  -0.045 1.624  -0.072 1.469  -0.144 1.325  -0.216 1.181  -0.288 1.037  -0.360 0.892  -0.387 0.738  -0.387 0.576  -0.387 0.415  -0.387 0.254  -0.399 0.094  -0.431 -0.064  -0.462 -0.223  -0.494 -0.381  -0.526 -0.539  -0.557 -0.697  -0.509 -0.850  -0.458 -1.003  -0.407 -1.156  -0.289 -1.216  -0.137 -1.255  0.007 -1.328  0.151 -1.375  0.295 -1.303  0.440 -1.231  0.584 -1.159  0.728 -1.087  0.860 -0.997  0.974 -0.883  0.888 -0.760  0.785 -0.636  0.682 -0.512  0.579 -0.388  0.475 -0.265  0.372 -0.141  0.269 -0.017  0.166 0.107  0.026 0.154  -0.135 0.154  -0.180 0.226  -0.108 0.370  -0.025 0.496  0.137 0.496  0.298 0.496
2#apa#apa10#app1014/h  -0.100 1.534  -0.100 1.660  -0.139 1.658  -0.209 1.553  -0.279 1.448  -0.349 1.342  -0.419 1.237  -0.473 1.125  -0.493 1.001  -0.514 0.876  -0.535 0.751  -0.556 0.627  -0.577 0.502  -0.597 0.377  -0.618 0.253  -0.639 0.128  -0.648 0.002  -0.648 -0.124  -0.648 -0.250  -0.648 -0.377  -0.648 -0.503  -0.648 -0.630  -0.648 -0.756  -0.619 -0.870  -0.530 -0.960  -0.434 -1.008  -0.321 -0.952  -0.208 -0.895  -0.097 -0.836  -0.041 -0.723  0.016 -0.610  0.072 -0.497  0.165 -0.414  0.266 -0.339  0.367 -0.263  0.468 -0.187  0.569 -0.111  0.671 -0.035  0.772 0.041  0.888 0.072  0.990 0.055  0.950 -0.065  0.910 -0.185  0.870 -0.305  0.831 -0.425  0.836 -0.545  0.876 -0.664  0.916 -0.784  0.956 -0.904  0.996 -1.024
2#apa#apa10#app1014/e  -1.352 -0.151  -1.234 -0.269  -1.116 -0.387  -0.982 -0.466  -0.815 -0.466  -0.648 -0.466  -0.482 -0.466  -0.315 -0.466  -0.148 -0.466  0.019 -0.466  0.186 -0.466  0.331 -0.396  0.470 -0.303  0.609 -0.211  0.747 -0.118  0.886 -0.026  1.025 0.067  1.164 0.159  1.171 0.322  1.171 0.489  1.171 0.655  1.152 0.814  1.034 0.932  0.916 1.050  0.775 1.111  0.608 1.111  0.441 1.111  0.274 1.111  0.120 1.058  -0.029 0.983  -0.178 0.909  -0.328 0.834  -0.462 0.739  -0.580 0.621  -0.698 0.503  -0.721 0.346  -0.721 0.179  -0.721 0.012  -0.721 -0.155  -0.721 -0.321  -0.705 -0.482  -0.588 -0.600  -0.470 -0.718  -0.352 -0.835  -0.234 -0.953  -0.116 -1.071  0.040 -1.097  0.207 -1.097  0.374 -1.097  0.541 -1.097
2#apa#apa10#app1014/i  -0.394 0.105  -0.482 0.193  -0.569 0.280  -0.657 0.296  -0.745 0.209  -0.832 0.121  -0.848 0.004  -0.848 -0.120  -0.848 -0.245  -0.848 -0.369  -0.848 -0.493  -0.821 -0.605  -0.733 -0.693  -0.645 -0.781  -0.557 -0.868  -0.470 -0.956  -0.377 -1.032  -0.253 -1.032  -0.129 -1.032  -0.005 -1.032  0.119 -1.032  0.243 -1.032  0.344 -0.976  0.432 -0.888  0.520 -0.801  0.607 -0.713  0.695 -0.625  0.768 -0.527  0.824 -0.416  0.879 -0.305  0.935 -0.194  0.945 -0.086  0.873 0.014  0.800 0.115  0.728 0.216  0.656 0.317  0.584 0.418  0.512 0.519  0.440 0.620  0.368 0.721  0.296 0.822  0.224 0.923  0.151 1.024  0.079 1.125  0.007 1.226  -0.065 1.327  -0.137 1.428  -0.218 1.521  -0.306 1.609  -0.394 1.696
2#apa#apa10#app1014/c  0.751 1.240  0.657 1.240  0.563 1.240  0.473 1.220  0.389 1.178  0.304 1.136  0.220 1.094  0.136 1.052  0.052 1.010  -0.040 1.000  -0.134 1.000  -0.220 0.983  -0.272 0.905  -0.324 0.826  -0.376 0.748  -0.429 0.669  -0.481 0.591  -0.533 0.513  -0.585 0.434  -0.638 0.356  -0.688 0.277  -0.688 0.183  -0.688 0.089  -0.688 -0.005  -0.688 -0.100  -0.688 -0.194  -0.649 -0.279  -0.607 -0.363  -0.565 -0.447  -0.523 -0.532  -0.481 -0.616  -0.427 -0.687  -0.338 -0.717  -0.248 -0.747  -0.159 -0.776  -0.070 -0.806  0.020 -0.836  0.109 -0.866  0.199 -0.896  0.289 -0.920  0.383 -0.920  0.477 -0.920  0.571 -0.920  0.666 -0.920  0.760 -0.920  0.854 -0.920  0.948 -0.920  1.042 -0.920  1.137 -0.920  1.231 -0.920
2#apa#apa10#app1014/o  -0.408 0.677  -0.526 0.618  -0.643 0.559  -0.761 0.501  -0.879 0.442  -0.997 0.383  -1.034 0.275  -1.034 0.143  -1.034 0.011  -1.034 -0.120  -1.034 -0.252  -0.980 -0.371  -0.921 -0.488  -0.862 -0.606  -0.803 -0.724  -0.745 -0.842  -0.642 -0.889  -0.510 -0.889  -0.379 -0.889  -0.247 -0.889  -0.115 -0.889  0.016 -0.889  0.148 -0.889  0.279 -0.889  0.411 -0.889  0.537 -0.879  0.595 -0.761  0.654 -0.643  0.713 -0.526  0.772 -0.408  0.831 -0.290  0.916 -0.191  1.009 -0.098  1.102 -0.005  1.134 0.098  1.076 0.216  1.017 0.333  0.958 0.451  0.899 0.569  0.835 0.682  0.718 0.741  0.600 0.800  0.482 0.858  0.365 0.917  0.247 0.976  0.119 0.990  -0.013 0.990  -0.145 0.990  -0.276 0.990  -0.408 0.990
2#apa#apa10#app1014/n  -0.297 0.327  -0.401 0.431  -0.505 0.535  -0.608 0.639  -0.610 0.496  -0.610 0.349  -0.650 0.209  -0.696 0.070  -0.743 -0.070  -0.789 -0.209  -0.835 -0.348  -0.882 -0.488  -0.923 -0.628  -0.923 -0.774  -0.923 -0.921  -0.923 -1.068  -0.923 -1.215  -0.836 -1.151  -0.732 -1.048  -0.629 -0.944  -0.572 -0.811  -0.526 -0.672  -0.479 -0.532  -0.433 -0.393  -0.386 -0.254  -0.340 -0.114  -0.289 0.022  -0.185 0.126  -0.081 0.230  0.022 0.334  0.126 0.437  0.230 0.541  0.334 0.645  0.438 0.749  0.542 0.853  0.647 0.954  0.793 0.954  0.940 0.954  1.049 0.861  1.152 0.757  1.256 0.653  1.269 0.512  1.269 0.365  1.234 0.223  1.188 0.084  1.141 -0.055  1.095 -0.194  1.048 -0.334  1.002 -0.473  0.956 -0.612
2#apa#apa10#app1014/o  -0.266 0.177  -0.327 0.299  -0.389 0.421  -0.450 0.543  -0.511 0.665  -0.572 0.787  -0.666 0.702  -0.763 0.606  -0.859 0.510  -0.884 0.383  -0.884 0.247  -0.884 0.110  -0.884 -0.026  -0.884 -0.163  -0.884 -0.299  -0.884 -0.435  -0.884 -0.572  -0.884 -0.708  -0.816 -0.817  -0.719 -0.913  -0.623 -1.010  -0.506 -1.058  -0.370 -1.058  -0.233 -1.058  -0.097 -1.058  0.039 -1.058  0.042 -0.924  0.042 -0.787  0.124 -0.695  0.237 -0.619  0.351 -0.543  0.464 -0.468  0.578 -0.392  0.691 -0.316  0.805 -0.240  0.918 -0.165  0.968 -0.055  0.968 0.082  0.968 0.218  0.968 0.355  0.968 0.491  0.968 0.628  0.968 0.764  0.968 0.900  0.968 1.037  0.896 1.102  0.760 1.102  0.623 1.102  0.487 1.102  0.351 1.102
2#apa#apa10#app1014/g  0.425 1.283  0.331 1.378  0.214 1.418  0.102 1.364  0.008 1.270  -0.087 1.175  -0.182 1.081  -0.276 0.986  -0.371 0.891  -0.383 0.763  -0.383 0.629  -0.383 0.495  -0.270 0.475  -0.136 0.475  -0.035 0.554  0.045 0.658  0.105 0.778  0.156 0.900  0.162 0.995  0.204 0.868  0.247 0.741  0.289 0.614  0.382 0.519  0.425 0.403  0.425 0.269  0.425 0.135  0.425 0.002  0.425 -0.132  0.425 -0.266  0.425 -0.400  0.425 -0.533  0.425 -0.667  0.425 -0.801  0.425 -0.935  0.382 -1.050  0.287 -1.144  0.176 -1.218  0.064 -1.293  -0.047 -1.367  -0.164 -1.394  -0.291 -1.352  -0.418 -1.310  -0.547 -1.277  -0.653 -1.249  -0.653 -1.115  -0.653 -0.981  -0.645 -0.849  -0.602 -0.722  -0.560 -0.595  -0.518 -0.468
2#apa#apa10#app1014/r  -0.096 -0.275  -0.096 -0.148  -0.096 -0.020  -0.096 0.108  -0.145 0.026  -0.202 -0.088  -0.259 -0.202  -0.316 -0.317  -0.373 -0.431  -0.430 -0.545  -0.487 -0.659  -0.495 -0.785  -0.495 -0.912  -0.495 -1.040  -0.495 -1.168  -0.495 -1.295  -0.495 -1.423  -0.495 -1.400  -0.495 -1.272  -0.495 -1.145  -0.469 -1.023  -0.412 -0.909  -0.355 -0.795  -0.298 -0.681  -0.241 -0.567  -0.184 -0.453  -0.127 -0.338  -0.096 -0.218  -0.096 -0.091  -0.096 0.037  -0.096 0.165  -0.096 0.292  -0.096 0.420  -0.096 0.547  -0.096 0.675  -0.096 0.803  -0.090 0.925  0.038 0.925  0.165 0.925  0.293 0.925  0.415 0.961  0.536 1.002  0.657 1.042  0.778 1.082  0.899 1.123  1.020 1.163  1.141 1.203  1.262 1.244  1.383 1.284  1.504 1.324
2#apa#apa10#app1014/a  0.806 0.670  0.702 0.774  0.598 0.878  0.493 0.983  0.363 1.024  0.216 1.024  0.069 1.024  -0.079 1.024  -0.226 1.024  -0.373 1.024  -0.521 1.024  -0.637 0.975  -0.703 0.843  -0.769 0.711  -0.835 0.579  -0.901 0.447  -0.967 0.316  -0.967 0.168  -0.967 0.021  -0.967 -0.126  -0.967 -0.274  -0.967 -0.421  -0.967 -0.569  -0.967 -0.716  -0.864 -0.800  -0.732 -0.866  -0.600 -0.931  -0.469 -0.997  -0.337 -1.063  -0.216 -1.061  -0.112 -0.957  -0.008 -0.853  0.097 -0.748  0.201 -0.644  0.305 -0.540  0.409 -0.436  0.513 -0.332  0.618 -0.227  0.722 -0.123  0.806 -0.011  0.806 0.137  0.806 0.284  0.806 0.200  0.806 0.052  0.831 -0.089  0.897 -0.221  0.963 -0.353  1.029 -0.485  1.095 -0.616  1.160 -0.748
