2#apb#apb05#app0582/P  0.275 0.631  0.179 0.556  0.089 0.385  -0.001 0.214  -0.095 0.046  -0.192 -0.121  -0.292 -0.286  -0.399 -0.447  -0.506 -0.607  -0.614 -0.767  -0.722 -0.927  -0.829 -1.088  -0.930 -1.252  -1.036 -1.413  -1.094 -1.392  -1.048 -1.205  -0.968 -1.030  -0.877 -0.860  -0.781 -0.693  -0.675 -0.532  -0.569 -0.370  -0.462 -0.210  -0.344 -0.058  -0.225 0.095  -0.107 0.247  0.021 0.391  0.157 0.528  0.294 0.664  0.433 0.798  0.586 0.915  0.739 1.033  0.907 1.120  1.093 1.173  1.285 1.177  1.361 0.999  1.334 0.810  1.275 0.630  1.170 0.469  1.051 0.318  0.911 0.185  0.762 0.064  0.597 -0.037  0.421 -0.108  0.232 -0.143  0.041 -0.148  -0.150 -0.124  -0.330 -0.057  -0.498 0.036  -0.653 0.151  -0.817 0.236
2#apb#apb05#app0582/r  0.270 0.845  0.302 0.754  0.232 0.642  0.161 0.529  0.093 0.416  0.029 0.300  -0.036 0.184  -0.100 0.068  -0.165 -0.048  -0.220 -0.169  -0.273 -0.291  -0.325 -0.413  -0.377 -0.535  -0.431 -0.656  -0.493 -0.773  -0.555 -0.891  -0.616 -1.008  -0.687 -1.120  -0.763 -1.229  -0.841 -1.336  -0.888 -1.347  -0.856 -1.218  -0.823 -1.089  -0.769 -0.969  -0.703 -0.854  -0.638 -0.739  -0.571 -0.624  -0.498 -0.514  -0.424 -0.403  -0.350 -0.293  -0.277 -0.182  -0.203 -0.072  -0.125 0.035  -0.045 0.141  0.035 0.246  0.116 0.352  0.196 0.458  0.282 0.558  0.380 0.648  0.478 0.737  0.576 0.826  0.674 0.915  0.787 0.985  0.902 1.052  1.016 1.119  1.146 1.144  1.263 1.128  1.349 1.027  1.372 0.898  1.393 0.767
2#apb#apb05#app0582/o  0.705 1.045  0.577 1.041  0.449 1.032  0.328 0.996  0.212 0.941  0.096 0.886  -0.008 0.812  -0.108 0.731  -0.208 0.650  -0.306 0.568  -0.395 0.475  -0.483 0.382  -0.572 0.289  -0.660 0.196  -0.741 0.096  -0.822 -0.004  -0.903 -0.103  -0.968 -0.212  -1.012 -0.333  -1.056 -0.453  -1.087 -0.576  -1.087 -0.705  -1.074 -0.827  -0.976 -0.909  -0.876 -0.989  -0.748 -0.989  -0.619 -0.989  -0.491 -0.989  -0.373 -0.940  -0.255 -0.889  -0.137 -0.838  -0.019 -0.787  0.092 -0.724  0.198 -0.651  0.303 -0.578  0.409 -0.505  0.515 -0.432  0.601 -0.338  0.682 -0.239  0.764 -0.140  0.846 -0.041  0.902 0.074  0.952 0.193  1.002 0.311  1.051 0.429  1.067 0.557  1.084 0.684  1.100 0.811  1.052 0.929  0.998 1.045
2#apb#apb05#app0582/f  -1.091 -0.596  -0.969 -0.523  -0.849 -0.446  -0.723 -0.385  -0.583 -0.359  -0.443 -0.331  -0.307 -0.290  -0.170 -0.248  -0.033 -0.210  0.104 -0.173  0.243 -0.140  0.382 -0.109  0.520 -0.072  0.604 -0.045  0.674 0.079  0.744 0.203  0.814 0.327  0.885 0.451  0.958 0.573  1.031 0.695  1.063 0.834  1.086 0.974  1.063 1.109  0.960 1.186  0.817 1.186  0.681 1.155  0.548 1.104  0.421 1.042  0.311 0.951  0.202 0.860  0.097 0.764  0.005 0.655  -0.087 0.547  -0.179 0.438  -0.241 0.310  -0.304 0.181  -0.366 0.053  -0.421 -0.078  -0.470 -0.212  -0.519 -0.346  -0.564 -0.480  -0.591 -0.620  -0.619 -0.760  -0.646 -0.900  -0.662 -1.041  -0.673 -1.183  -0.683 -1.326  -0.683 -1.468  -0.683 -1.611  -0.655 -1.726
2#apb#apb05#app0582/.  -0.417 -0.417  -0.477 -0.477  -0.536 -0.536  -0.596 -0.596  -0.655 -0.655  -0.715 -0.715  -0.774 -0.774  -0.834 -0.834  -0.893 -0.893  -0.953 -0.953  -0.988 -0.988  -0.929 -0.929  -0.869 -0.869  -0.810 -0.810  -0.750 -0.750  -0.691 -0.691  -0.631 -0.631  -0.572 -0.572  -0.513 -0.513  -0.453 -0.453  -0.394 -0.394  -0.334 -0.334  -0.275 -0.275  -0.215 -0.215  -0.156 -0.156  -0.096 -0.096  -0.037 -0.037  0.023 0.023  0.082 0.082  0.142 0.142  0.201 0.201  0.260 0.260  0.320 0.320  0.379 0.379  0.439 0.439  0.498 0.498  0.558 0.558  0.617 0.617  0.677 0.677  0.736 0.736  0.796 0.796  0.855 0.855  0.914 0.915  0.974 0.974  1.033 1.033  1.093 1.093  1.152 1.152  1.212 1.212  1.271 1.271  1.331 1.331
2#apb#apb05#app0582/D  0.224 0.820  0.280 1.022  0.264 0.980  0.173 0.790  0.084 0.600  0.000 0.407  -0.084 0.214  -0.169 0.021  -0.256 -0.171  -0.342 -0.363  -0.437 -0.550  -0.534 -0.737  -0.634 -0.923  -0.739 -1.105  -0.731 -1.144  -0.687 -0.938  -0.643 -0.732  -0.600 -0.526  -0.556 -0.321  -0.512 -0.115  -0.468 0.091  -0.424 0.297  -0.380 0.503  -0.336 0.709  -0.293 0.915  -0.247 1.120  -0.103 1.272  0.090 1.344  0.299 1.314  0.479 1.214  0.645 1.086  0.787 0.930  0.912 0.762  1.012 0.577  1.086 0.382  1.134 0.177  1.141 -0.030  1.111 -0.238  0.999 -0.409  0.862 -0.569  0.671 -0.657  0.479 -0.743  0.277 -0.800  0.074 -0.856  -0.133 -0.890  -0.342 -0.917  -0.551 -0.947  -0.759 -0.978  -0.969 -0.978  -1.155 -0.911
2#apb#apb05#app0582/r  0.007 0.908  -0.063 0.803  -0.119 0.690  -0.172 0.575  -0.219 0.459  -0.252 0.337  -0.286 0.216  -0.319 0.094  -0.348 -0.028  -0.377 -0.151  -0.405 -0.274  -0.433 -0.397  -0.467 -0.519  -0.503 -0.639  -0.540 -0.760  -0.577 -0.880  -0.614 -1.001  -0.651 -1.121  -0.701 -1.237  -0.767 -1.342  -0.795 -1.248  -0.768 -1.128  -0.726 -1.009  -0.684 -0.890  -0.622 -0.781  -0.557 -0.672  -0.493 -0.564  -0.429 -0.455  -0.359 -0.351  -0.288 -0.246  -0.217 -0.142  -0.147 -0.037  -0.076 0.067  -0.002 0.169  0.094 0.250  0.190 0.332  0.286 0.413  0.383 0.495  0.479 0.576  0.583 0.647  0.689 0.715  0.795 0.783  0.902 0.851  1.011 0.912  1.134 0.939  1.257 0.967  1.380 0.983  1.506 0.972  1.604 0.910  1.679 0.809
2#apb#apb05#app0582/.  0.133 -1.171  0.133 -1.244  0.133 -1.318  0.133 -1.392  0.133 -1.465  0.133 -1.449  0.133 -1.375  0.133 -1.302  0.133 -1.228  0.133 -1.155  0.133 -1.081  0.133 -1.007  0.133 -0.934  0.133 -0.860  0.133 -0.786  0.133 -0.713  0.133 -0.639  0.133 -0.566  0.133 -0.492  0.133 -0.418  0.133 -0.345  0.133 -0.271  0.132 -0.198  0.109 -0.128  0.085 -0.058  0.062 0.012  0.039 0.082  0.016 0.151  -0.008 0.221  -0.031 0.291  -0.054 0.361  -0.078 0.431  -0.101 0.501  -0.124 0.570  -0.147 0.640  -0.171 0.710  -0.190 0.781  -0.190 0.854  -0.190 0.928  -0.190 1.001  -0.190 1.075  -0.190 1.149  -0.190 1.222  -0.190 1.296  -0.190 1.369  -0.190 1.443  -0.190 1.517  -0.190 1.590  -0.190 1.664  -0.190 1.737
2#apb#apb05#app0582/S  0.925 0.421  1.006 0.538  1.074 0.662  1.131 0.793  1.150 0.933  1.124 1.065  0.990 1.113  0.851 1.112  0.710 1.091  0.570 1.068  0.432 1.035  0.293 1.002  0.156 0.964  0.020 0.921  -0.115 0.877  -0.246 0.821  -0.373 0.758  -0.496 0.688  -0.606 0.601  -0.596 0.463  -0.504 0.354  -0.395 0.266  -0.270 0.198  -0.146 0.128  -0.029 0.048  0.089 -0.032  0.195 -0.127  0.295 -0.227  0.380 -0.338  0.430 -0.471  0.439 -0.605  0.389 -0.738  0.308 -0.848  0.195 -0.936  0.073 -1.002  -0.066 -1.034  -0.205 -1.066  -0.346 -1.064  -0.489 -1.058  -0.626 -1.025  -0.758 -0.975  -0.871 -0.888  -0.945 -0.772  -0.979 -0.636  -0.964 -0.496  -0.848 -0.524  -0.751 -0.628  -0.644 -0.721  -0.536 -0.815  -0.420 -0.896
2#apb#apb05#app0582/i  0.104 0.423  0.049 0.324  0.002 0.221  -0.051 0.120  -0.107 0.021  -0.163 -0.078  -0.218 -0.177  -0.268 -0.280  -0.317 -0.382  -0.366 -0.484  -0.415 -0.587  -0.463 -0.690  -0.511 -0.793  -0.558 -0.897  -0.608 -0.999  -0.664 -1.097  -0.719 -1.197  -0.755 -1.305  -0.691 -1.281  -0.634 -1.182  -0.578 -1.084  -0.521 -0.985  -0.464 -0.887  -0.407 -0.789  -0.351 -0.690  -0.294 -0.592  -0.237 -0.493  -0.180 -0.395  -0.124 -0.296  -0.067 -0.198  -0.010 -0.099  0.047 -0.001  0.103 0.098  0.160 0.196  0.217 0.295  0.274 0.393  0.331 0.492  0.387 0.590  0.444 0.689  0.501 0.787  0.558 0.886  0.614 0.984  0.671 1.083  0.728 1.181  0.785 1.280  0.841 1.378  0.898 1.476  0.955 1.575  1.012 1.673  1.061 1.774
2#apb#apb05#app0582/r  0.182 0.708  0.131 0.592  0.072 0.480  0.005 0.372  -0.063 0.264  -0.125 0.154  -0.182 0.040  -0.238 -0.074  -0.298 -0.186  -0.361 -0.296  -0.425 -0.406  -0.489 -0.516  -0.548 -0.628  -0.607 -0.741  -0.667 -0.853  -0.727 -0.965  -0.788 -1.077  -0.850 -1.188  -0.911 -1.299  -0.901 -1.207  -0.857 -1.087  -0.806 -0.971  -0.755 -0.854  -0.699 -0.741  -0.638 -0.629  -0.577 -0.518  -0.516 -0.406  -0.446 -0.300  -0.372 -0.197  -0.298 -0.094  -0.224 0.009  -0.149 0.112  -0.064 0.206  0.024 0.298  0.112 0.390  0.200 0.482  0.287 0.574  0.389 0.650  0.493 0.722  0.597 0.795  0.701 0.868  0.821 0.911  0.941 0.953  1.065 0.967  1.192 0.963  1.314 0.927  1.415 0.860  1.493 0.759  1.549 0.647  1.597 0.529
