3#app#app32#app3238/Q  -0.321 1.153  -0.429 1.050  -0.534 0.939  -0.630 0.768  -0.630 0.557  -0.630 0.345  -0.733 0.177  -0.733 -0.035  -0.733 -0.246  -0.733 -0.457  -0.733 -0.668  -0.733 -0.880  -0.676 -1.068  -0.527 -1.217  -0.315 -1.217  -0.107 -1.209  0.056 -1.080  0.245 -0.985  0.427 -0.881  0.550 -0.712  0.666 -0.539  0.731 -0.351  0.813 -0.159  0.813 0.053  0.813 0.264  0.813 0.475  0.791 0.681  0.689 0.865  0.539 1.014  0.390 1.163  0.217 1.256  0.006 1.256  -0.206 1.256  -0.389 1.188  -0.568 1.111  -0.619 0.929  -0.508 0.749  -0.397 0.569  -0.286 0.389  -0.176 0.209  -0.065 0.029  0.046 -0.151  0.156 -0.331  0.230 -0.496  0.338 -0.599  0.401 -0.748  0.527 -0.851  0.629 -1.034  0.710 -1.212  0.813 -1.320
3#app#app32#app3238/U  -0.721 1.188  -0.721 1.070  -0.721 0.952  -0.721 0.835  -0.721 0.717  -0.721 0.600  -0.721 0.482  -0.721 0.365  -0.721 0.247  -0.721 0.130  -0.721 0.012  -0.721 -0.106  -0.721 -0.223  -0.716 -0.340  -0.679 -0.451  -0.642 -0.563  -0.585 -0.663  -0.519 -0.753  -0.519 -0.870  -0.478 -0.971  -0.395 -1.054  -0.310 -1.132  -0.192 -1.132  -0.075 -1.132  0.043 -1.132  0.139 -1.079  0.222 -0.996  0.305 -0.913  0.388 -0.829  0.400 -0.717  0.483 -0.634  0.538 -0.530  0.590 -0.425  0.590 -0.307  0.614 -0.200  0.691 -0.114  0.691 0.004  0.691 0.121  0.691 0.239  0.691 0.356  0.691 0.474  0.691 0.591  0.691 0.709  0.691 0.827  0.691 0.944  0.691 1.062  0.691 1.179  0.685 1.294  0.602 1.377  0.590 1.490
3#app#app32#app3238/I  -0.178 1.697  -0.178 1.626  -0.178 1.556  -0.178 1.485  -0.178 1.414  -0.178 1.343  -0.156 1.276  -0.134 1.209  -0.111 1.142  -0.089 1.074  -0.066 1.007  -0.044 0.940  -0.022 0.873  -0.001 0.805  -0.001 0.735  -0.001 0.664  -0.001 0.593  -0.001 0.522  -0.001 0.451  -0.001 0.381  -0.001 0.310  -0.001 0.239  -0.001 0.168  -0.001 0.097  -0.001 0.027  -0.001 -0.044  -0.001 -0.115  -0.001 -0.186  -0.001 -0.257  -0.001 -0.328  -0.001 -0.398  -0.001 -0.469  -0.001 -0.540  -0.001 -0.611  -0.001 -0.682  -0.001 -0.752  -0.001 -0.823  -0.001 -0.894  0.001 -0.964  0.052 -1.014  0.102 -1.064  0.152 -1.114  0.176 -1.175  0.176 -1.245  0.176 -1.316  0.176 -1.387  0.176 -1.458  0.176 -1.529  0.176 -1.599  0.176 -1.670
3#app#app32#app3238/C  0.612 0.615  0.612 0.701  0.612 0.788  0.612 0.874  0.587 0.950  0.526 1.012  0.508 1.091  0.477 1.164  0.416 1.225  0.334 1.237  0.247 1.237  0.171 1.211  0.110 1.150  0.065 1.077  0.027 1.000  -0.010 0.922  -0.010 0.835  -0.010 0.749  -0.050 0.679  -0.111 0.618  -0.151 0.541  -0.189 0.464  -0.217 0.384  -0.217 0.298  -0.217 0.211  -0.232 0.126  -0.249 0.041  -0.266 -0.043  -0.283 -0.128  -0.300 -0.213  -0.317 -0.298  -0.321 -0.384  -0.321 -0.470  -0.321 -0.557  -0.321 -0.643  -0.321 -0.730  -0.321 -0.816  -0.321 -0.903  -0.321 -0.989  -0.321 -1.076  -0.310 -1.158  -0.249 -1.219  -0.188 -1.280  -0.127 -1.341  -0.066 -1.402  -0.002 -1.458  0.084 -1.458  0.148 -1.512  0.214 -1.561  0.301 -1.561
3#app#app32#app3238/K  -0.555 1.281  -0.555 1.052  -0.555 0.822  -0.649 0.615  -0.675 0.391  -0.685 0.163  -0.741 -0.060  -0.794 -0.283  -0.794 -0.512  -0.794 -0.742  -0.794 -0.972  -0.794 -1.201  -0.714 -1.351  -0.637 -1.410  -0.516 -1.216  -0.394 -1.021  -0.272 -0.826  -0.151 -0.632  -0.029 -0.437  0.093 -0.242  0.214 -0.047  0.336 0.147  0.458 0.342  0.579 0.537  0.701 0.731  0.823 0.926  0.944 1.121  1.066 1.315  1.120 1.272  1.001 1.162  0.838 1.000  0.641 0.922  0.478 0.760  0.316 0.597  0.119 0.520  -0.044 0.357  -0.240 0.242  -0.418 0.102  -0.555 -0.071  -0.659 -0.258  -0.675 -0.480  -0.478 -0.513  -0.248 -0.513  -0.019 -0.513  0.211 -0.513  0.441 -0.513  0.670 -0.513  0.900 -0.513  1.129 -0.513  1.359 -0.513
3#app#app32#app3238/Z  -0.706 0.804  -0.895 0.804  -0.782 0.838  -0.648 0.971  -0.515 1.105  -0.350 1.161  -0.203 1.275  -0.033 1.352  0.156 1.352  0.299 1.462  0.487 1.462  0.432 1.352  0.373 1.210  0.289 1.041  0.238 0.872  0.129 0.721  0.035 0.560  -0.049 0.406  -0.070 0.224  -0.175 0.067  -0.268 -0.093  -0.313 -0.271  -0.378 -0.444  -0.378 -0.633  -0.378 -0.821  -0.335 -0.992  -0.201 -1.125  -0.031 -1.168  0.158 -1.168  0.346 -1.168  0.519 -1.103  0.697 -1.059  0.869 -1.018  1.029 -0.949  1.141 -0.836  0.958 -0.793  0.774 -0.750  0.591 -0.706  0.407 -0.663  0.224 -0.620  0.041 -0.577  -0.143 -0.534  -0.326 -0.491  -0.510 -0.447  -0.693 -0.404  -0.660 -0.245  -0.527 -0.112  -0.361 -0.056  -0.217 0.062  -0.049 0.147
3#app#app32#app3238/E  -0.259 1.577  -0.171 1.469  -0.151 1.294  -0.183 1.112  -0.259 0.948  -0.367 0.797  -0.367 0.601  -0.431 0.432  -0.475 0.255  -0.525 0.071  -0.583 -0.111  -0.583 -0.307  -0.583 -0.502  -0.583 -0.698  -0.583 -0.894  -0.583 -1.089  -0.531 -1.233  -0.376 -1.332  -0.184 -1.341  0.006 -1.317  0.182 -1.233  0.377 -1.233  0.527 -1.115  0.712 -1.053  0.822 -0.937  0.972 -0.834  0.924 -0.759  0.741 -0.692  0.557 -0.625  0.373 -0.558  0.189 -0.492  0.005 -0.425  -0.129 -0.347  0.009 -0.209  0.179 -0.147  0.317 -0.008  0.483 0.064  0.549 0.109  0.394 0.229  0.240 0.349  0.085 0.469  -0.069 0.589  -0.223 0.709  -0.367 0.835  -0.367 1.030  -0.201 1.094  -0.135 1.253  0.031 1.326  0.204 1.407  0.390 1.469
3#app#app32#app3238/P  0.057 0.629  0.057 0.438  0.028 0.254  -0.048 0.081  -0.096 -0.099  -0.154 -0.276  -0.154 -0.467  -0.243 -0.622  -0.259 -0.806  -0.259 -0.997  -0.259 -1.188  -0.259 -1.379  -0.198 -1.544  -0.159 -1.672  -0.206 -1.486  -0.252 -1.301  -0.298 -1.116  -0.345 -0.931  -0.391 -0.745  -0.437 -0.560  -0.484 -0.375  -0.530 -0.189  -0.576 -0.004  -0.623 0.181  -0.669 0.367  -0.715 0.552  -0.762 0.737  -0.787 0.925  -0.667 1.066  -0.513 1.157  -0.330 1.204  -0.149 1.262  0.043 1.262  0.234 1.262  0.408 1.193  0.589 1.153  0.724 1.018  0.859 0.883  0.994 0.748  1.113 0.606  1.113 0.415  1.051 0.250  0.990 0.084  0.855 -0.051  0.720 -0.186  0.546 -0.235  0.375 -0.321  0.184 -0.321  0.037 -0.427  -0.154 -0.427
3#app#app32#app3238/H  -0.629 1.040  -0.629 0.854  -0.629 0.668  -0.629 0.482  -0.629 0.296  -0.629 0.110  -0.629 -0.076  -0.629 -0.263  -0.629 -0.449  -0.629 -0.635  -0.629 -0.821  -0.629 -1.007  -0.629 -1.193  -0.645 -1.267  -0.696 -1.088  -0.747 -0.909  -0.798 -0.730  -0.849 -0.551  -0.795 -0.452  -0.615 -0.437  -0.474 -0.327  -0.315 -0.262  -0.184 -0.130  -0.019 -0.079  0.015 0.091  0.098 0.257  0.181 0.424  0.265 0.590  0.348 0.756  0.431 0.923  0.514 1.089  0.598 1.256  0.681 1.422  0.738 1.480  0.738 1.294  0.738 1.108  0.738 0.922  0.738 0.736  0.738 0.549  0.614 0.415  0.614 0.229  0.614 0.043  0.614 -0.143  0.614 -0.330  0.614 -0.516  0.614 -0.702  0.614 -0.888  0.614 -1.074  0.614 -1.260  0.614 -1.446
3#app#app32#app3238/Y  -0.610 1.526  -0.610 1.360  -0.610 1.194  -0.610 1.028  -0.610 0.862  -0.598 0.699  -0.523 0.550  -0.476 0.395  -0.476 0.229  -0.387 0.100  -0.343 -0.048  -0.247 -0.175  -0.209 -0.325  -0.201 -0.488  -0.084 -0.605  -0.014 -0.472  0.051 -0.320  0.117 -0.167  0.182 -0.014  0.247 0.139  0.313 0.291  0.378 0.444  0.444 0.597  0.509 0.749  0.575 0.902  0.640 1.055  0.706 1.207  0.728 1.149  0.728 0.982  0.728 0.816  0.675 0.672  0.594 0.539  0.557 0.382  0.482 0.233  0.378 0.107  0.285 -0.028  0.210 -0.177  0.103 -0.302  0.059 -0.450  0.058 -0.615  -0.034 -0.754  -0.127 -0.892  -0.209 -1.033  -0.244 -1.184  -0.343 -1.310  -0.343 -1.476  -0.408 -1.615  -0.476 -1.753  -0.476 -1.919  -0.476 -2.085
3#app#app32#app3238/R  -0.412 0.797  -0.314 0.681  -0.412 0.483  -0.497 0.298  -0.515 0.085  -0.516 -0.136  -0.614 -0.334  -0.619 -0.553  -0.619 -0.774  -0.619 -0.995  -0.619 -1.216  -0.611 -1.112  -0.600 -0.891  -0.589 -0.671  -0.577 -0.450  -0.566 -0.229  -0.555 -0.009  -0.544 0.212  -0.533 0.432  -0.522 0.653  -0.515 0.874  -0.378 1.038  -0.222 1.194  -0.036 1.277  0.169 1.315  0.382 1.281  0.587 1.211  0.808 1.211  0.971 1.072  1.060 0.901  1.142 0.762  1.120 0.546  1.038 0.345  0.926 0.176  0.742 0.086  0.548 -0.018  0.356 -0.093  0.153 -0.135  -0.068 -0.135  -0.289 -0.135  -0.412 -0.294  -0.308 -0.411  -0.176 -0.578  -0.020 -0.734  0.136 -0.890  0.323 -0.973  0.479 -1.129  0.624 -1.229  0.779 -1.325  0.935 -1.481
