2#app#app08#app0833/!  0.343 1.737  0.343 1.654  0.343 1.571  0.343 1.488  0.343 1.405  0.293 1.343  0.235 1.284  0.228 1.204  0.228 1.121  0.221 1.041  0.162 0.983  0.113 0.920  0.113 0.837  0.068 0.773  0.009 0.714  -0.001 0.636  -0.001 0.553  -0.001 0.470  -0.001 0.387  -0.057 0.360  -0.116 0.336  -0.116 0.253  -0.116 0.170  -0.116 0.087  -0.105 0.015  -0.022 0.015  -0.001 -0.047  -0.006 -0.130  -0.020 -0.212  -0.034 -0.294  -0.047 -0.375  -0.061 -0.457  -0.075 -0.539  -0.088 -0.621  -0.102 -0.703  -0.116 -0.785  -0.129 -0.866  -0.143 -0.948  -0.156 -1.030  -0.170 -1.112  -0.184 -1.194  -0.197 -1.276  -0.211 -1.357  -0.225 -1.439  -0.187 -1.477  -0.116 -1.465  -0.116 -1.382  -0.116 -1.299  -0.116 -1.216  -0.116 -1.133
2#app#app08#app0833/@  0.555 0.215  0.712 0.069  0.697 0.387  0.467 0.616  0.172 0.685  -0.152 0.685  -0.412 0.529  -0.679 0.392  -0.908 0.162  -1.012 -0.119  -1.012 -0.443  -0.872 -0.709  -0.554 -0.725  -0.230 -0.725  0.091 -0.718  0.242 -0.456  0.398 -0.289  0.555 -0.030  0.555 0.294  0.465 0.529  0.298 0.372  0.163 0.137  0.085 -0.155  0.242 -0.415  0.398 -0.582  0.579 -0.725  0.747 -0.568  1.025 -0.522  1.176 -0.261  1.182 0.061  1.182 0.385  1.182 0.709  1.047 0.978  0.796 1.156  0.472 1.156  0.148 1.156  -0.149 1.039  -0.450 0.956  -0.720 0.776  -0.970 0.571  -1.169 0.330  -1.263 0.028  -1.326 -0.282  -1.326 -0.606  -1.181 -0.870  -0.894 -1.019  -0.574 -1.038  -0.250 -1.038  0.074 -1.038  0.398 -1.038
2#app#app08#app0833/#  -0.045 0.880  -0.045 0.541  -0.045 0.202  -0.045 -0.137  -0.314 -0.208  -0.314 -0.547  -0.314 -0.886  -0.472 -1.160  -0.489 -1.115  -0.315 -0.824  -0.140 -0.533  0.034 -0.242  0.209 0.048  0.383 0.339  0.558 0.630  0.732 0.921  0.907 1.212  1.030 1.319  1.030 0.980  1.030 0.641  0.811 0.392  0.761 0.074  0.522 -0.166  0.493 -0.493  0.493 -0.832  0.328 -0.961  -0.001 -0.879  -0.330 -0.797  -0.659 -0.714  -0.988 -0.632  -1.317 -0.550  -1.646 -0.468  -1.332 -0.464  -0.993 -0.464  -0.654 -0.464  -0.315 -0.464  -0.094 -0.415  -0.334 -0.175  -0.574 0.065  -0.814 0.304  -1.054 0.544  -0.876 0.611  -0.537 0.611  -0.198 0.611  0.141 0.611  0.480 0.611  0.820 0.611  1.159 0.611  1.498 0.611  1.837 0.611
2#app#app08#app0833/$  0.891 0.165  0.734 0.486  0.420 0.657  0.071 0.693  -0.187 0.821  -0.572 0.821  -0.896 0.674  -1.077 0.459  -1.012 0.101  -0.740 -0.172  -0.468 -0.444  -0.147 -0.601  0.173 -0.757  0.494 -0.914  0.563 -1.270  0.218 -1.310  -0.168 -1.310  -0.553 -1.310  -0.938 -1.310  -1.040 -1.072  -0.868 -0.728  -0.695 -0.383  -0.523 -0.039  -0.351 0.306  -0.178 0.651  -0.006 0.995  0.166 1.340  0.339 1.684  0.563 1.718  0.461 1.375  0.399 1.016  0.240 0.668  0.235 0.284  0.235 -0.102  0.122 -0.440  0.071 -0.804  0.241 -0.940  0.300 -0.559  0.359 -0.178  0.417 0.202  0.476 0.583  0.534 0.964  0.539 0.961  0.399 0.634  0.342 0.272  0.235 -0.069  0.144 -0.417  0.071 -0.772  0.063 -1.154  -0.093 -1.474
2#app#app08#app0833/%  -0.659 0.834  -0.809 0.741  -0.984 0.659  -1.175 0.533  -1.261 0.376  -1.261 0.133  -1.082 0.109  -0.889 0.231  -0.659 0.244  -0.659 0.487  -0.659 0.730  -0.798 0.834  -1.041 0.834  -0.938 0.820  -0.696 0.799  -0.453 0.779  -0.211 0.759  0.031 0.739  0.273 0.719  0.516 0.698  0.636 0.683  0.543 0.533  0.328 0.465  0.245 0.256  0.094 0.164  -0.019 -0.032  -0.207 -0.109  -0.325 -0.279  -0.535 -0.398  -0.659 -0.590  -0.506 -0.622  -0.276 -0.545  -0.045 -0.468  0.186 -0.391  0.416 -0.314  0.647 -0.237  0.562 -0.355  0.497 -0.571  0.396 -0.772  0.437 -0.974  0.546 -1.108  0.773 -1.124  1.011 -1.112  1.197 -0.974  1.299 -0.833  1.450 -0.741  1.450 -0.498  1.334 -0.371  1.091 -0.371  0.848 -0.371
2#app#app08#app0833/^  -1.384 -0.454  -1.240 -0.454  -1.096 -0.454  -1.061 -0.345  -1.061 -0.201  -0.987 -0.130  -0.843 -0.130  -0.737 -0.092  -0.737 0.052  -0.734 0.193  -0.590 0.193  -0.446 0.193  -0.414 0.305  -0.414 0.449  -0.337 0.517  -0.193 0.517  -0.061 0.546  0.041 0.648  0.142 0.749  0.233 0.856  0.233 1.000  0.233 1.144  0.358 1.163  0.502 1.163  0.467 1.163  0.323 1.163  0.233 1.109  0.233 0.965  0.233 0.821  0.233 0.677  0.233 0.533  0.233 0.389  0.233 0.244  0.233 0.100  0.233 -0.044  0.233 -0.188  0.233 -0.332  0.233 -0.476  0.233 -0.620  0.233 -0.764  0.233 -0.908  0.233 -1.052  0.329 -1.101  0.473 -1.101  0.599 -1.143  0.701 -1.245  0.803 -1.347  0.915 -1.424  1.059 -1.424  1.203 -1.424
2#app#app08#app0833/&  0.418 -1.127  0.418 -1.170  0.249 -1.093  0.148 -0.908  0.120 -0.693  0.013 -0.511  -0.105 -0.334  -0.122 -0.114  -0.257 -0.023  -0.257 0.204  -0.257 0.430  -0.392 0.522  -0.307 0.713  -0.243 0.913  -0.122 1.090  0.013 1.181  0.117 1.303  0.344 1.303  0.435 1.438  0.662 1.438  0.823 1.373  0.958 1.282  0.878 1.088  0.809 0.898  0.688 0.793  0.509 0.720  0.321 0.628  0.229 0.493  0.138 0.358  -0.059 0.286  -0.257 0.221  -0.351 0.088  -0.527 0.038  -0.654 -0.110  -0.797 -0.248  -0.909 -0.428  -0.932 -0.645  -0.932 -0.872  -0.932 -1.098  -0.797 -1.190  -0.648 -1.248  -0.472 -1.127  -0.249 -1.119  -0.075 -0.992  0.016 -0.857  0.243 -0.857  0.319 -0.685  0.505 -0.587  0.596 -0.452  0.688 -0.317
2#app#app08#app0833/*  1.506 0.984  1.468 0.726  1.193 0.671  0.984 0.461  0.774 0.251  0.564 0.041  0.304 -0.049  0.215 -0.257  -0.031 -0.307  -0.244 -0.509  -0.454 -0.718  -0.664 -0.928  -0.874 -1.138  -1.087 -1.340  -1.317 -1.293  -1.216 -1.014  -1.114 -0.735  -1.013 -0.457  -0.911 -0.178  -0.810 0.101  -0.708 0.380  -0.607 0.659  -0.506 0.938  -0.404 1.217  -0.303 1.496  -0.508 1.293  -0.559 1.018  -0.559 0.721  -0.517 0.467  -0.301 0.386  -0.181 0.209  0.069 0.097  0.279 -0.113  0.495 -0.307  0.732 -0.368  0.831 -0.565  1.087 -0.663  1.188 -0.789  0.930 -0.642  0.672 -0.495  0.415 -0.347  0.157 -0.200  -0.101 -0.053  -0.358 0.094  -0.494 0.209  -0.197 0.209  0.099 0.209  0.396 0.209  0.693 0.209  0.990 0.209
2#app#app08#app0833/(  0.813 1.406  0.760 1.353  0.706 1.300  0.653 1.246  0.600 1.193  0.526 1.187  0.451 1.187  0.375 1.187  0.322 1.134  0.268 1.081  0.215 1.027  0.162 0.974  0.156 0.901  0.156 0.825  0.156 0.750  0.122 0.682  0.089 0.614  0.055 0.547  0.021 0.479  -0.013 0.412  -0.047 0.344  -0.090 0.284  -0.144 0.230  -0.197 0.177  -0.251 0.123  -0.282 0.061  -0.282 -0.015  -0.282 -0.090  -0.282 -0.166  -0.282 -0.241  -0.282 -0.317  -0.282 -0.392  -0.282 -0.468  -0.282 -0.543  -0.282 -0.619  -0.282 -0.694  -0.282 -0.770  -0.282 -0.845  -0.282 -0.921  -0.282 -0.997  -0.282 -1.072  -0.282 -1.148  -0.282 -1.223  -0.229 -1.277  -0.175 -1.330  -0.122 -1.383  -0.068 -1.437  -0.063 -1.510  -0.063 -1.586  -0.063 -1.661
2#app#app08#app0833/)  -0.157 1.690  -0.102 1.635  -0.047 1.580  0.008 1.525  0.037 1.459  0.037 1.381  0.037 1.303  0.037 1.225  0.037 1.147  0.037 1.070  0.037 0.992  0.037 0.914  0.037 0.836  0.037 0.758  0.065 0.692  0.120 0.637  0.175 0.581  0.230 0.526  0.231 0.449  0.231 0.371  0.231 0.293  0.231 0.215  0.231 0.137  0.231 0.059  0.231 -0.018  0.231 -0.096  0.231 -0.174  0.231 -0.252  0.176 -0.307  0.121 -0.362  0.066 -0.417  0.037 -0.483  0.037 -0.561  0.037 -0.639  0.037 -0.717  0.037 -0.795  0.010 -0.861  -0.045 -0.916  -0.100 -0.972  -0.155 -1.027  -0.157 -1.104  -0.157 -1.182  -0.194 -1.222  -0.272 -1.222  -0.350 -1.222  -0.351 -1.299  -0.351 -1.377  -0.390 -1.417  -0.467 -1.417  -0.545 -1.417
2#app#app08#app0833/`  -0.423 1.132  -0.367 1.188  -0.312 1.243  -0.256 1.299  -0.201 1.354  -0.145 1.410  -0.098 1.446  -0.098 1.368  -0.098 1.289  -0.098 1.211  -0.098 1.133  -0.098 1.054  -0.098 0.976  -0.098 0.897  -0.098 0.819  -0.098 0.740  -0.098 0.662  -0.098 0.583  -0.098 0.505  -0.098 0.426  -0.098 0.348  -0.098 0.269  -0.098 0.191  -0.098 0.112  -0.098 0.034  -0.098 -0.045  -0.098 -0.123  -0.098 -0.202  -0.098 -0.280  -0.098 -0.359  -0.098 -0.437  -0.082 -0.509  -0.026 -0.565  0.029 -0.620  0.085 -0.676  0.140 -0.731  0.196 -0.787  0.228 -0.852  0.228 -0.930  0.228 -1.009  0.228 -1.087  0.228 -1.166  0.228 -1.244  0.228 -1.323  0.228 -1.401  0.239 -1.469  0.317 -1.469  0.396 -1.469  0.474 -1.469  0.553 -1.469
