1c#app#app41#app4140/p  -0.195 -0.482  -0.195 -0.310  -0.195 -0.138  -0.195 0.034  -0.195 -0.039  -0.195 -0.211  -0.195 -0.383  -0.195 -0.555  -0.122 -0.696  -0.054 -0.840  -0.054 -1.012  -0.054 -1.184  -0.054 -1.355  -0.054 -1.527  -0.054 -1.699  0.064 -1.754  0.087 -1.606  0.087 -1.434  0.087 -1.262  0.087 -1.090  0.087 -0.918  0.083 -0.747  0.041 -0.580  -0.000 -0.413  -0.042 -0.247  -0.054 -0.076  -0.060 0.094  -0.136 0.248  -0.195 0.406  -0.195 0.578  -0.195 0.750  -0.195 0.921  -0.195 1.093  -0.195 1.265  -0.195 1.437  -0.195 1.609  -0.052 1.637  0.111 1.614  0.233 1.496  0.370 1.461  0.370 1.289  0.370 1.117  0.370 0.945  0.370 0.773  0.370 0.601  0.315 0.452  0.229 0.316  0.148 0.224  0.087 0.114  -0.054 0.083
1c#app#app41#app4140/r  -0.554 0.367  -0.453 0.265  -0.351 0.164  -0.250 0.062  -0.244 -0.078  -0.244 -0.222  -0.244 -0.365  -0.244 -0.509  -0.244 -0.652  -0.244 -0.796  -0.244 -0.939  -0.244 -1.082  -0.273 -1.214  -0.375 -1.315  -0.476 -1.416  -0.554 -1.461  -0.554 -1.318  -0.544 -1.184  -0.401 -1.184  -0.257 -1.184  -0.244 -1.054  -0.244 -0.911  -0.244 -0.767  -0.244 -0.624  -0.244 -0.480  -0.244 -0.337  -0.244 -0.194  -0.244 -0.050  -0.218 0.082  -0.116 0.184  -0.015 0.285  0.066 0.395  0.066 0.538  0.066 0.682  0.066 0.825  0.066 0.969  0.066 1.112  0.066 1.255  0.168 1.297  0.311 1.297  0.455 1.297  0.598 1.297  0.687 1.242  0.687 1.099  0.709 0.965  0.810 0.863  0.912 0.762  1.020 0.677  1.164 0.677  1.307 0.677
1c#app#app41#app4140/e  -0.889 0.145  -0.889 -0.024  -0.889 -0.194  -0.889 -0.363  -0.889 -0.532  -0.788 -0.601  -0.619 -0.601  -0.450 -0.601  -0.280 -0.601  -0.111 -0.601  0.058 -0.601  0.228 -0.601  0.348 -0.483  0.468 -0.363  0.588 -0.244  0.708 -0.124  0.827 -0.004  0.947 0.116  0.976 0.273  0.976 0.442  0.976 0.612  0.976 0.781  0.976 0.950  0.976 1.120  0.952 1.264  0.783 1.264  0.613 1.264  0.444 1.264  0.274 1.264  0.230 1.139  0.230 0.970  0.166 0.827  0.046 0.707  -0.073 0.588  -0.143 0.447  -0.143 0.278  -0.180 0.145  -0.349 0.145  -0.516 0.143  -0.516 -0.027  -0.516 -0.196  -0.516 -0.365  -0.516 -0.535  -0.516 -0.704  -0.516 -0.874  -0.516 -1.043  -0.516 -1.212  -0.516 -1.382  -0.516 -1.551  -0.516 -1.720
1c#app#app41#app4140/s  0.042 1.442  -0.069 1.442  -0.180 1.442  -0.291 1.442  -0.298 1.338  -0.298 1.228  -0.298 1.117  -0.395 1.103  -0.506 1.103  -0.617 1.103  -0.638 1.013  -0.638 0.902  -0.638 0.791  -0.638 0.680  -0.638 0.569  -0.638 0.458  -0.638 0.347  -0.638 0.236  -0.638 0.125  -0.569 0.083  -0.458 0.083  -0.347 0.083  -0.236 0.083  -0.125 0.083  -0.014 0.083  0.042 0.028  0.042 -0.083  0.042 -0.194  0.090 -0.257  0.201 -0.257  0.312 -0.257  0.381 -0.298  0.381 -0.409  0.381 -0.520  0.416 -0.596  0.527 -0.596  0.638 -0.596  0.721 -0.624  0.721 -0.735  0.721 -0.846  0.721 -0.957  0.721 -1.068  0.721 -1.179  0.707 -1.276  0.596 -1.276  0.485 -1.276  0.374 -1.276  0.264 -1.276  0.153 -1.276  0.042 -1.276
1c#app#app41#app4140/s  0.274 1.457  0.203 1.386  0.133 1.315  0.062 1.245  -0.009 1.174  -0.106 1.166  -0.206 1.166  -0.306 1.166  -0.309 1.069  -0.309 0.968  -0.315 0.874  -0.415 0.874  -0.515 0.874  -0.600 0.860  -0.600 0.760  -0.600 0.659  -0.600 0.559  -0.600 0.459  -0.600 0.359  -0.600 0.259  -0.600 0.159  -0.600 0.059  -0.559 0.000  -0.459 0.000  -0.359 0.000  -0.273 -0.035  -0.203 -0.106  -0.132 -0.177  -0.061 -0.247  0.021 -0.291  0.121 -0.291  0.221 -0.291  0.274 -0.338  0.274 -0.438  0.274 -0.538  0.330 -0.582  0.430 -0.582  0.530 -0.582  0.565 -0.647  0.565 -0.747  0.565 -0.847  0.565 -0.947  0.565 -1.047  0.565 -1.147  0.565 -1.247  0.565 -1.348  0.565 -1.448  0.565 -1.548  0.565 -1.648  0.565 -1.748
1c#app#app41#app4140/e  -1.127 0.060  -0.945 0.060  -0.764 0.059  -0.635 -0.070  -0.507 -0.199  -0.367 -0.301  -0.185 -0.301  -0.015 -0.274  0.113 -0.145  0.242 -0.016  0.392 0.060  0.574 0.060  0.680 0.136  0.680 0.318  0.758 0.422  0.940 0.422  1.041 0.502  1.041 0.684  1.041 0.866  1.041 1.048  0.956 1.144  0.774 1.144  0.593 1.144  0.411 1.144  0.229 1.144  0.047 1.144  -0.108 1.079  -0.236 0.951  -0.365 0.822  -0.404 0.656  -0.404 0.475  -0.495 0.330  -0.624 0.202  -0.752 0.073  -0.765 -0.103  -0.765 -0.285  -0.765 -0.467  -0.765 -0.649  -0.598 -0.663  -0.416 -0.663  -0.404 -0.833  -0.404 -1.015  -0.232 -1.024  -0.050 -1.024  -0.043 -1.199  -0.043 -1.381  0.134 -1.385  0.316 -1.385  0.498 -1.385  0.680 -1.385
1c#app#app41#app4140/d  0.106 -0.214  -0.023 -0.343  -0.111 -0.490  -0.136 -0.647  -0.318 -0.647  -0.450 -0.770  -0.544 -0.914  -0.544 -1.096  -0.544 -1.279  -0.544 -1.462  -0.413 -1.514  -0.327 -1.417  -0.265 -1.297  -0.111 -1.268  -0.111 -1.086  0.015 -0.955  0.106 -0.810  0.106 -0.628  0.106 -0.445  0.106 -0.262  0.106 -0.080  0.106 0.103  0.106 0.285  0.106 0.468  0.106 0.650  0.106 0.833  0.106 1.016  0.026 1.165  -0.103 1.294  -0.111 1.474  -0.111 1.656  -0.215 1.735  -0.327 1.665  -0.327 1.482  -0.327 1.300  -0.327 1.117  -0.221 0.979  -0.111 0.842  -0.111 0.659  0.013 0.528  0.143 0.399  0.272 0.270  0.322 0.108  0.399 0.002  0.539 -0.041  0.545 -0.221  0.674 -0.350  0.755 -0.499  0.789 -0.647  0.972 -0.647
1c#app#app41#app4140/t  -0.501 1.707  -0.283 1.707  -0.249 1.523  -0.099 1.455  0.003 1.340  0.003 1.122  0.003 0.904  0.003 0.686  0.003 0.468  -0.136 0.307  -0.249 0.136  -0.249 -0.082  -0.249 -0.300  -0.249 -0.518  -0.249 -0.736  -0.110 -0.814  0.003 -0.919  0.074 -1.066  0.292 -1.066  0.510 -1.066  0.728 -1.066  0.946 -1.066  1.119 -0.958  1.273 -0.804  1.428 -0.650  1.428 -0.530  1.223 -0.455  1.018 -0.381  0.813 -0.306  0.609 -0.232  0.404 -0.157  0.199 -0.083  -0.006 -0.009  -0.211 0.066  -0.416 0.140  -0.620 0.215  -0.825 0.289  -1.030 0.364  -1.235 0.438  -1.257 0.253  -1.257 0.035  -1.132 -0.058  -0.914 -0.058  -0.696 -0.058  -0.478 -0.058  -0.260 -0.058  -0.042 -0.058  0.125 0.065  0.289 0.195  0.507 0.195
1c#app#app41#app4140/h  -0.760 1.894  -0.760 1.748  -0.760 1.602  -0.760 1.456  -0.760 1.311  -0.760 1.165  -0.760 1.019  -0.760 0.873  -0.760 0.727  -0.760 0.581  -0.760 0.435  -0.760 0.290  -0.709 0.195  -0.563 0.195  -0.477 0.135  -0.477 -0.011  -0.477 -0.157  -0.477 -0.302  -0.477 -0.448  -0.477 -0.594  -0.477 -0.740  -0.477 -0.886  -0.383 -0.937  -0.237 -0.937  -0.091 -0.937  0.055 -0.937  0.089 -0.826  0.089 -0.680  0.209 -0.654  0.355 -0.654  0.372 -0.525  0.372 -0.380  0.372 -0.234  0.372 -0.088  0.476 0.015  0.579 0.118  0.656 0.232  0.656 0.378  0.656 0.433  0.656 0.287  0.656 0.141  0.656 -0.005  0.700 -0.132  0.803 -0.236  0.906 -0.339  0.939 -0.471  0.939 -0.617  1.016 -0.731  1.119 -0.834  1.222 -0.937
1c#app#app41#app4140/e  -0.954 0.510  -0.770 0.510  -0.618 0.478  -0.618 0.294  -0.618 0.110  -0.618 -0.073  -0.523 -0.161  -0.339 -0.161  -0.155 -0.161  0.028 -0.161  0.212 -0.161  0.388 -0.154  0.388 0.030  0.428 0.174  0.611 0.174  0.724 0.246  0.724 0.429  0.827 0.510  1.011 0.510  1.059 0.645  1.059 0.829  1.059 1.012  1.044 1.181  0.860 1.181  0.677 1.181  0.493 1.181  0.332 1.125  0.202 0.995  0.073 0.865  -0.057 0.735  -0.187 0.605  -0.283 0.461  -0.283 0.278  -0.283 0.094  -0.283 -0.090  -0.395 -0.161  -0.579 -0.161  -0.618 -0.306  -0.618 -0.489  -0.618 -0.673  -0.618 -0.857  -0.618 -1.040  -0.562 -1.168  -0.379 -1.168  -0.283 -1.256  -0.283 -1.440  -0.163 -1.503  0.021 -1.503  0.053 -1.655  0.053 -1.839
1c#app#app41#app4140/e  -0.459 -0.085  -0.459 -0.263  -0.422 -0.403  -0.244 -0.403  -0.066 -0.403  0.112 -0.403  0.290 -0.403  0.467 -0.403  0.645 -0.403  0.812 -0.392  0.812 -0.214  0.861 -0.085  1.039 -0.085  1.130 0.001  1.130 0.179  1.041 0.320  0.916 0.446  0.812 0.581  0.812 0.759  0.743 0.868  0.565 0.868  0.494 0.974  0.494 1.152  0.350 1.186  0.172 1.186  -0.006 1.186  -0.142 1.144  -0.142 0.966  -0.221 0.868  -0.399 0.868  -0.459 0.750  -0.459 0.573  -0.615 0.550  -0.777 0.535  -0.777 0.357  -0.777 0.179  -0.777 0.001  -0.777 -0.176  -0.777 -0.354  -0.777 -0.532  -0.777 -0.710  -0.777 -0.888  -0.751 -1.039  -0.573 -1.039  -0.459 -1.103  -0.459 -1.281  -0.357 -1.357  -0.179 -1.357  -0.002 -1.357  0.176 -1.357
