3#apb#apb16#app1612/3  -0.179 0.920  -0.268 1.021  -0.375 1.104  -0.442 1.214  -0.310 1.200  -0.174 1.200  -0.039 1.205  0.096 1.212  0.230 1.200  0.363 1.176  0.492 1.136  0.616 1.082  0.706 0.991  0.719 0.859  0.667 0.739  0.579 0.637  0.480 0.545  0.371 0.466  0.255 0.396  0.137 0.331  0.011 0.282  -0.114 0.230  -0.232 0.164  -0.351 0.098  -0.478 0.051  -0.609 0.034  -0.558 -0.047  -0.437 -0.104  -0.305 -0.135  -0.174 -0.169  -0.043 -0.204  0.086 -0.245  0.210 -0.295  0.325 -0.368  0.395 -0.482  0.441 -0.608  0.467 -0.740  0.447 -0.874  0.389 -0.992  0.302 -1.094  0.194 -1.177  0.078 -1.244  -0.046 -1.298  -0.174 -1.342  -0.303 -1.380  -0.437 -1.397  -0.572 -1.406  -0.702 -1.370  -0.819 -1.310  -0.915 -1.215
3#apb#apb16#app1612/M  -1.220 -0.948  -1.330 -1.052  -1.409 -1.029  -1.409 -0.876  -1.367 -0.732  -1.305 -0.592  -1.237 -0.456  -1.158 -0.325  -1.070 -0.200  -0.982 -0.075  -0.888 0.046  -0.794 0.166  -0.696 0.284  -0.595 0.398  -0.482 0.500  -0.350 0.574  -0.232 0.593  -0.140 0.473  -0.103 0.326  -0.115 0.173  -0.153 0.025  -0.199 -0.120  -0.263 -0.259  -0.232 -0.301  -0.135 -0.183  -0.034 -0.068  0.067 0.048  0.163 0.166  0.260 0.284  0.359 0.401  0.458 0.518  0.557 0.634  0.673 0.732  0.800 0.817  0.925 0.905  1.057 0.953  1.117 0.828  1.122 0.676  1.110 0.524  1.080 0.374  1.037 0.228  0.987 0.083  0.935 -0.060  0.871 -0.200  0.809 -0.339  0.763 -0.485  0.722 -0.632  0.690 -0.782  0.668 -0.933  0.665 -1.083
3#apb#apb16#app1612/A  -0.278 0.838  -0.159 1.059  -0.112 0.911  -0.176 0.668  -0.258 0.431  -0.355 0.199  -0.454 -0.032  -0.555 -0.262  -0.661 -0.490  -0.769 -0.717  -0.859 -0.952  -0.968 -1.177  -0.975 -1.083  -0.904 -0.842  -0.797 -0.615  -0.681 -0.392  -0.536 -0.187  -0.387 0.015  -0.240 0.219  -0.099 0.427  0.042 0.635  0.185 0.842  0.341 1.039  0.497 1.236  0.621 1.454  0.723 1.680  0.809 1.507  0.889 1.269  0.921 1.020  0.927 0.769  0.922 0.518  0.861 0.274  0.815 0.028  0.781 -0.221  0.725 -0.466  0.653 -0.706  0.561 -0.940  0.474 -1.175  0.327 -1.244  0.125 -1.100  -0.087 -0.965  -0.299 -0.830  -0.511 -0.695  -0.718 -0.554  -0.665 -0.364  -0.428 -0.312  -0.187 -0.241  0.058 -0.185  0.305 -0.145  0.556 -0.145
3#apb#apb16#app1612/  -1.259 -0.975  -1.259 -0.900  -1.259 -0.826  -1.259 -0.751  -1.257 -0.678  -1.209 -0.621  -1.161 -0.563  -1.114 -0.506  -1.066 -0.449  -1.018 -0.392  -0.970 -0.334  -0.923 -0.277  -0.866 -0.240  -0.795 -0.227  -0.730 -0.190  -0.665 -0.153  -0.601 -0.116  -0.536 -0.079  -0.471 -0.042  -0.407 -0.005  -0.342 0.032  -0.279 0.072  -0.218 0.115  -0.158 0.158  -0.097 0.202  -0.036 0.245  0.024 0.288  0.085 0.332  0.145 0.375  0.206 0.418  0.278 0.406  0.351 0.390  0.424 0.373  0.496 0.357  0.569 0.341  0.642 0.325  0.714 0.309  0.787 0.293  0.860 0.277  0.934 0.274  1.009 0.274  1.083 0.274  1.158 0.274  1.232 0.274  1.307 0.274  1.381 0.274  1.456 0.274  1.530 0.274  1.605 0.274  1.679 0.274
3#apb#apb16#app1612/1  0.529 1.468  0.500 1.478  0.509 1.479  0.525 1.413  0.490 1.352  0.455 1.291  0.426 1.228  0.407 1.161  0.387 1.093  0.368 1.026  0.349 0.958  0.328 0.891  0.304 0.826  0.279 0.760  0.255 0.694  0.231 0.628  0.207 0.562  0.182 0.497  0.157 0.431  0.129 0.367  0.101 0.303  0.072 0.239  0.044 0.174  0.016 0.110  -0.009 0.045  -0.030 -0.022  -0.050 -0.089  -0.070 -0.157  -0.091 -0.224  -0.111 -0.291  -0.132 -0.358  -0.152 -0.425  -0.173 -0.492  -0.198 -0.558  -0.222 -0.623  -0.247 -0.689  -0.271 -0.755  -0.296 -0.820  -0.322 -0.886  -0.351 -0.949  -0.380 -1.013  -0.409 -1.077  -0.437 -1.141  -0.451 -1.210  -0.464 -1.279  -0.478 -1.348  -0.475 -1.416  -0.463 -1.484  -0.485 -1.550  -0.485 -1.621
3#apb#apb16#app1612/P  0.211 0.620  0.146 0.791  0.129 0.790  0.052 0.625  -0.025 0.460  -0.101 0.293  -0.142 0.116  -0.178 -0.063  -0.226 -0.239  -0.285 -0.411  -0.344 -0.584  -0.426 -0.747  -0.510 -0.909  -0.596 -1.070  -0.684 -1.230  -0.791 -1.378  -0.899 -1.525  -0.982 -1.477  -0.983 -1.294  -0.937 -1.119  -0.881 -0.945  -0.812 -0.776  -0.740 -0.608  -0.669 -0.440  -0.581 -0.280  -0.491 -0.121  -0.399 0.037  -0.300 0.190  -0.202 0.344  -0.093 0.491  0.017 0.637  0.133 0.778  0.260 0.907  0.409 1.012  0.559 1.117  0.717 1.206  0.892 1.228  1.032 1.124  1.096 0.953  1.145 0.777  1.161 0.597  1.137 0.418  1.060 0.253  0.925 0.131  0.783 0.016  0.633 -0.084  0.462 -0.148  0.283 -0.186  0.105 -0.164  -0.070 -0.111
3#apb#apb16#app1612/l  0.806 1.418  0.814 1.421  0.778 1.361  0.741 1.302  0.704 1.242  0.672 1.181  0.640 1.118  0.609 1.056  0.578 0.993  0.547 0.931  0.516 0.868  0.484 0.806  0.453 0.744  0.422 0.681  0.391 0.619  0.360 0.556  0.328 0.494  0.293 0.434  0.257 0.374  0.222 0.314  0.186 0.254  0.150 0.193  0.115 0.133  0.079 0.073  0.042 0.015  0.003 -0.044  -0.035 -0.102  -0.073 -0.160  -0.112 -0.219  -0.150 -0.277  -0.188 -0.336  -0.226 -0.394  -0.267 -0.450  -0.309 -0.507  -0.350 -0.563  -0.392 -0.619  -0.433 -0.675  -0.475 -0.731  -0.514 -0.789  -0.549 -0.849  -0.584 -0.910  -0.619 -0.970  -0.654 -1.030  -0.688 -1.091  -0.722 -1.152  -0.755 -1.214  -0.777 -1.279  -0.787 -1.348  -0.789 -1.418  -0.741 -1.453
3#apb#apb16#app1612/u  -0.110 1.098  -0.110 1.053  -0.228 0.941  -0.328 0.807  -0.415 0.662  -0.517 0.527  -0.631 0.402  -0.742 0.274  -0.836 0.133  -0.930 -0.007  -1.029 -0.145  -1.119 -0.288  -1.201 -0.436  -1.247 -0.596  -1.263 -0.765  -1.232 -0.929  -1.068 -0.902  -0.909 -0.843  -0.766 -0.753  -0.625 -0.659  -0.488 -0.560  -0.364 -0.445  -0.240 -0.330  -0.115 -0.215  0.006 -0.096  0.125 0.024  0.245 0.143  0.362 0.266  0.477 0.390  0.593 0.514  0.708 0.638  0.828 0.757  0.948 0.877  1.086 0.973  1.172 1.001  1.133 0.844  1.083 0.683  0.999 0.536  0.915 0.389  0.838 0.239  0.777 0.081  0.716 -0.077  0.641 -0.229  0.561 -0.378  0.481 -0.527  0.435 -0.690  0.387 -0.853  0.338 -1.015  0.301 -1.180  0.358 -1.334
3#apb#apb16#app1612/m  -0.897 0.712  -1.004 0.576  -1.031 0.381  -1.011 0.184  -1.114 0.022  -1.233 -0.135  -1.263 -0.331  -1.281 -0.528  -1.289 -0.712  -1.343 -0.809  -1.217 -0.661  -1.104 -0.498  -0.991 -0.335  -0.848 -0.197  -0.703 -0.062  -0.562 0.078  -0.440 0.234  -0.317 0.391  -0.162 0.511  0.006 0.617  0.141 0.762  0.292 0.879  0.329 0.692  0.330 0.494  0.255 0.310  0.179 0.127  0.100 -0.056  0.022 -0.238  -0.075 -0.412  -0.196 -0.567  -0.282 -0.681  -0.134 -0.549  0.024 -0.430  0.159 -0.283  0.293 -0.137  0.432 0.005  0.572 0.146  0.722 0.276  0.879 0.397  1.043 0.508  1.222 0.591  1.398 0.610  1.445 0.422  1.430 0.225  1.384 0.032  1.302 -0.149  1.232 -0.334  1.170 -0.520  1.055 -0.682  1.082 -0.877
3#apb#apb16#app1612/b  0.145 1.814  0.122 1.966  0.179 1.970  0.190 1.813  0.167 1.658  0.144 1.502  0.131 1.345  0.119 1.188  0.098 1.033  0.072 0.878  0.046 0.722  0.003 0.572  -0.047 0.422  -0.096 0.273  -0.155 0.127  -0.217 -0.017  -0.280 -0.161  -0.353 -0.300  -0.434 -0.435  -0.516 -0.569  -0.629 -0.678  -0.739 -0.789  -0.800 -0.933  -0.807 -0.838  -0.725 -0.704  -0.626 -0.582  -0.525 -0.461  -0.414 -0.350  -0.303 -0.238  -0.175 -0.148  -0.045 -0.059  0.090 0.022  0.225 0.103  0.374 0.149  0.527 0.186  0.669 0.176  0.744 0.045  0.759 -0.109  0.743 -0.265  0.712 -0.419  0.657 -0.566  0.591 -0.708  0.489 -0.828  0.384 -0.945  0.272 -1.056  0.136 -1.130  -0.011 -1.188  -0.163 -1.223  -0.311 -1.188  -0.416 -1.078
3#apb#apb16#app1612/i  0.012 0.090  0.082 0.007  0.123 -0.090  0.142 -0.197  0.151 -0.305  0.151 -0.413  0.135 -0.518  0.086 -0.615  0.030 -0.707  -0.042 -0.788  -0.115 -0.869  -0.174 -0.960  -0.229 -1.053  -0.320 -1.100  -0.425 -1.129  -0.530 -1.156  -0.636 -1.179  -0.741 -1.166  -0.752 -1.087  -0.698 -0.993  -0.645 -0.898  -0.591 -0.804  -0.538 -0.709  -0.484 -0.614  -0.431 -0.520  -0.377 -0.425  -0.324 -0.331  -0.271 -0.236  -0.217 -0.142  -0.164 -0.047  -0.110 0.048  -0.057 0.142  -0.003 0.237  0.050 0.331  0.104 0.426  0.157 0.520  0.210 0.615  0.264 0.709  0.317 0.804  0.371 0.899  0.424 0.993  0.478 1.088  0.531 1.182  0.585 1.277  0.638 1.371  0.691 1.466  0.745 1.561  0.766 1.664  0.786 1.766  0.845 1.856
