2#apb#apb06#app0605/O  0.104 0.844  0.012 0.894  -0.092 0.790  -0.195 0.687  -0.281 0.569  -0.360 0.446  -0.440 0.323  -0.514 0.197  -0.589 0.071  -0.663 -0.055  -0.729 -0.185  -0.782 -0.321  -0.836 -0.457  -0.889 -0.594  -0.925 -0.735  -0.960 -0.877  -0.947 -1.019  -0.911 -1.161  -0.790 -1.240  -0.652 -1.254  -0.506 -1.236  -0.369 -1.196  -0.240 -1.125  -0.112 -1.055  0.012 -0.978  0.124 -0.884  0.236 -0.789  0.347 -0.695  0.439 -0.582  0.526 -0.464  0.612 -0.346  0.689 -0.222  0.757 -0.092  0.825 0.037  0.883 0.170  0.911 0.314  0.940 0.457  0.947 0.601  0.924 0.746  0.901 0.890  0.817 1.004  0.714 1.107  0.576 1.128  0.430 1.128  0.297 1.077  0.169 1.006  0.041 0.935  -0.056 0.828  -0.149 0.714  -0.241 0.601
2#apb#apb06#app0605/k  -0.212 1.485  -0.304 1.309  -0.374 1.109  -0.440 0.909  -0.522 0.714  -0.607 0.520  -0.694 0.328  -0.789 0.139  -0.883 -0.051  -0.994 -0.230  -1.109 -0.408  -1.193 -0.601  -1.266 -0.799  -1.360 -0.988  -1.246 -0.942  -1.074 -0.818  -0.903 -0.695  -0.731 -0.571  -0.560 -0.447  -0.388 -0.324  -0.217 -0.200  -0.045 -0.076  0.126 0.047  0.298 0.171  0.470 0.295  0.641 0.418  0.813 0.542  0.984 0.666  1.156 0.789  1.327 0.913  1.329 0.879  1.188 0.722  1.044 0.567  0.899 0.412  0.755 0.258  0.595 0.121  0.425 -0.004  0.249 -0.122  0.071 -0.236  -0.129 -0.303  -0.201 -0.159  -0.043 -0.025  0.159 -0.024  0.291 -0.181  0.365 -0.379  0.427 -0.581  0.498 -0.780  0.580 -0.975  0.709 -1.139  0.887 -1.251
2#apb#apb06#app0605/l  0.215 1.232  0.248 1.297  0.280 1.362  0.312 1.426  0.348 1.460  0.340 1.389  0.332 1.317  0.324 1.245  0.308 1.175  0.292 1.105  0.275 1.034  0.258 0.964  0.242 0.894  0.225 0.824  0.208 0.754  0.191 0.683  0.177 0.613  0.163 0.542  0.149 0.471  0.134 0.400  0.120 0.330  0.106 0.259  0.092 0.188  0.078 0.117  0.064 0.047  0.045 -0.023  0.019 -0.090  -0.007 -0.158  -0.032 -0.225  -0.058 -0.293  -0.084 -0.360  -0.109 -0.427  -0.135 -0.495  -0.160 -0.563  -0.175 -0.633  -0.189 -0.704  -0.204 -0.775  -0.219 -0.845  -0.234 -0.916  -0.249 -0.986  -0.264 -1.057  -0.289 -1.125  -0.315 -1.192  -0.341 -1.259  -0.366 -1.327  -0.392 -1.394  -0.409 -1.464  -0.423 -1.535  -0.438 -1.606  -0.452 -1.676
2#apb#apb06#app0605/a  0.374 0.705  0.467 0.865  0.561 1.025  0.635 1.195  0.531 1.292  0.358 1.276  0.210 1.165  0.061 1.053  -0.084 0.938  -0.222 0.814  -0.360 0.691  -0.498 0.567  -0.625 0.433  -0.743 0.289  -0.861 0.146  -0.970 -0.003  -1.056 -0.167  -1.143 -0.331  -1.215 -0.501  -1.270 -0.678  -1.278 -0.856  -1.180 -0.982  -0.997 -1.015  -0.817 -0.989  -0.639 -0.940  -0.460 -0.890  -0.301 -0.796  -0.142 -0.699  0.016 -0.603  0.156 -0.482  0.292 -0.356  0.428 -0.230  0.542 -0.084  0.657 0.062  0.757 0.216  0.831 0.386  0.906 0.556  0.946 0.736  0.866 0.627  0.776 0.466  0.693 0.300  0.619 0.131  0.555 -0.043  0.491 -0.217  0.435 -0.394  0.390 -0.574  0.346 -0.754  0.315 -0.937  0.301 -1.119  0.346 -1.299
2#apb#apb06#app0605/h  -0.093 1.552  -0.053 1.691  -0.064 1.564  -0.086 1.421  -0.114 1.279  -0.142 1.137  -0.178 0.997  -0.221 0.859  -0.263 0.720  -0.306 0.582  -0.355 0.446  -0.411 0.312  -0.467 0.179  -0.523 0.045  -0.576 -0.090  -0.629 -0.224  -0.682 -0.359  -0.739 -0.492  -0.817 -0.614  -0.895 -0.736  -0.968 -0.861  -1.033 -0.945  -0.944 -0.831  -0.853 -0.718  -0.758 -0.608  -0.664 -0.498  -0.559 -0.399  -0.450 -0.304  -0.341 -0.209  -0.230 -0.115  -0.119 -0.022  -0.008 0.070  0.110 0.152  0.245 0.202  0.381 0.252  0.520 0.287  0.665 0.287  0.807 0.278  0.931 0.204  1.024 0.103  1.072 -0.033  1.105 -0.171  1.090 -0.315  1.076 -0.460  1.051 -0.601  1.005 -0.739  0.959 -0.876  0.904 -1.010  0.843 -1.140  0.750 -1.252
2#apb#apb06#app0605/o  0.282 1.045  0.183 0.969  0.083 0.893  -0.016 0.817  -0.115 0.741  -0.211 0.661  -0.305 0.579  -0.400 0.497  -0.494 0.415  -0.589 0.334  -0.680 0.249  -0.764 0.156  -0.848 0.064  -0.932 -0.029  -1.008 -0.127  -1.064 -0.239  -1.119 -0.351  -1.158 -0.467  -1.158 -0.592  -1.140 -0.706  -1.031 -0.768  -0.923 -0.829  -0.798 -0.829  -0.673 -0.829  -0.548 -0.829  -0.423 -0.823  -0.301 -0.797  -0.179 -0.771  -0.057 -0.745  0.066 -0.720  0.187 -0.692  0.298 -0.633  0.408 -0.575  0.518 -0.516  0.628 -0.457  0.720 -0.377  0.794 -0.276  0.867 -0.175  0.941 -0.074  0.990 0.041  1.034 0.157  1.079 0.274  1.116 0.392  1.097 0.515  1.078 0.639  1.059 0.762  1.001 0.867  0.917 0.960  0.834 1.053  0.750 1.146
2#apb#apb06#app0605/m  -0.627 0.871  -0.688 0.674  -0.775 0.487  -0.874 0.307  -0.985 0.133  -1.077 -0.050  -1.153 -0.242  -1.256 -0.419  -1.338 -0.604  -1.363 -0.750  -1.208 -0.614  -1.079 -0.453  -0.943 -0.298  -0.803 -0.147  -0.669 0.010  -0.539 0.170  -0.403 0.324  -0.242 0.452  -0.081 0.581  0.106 0.667  0.280 0.632  0.344 0.443  0.267 0.251  0.183 0.064  0.073 -0.111  -0.037 -0.284  -0.176 -0.437  -0.320 -0.584  -0.474 -0.721  -0.538 -0.740  -0.403 -0.585  -0.264 -0.433  -0.124 -0.282  0.021 -0.136  0.176 0.000  0.332 0.136  0.489 0.269  0.647 0.402  0.804 0.535  0.991 0.622  1.179 0.704  1.373 0.670  1.487 0.513  1.521 0.309  1.499 0.105  1.470 -0.099  1.401 -0.293  1.335 -0.489  1.272 -0.685  1.189 -0.873
2#apb#apb06#app0605/a  0.454 0.917  0.350 1.023  0.182 1.016  0.016 0.985  -0.149 0.954  -0.295 0.877  -0.429 0.774  -0.563 0.672  -0.693 0.565  -0.812 0.445  -0.931 0.326  -1.047 0.203  -1.143 0.064  -1.239 -0.074  -1.309 -0.227  -1.335 -0.387  -1.234 -0.498  -1.075 -0.527  -0.910 -0.492  -0.747 -0.451  -0.598 -0.371  -0.450 -0.291  -0.316 -0.188  -0.187 -0.080  -0.067 0.037  0.034 0.172  0.136 0.307  0.224 0.451  0.313 0.595  0.395 0.731  0.283 0.614  0.182 0.479  0.107 0.329  0.031 0.178  -0.013 0.017  -0.038 -0.150  -0.012 -0.311  0.053 -0.467  0.166 -0.572  0.324 -0.633  0.481 -0.695  0.644 -0.725  0.813 -0.725  0.982 -0.725  1.150 -0.725  1.319 -0.720  1.487 -0.702  1.654 -0.683  1.822 -0.664  1.990 -0.646
2#apb#apb06#app0605/C  1.138 1.049  1.036 1.072  0.933 1.096  0.832 1.123  0.731 1.149  0.626 1.141  0.521 1.133  0.420 1.108  0.322 1.070  0.225 1.032  0.127 0.994  0.049 0.925  -0.025 0.851  -0.099 0.777  -0.174 0.703  -0.248 0.628  -0.314 0.547  -0.380 0.465  -0.446 0.384  -0.512 0.302  -0.578 0.220  -0.635 0.132  -0.689 0.042  -0.743 -0.048  -0.797 -0.138  -0.839 -0.233  -0.857 -0.336  -0.875 -0.439  -0.891 -0.542  -0.837 -0.632  -0.783 -0.723  -0.700 -0.784  -0.610 -0.838  -0.520 -0.892  -0.424 -0.915  -0.320 -0.899  -0.216 -0.884  -0.112 -0.869  -0.009 -0.853  0.095 -0.836  0.197 -0.813  0.300 -0.791  0.402 -0.768  0.505 -0.745  0.607 -0.722  0.710 -0.698  0.812 -0.673  0.914 -0.649  1.016 -0.624  1.118 -0.600
2#apb#apb06#app0605/i  -0.100 0.284  -0.091 0.196  -0.135 0.094  -0.178 -0.008  -0.217 -0.111  -0.251 -0.217  -0.284 -0.322  -0.317 -0.428  -0.361 -0.530  -0.408 -0.630  -0.454 -0.731  -0.507 -0.828  -0.563 -0.923  -0.617 -1.020  -0.648 -1.126  -0.675 -1.233  -0.675 -1.344  -0.629 -1.273  -0.577 -1.175  -0.525 -1.078  -0.473 -0.980  -0.421 -0.882  -0.368 -0.784  -0.316 -0.687  -0.264 -0.589  -0.212 -0.491  -0.159 -0.394  -0.107 -0.296  -0.055 -0.198  -0.003 -0.100  0.049 -0.003  0.102 0.095  0.154 0.193  0.206 0.291  0.258 0.388  0.310 0.486  0.363 0.584  0.415 0.681  0.467 0.779  0.519 0.877  0.571 0.975  0.624 1.072  0.676 1.170  0.728 1.268  0.780 1.365  0.832 1.463  0.885 1.561  0.910 1.623  0.877 1.523  0.865 1.413
2#apb#apb06#app0605/t  -1.343 0.032  -1.202 -0.053  -1.065 -0.144  -0.926 -0.233  -0.784 -0.316  -0.643 -0.401  -0.513 -0.501  -0.382 -0.602  -0.240 -0.682  -0.087 -0.743  0.066 -0.804  0.225 -0.842  0.386 -0.880  0.433 -0.754  0.453 -0.590  0.474 -0.427  0.495 -0.264  0.515 -0.100  0.536 0.063  0.557 0.226  0.577 0.390  0.598 0.553  0.618 0.716  0.639 0.880  0.660 1.043  0.680 1.207  0.701 1.370  0.722 1.533  0.714 1.519  0.684 1.357  0.654 1.196  0.566 1.057  0.474 0.920  0.383 0.783  0.292 0.646  0.200 0.509  0.115 0.368  0.032 0.226  -0.051 0.084  -0.135 -0.058  -0.218 -0.200  -0.302 -0.342  -0.385 -0.483  -0.469 -0.625  -0.553 -0.767  -0.637 -0.908  -0.728 -1.045  -0.828 -1.176  -0.928 -1.307  -1.028 -1.438
