1b#tos#t1#t1013062/A  -0.810 -0.677  -0.949 -0.802  -0.995 -0.981  -1.041 -1.187  -0.949 -1.109  -0.833 -0.954  -0.737 -0.755  -0.695 -0.538  -0.555 -0.400  -0.478 -0.207  -0.374 -0.018  -0.325 0.201  -0.302 0.423  -0.117 0.543  -0.071 0.742  -0.071 0.967  -0.008 1.173  0.057 1.380  0.067 1.602  0.123 1.771  0.206 1.814  0.270 1.615  0.362 1.424  0.391 1.202  0.437 0.988  0.437 0.763  0.483 0.558  0.483 0.333  0.529 0.154  0.529 -0.071  0.529 -0.295  0.576 -0.509  0.622 -0.715  0.622 -0.940  0.622 -1.165  0.714 -1.232  0.597 -1.051  0.448 -0.882  0.300 -0.713  0.152 -0.544  0.004 -0.374  -0.144 -0.205  -0.310 -0.077  -0.508 -0.144  -0.437 -0.169  -0.212 -0.169  0.013 -0.169  0.237 -0.169  0.443 -0.215  0.668 -0.215
1b#tos#t1#t1013062/C  0.658 0.870  0.590 0.850  0.571 0.957  0.522 1.032  0.420 1.046  0.333 1.074  0.252 1.108  0.204 1.176  0.089 1.176  -0.012 1.142  -0.077 1.063  -0.180 1.012  -0.259 0.971  -0.327 0.924  -0.382 0.843  -0.443 0.755  -0.531 0.696  -0.549 0.599  -0.587 0.508  -0.633 0.412  -0.663 0.327  -0.701 0.249  -0.701 0.134  -0.701 0.019  -0.701 -0.097  -0.701 -0.212  -0.701 -0.327  -0.701 -0.443  -0.625 -0.522  -0.565 -0.577  -0.516 -0.673  -0.478 -0.765  -0.366 -0.793  -0.318 -0.862  -0.215 -0.906  -0.118 -0.966  -0.011 -0.998  0.105 -0.998  0.220 -0.998  0.326 -0.960  0.435 -0.930  0.516 -0.896  0.629 -0.891  0.731 -0.849  0.843 -0.828  0.958 -0.828  0.998 -0.752  1.073 -0.692  1.120 -0.624  1.167 -0.556
1b#tos#t1#t1013062/L  0.008 1.592  -0.098 1.592  -0.137 1.597  -0.166 1.519  -0.197 1.435  -0.269 1.364  -0.283 1.261  -0.283 1.154  -0.333 1.069  -0.370 0.973  -0.391 0.869  -0.392 0.762  -0.392 0.656  -0.392 0.549  -0.392 0.443  -0.392 0.336  -0.392 0.230  -0.440 0.138  -0.464 0.039  -0.464 -0.068  -0.517 -0.158  -0.554 -0.256  -0.573 -0.361  -0.610 -0.458  -0.610 -0.565  -0.617 -0.668  -0.646 -0.706  -0.573 -0.672  -0.482 -0.631  -0.385 -0.589  -0.315 -0.552  -0.209 -0.552  -0.111 -0.516  -0.004 -0.516  0.100 -0.526  0.200 -0.552  0.307 -0.552  0.408 -0.558  0.447 -0.626  0.545 -0.661  0.651 -0.661  0.735 -0.684  0.792 -0.734  0.898 -0.734  1.000 -0.723  1.096 -0.698  1.202 -0.698  1.272 -0.661  1.365 -0.613  1.425 -0.625
1b#tos#t1#t1013062/M  -0.339 1.019  -0.496 0.923  -0.571 0.715  -0.574 0.485  -0.613 0.259  -0.692 0.047  -0.692 -0.183  -0.698 -0.413  -0.731 -0.638  -0.770 -0.862  -0.803 -1.060  -0.849 -1.244  -0.849 -1.193  -0.818 -0.966  -0.777 -0.739  -0.737 -0.512  -0.696 -0.285  -0.656 -0.058  -0.615 0.169  -0.575 0.396  -0.534 0.622  -0.494 0.849  -0.474 1.059  -0.496 1.007  -0.378 0.861  -0.312 0.653  -0.294 0.431  -0.186 0.282  -0.153 0.059  -0.092 -0.118  0.054 -0.203  0.250 -0.234  0.328 -0.082  0.503 0.028  0.603 0.220  0.760 0.294  0.837 0.469  0.970 0.627  1.140 0.772  1.230 0.783  1.191 0.559  1.148 0.345  1.113 0.123  1.058 -0.094  1.034 -0.315  0.998 -0.540  0.995 -0.770  0.956 -0.991  0.917 -1.182  0.877 -1.373
1b#tos#t1#t1013062/N  -0.810 -1.059  -0.881 -1.218  -0.838 -1.160  -0.774 -1.006  -0.760 -0.831  -0.702 -0.674  -0.702 -0.494  -0.702 -0.313  -0.681 -0.136  -0.666 0.042  -0.666 0.222  -0.666 0.403  -0.646 0.575  -0.630 0.749  -0.594 0.894  -0.558 1.038  -0.487 1.112  -0.434 0.970  -0.343 0.837  -0.307 0.692  -0.271 0.548  -0.235 0.376  -0.164 0.212  -0.164 0.032  -0.087 -0.106  -0.056 -0.282  0.020 -0.413  0.088 -0.548  0.183 -0.689  0.269 -0.813  0.354 -0.946  0.410 -1.086  0.510 -1.167  0.590 -1.138  0.590 -0.958  0.626 -0.813  0.662 -0.641  0.662 -0.461  0.662 -0.280  0.698 -0.106  0.698 0.075  0.698 0.255  0.733 0.428  0.733 0.608  0.733 0.789  0.733 0.969  0.758 1.144  0.769 1.322  0.805 1.487  0.841 1.560
1b#tos#t1#t1013062/O  -0.172 0.625  -0.298 0.655  -0.415 0.699  -0.486 0.625  -0.582 0.547  -0.687 0.489  -0.687 0.345  -0.726 0.217  -0.761 0.078  -0.798 -0.051  -0.798 -0.195  -0.798 -0.339  -0.773 -0.479  -0.761 -0.621  -0.687 -0.719  -0.645 -0.852  -0.566 -0.962  -0.503 -1.067  -0.417 -1.154  -0.283 -1.177  -0.154 -1.214  -0.010 -1.214  0.098 -1.177  0.239 -1.171  0.341 -1.069  0.427 -0.970  0.544 -0.893  0.600 -0.766  0.664 -0.656  0.710 -0.537  0.784 -0.438  0.784 -0.294  0.784 -0.150  0.784 -0.006  0.784 0.138  0.784 0.282  0.774 0.424  0.747 0.562  0.716 0.693  0.664 0.812  0.562 0.883  0.485 0.994  0.379 1.062  0.297 1.163  0.172 1.214  0.028 1.214  -0.116 1.214  -0.239 1.147  -0.359 1.095  -0.430 0.993
1b#tos#t1#t1013062/P  -0.246 0.852  -0.385 0.788  -0.455 0.608  -0.455 0.404  -0.489 0.207  -0.489 0.003  -0.559 -0.183  -0.559 -0.387  -0.559 -0.590  -0.559 -0.793  -0.594 -0.982  -0.594 -1.185  -0.594 -1.388  -0.594 -1.592  -0.593 -1.509  -0.564 -1.308  -0.534 -1.107  -0.505 -0.906  -0.475 -0.705  -0.446 -0.503  -0.416 -0.302  -0.387 -0.101  -0.357 0.100  -0.328 0.301  -0.298 0.502  -0.269 0.703  -0.239 0.904  -0.221 1.096  -0.157 1.160  0.046 1.165  0.249 1.165  0.452 1.165  0.636 1.118  0.765 1.005  0.917 0.890  1.019 0.748  1.167 0.635  1.249 0.464  1.249 0.260  1.219 0.087  1.110 -0.034  1.033 -0.164  0.930 -0.316  0.730 -0.330  0.527 -0.330  0.323 -0.330  0.120 -0.330  -0.083 -0.330  -0.286 -0.330  -0.455 -0.295
1b#tos#t1#t1013062/R  0.251 1.348  0.037 1.324  -0.055 1.136  -0.117 0.917  -0.208 0.705  -0.290 0.483  -0.331 0.252  -0.434 0.049  -0.485 -0.176  -0.546 -0.396  -0.607 -0.619  -0.724 -0.821  -0.791 -1.038  -0.906 -1.233  -0.975 -1.321  -0.912 -1.095  -0.826 -0.873  -0.740 -0.651  -0.654 -0.430  -0.568 -0.208  -0.482 0.014  -0.396 0.236  -0.310 0.457  -0.224 0.679  -0.138 0.901  -0.053 1.123  0.080 1.286  0.298 1.348  0.520 1.305  0.681 1.152  0.792 0.961  0.834 0.733  0.834 0.495  0.743 0.276  0.598 0.089  0.441 -0.088  0.253 -0.183  0.022 -0.221  -0.211 -0.247  -0.252 -0.137  -0.019 -0.124  0.180 -0.186  0.288 -0.370  0.386 -0.554  0.455 -0.757  0.569 -0.939  0.705 -1.100  0.910 -1.136  1.087 -1.198  1.294 -1.167
1b#tos#t1#t1013062/S  1.020 0.893  0.929 0.954  0.917 1.082  0.804 1.143  0.702 1.196  0.568 1.196  0.494 1.256  0.360 1.256  0.226 1.256  0.103 1.237  -0.006 1.196  -0.123 1.137  -0.211 1.054  -0.221 0.924  -0.221 0.790  -0.221 0.655  -0.171 0.542  -0.096 0.432  0.005 0.379  0.082 0.281  0.161 0.208  0.224 0.116  0.298 0.012  0.384 -0.074  0.423 -0.196  0.505 -0.270  0.531 -0.398  0.536 -0.532  0.536 -0.666  0.475 -0.740  0.406 -0.824  0.296 -0.889  0.163 -0.891  0.029 -0.891  -0.105 -0.891  -0.221 -0.830  -0.316 -0.736  -0.402 -0.672  -0.474 -0.591  -0.553 -0.490  -0.628 -0.407  -0.674 -0.435  -0.704 -0.557  -0.744 -0.679  -0.765 -0.807  -0.825 -0.916  -0.825 -1.050  -0.867 -1.175  -0.886 -1.301  -0.916 -1.285
1b#tos#t1#t1013062/U  -0.529 1.279  -0.642 1.245  -0.700 1.251  -0.700 1.130  -0.700 1.009  -0.700 0.888  -0.700 0.767  -0.700 0.646  -0.700 0.525  -0.700 0.404  -0.700 0.283  -0.700 0.162  -0.700 0.041  -0.700 -0.080  -0.667 -0.193  -0.659 -0.312  -0.632 -0.426  -0.597 -0.539  -0.563 -0.655  -0.533 -0.768  -0.520 -0.882  -0.426 -0.935  -0.388 -1.020  -0.279 -1.050  -0.201 -1.119  -0.080 -1.119  -0.015 -1.036  0.069 -0.960  0.177 -0.926  0.258 -0.879  0.320 -0.784  0.415 -0.722  0.464 -0.622  0.518 -0.517  0.603 -0.431  0.645 -0.321  0.706 -0.226  0.773 -0.132  0.773 -0.011  0.802 0.080  0.841 0.162  0.841 0.283  0.868 0.400  0.876 0.519  0.876 0.640  0.876 0.761  0.876 0.882  0.876 1.003  0.876 1.124  0.807 1.177
1b#tos#t1#t1013062/V  -0.719 1.142  -0.847 1.142  -0.905 1.142  -0.893 1.142  -0.840 1.052  -0.789 0.962  -0.789 0.835  -0.728 0.733  -0.694 0.617  -0.635 0.506  -0.586 0.388  -0.545 0.268  -0.514 0.145  -0.476 0.032  -0.438 -0.086  -0.407 -0.208  -0.379 -0.331  -0.361 -0.455  -0.299 -0.563  -0.268 -0.677  -0.236 -0.797  -0.199 -0.909  -0.164 -1.028  -0.129 -1.148  -0.129 -1.275  -0.051 -1.324  0.032 -1.336  0.079 -1.222  0.114 -1.109  0.138 -0.995  0.218 -0.910  0.257 -0.799  0.322 -0.699  0.348 -0.577  0.383 -0.455  0.456 -0.356  0.502 -0.238  0.565 -0.130  0.604 -0.010  0.635 0.111  0.683 0.218  0.751 0.321  0.773 0.445  0.773 0.573  0.793 0.697  0.836 0.816  0.912 0.913  0.914 1.039  0.947 1.153  0.982 1.246
