3#app#app06#app0647/1  0.103 1.641  0.031 1.641  0.017 1.584  0.017 1.512  0.017 1.440  0.017 1.368  0.017 1.296  0.017 1.224  0.017 1.152  0.017 1.080  0.017 1.008  0.010 0.938  -0.022 0.873  -0.054 0.809  -0.069 0.741  -0.069 0.669  -0.069 0.597  -0.069 0.525  -0.069 0.453  -0.069 0.381  -0.069 0.309  -0.069 0.237  -0.069 0.165  -0.069 0.093  -0.069 0.021  -0.069 -0.051  -0.069 -0.123  -0.069 -0.195  -0.069 -0.267  -0.069 -0.339  -0.069 -0.411  -0.069 -0.483  -0.069 -0.555  -0.069 -0.627  -0.069 -0.699  -0.069 -0.771  -0.069 -0.843  -0.045 -0.909  -0.012 -0.973  0.017 -1.038  0.017 -1.110  0.017 -1.182  0.052 -1.240  0.103 -1.290  0.103 -1.362  0.160 -1.377  0.189 -1.420  0.218 -1.463  0.276 -1.478  0.276 -1.550
3#app#app06#app0647/0  -0.205 0.758  -0.179 0.875  -0.113 0.976  -0.113 1.104  -0.037 1.200  0.026 1.310  0.070 1.428  0.135 1.490  0.161 1.388  0.194 1.274  0.273 1.175  0.330 1.060  0.348 0.937  0.436 0.846  0.436 0.718  0.470 0.598  0.527 0.484  0.527 0.356  0.527 0.228  0.604 0.132  0.618 0.010  0.618 -0.118  0.618 -0.245  0.579 -0.367  0.538 -0.488  0.527 -0.614  0.501 -0.731  0.436 -0.832  0.385 -0.939  0.295 -1.029  0.253 -1.140  0.152 -1.172  0.058 -1.254  -0.070 -1.254  -0.198 -1.254  -0.290 -1.169  -0.408 -1.143  -0.479 -1.045  -0.524 -0.935  -0.598 -0.833  -0.655 -0.719  -0.742 -0.626  -0.754 -0.503  -0.754 -0.375  -0.754 -0.247  -0.754 -0.119  -0.754 0.009  -0.754 0.137  -0.754 0.264  -0.754 0.392
3#app#app06#app0647/0  -0.458 0.755  -0.440 0.873  -0.351 0.961  -0.263 1.050  -0.174 1.138  -0.086 1.227  0.029 1.251  0.155 1.251  0.280 1.251  0.384 1.202  0.473 1.113  0.562 1.024  0.644 0.931  0.700 0.819  0.732 0.702  0.732 0.577  0.732 0.452  0.732 0.326  0.732 0.201  0.732 0.076  0.705 -0.046  0.675 -0.167  0.644 -0.289  0.633 -0.412  0.587 -0.527  0.529 -0.638  0.441 -0.726  0.352 -0.815  0.264 -0.903  0.175 -0.992  0.087 -1.080  -0.018 -1.129  -0.119 -1.187  -0.228 -1.228  -0.353 -1.228  -0.465 -1.175  -0.557 -1.107  -0.579 -0.987  -0.635 -0.875  -0.657 -0.755  -0.703 -0.640  -0.756 -0.528  -0.756 -0.403  -0.756 -0.277  -0.756 -0.152  -0.756 -0.027  -0.756 0.098  -0.736 0.220  -0.696 0.339  -0.657 0.458
3#app#app06#app0647/%  -0.872 0.788  -0.782 1.013  -0.568 1.127  -0.397 0.996  -0.329 0.762  -0.329 0.500  -0.397 0.266  -0.499 0.041  -0.665 -0.159  -0.822 -0.316  -1.063 -0.366  -1.143 -0.184  -1.143 0.078  -1.143 0.340  -1.075 0.586  -0.984 0.811  -0.837 0.991  -0.575 0.991  -0.313 0.991  -0.051 0.991  0.211 0.991  0.146 0.760  0.108 0.507  0.078 0.252  0.011 0.006  -0.031 -0.246  -0.057 -0.502  -0.057 -0.764  -0.057 -1.026  -0.057 -1.288  -0.057 -1.550  0.069 -1.442  0.166 -1.198  0.263 -0.955  0.361 -0.712  0.458 -0.468  0.555 -0.225  0.653 0.018  0.757 0.245  0.961 0.343  1.185 0.381  1.232 0.165  1.232 -0.097  1.164 -0.343  1.089 -0.569  0.961 -0.743  0.729 -0.773  0.670 -0.569  0.621 -0.356  0.621 -0.094
3#app#app06#app0647/o  -0.615 0.345  -0.482 0.352  -0.482 0.493  -0.467 0.627  -0.368 0.726  -0.349 0.858  -0.228 0.878  -0.125 0.968  -0.026 1.067  0.082 1.144  0.222 1.144  0.363 1.144  0.503 1.144  0.583 1.084  0.630 0.964  0.730 0.865  0.829 0.765  0.849 0.634  0.849 0.494  0.849 0.354  0.849 0.213  0.849 0.073  0.849 -0.067  0.835 -0.201  0.736 -0.301  0.637 -0.400  0.563 -0.514  0.519 -0.647  0.474 -0.780  0.405 -0.898  0.306 -0.997  0.207 -1.096  0.108 -1.195  -0.009 -1.252  -0.149 -1.252  -0.290 -1.252  -0.406 -1.195  -0.482 -1.086  -0.510 -0.957  -0.609 -0.858  -0.674 -0.734  -0.737 -0.609  -0.748 -0.471  -0.803 -0.344  -0.865 -0.219  -0.881 -0.082  -0.881 0.058  -0.881 0.198  -0.881 0.338  -0.881 0.479
3#app#app06#app0647/f  0.042 -0.045  0.084 -0.204  0.191 -0.342  0.270 -0.500  0.327 -0.667  0.383 -0.835  0.459 -0.995  0.509 -1.160  0.515 -1.334  0.625 -1.465  0.544 -1.561  0.392 -1.537  0.307 -1.444  0.173 -1.342  0.159 -1.171  0.088 -1.024  0.042 -0.866  -0.035 -0.707  -0.096 -0.543  -0.139 -0.371  -0.182 -0.200  -0.191 -0.024  -0.191 0.153  -0.191 0.329  -0.191 0.506  -0.191 0.683  -0.191 0.860  -0.191 1.037  -0.191 1.213  -0.123 1.374  -0.027 1.520  0.098 1.645  0.159 1.796  0.116 1.676  0.066 1.507  0.016 1.337  -0.034 1.167  -0.084 0.998  -0.134 0.828  -0.183 0.659  -0.233 0.489  -0.283 0.319  -0.333 0.150  -0.383 -0.020  -0.445 -0.182  -0.541 -0.319  -0.440 -0.395  -0.263 -0.395  -0.117 -0.320  0.042 -0.278
3#app#app06#app0647/#  -0.783 1.374  -0.675 1.081  -0.567 0.724  -0.483 0.343  -0.452 -0.052  -0.291 -0.411  -0.136 -0.749  -0.028 -1.105  0.038 -0.814  -0.019 -0.417  -0.076 -0.020  -0.132 0.377  -0.189 0.774  -0.246 1.171  -0.303 1.568  -0.299 1.913  -0.151 1.605  -0.029 1.227  0.072 0.850  0.187 0.495  0.403 0.227  0.556 -0.119  0.687 -0.489  0.906 -0.819  1.049 -1.105  0.981 -1.392  0.625 -1.206  0.270 -1.020  -0.085 -0.834  -0.441 -0.648  -0.796 -0.462  -1.152 -0.276  -1.164 -0.085  -0.849 0.122  -0.520 0.296  -0.163 0.404  0.211 0.520  0.596 0.619  0.933 0.720  0.617 0.473  0.302 0.225  -0.014 -0.023  -0.329 -0.271  -0.637 -0.528  -0.544 -0.782  -0.143 -0.782  0.258 -0.782  0.616 -0.676  1.016 -0.674  1.373 -0.566
3#app#app06#app0647/'  -0.268 1.001  -0.268 1.077  -0.268 1.153  -0.268 1.229  -0.268 1.304  -0.199 1.311  -0.123 1.311  -0.047 1.311  0.028 1.311  0.041 1.248  0.041 1.172  0.041 1.096  0.041 1.020  0.041 0.944  0.041 0.869  0.041 0.793  0.041 0.717  0.041 0.641  0.041 0.565  0.041 0.490  0.041 0.414  0.041 0.338  0.041 0.262  0.041 0.186  0.041 0.111  0.041 0.035  0.041 -0.041  0.041 -0.117  0.041 -0.193  0.041 -0.268  0.041 -0.344  0.041 -0.420  0.041 -0.496  0.041 -0.572  0.041 -0.647  0.041 -0.723  0.041 -0.799  0.041 -0.875  0.041 -0.951  0.041 -1.027  0.041 -1.102  0.041 -1.178  0.041 -1.254  0.041 -1.330  0.041 -1.406  0.041 -1.481  0.041 -1.557  0.041 -1.633  0.041 -1.709  0.041 -1.785
3#app#app06#app0647/s  -0.390 1.607  -0.390 1.510  -0.390 1.412  -0.390 1.314  -0.390 1.217  -0.437 1.139  -0.506 1.069  -0.531 0.982  -0.551 0.905  -0.649 0.905  -0.671 0.829  -0.671 0.732  -0.671 0.634  -0.671 0.536  -0.671 0.439  -0.669 0.343  -0.571 0.343  -0.473 0.343  -0.376 0.343  -0.278 0.343  -0.201 0.294  -0.132 0.225  -0.043 0.203  0.054 0.203  0.152 0.203  0.172 0.125  0.207 0.062  0.304 0.062  0.312 -0.028  0.359 -0.078  0.453 -0.083  0.453 -0.180  0.453 -0.278  0.464 -0.371  0.533 -0.440  0.593 -0.513  0.593 -0.610  0.593 -0.708  0.593 -0.806  0.593 -0.903  0.593 -1.001  0.567 -1.088  0.498 -1.157  0.453 -1.236  0.453 -1.333  0.390 -1.405  0.321 -1.474  0.227 -1.483  0.172 -1.525  0.172 -1.623
3#app#app06#app0647/  0.378 1.634  0.378 1.562  0.332 1.509  0.299 1.450  0.286 1.384  0.235 1.333  0.220 1.267  0.220 1.195  0.220 1.123  0.199 1.059  0.148 1.009  0.140 0.940  0.140 0.868  0.120 0.801  0.087 0.736  0.061 0.670  0.061 0.598  0.061 0.526  0.061 0.454  0.061 0.382  0.061 0.310  0.039 0.243  0.007 0.179  -0.018 0.113  -0.018 0.041  -0.018 -0.031  -0.018 -0.103  -0.018 -0.175  -0.018 -0.247  -0.042 -0.314  -0.074 -0.378  -0.097 -0.445  -0.097 -0.517  -0.100 -0.588  -0.132 -0.652  -0.164 -0.717  -0.176 -0.786  -0.176 -0.858  -0.176 -0.930  -0.176 -1.002  -0.176 -1.074  -0.184 -1.143  -0.234 -1.194  -0.255 -1.258  -0.255 -1.330  -0.255 -1.402  -0.255 -1.474  -0.255 -1.546  -0.248 -1.611  -0.176 -1.611
3#app#app06#app0647/0  -0.373 0.677  -0.282 0.768  -0.250 0.867  -0.182 0.929  -0.115 1.030  0.002 1.058  0.035 1.153  0.164 1.153  0.293 1.153  0.412 1.130  0.511 1.058  0.622 1.015  0.713 0.924  0.804 0.833  0.865 0.729  0.865 0.600  0.865 0.471  0.865 0.342  0.865 0.214  0.865 0.085  0.826 -0.028  0.770 -0.133  0.770 -0.262  0.673 -0.339  0.566 -0.411  0.470 -0.492  0.413 -0.608  0.336 -0.709  0.245 -0.800  0.142 -0.875  0.027 -0.932  -0.068 -1.018  -0.187 -1.042  -0.279 -1.132  -0.408 -1.132  -0.536 -1.132  -0.663 -1.127  -0.754 -1.036  -0.845 -0.945  -0.849 -0.818  -0.849 -0.689  -0.849 -0.560  -0.849 -0.431  -0.849 -0.303  -0.849 -0.174  -0.849 -0.045  -0.849 0.084  -0.841 0.209  -0.750 0.300  -0.659 0.391
