2#app#app33#app3310/T  0.606 1.130  0.606 0.975  0.606 0.820  0.606 0.665  0.606 0.510  0.606 0.355  0.606 0.201  0.606 0.046  0.606 -0.109  0.606 -0.264  0.628 -0.410  0.701 -0.534  0.701 -0.689  0.778 -0.767  0.796 -0.904  0.788 -1.049  0.640 -1.004  0.492 -0.959  0.344 -0.914  0.196 -0.869  0.048 -0.824  -0.101 -0.779  -0.249 -0.734  -0.397 -0.689  -0.545 -0.643  -0.693 -0.598  -0.841 -0.553  -0.989 -0.508  -1.138 -0.463  -1.286 -0.418  -1.386 -0.337  -1.307 -0.215  -1.254 -0.103  -1.100 -0.102  -0.990 0.008  -0.881 0.117  -0.771 0.227  -0.646 0.314  -0.508 0.383  -0.369 0.453  -0.231 0.522  -0.105 0.609  0.005 0.718  0.114 0.828  0.248 0.903  0.387 0.973  0.525 1.042  0.664 1.111  0.781 1.210  0.890 1.319
2#app#app33#app3310/w  -1.350 0.789  -1.242 0.682  -1.240 0.531  -1.240 0.379  -1.240 0.227  -1.215 0.081  -1.147 -0.055  -1.050 -0.170  -1.020 -0.310  -0.913 -0.417  -0.883 -0.557  -0.776 -0.664  -0.668 -0.772  -0.552 -0.859  -0.471 -0.930  -0.358 -0.969  -0.251 -0.923  -0.190 -0.797  -0.142 -0.665  -0.142 -0.513  -0.142 -0.361  -0.142 -0.209  -0.142 -0.057  -0.142 0.095  -0.142 0.247  -0.142 0.399  -0.142 0.368  -0.142 0.216  -0.076 0.130  0.044 0.054  0.078 -0.084  0.182 -0.193  0.321 -0.223  0.437 -0.309  0.589 -0.309  0.741 -0.309  0.893 -0.309  1.045 -0.309  1.081 -0.185  1.177 -0.072  1.177 0.079  1.177 0.231  1.177 0.383  1.177 0.535  1.139 0.681  1.091 0.825  1.014 0.952  0.957 1.080  0.954 1.231  0.847 1.338
2#app#app33#app3310/o  -0.623 0.945  -0.747 0.942  -0.750 0.815  -0.807 0.702  -0.863 0.588  -0.871 0.463  -0.871 0.336  -0.871 0.210  -0.871 0.083  -0.871 -0.044  -0.871 -0.171  -0.871 -0.298  -0.867 -0.424  -0.810 -0.538  -0.753 -0.651  -0.667 -0.743  -0.623 -0.852  -0.563 -0.941  -0.449 -0.998  -0.331 -1.035  -0.204 -1.035  -0.077 -1.035  0.050 -1.035  0.160 -0.994  0.251 -0.907  0.365 -0.850  0.478 -0.793  0.571 -0.707  0.679 -0.664  0.738 -0.595  0.788 -0.489  0.862 -0.393  0.862 -0.266  0.862 -0.139  0.862 -0.012  0.862 0.115  0.862 0.242  0.862 0.369  0.829 0.482  0.739 0.572  0.682 0.685  0.625 0.798  0.614 0.923  0.509 0.945  0.490 1.053  0.379 1.069  0.252 1.069  0.125 1.069  -0.001 1.069  -0.128 1.069
2#app#app33#app3310/f  0.110 1.759  0.043 1.861  -0.055 1.892  -0.103 1.800  -0.157 1.683  -0.157 1.553  -0.157 1.423  -0.157 1.293  -0.157 1.163  -0.157 1.033  -0.157 0.904  -0.157 0.774  -0.106 0.656  -0.072 0.532  -0.046 0.404  -0.019 0.277  0.022 0.154  0.043 0.028  0.062 -0.099  0.103 -0.222  0.110 -0.351  0.143 -0.476  0.177 -0.600  0.191 -0.724  0.243 -0.832  0.243 -0.962  0.243 -1.092  0.243 -1.222  0.243 -1.352  0.243 -1.482  0.231 -1.546  0.183 -1.426  0.134 -1.305  0.086 -1.184  0.038 -1.064  -0.010 -0.943  -0.059 -0.823  -0.107 -0.702  -0.155 -0.581  -0.203 -0.461  -0.252 -0.340  -0.316 -0.243  -0.357 -0.155  -0.282 -0.093  -0.224 0.023  -0.113 0.068  -0.003 0.134  0.098 0.212  0.194 0.299  0.310 0.357
2#app#app33#app3310/l  -0.122 1.710  -0.122 1.638  -0.122 1.567  -0.122 1.496  -0.122 1.425  -0.122 1.354  -0.122 1.282  -0.122 1.211  -0.122 1.140  -0.122 1.069  -0.122 0.998  -0.122 0.926  -0.122 0.855  -0.122 0.784  -0.122 0.713  -0.122 0.642  -0.122 0.570  -0.122 0.499  -0.122 0.428  -0.122 0.357  -0.122 0.286  -0.111 0.217  -0.079 0.153  -0.047 0.090  -0.017 0.026  -0.017 -0.046  -0.017 -0.117  -0.017 -0.188  -0.017 -0.259  -0.017 -0.330  -0.017 -0.402  -0.017 -0.473  0.017 -0.530  0.067 -0.580  0.088 -0.643  0.088 -0.714  0.088 -0.785  0.102 -0.854  0.125 -0.922  0.147 -0.989  0.170 -1.057  0.192 -1.124  0.193 -1.195  0.193 -1.267  0.193 -1.338  0.193 -1.409  0.221 -1.468  0.271 -1.519  0.298 -1.579  0.298 -1.650
2#app#app33#app3310/o  -0.792 1.042  -0.792 0.909  -0.792 0.776  -0.792 0.643  -0.792 0.509  -0.792 0.376  -0.792 0.243  -0.792 0.110  -0.792 -0.023  -0.734 -0.132  -0.655 -0.236  -0.613 -0.362  -0.571 -0.488  -0.544 -0.617  -0.504 -0.734  -0.420 -0.832  -0.403 -0.958  -0.309 -1.052  -0.182 -1.066  -0.085 -1.153  0.033 -1.190  0.166 -1.190  0.270 -1.120  0.375 -1.040  0.494 -0.981  0.572 -0.896  0.627 -0.818  0.741 -0.773  0.820 -0.672  0.820 -0.539  0.820 -0.406  0.820 -0.273  0.820 -0.140  0.820 -0.007  0.820 0.127  0.820 0.260  0.753 0.365  0.673 0.469  0.613 0.588  0.543 0.699  0.449 0.793  0.355 0.888  0.260 0.982  0.166 1.076  0.071 1.166  -0.063 1.166  -0.196 1.166  -0.329 1.166  -0.450 1.136  -0.544 1.042
2#app#app33#app3310/w  -1.362 0.595  -1.245 0.560  -1.245 0.409  -1.245 0.258  -1.245 0.106  -1.245 -0.045  -1.245 -0.196  -1.157 -0.312  -1.050 -0.419  -1.010 -0.554  -0.919 -0.667  -0.778 -0.693  -0.671 -0.587  -0.646 -0.446  -0.542 -0.338  -0.515 -0.198  -0.425 -0.083  -0.399 0.062  -0.331 0.197  -0.308 0.343  -0.214 0.455  -0.107 0.393  -0.074 0.255  -0.074 0.104  -0.074 -0.048  -0.074 -0.199  0.043 -0.233  0.043 -0.385  0.098 -0.513  0.223 -0.576  0.277 -0.673  0.409 -0.693  0.560 -0.693  0.712 -0.693  0.828 -0.610  0.966 -0.576  0.979 -0.438  1.018 -0.303  1.096 -0.184  1.096 -0.032  1.096 0.119  1.096 0.271  1.096 0.422  1.066 0.568  1.018 0.712  0.979 0.857  0.979 1.008  0.911 1.131  0.862 1.263  0.745 1.297
2#app#app33#app3310/e  -1.038 0.243  -0.895 0.243  -0.751 0.243  -0.615 0.260  -0.513 0.361  -0.377 0.379  -0.234 0.379  -0.091 0.379  0.053 0.379  0.196 0.379  0.340 0.379  0.475 0.400  0.576 0.501  0.714 0.515  0.857 0.515  1.001 0.515  1.133 0.526  1.119 0.664  1.018 0.765  0.883 0.786  0.775 0.872  0.652 0.922  0.509 0.922  0.366 0.922  0.319 0.825  0.214 0.786  0.071 0.786  -0.037 0.702  -0.139 0.600  -0.240 0.499  -0.342 0.397  -0.412 0.274  -0.477 0.146  -0.496 0.007  -0.496 -0.137  -0.496 -0.280  -0.496 -0.424  -0.496 -0.567  -0.496 -0.710  -0.496 -0.854  -0.496 -0.997  -0.496 -1.141  -0.471 -1.274  -0.369 -1.375  -0.230 -1.385  -0.127 -1.482  -0.025 -1.584  0.076 -1.685  0.177 -1.786  0.319 -1.792
2#app#app33#app3310/r  -0.475 0.305  -0.475 0.182  -0.413 0.085  -0.326 -0.002  -0.318 -0.121  -0.263 -0.222  -0.176 -0.309  -0.161 -0.425  -0.161 -0.548  -0.161 -0.671  -0.161 -0.794  -0.161 -0.917  -0.161 -1.040  -0.124 -1.147  -0.037 -1.234  -0.004 -1.343  -0.045 -1.425  -0.161 -1.418  -0.161 -1.295  -0.161 -1.172  -0.161 -1.049  -0.180 -0.934  -0.267 -0.847  -0.318 -0.746  -0.318 -0.623  -0.318 -0.500  -0.318 -0.377  -0.318 -0.254  -0.318 -0.131  -0.317 -0.008  -0.262 0.102  -0.208 0.212  -0.161 0.324  -0.161 0.447  -0.085 0.538  -0.001 0.627  0.038 0.743  0.077 0.860  0.115 0.977  0.156 1.091  0.279 1.091  0.375 1.156  0.462 1.242  0.582 1.249  0.682 1.305  0.769 1.392  0.886 1.406  1.009 1.406  1.132 1.406  1.255 1.406
2#app#app33#app3310/h  -0.214 1.996  -0.214 1.845  -0.214 1.695  -0.250 1.549  -0.287 1.403  -0.330 1.259  -0.397 1.125  -0.416 0.978  -0.416 0.828  -0.416 0.677  -0.416 0.527  -0.416 0.376  -0.416 0.226  -0.416 0.075  -0.416 -0.075  -0.416 -0.226  -0.416 -0.376  -0.416 -0.527  -0.416 -0.677  -0.416 -0.828  -0.416 -0.979  -0.416 -1.129  -0.416 -1.194  -0.416 -1.043  -0.416 -0.893  -0.416 -0.742  -0.416 -0.592  -0.416 -0.441  -0.400 -0.295  -0.332 -0.160  -0.265 -0.025  -0.188 0.103  -0.113 0.222  -0.029 0.321  0.107 0.380  0.258 0.380  0.404 0.368  0.515 0.268  0.649 0.200  0.695 0.078  0.796 -0.031  0.821 -0.175  0.888 -0.310  0.897 -0.458  0.897 -0.609  0.955 -0.746  0.998 -0.886  0.998 -1.037  0.998 -1.187  1.099 -1.237
2#app#app33#app3310/a  0.712 1.345  0.572 1.345  0.431 1.345  0.291 1.345  0.151 1.345  0.018 1.327  -0.081 1.228  -0.180 1.128  -0.279 1.029  -0.378 0.930  -0.477 0.831  -0.577 0.732  -0.638 0.617  -0.638 0.477  -0.638 0.336  -0.735 0.236  -0.807 0.126  -0.807 -0.014  -0.807 -0.155  -0.807 -0.295  -0.807 -0.435  -0.807 -0.575  -0.807 -0.716  -0.807 -0.856  -0.807 -0.996  -0.687 -1.017  -0.547 -1.017  -0.407 -1.017  -0.266 -1.017  -0.128 -1.013  -0.029 -0.914  0.084 -0.848  0.206 -0.829  0.206 -0.689  0.206 -0.549  0.278 -0.438  0.374 -0.338  0.374 -0.198  0.374 -0.057  0.462 -0.004  0.585 0.037  0.684 0.136  0.783 0.093  0.881 -0.007  0.881 -0.147  0.995 -0.173  1.049 -0.259  1.049 -0.399  1.078 -0.511  1.218 -0.511
2#app#app33#app3310/d  0.194 1.979  0.194 1.821  0.194 1.664  0.194 1.507  0.194 1.349  0.194 1.192  0.194 1.035  0.194 0.877  0.194 0.720  0.194 0.563  0.204 0.410  0.291 0.288  0.291 0.131  0.400 0.019  0.486 -0.103  0.486 -0.260  0.602 -0.359  0.681 -0.437  0.778 -0.554  0.778 -0.591  0.762 -0.440  0.662 -0.321  0.592 -0.180  0.485 -0.066  0.389 0.052  0.389 0.209  0.289 0.325  0.178 0.436  0.054 0.518  -0.103 0.518  -0.261 0.518  -0.381 0.430  -0.491 0.317  -0.561 0.176  -0.659 0.055  -0.770 -0.056  -0.800 -0.205  -0.871 -0.345  -0.878 -0.501  -0.878 -0.658  -0.878 -0.816  -0.821 -0.960  -0.780 -1.107  -0.660 -1.178  -0.511 -1.228  -0.365 -1.261  -0.238 -1.333  -0.080 -1.333  0.054 -1.388  0.194 -1.430
2#app#app33#app3310/p  -0.235 1.143  -0.300 0.968  -0.346 0.785  -0.350 0.583  -0.440 0.402  -0.456 0.204  -0.456 0.002  -0.456 -0.200  -0.456 -0.402  -0.456 -0.605  -0.456 -0.807  -0.456 -1.009  -0.456 -1.211  -0.366 -1.376  -0.346 -1.570  -0.346 -1.772  -0.330 -1.703  -0.306 -1.502  -0.283 -1.302  -0.259 -1.101  -0.235 -0.900  -0.212 -0.699  -0.188 -0.498  -0.164 -0.298  -0.141 -0.097  -0.190 0.039  -0.268 0.182  -0.346 0.353  -0.346 0.555  -0.346 0.757  -0.219 0.845  -0.128 1.026  0.045 1.092  0.115 1.254  0.318 1.254  0.520 1.254  0.722 1.254  0.759 1.088  0.824 0.901  0.971 0.812  0.979 0.618  0.979 0.416  0.979 0.214  0.955 0.027  0.774 -0.064  0.684 -0.182  0.482 -0.182  0.280 -0.182  0.077 -0.182  -0.125 -0.182
2#app#app33#app3310/o  -0.620 1.080  -0.620 0.950  -0.741 0.941  -0.759 0.829  -0.759 0.699  -0.825 0.596  -0.897 0.496  -0.911 0.372  -1.003 0.280  -1.036 0.164  -1.036 0.034  -1.036 -0.096  -0.996 -0.209  -0.904 -0.301  -0.897 -0.428  -0.897 -0.558  -0.795 -0.585  -0.759 -0.679  -0.674 -0.724  -0.544 -0.724  -0.433 -0.772  -0.341 -0.863  -0.211 -0.863  -0.081 -0.863  0.043 -0.827  0.166 -0.786  0.289 -0.745  0.416 -0.724  0.546 -0.724  0.662 -0.691  0.754 -0.599  0.846 -0.507  0.906 -0.403  0.942 -0.308  1.045 -0.282  1.045 -0.152  1.045 -0.022  1.045 0.108  1.045 0.238  1.045 0.368  0.995 0.486  0.937 0.602  0.845 0.663  0.768 0.716  0.724 0.802  0.594 0.802  0.464 0.802  0.334 0.802  0.204 0.802  0.074 0.802
2#app#app33#app3310/s  0.252 1.093  0.245 0.963  0.108 0.963  -0.029 0.963  -0.166 0.963  -0.304 0.963  -0.441 0.963  -0.564 0.929  -0.661 0.831  -0.758 0.734  -0.882 0.702  -0.990 0.632  -1.103 0.572  -1.181 0.513  -1.116 0.442  -0.979 0.442  -0.841 0.442  -0.704 0.442  -0.567 0.442  -0.429 0.442  -0.292 0.442  -0.155 0.442  -0.030 0.387  0.092 0.326  0.226 0.311  0.331 0.233  0.440 0.152  0.563 0.091  0.677 0.017  0.774 -0.080  0.871 -0.177  0.904 -0.300  1.001 -0.341  1.034 -0.445  1.034 -0.582  1.034 -0.719  0.910 -0.732  0.903 -0.863  0.780 -0.924  0.657 -0.985  0.522 -0.992  0.384 -0.992  0.247 -0.992  0.113 -1.001  0.016 -1.098  -0.111 -1.123  -0.248 -1.123  -0.385 -1.123  -0.523 -1.123  -0.660 -1.123
2#app#app33#app3310/e  0.343 0.362  0.457 0.351  0.479 0.248  0.595 0.225  0.683 0.136  0.799 0.144  0.784 0.263  0.696 0.351  0.685 0.472  0.680 0.595  0.591 0.683  0.571 0.800  0.495 0.894  0.406 0.982  0.308 1.046  0.182 1.046  0.057 1.046  -0.068 1.046  -0.193 1.046  -0.318 1.046  -0.413 0.973  -0.454 0.865  -0.532 0.818  -0.568 0.728  -0.613 0.614  -0.669 0.502  -0.750 0.408  -0.796 0.302  -0.796 0.177  -0.796 0.051  -0.766 -0.069  -0.726 -0.188  -0.687 -0.306  -0.682 -0.431  -0.677 -0.554  -0.588 -0.642  -0.500 -0.731  -0.411 -0.819  -0.323 -0.908  -0.235 -0.996  -0.125 -1.055  -0.013 -1.111  0.079 -1.195  0.189 -1.232  0.305 -1.270  0.417 -1.326  0.537 -1.346  0.662 -1.346  0.787 -1.346  0.912 -1.346
