1b#tos#f2#f2004062/A  -0.678 -0.876  -0.744 -1.073  -0.882 -1.245  -0.963 -1.400  -0.963 -1.271  -0.963 -1.051  -0.963 -0.830  -0.849 -0.657  -0.849 -0.437  -0.813 -0.221  -0.686 -0.056  -0.516 0.084  -0.384 0.252  -0.340 0.468  -0.318 0.681  -0.165 0.838  -0.115 1.047  -0.017 1.244  0.037 1.450  0.120 1.645  0.262 1.634  0.348 1.444  0.385 1.235  0.499 1.047  0.576 0.844  0.589 0.626  0.669 0.421  0.690 0.206  0.713 -0.009  0.804 -0.208  0.843 -0.422  0.861 -0.639  0.861 -0.860  0.895 -1.047  0.860 -0.874  0.699 -0.723  0.539 -0.571  0.379 -0.420  0.219 -0.269  0.058 -0.117  -0.102 0.034  -0.299 0.093  -0.515 0.063  -0.623 0.036  -0.411 -0.015  -0.191 -0.021  0.029 -0.021  0.250 -0.021  0.470 -0.021  0.690 -0.021
1b#tos#f2#f2004062/B  -0.060 1.682  -0.060 1.708  -0.060 1.429  -0.082 1.153  -0.132 0.881  -0.212 0.622  -0.246 0.349  -0.313 0.080  -0.313 -0.198  -0.330 -0.474  -0.364 -0.749  -0.364 -1.027  -0.364 -1.305  -0.364 -1.583  -0.356 -1.653  -0.336 -1.376  -0.316 -1.098  -0.296 -0.821  -0.276 -0.544  -0.256 -0.266  -0.235 0.011  -0.215 0.288  -0.195 0.566  -0.175 0.843  -0.258 1.025  -0.243 1.176  0.027 1.227  0.305 1.227  0.574 1.188  0.787 1.025  0.850 0.810  0.810 0.541  0.582 0.402  0.353 0.252  0.093 0.165  -0.156 0.068  -0.397 0.064  -0.130 0.114  0.148 0.114  0.370 0.046  0.611 -0.088  0.821 -0.232  0.850 -0.503  0.729 -0.734  0.503 -0.869  0.248 -0.978  -0.005 -1.078  -0.278 -1.129  -0.553 -1.150  -0.718 -1.201
1b#tos#f2#f2004062/D  -0.530 0.943  -0.530 0.829  -0.530 0.627  -0.530 0.425  -0.530 0.223  -0.530 0.021  -0.511 -0.178  -0.462 -0.374  -0.443 -0.573  -0.400 -0.765  -0.356 -0.959  -0.356 -1.134  -0.344 -0.932  -0.329 -0.731  -0.315 -0.530  -0.301 -0.329  -0.286 -0.127  -0.272 0.074  -0.258 0.275  -0.243 0.476  -0.229 0.678  -0.371 0.766  -0.556 0.847  -0.574 1.038  -0.452 1.117  -0.250 1.117  -0.048 1.117  0.150 1.089  0.350 1.074  0.543 1.038  0.731 0.970  0.924 0.913  1.056 0.784  1.149 0.614  1.168 0.420  1.168 0.218  1.155 0.018  1.070 -0.157  0.964 -0.323  0.838 -0.476  0.695 -0.619  0.544 -0.751  0.390 -0.880  0.212 -0.955  0.044 -1.052  -0.136 -1.104  -0.317 -1.191  -0.519 -1.191  -0.721 -1.191  -0.922 -1.191
1b#tos#f2#f2004062/F  -0.245 0.904  -0.245 1.139  -0.294 0.893  -0.294 0.635  -0.294 0.377  -0.294 0.120  -0.294 -0.138  -0.338 -0.387  -0.393 -0.635  -0.393 -0.892  -0.393 -1.150  -0.370 -1.405  -0.343 -1.660  -0.343 -1.917  -0.342 -1.929  -0.327 -1.672  -0.313 -1.414  -0.298 -1.157  -0.284 -0.900  -0.269 -0.642  -0.255 -0.385  -0.240 -0.128  -0.226 0.130  -0.211 0.387  -0.196 0.644  -0.243 0.855  -0.442 0.913  -0.224 0.953  0.034 0.953  0.291 0.953  0.549 0.953  0.807 0.953  1.065 0.953  1.322 0.953  1.310 0.857  1.070 0.762  0.830 0.668  0.590 0.573  0.351 0.479  0.111 0.384  -0.129 0.290  -0.279 0.097  -0.484 -0.036  -0.629 -0.229  -0.371 -0.229  -0.113 -0.229  0.142 -0.206  0.396 -0.180  0.654 -0.180  0.888 -0.081
1b#tos#f2#f2004062/G  0.544 1.604  0.544 1.368  0.506 1.280  0.337 1.390  0.101 1.390  -0.135 1.390  -0.339 1.278  -0.534 1.151  -0.709 0.995  -0.842 0.804  -0.961 0.602  -1.000 0.371  -1.000 0.135  -1.000 -0.101  -1.000 -0.337  -0.928 -0.555  -0.847 -0.767  -0.693 -0.937  -0.536 -1.107  -0.313 -1.156  -0.082 -1.184  0.154 -1.184  0.375 -1.112  0.542 -0.974  0.569 -0.761  0.463 -0.550  0.358 -0.339  0.252 -0.129  0.147 0.082  0.042 0.293  -0.126 0.403  -0.310 0.310  -0.389 0.231  -0.154 0.231  0.082 0.231  0.318 0.231  0.554 0.231  0.770 0.167  0.999 0.146  0.821 0.243  0.673 0.246  0.471 0.152  0.330 0.020  0.244 -0.130  0.244 -0.366  0.244 -0.602  0.256 -0.835  0.287 -1.066  0.301 -1.298  0.373 -1.485
1b#tos#f2#f2004062/L  -0.107 1.533  -0.201 1.533  -0.255 1.572  -0.270 1.503  -0.305 1.418  -0.305 1.324  -0.305 1.230  -0.305 1.136  -0.305 1.042  -0.305 0.948  -0.324 0.860  -0.376 0.782  -0.404 0.697  -0.404 0.603  -0.419 0.513  -0.454 0.427  -0.454 0.333  -0.454 0.239  -0.476 0.151  -0.503 0.063  -0.503 -0.030  -0.503 -0.124  -0.503 -0.218  -0.503 -0.312  -0.503 -0.406  -0.503 -0.500  -0.503 -0.593  -0.503 -0.687  -0.468 -0.746  -0.374 -0.746  -0.280 -0.746  -0.187 -0.746  -0.093 -0.746  0.001 -0.746  0.095 -0.746  0.184 -0.725  0.268 -0.683  0.353 -0.647  0.447 -0.647  0.541 -0.647  0.635 -0.647  0.728 -0.647  0.822 -0.647  0.916 -0.647  1.010 -0.647  1.104 -0.647  1.198 -0.647  1.291 -0.647  1.385 -0.647  1.380 -0.647
1b#tos#f2#f2004062/M  -0.107 1.098  -0.237 1.013  -0.299 0.808  -0.374 0.608  -0.467 0.415  -0.543 0.215  -0.590 0.007  -0.712 -0.166  -0.736 -0.375  -0.816 -0.573  -0.920 -0.752  -0.971 -0.955  -1.058 -1.134  -1.101 -1.165  -1.046 -0.961  -0.970 -0.760  -0.894 -0.560  -0.818 -0.359  -0.743 -0.159  -0.667 0.042  -0.591 0.243  -0.515 0.443  -0.496 0.654  -0.496 0.868  -0.397 0.739  -0.315 0.546  -0.237 0.353  -0.160 0.162  -0.107 -0.039  -0.058 -0.223  0.066 -0.328  0.217 -0.219  0.292 -0.055  0.433 0.063  0.575 0.188  0.717 0.332  0.833 0.483  0.980 0.638  1.097 0.795  1.146 0.888  1.146 0.674  1.146 0.460  1.146 0.245  1.146 0.031  1.102 -0.173  1.102 -0.388  1.102 -0.602  1.077 -0.811  1.059 -1.021  1.059 -1.235
1b#tos#f2#f2004062/N  -0.157 0.968  -0.315 0.907  -0.369 0.756  -0.457 0.581  -0.522 0.397  -0.579 0.210  -0.666 0.034  -0.722 -0.152  -0.837 -0.310  -0.894 -0.497  -0.941 -0.687  -0.961 -0.881  -1.045 -1.042  -0.997 -0.892  -0.944 -0.703  -0.891 -0.515  -0.838 -0.326  -0.785 -0.138  -0.732 0.051  -0.678 0.240  -0.625 0.428  -0.580 0.618  -0.538 0.804  -0.411 0.810  -0.400 0.619  -0.261 0.480  -0.142 0.330  -0.036 0.171  0.054 0.030  0.105 -0.158  0.203 -0.322  0.308 -0.474  0.395 -0.641  0.497 -0.806  0.575 -0.977  0.646 -1.101  0.731 -0.995  0.792 -0.813  0.841 -0.629  0.858 -0.437  0.903 -0.249  0.975 -0.067  1.027 0.117  1.047 0.310  1.109 0.496  1.171 0.681  1.245 0.854  1.281 1.042  1.281 1.037  1.281 0.842
1b#tos#f2#f2004062/Q  0.443 -0.398  0.367 -0.581  0.310 -0.740  0.133 -0.778  -0.082 -0.778  -0.288 -0.740  -0.494 -0.702  -0.661 -0.625  -0.842 -0.519  -1.017 -0.440  -1.188 -0.323  -1.228 -0.115  -1.228 0.099  -1.228 0.314  -1.224 0.529  -1.136 0.715  -0.968 0.849  -0.795 0.973  -0.584 1.007  -0.417 1.129  -0.211 1.179  -0.015 1.257  0.198 1.273  0.413 1.273  0.628 1.273  0.821 1.198  0.860 0.999  0.926 0.800  0.936 0.587  0.936 0.372  0.898 0.163  0.822 -0.020  0.742 -0.213  0.607 -0.379  0.469 -0.536  0.312 -0.681  0.121 -0.740  -0.094 -0.740  -0.142 -0.599  -0.095 -0.389  -0.049 -0.179  -0.063 -0.018  -0.069 -0.076  0.086 -0.203  0.177 -0.379  0.334 -0.522  0.486 -0.647  0.563 -0.844  0.708 -0.967  0.822 -1.119
1b#tos#f2#f2004062/T  0.310 0.602  0.147 0.602  0.107 0.493  0.139 0.339  0.139 0.176  0.139 0.014  0.139 -0.148  0.139 -0.311  0.151 -0.471  0.181 -0.630  0.181 -0.792  0.181 -0.954  0.181 -1.117  0.222 -1.272  0.267 -1.427  0.310 -1.547  0.308 -1.703  0.244 -1.554  0.180 -1.405  0.116 -1.256  0.051 -1.107  -0.013 -0.958  -0.077 -0.809  -0.141 -0.660  -0.205 -0.511  -0.270 -0.362  -0.334 -0.213  -0.398 -0.064  -0.462 0.085  -0.527 0.234  -0.591 0.383  -0.655 0.532  -0.719 0.681  -0.815 0.801  -0.974 0.815  -0.979 0.901  -0.817 0.901  -0.655 0.901  -0.492 0.901  -0.330 0.901  -0.168 0.901  -0.006 0.901  0.157 0.901  0.319 0.901  0.481 0.901  0.643 0.901  0.806 0.901  0.968 0.901  1.130 0.901  1.292 0.901
1b#tos#f2#f2004062/W  -1.047 1.017  -1.198 1.061  -1.159 0.938  -1.112 0.749  -1.083 0.559  -1.011 0.378  -0.969 0.189  -0.895 0.010  -0.828 -0.172  -0.812 -0.359  -0.740 -0.524  -0.678 -0.700  -0.609 -0.880  -0.565 -1.056  -0.511 -0.972  -0.477 -0.783  -0.469 -0.591  -0.384 -0.416  -0.345 -0.228  -0.324 -0.036  -0.244 0.138  -0.214 0.324  -0.202 0.515  -0.082 0.666  -0.082 0.860  0.006 0.745  0.046 0.562  0.098 0.383  0.137 0.193  0.137 -0.001  0.181 -0.188  0.203 -0.376  0.269 -0.551  0.314 -0.740  0.400 -0.914  0.420 -1.089  0.576 -1.050  0.632 -0.873  0.707 -0.695  0.794 -0.521  0.867 -0.340  0.966 -0.174  0.971 0.019  1.031 0.202  1.096 0.385  1.190 0.552  1.210 0.744  1.234 0.935  1.278 1.086  1.278 1.017
