1d#tos#f2#f2067064/\"  -1.003 0.012  -1.003 0.092  -1.003 -0.083  -1.003 -0.259  -1.003 -0.435  -1.003 -0.611  -0.874 -0.658  -0.874 -0.834  -0.750 -0.885  -0.618 -0.929  -0.618 -1.105  -0.614 -1.260  -0.556 -1.094  -0.498 -0.928  -0.440 -0.762  -0.382 -0.596  -0.324 -0.430  -0.266 -0.265  -0.208 -0.099  -0.150 0.067  -0.092 0.233  -0.034 0.399  0.024 0.565  0.082 0.731  0.140 0.897  0.198 1.063  0.257 1.229  0.172 1.294  0.023 1.320  0.023 1.348  0.023 1.172  0.151 1.125  0.151 0.949  0.287 0.909  0.407 0.854  0.407 0.678  0.536 0.630  0.536 0.455  0.536 0.279  0.573 0.140  0.664 0.055  0.792 0.008  0.792 -0.168  0.891 -0.245  0.920 -0.391  0.920 -0.567  0.920 -0.743  0.920 -0.918  0.920 -1.094  1.048 -1.142
1d#tos#f2#f2067064/)  -0.392 1.542  -0.424 1.473  -0.401 1.414  -0.326 1.380  -0.268 1.322  -0.232 1.273  -0.172 1.234  -0.116 1.182  -0.087 1.109  -0.040 1.046  -0.038 0.966  0.045 0.966  0.088 0.927  0.114 0.850  0.168 0.805  0.184 0.726  0.213 0.651  0.248 0.576  0.298 0.525  0.312 0.451  0.312 0.368  0.312 0.286  0.312 0.203  0.312 0.121  0.312 0.038  0.312 -0.044  0.312 -0.127  0.287 -0.204  0.280 -0.284  0.243 -0.352  0.216 -0.423  0.216 -0.505  0.202 -0.580  0.133 -0.626  0.088 -0.688  0.080 -0.766  0.004 -0.796  -0.072 -0.827  -0.072 -0.910  -0.103 -0.985  -0.104 -1.067  -0.136 -1.131  -0.200 -1.180  -0.237 -1.247  -0.264 -1.318  -0.294 -1.371  -0.340 -1.414  -0.401 -1.467  -0.424 -1.526  -0.456 -1.595
1d#tos#f2#f2067064/*  -1.023 0.952  -1.229 0.814  -1.135 0.608  -0.938 0.437  -0.716 0.264  -0.531 0.047  -0.267 -0.025  -0.036 -0.148  0.238 -0.217  0.512 -0.286  0.677 -0.423  0.957 -0.478  1.124 -0.486  1.186 -0.190  1.249 0.106  1.311 0.402  1.373 0.698  1.177 0.698  0.902 0.671  0.874 0.383  0.613 0.237  0.336 0.164  0.186 -0.089  0.008 -0.263  -0.168 -0.472  -0.412 -0.646  -0.542 -0.917  -0.748 -1.054  -0.785 -1.077  -0.697 -0.788  -0.608 -0.499  -0.519 -0.210  -0.430 0.079  -0.341 0.368  -0.252 0.658  -0.163 0.947  -0.074 1.236  -0.016 1.502  -0.198 1.382  -0.198 1.080  -0.198 0.777  -0.198 0.475  -0.198 0.172  -0.129 -0.114  -0.086 -0.398  -0.061 -0.690  0.008 -0.976  0.008 -1.279  0.077 -1.565  0.077 -1.868
1d#tos#f2#f2067064/+  -0.964 0.425  -1.079 0.359  -1.230 0.329  -1.230 0.147  -1.104 0.093  -0.950 0.026  -0.769 0.026  -0.588 0.026  -0.406 0.026  -0.225 0.026  -0.044 0.026  0.138 0.026  0.319 0.026  0.500 0.026  0.654 -0.040  0.835 -0.040  1.016 -0.040  1.198 -0.040  1.379 -0.040  1.560 -0.040  1.534 0.016  1.378 0.109  1.222 0.201  1.066 0.294  0.910 0.386  0.754 0.479  0.598 0.571  0.442 0.663  0.286 0.756  0.130 0.848  -0.026 0.941  -0.182 1.016  -0.299 0.907  -0.225 0.743  -0.166 0.575  -0.195 0.414  -0.363 0.346  -0.499 0.257  -0.499 0.075  -0.499 -0.106  -0.499 -0.287  -0.486 -0.465  -0.432 -0.634  -0.432 -0.815  -0.432 -0.997  -0.432 -1.178  -0.432 -1.359  -0.432 -1.540  -0.432 -1.722  -0.366 -1.836
1d#tos#f2#f2067064/  -1.690 0.044  -1.620 0.044  -1.555 0.021  -1.492 -0.011  -1.429 -0.042  -1.360 -0.045  -1.290 -0.045  -1.220 -0.045  -1.150 -0.045  -1.079 -0.045  -1.009 -0.045  -0.939 -0.045  -0.869 -0.045  -0.799 -0.045  -0.729 -0.045  -0.659 -0.045  -0.589 -0.045  -0.519 -0.045  -0.448 -0.045  -0.378 -0.045  -0.308 -0.045  -0.238 -0.045  -0.168 -0.045  -0.098 -0.045  -0.028 -0.045  0.042 -0.045  0.113 -0.045  0.183 -0.045  0.253 -0.045  0.323 -0.045  0.393 -0.045  0.462 -0.036  0.528 -0.014  0.595 0.009  0.661 0.031  0.729 0.044  0.799 0.044  0.869 0.044  0.940 0.044  1.010 0.044  1.080 0.044  1.150 0.044  1.220 0.044  1.290 0.044  1.349 0.072  1.398 0.122  1.464 0.132  1.534 0.132  1.604 0.132  1.674 0.132
1d#tos#f2#f2067064/;  0.152 1.731  0.152 1.650  0.202 1.619  0.151 1.601  0.145 1.520  0.138 1.440  0.132 1.359  0.125 1.278  0.119 1.198  0.113 1.117  0.106 1.037  0.100 0.956  0.094 0.875  0.087 0.795  0.081 0.714  0.075 0.633  0.068 0.553  0.062 0.472  0.055 0.391  0.049 0.311  0.043 0.230  0.036 0.149  0.030 0.069  0.024 -0.012  0.017 -0.093  0.011 -0.173  0.005 -0.254  -0.002 -0.334  -0.008 -0.415  -0.015 -0.496  -0.076 -0.517  -0.141 -0.542  -0.177 -0.614  -0.177 -0.686  -0.129 -0.718  -0.073 -0.742  -0.103 -0.742  -0.022 -0.742  -0.016 -0.817  -0.016 -0.898  -0.016 -0.979  -0.016 -1.060  -0.019 -1.140  -0.068 -1.204  -0.116 -1.269  -0.165 -1.334  -0.185 -1.408  -0.200 -1.478  -0.277 -1.503  -0.354 -1.529
1d#tos#f2#f2067064/<  0.290 1.430  0.283 1.330  0.182 1.301  0.140 1.220  0.072 1.180  0.040 1.105  -0.034 1.043  -0.138 1.029  -0.211 0.994  -0.241 0.899  -0.318 0.825  -0.414 0.776  -0.490 0.700  -0.562 0.651  -0.562 0.544  -0.612 0.486  -0.711 0.478  -0.798 0.427  -0.855 0.377  -0.913 0.298  -0.863 0.241  -0.779 0.185  -0.673 0.177  -0.576 0.134  -0.521 0.044  -0.445 -0.024  -0.345 -0.057  -0.262 -0.123  -0.211 -0.180  -0.166 -0.269  -0.110 -0.325  -0.020 -0.365  0.056 -0.441  0.140 -0.485  0.207 -0.525  0.251 -0.597  0.311 -0.676  0.391 -0.703  0.422 -0.791  0.491 -0.856  0.558 -0.926  0.625 -0.993  0.661 -1.077  0.769 -1.077  0.792 -1.161  0.884 -1.177  0.991 -1.177  1.043 -1.263  1.135 -1.277  1.093 -1.327
1d#tos#f2#f2067064/?  -0.715 0.662  -0.779 0.596  -0.821 0.601  -0.760 0.662  -0.706 0.760  -0.627 0.839  -0.538 0.906  -0.449 0.972  -0.349 1.023  -0.246 1.063  -0.135 1.064  -0.040 1.107  0.072 1.107  0.140 1.063  0.220 1.030  0.272 0.965  0.353 0.913  0.393 0.840  0.487 0.795  0.497 0.686  0.531 0.581  0.531 0.469  0.514 0.361  0.480 0.261  0.398 0.232  0.345 0.172  0.275 0.104  0.175 0.083  0.063 0.083  0.039 -0.006  -0.047 -0.057  -0.047 -0.170  -0.092 -0.237  -0.092 -0.350  -0.047 -0.418  -0.012 -0.522  0.018 -0.627  0.042 -0.733  0.048 -0.846  0.054 -0.958  0.060 -1.070  0.066 -1.182  0.072 -1.294  0.078 -1.406  0.084 -1.519  0.030 -1.601  -0.047 -1.672  -0.005 -1.742  0.086 -1.763  0.131 -1.831
1d#tos#f2#f2067064/@  0.453 0.637  0.303 0.792  0.059 0.831  -0.185 0.792  -0.381 0.637  -0.477 0.405  -0.478 0.123  -0.478 -0.159  -0.419 -0.411  -0.148 -0.449  0.046 -0.265  0.187 -0.058  0.265 0.177  0.337 0.430  0.337 0.250  0.375 -0.016  0.479 -0.268  0.665 -0.449  0.602 -0.626  0.350 -0.753  0.100 -0.883  -0.061 -1.031  -0.344 -1.031  -0.572 -0.953  -0.778 -0.808  -0.982 -0.678  -1.112 -0.520  -1.226 -0.308  -1.330 -0.081  -1.370 0.176  -1.292 0.411  -1.158 0.616  -0.994 0.792  -0.737 0.869  -0.517 0.977  -0.320 1.063  -0.037 1.063  0.236 1.025  0.488 0.951  0.694 0.786  0.894 0.610  1.032 0.405  1.112 0.146  1.190 -0.104  1.229 -0.371  1.155 -0.632  0.982 -0.803  0.802 -0.964  0.611 -1.119  0.414 -1.225
1d#tos#f2#f2067064/[  0.729 1.294  0.721 1.208  0.628 1.208  0.535 1.208  0.442 1.208  0.348 1.208  0.258 1.204  0.215 1.123  0.121 1.123  0.028 1.123  -0.065 1.123  -0.159 1.123  -0.210 1.081  -0.253 1.030  -0.253 0.937  -0.253 0.844  -0.253 0.750  -0.253 0.657  -0.253 0.564  -0.253 0.471  -0.280 0.384  -0.295 0.294  -0.295 0.201  -0.295 0.108  -0.295 0.014  -0.273 -0.074  -0.253 -0.162  -0.253 -0.255  -0.253 -0.349  -0.253 -0.442  -0.253 -0.535  -0.253 -0.628  -0.253 -0.722  -0.253 -0.815  -0.253 -0.908  -0.282 -0.983  -0.338 -1.042  -0.338 -1.135  -0.249 -1.140  -0.156 -1.140  -0.062 -1.140  0.031 -1.140  0.124 -1.140  0.218 -1.139  0.308 -1.117  0.399 -1.097  0.492 -1.097  0.585 -1.097  0.679 -1.097  0.772 -1.097
1d#tos#f2#f2067064/]  -0.570 1.250  -0.483 1.250  -0.395 1.250  -0.308 1.250  -0.221 1.250  -0.133 1.250  -0.046 1.250  0.042 1.250  0.115 1.265  0.149 1.296  0.115 1.243  0.115 1.156  0.115 1.069  0.115 0.981  0.115 0.894  0.115 0.806  0.115 0.719  0.115 0.632  0.115 0.544  0.115 0.457  0.115 0.369  0.115 0.282  0.115 0.195  0.115 0.107  0.115 0.020  0.115 -0.068  0.115 -0.155  0.160 -0.223  0.160 -0.311  0.160 -0.398  0.160 -0.486  0.160 -0.573  0.160 -0.660  0.160 -0.748  0.192 -0.804  0.206 -0.877  0.206 -0.964  0.206 -1.052  0.160 -1.094  0.160 -1.181  0.152 -1.260  0.065 -1.260  -0.023 -1.260  -0.110 -1.260  -0.198 -1.260  -0.285 -1.260  -0.363 -1.238  -0.441 -1.214  -0.528 -1.214  -0.616 -1.214
