2#app#app26#app2614/p  -0.035 0.561  -0.006 0.711  0.056 0.711  -0.035 0.623  -0.035 0.444  -0.139 0.308  -0.184 0.148  -0.286 0.011  -0.334 -0.148  -0.433 -0.285  -0.483 -0.443  -0.580 -0.582  -0.633 -0.739  -0.728 -0.879  -0.884 -0.933  -0.932 -1.064  -0.942 -1.232  -1.081 -1.272  -1.081 -1.313  -0.983 -1.232  -0.932 -1.104  -0.782 -1.075  -0.756 -0.907  -0.630 -0.781  -0.503 -0.654  -0.377 -0.528  -0.250 -0.401  -0.146 -0.259  -0.066 -0.099  0.042 0.041  0.114 0.189  0.220 0.262  0.264 0.398  0.380 0.528  0.413 0.693  0.422 0.869  0.548 0.995  0.712 1.018  0.750 1.159  0.909 1.112  1.046 1.010  1.161 0.946  1.161 0.767  1.161 0.588  1.158 0.412  1.011 0.380  0.950 0.262  0.771 0.262  0.592 0.262  0.413 0.262
2#app#app26#app2614/a  0.586 0.208  0.586 0.434  0.586 0.660  0.586 0.886  0.393 0.919  0.167 0.919  -0.058 0.919  -0.124 0.759  -0.273 0.682  -0.499 0.682  -0.688 0.592  -0.834 0.427  -0.841 0.208  -1.067 0.208  -1.228 0.052  -1.308 -0.141  -1.410 -0.265  -1.545 -0.356  -1.545 -0.582  -1.476 -0.739  -1.250 -0.739  -1.024 -0.739  -0.834 -0.703  -0.810 -0.502  -0.584 -0.502  -0.358 -0.502  -0.132 -0.502  0.030 -0.348  0.189 -0.188  0.349 -0.029  0.509 0.131  0.586 0.325  0.691 0.445  0.823 0.540  0.906 0.682  1.059 0.609  0.998 0.445  0.787 0.409  0.627 0.250  0.468 0.090  0.349 -0.087  0.316 -0.298  0.156 -0.458  0.276 -0.502  0.457 -0.610  0.630 -0.739  0.856 -0.739  1.081 -0.739  1.307 -0.739  1.533 -0.739
2#app#app26#app2614/s  1.158 0.733  1.064 0.827  0.969 0.921  0.863 0.988  0.730 0.988  0.596 0.988  0.463 0.988  0.329 0.988  0.196 0.988  0.062 0.988  -0.071 0.988  -0.205 0.988  -0.338 0.988  -0.472 0.988  -0.605 0.988  -0.627 0.875  -0.627 0.742  -0.627 0.608  -0.624 0.478  -0.491 0.478  -0.357 0.478  -0.224 0.478  -0.098 0.459  -0.003 0.364  0.091 0.270  0.138 0.156  0.138 0.022  0.138 -0.111  0.138 -0.245  0.229 -0.287  0.362 -0.287  0.393 -0.390  0.393 -0.524  0.393 -0.657  0.393 -0.791  0.393 -0.924  0.389 -1.056  0.295 -1.151  0.200 -1.245  0.093 -1.307  -0.041 -1.307  -0.157 -1.267  -0.252 -1.172  -0.346 -1.078  -0.469 -1.052  -0.603 -1.052  -0.736 -1.052  -0.870 -1.052  -0.882 -0.931  -0.882 -0.797
2#app#app26#app2614/s  1.229 1.064  1.124 1.064  1.018 1.064  0.913 1.064  0.808 1.064  0.703 1.064  0.598 1.064  0.493 1.064  0.387 1.064  0.282 1.064  0.177 1.064  0.072 1.064  -0.033 1.064  -0.138 1.064  -0.184 1.005  -0.184 0.900  -0.184 0.794  -0.184 0.689  -0.184 0.584  -0.184 0.479  -0.184 0.374  -0.184 0.269  -0.184 0.164  -0.184 0.058  -0.184 -0.047  -0.184 -0.152  -0.184 -0.257  -0.170 -0.349  -0.065 -0.349  0.040 -0.349  0.098 -0.395  0.098 -0.500  0.098 -0.606  0.098 -0.711  0.098 -0.816  0.098 -0.921  0.098 -1.026  0.098 -1.131  0.058 -1.196  -0.047 -1.196  -0.152 -1.196  -0.250 -1.164  -0.344 -1.117  -0.438 -1.070  -0.532 -1.023  -0.626 -0.976  -0.720 -0.928  -0.822 -0.914  -0.927 -0.914  -1.032 -0.914
2#app#app26#app2614/e  -0.735 0.125  -0.556 0.125  -0.378 0.125  -0.199 0.125  -0.021 0.125  0.158 0.125  0.331 0.137  0.458 0.263  0.606 0.336  0.785 0.336  0.952 0.347  0.952 0.525  1.109 0.546  1.163 0.671  1.071 0.757  0.952 0.818  0.924 0.968  0.746 0.968  0.567 0.968  0.389 0.968  0.242 0.891  0.116 0.765  -0.059 0.757  -0.238 0.757  -0.386 0.684  -0.512 0.558  -0.639 0.432  -0.777 0.336  -0.956 0.336  -1.134 0.336  -1.156 0.179  -1.156 0.001  -1.092 -0.151  -0.965 -0.277  -0.839 -0.404  -0.735 -0.539  -0.735 -0.717  -0.558 -0.719  -0.524 -0.864  -0.411 -0.930  -0.313 -1.010  -0.265 -1.140  -0.087 -1.140  0.092 -1.140  0.270 -1.140  0.449 -1.140  0.627 -1.140  0.741 -1.076  0.774 -0.930  0.952 -0.930
2#app#app26#app2614/d  -0.563 -0.057  -0.733 -0.086  -0.870 -0.197  -0.984 -0.265  -1.094 -0.337  -1.265 -0.348  -1.265 -0.531  -1.360 -0.618  -1.405 -0.755  -1.367 -0.899  -1.185 -0.899  -1.003 -0.899  -0.827 -0.882  -0.699 -0.753  -0.570 -0.625  -0.441 -0.496  -0.266 -0.478  -0.101 -0.437  -0.002 -0.295  0.082 -0.197  0.227 -0.108  0.279 0.053  0.427 0.091  0.556 0.220  0.684 0.349  0.709 0.523  0.790 0.686  0.840 0.856  0.953 0.925  0.980 1.080  0.980 1.262  1.078 1.346  1.021 1.247  0.980 1.082  0.863 0.949  0.833 0.779  0.705 0.650  0.576 0.521  0.541 0.364  0.419 0.304  0.317 0.224  0.275 0.084  0.138 0.038  0.051 -0.057  -0.002 -0.186  -0.002 -0.368  0.049 -0.529  0.138 -0.675  0.237 -0.758  0.279 -0.899
2#app#app26#app2614/t  0.941 1.628  0.777 1.463  0.612 1.299  0.449 1.133  0.449 0.900  0.227 0.889  0.203 0.681  0.007 0.643  -0.172 0.514  -0.337 0.350  -0.501 0.185  -0.720 0.151  -0.781 -0.021  -0.940 -0.095  -1.028 -0.240  -1.028 -0.473  -1.028 -0.706  -1.028 -0.939  -0.935 -1.080  -0.702 -1.080  -0.469 -1.080  -0.236 -1.080  -0.003 -1.080  0.229 -1.080  0.459 -1.070  0.623 -0.906  0.826 -0.833  1.059 -0.833  1.096 -0.783  0.893 -0.670  0.689 -0.556  0.486 -0.443  0.282 -0.330  0.078 -0.217  -0.125 -0.104  -0.329 0.009  -0.532 0.122  -0.736 0.235  -0.940 0.348  -0.895 0.397  -0.662 0.397  -0.429 0.397  -0.197 0.397  0.036 0.397  0.269 0.397  0.502 0.397  0.695 0.437  0.722 0.643  0.955 0.643  1.188 0.643
2#app#app26#app2614/h  0.881 1.855  0.753 1.728  0.663 1.585  0.652 1.409  0.525 1.281  0.445 1.134  0.445 0.953  0.445 0.773  0.272 0.765  0.227 0.630  0.158 0.478  0.030 0.351  0.009 0.179  -0.071 0.032  -0.198 -0.096  -0.326 -0.224  -0.454 -0.351  -0.581 -0.479  -0.735 -0.543  -0.863 -0.595  -0.874 -0.771  -1.001 -0.899  -1.149 -0.979  -1.278 -0.958  -1.150 -0.830  -1.081 -0.678  -1.036 -0.543  -0.863 -0.535  -0.863 -0.355  -0.713 -0.325  -0.565 -0.245  -0.438 -0.117  -0.262 -0.107  -0.209 0.021  -0.119 0.111  0.061 0.111  0.238 0.122  0.365 0.250  0.512 0.329  0.684 0.308  0.812 0.181  0.881 0.029  0.881 -0.152  0.881 -0.332  0.881 -0.512  0.731 -0.543  0.663 -0.655  0.663 -0.836  0.625 -0.979  0.445 -0.979
2#app#app26#app2614/r  1.061 1.547  0.882 1.547  0.800 1.449  0.800 1.270  0.800 1.090  0.720 0.944  0.593 0.817  0.538 0.660  0.517 0.501  0.338 0.501  0.277 0.383  0.240 0.240  0.060 0.240  0.016 0.105  -0.037 -0.021  -0.217 -0.021  -0.396 -0.021  -0.507 -0.090  -0.507 -0.270  -0.507 -0.449  -0.592 -0.544  -0.769 -0.547  -0.769 -0.726  -0.869 -0.806  -1.030 -0.824  -1.030 -1.004  -1.146 -1.067  -1.257 -1.067  -1.078 -1.067  -0.937 -0.974  -0.810 -0.847  -0.769 -0.684  -0.741 -0.516  -0.614 -0.389  -0.507 -0.254  -0.507 -0.074  -0.380 -0.021  -0.201 -0.021  -0.021 -0.021  0.158 -0.021  0.277 0.039  0.277 0.219  0.435 0.240  0.615 0.240  0.795 0.240  0.974 0.240  1.127 0.175  1.254 0.048  1.323 -0.103  1.323 -0.283
2#app#app26#app2614/o  -0.102 0.677  -0.259 0.677  -0.308 0.569  -0.367 0.471  -0.521 0.464  -0.632 0.353  -0.721 0.233  -0.721 0.075  -0.861 0.058  -0.927 -0.033  -0.957 -0.178  -1.068 -0.289  -1.134 -0.419  -1.134 -0.576  -1.134 -0.733  -1.011 -0.768  -0.927 -0.841  -0.903 -0.974  -0.746 -0.974  -0.628 -0.881  -0.516 -0.769  -0.360 -0.768  -0.203 -0.768  -0.046 -0.768  0.112 -0.768  0.269 -0.768  0.426 -0.768  0.564 -0.721  0.675 -0.610  0.786 -0.499  0.897 -0.388  0.930 -0.244  0.974 -0.105  1.085 0.006  1.137 0.142  1.137 0.299  1.137 0.456  1.137 0.613  1.137 0.771  1.093 0.884  0.936 0.884  0.778 0.884  0.621 0.884  0.464 0.884  0.307 0.884  0.150 0.884  0.025 0.804  -0.086 0.693  -0.197 0.582  -0.308 0.471
2#app#app26#app2614/u  -0.267 1.292  -0.457 1.292  -0.521 1.165  -0.521 0.974  -0.521 0.784  -0.656 0.648  -0.791 0.514  -0.926 0.379  -1.030 0.231  -1.030 0.040  -1.200 0.019  -1.285 -0.087  -1.285 -0.277  -1.285 -0.468  -1.285 -0.659  -1.179 -0.744  -1.001 -0.715  -0.866 -0.580  -0.712 -0.490  -0.521 -0.490  -0.331 -0.490  -0.177 -0.400  -0.042 -0.265  0.093 -0.130  0.228 0.005  0.413 0.019  0.572 0.095  0.707 0.229  0.842 0.364  0.977 0.499  1.112 0.634  1.247 0.769  1.090 0.783  1.006 0.676  0.975 0.498  0.841 0.363  0.752 0.209  0.750 0.019  0.560 0.019  0.497 -0.109  0.432 -0.235  0.243 -0.236  0.243 -0.427  0.243 -0.618  0.307 -0.744  0.498 -0.744  0.688 -0.744  0.752 -0.872  0.815 -0.999  1.006 -0.999
