2#apa#apa04#app0408/{  0.391 1.276  0.378 1.387  0.280 1.361  0.241 1.276  0.169 1.224  0.104 1.164  -0.021 1.164  -0.135 1.124  -0.246 1.068  -0.341 0.989  -0.445 0.942  -0.499 0.871  -0.415 0.830  -0.388 0.734  -0.278 0.719  -0.154 0.719  -0.030 0.719  0.057 0.682  0.108 0.608  0.169 0.545  0.115 0.443  0.057 0.342  0.001 0.274  -0.103 0.225  -0.165 0.127  -0.165 0.003  -0.103 -0.060  0.021 -0.060  0.145 -0.060  0.068 -0.060  0.055 -0.171  -0.054 -0.187  -0.074 -0.302  -0.162 -0.390  -0.165 -0.513  -0.165 -0.637  -0.165 -0.762  -0.118 -0.838  -0.054 -0.899  -0.054 -1.023  -0.054 -1.147  0.046 -1.172  0.059 -1.283  0.169 -1.298  0.188 -1.414  0.276 -1.502  0.280 -1.624  0.294 -1.743  0.382 -1.831  0.502 -1.840
2#apa#apa04#app0408/B  -0.149 1.407  -0.149 1.153  -0.228 0.932  -0.281 0.700  -0.308 0.457  -0.412 0.246  -0.412 -0.007  -0.451 -0.252  -0.544 -0.484  -0.544 -0.738  -0.563 -0.984  -0.676 -1.192  -0.654 -1.278  -0.587 -1.033  -0.520 -0.788  -0.453 -0.543  -0.386 -0.298  -0.319 -0.053  -0.253 0.192  -0.186 0.437  -0.119 0.682  -0.052 0.927  0.015 1.172  0.081 1.417  0.242 1.539  0.442 1.407  0.564 1.275  0.686 1.143  0.774 0.977  0.749 0.748  0.627 0.616  0.505 0.485  0.288 0.394  0.106 0.221  -0.110 0.128  -0.268 -0.043  -0.014 -0.043  0.240 -0.043  0.493 -0.043  0.642 -0.148  0.774 -0.270  0.774 -0.524  0.719 -0.756  0.540 -0.935  0.378 -1.122  0.235 -1.240  0.031 -1.360  -0.168 -1.492  -0.422 -1.492  -0.676 -1.492
2#apa#apa04#app0408/r  -0.355 0.080  -0.272 -0.003  -0.189 -0.086  -0.187 -0.202  -0.187 -0.319  -0.187 -0.436  -0.187 -0.554  -0.187 -0.671  -0.187 -0.788  -0.187 -0.905  -0.187 -1.022  -0.187 -1.139  -0.187 -1.256  -0.187 -1.373  -0.252 -1.426  -0.355 -1.411  -0.355 -1.294  -0.355 -1.177  -0.355 -1.060  -0.355 -0.942  -0.355 -0.825  -0.355 -0.708  -0.355 -0.591  -0.355 -0.474  -0.355 -0.357  -0.355 -0.240  -0.355 -0.123  -0.355 -0.005  -0.340 0.108  -0.288 0.213  -0.236 0.318  -0.187 0.424  -0.187 0.541  -0.134 0.635  -0.051 0.718  -0.020 0.823  0.003 0.916  0.121 0.916  0.211 0.980  0.294 1.063  0.403 1.084  0.509 1.110  0.591 1.193  0.685 1.251  0.802 1.251  0.919 1.251  1.021 1.214  1.104 1.131  1.201 1.084  1.318 1.084
2#apa#apa04#app0408/a  0.709 1.108  0.563 1.108  0.417 1.108  0.272 1.108  0.126 1.108  -0.020 1.108  -0.166 1.108  -0.280 1.032  -0.383 0.929  -0.486 0.826  -0.589 0.723  -0.705 0.652  -0.851 0.652  -0.888 0.543  -0.907 0.405  -1.010 0.302  -1.113 0.199  -1.116 0.055  -1.116 -0.091  -1.116 -0.237  -1.116 -0.382  -1.076 -0.488  -0.930 -0.488  -0.815 -0.561  -0.712 -0.664  -0.588 -0.716  -0.442 -0.716  -0.296 -0.716  -0.151 -0.716  -0.005 -0.716  0.129 -0.664  0.259 -0.599  0.389 -0.534  0.524 -0.488  0.670 -0.488  0.709 -0.381  0.709 -0.236  0.709 -0.090  0.709 0.056  0.709 0.190  0.709 0.044  0.709 -0.101  0.709 -0.247  0.709 -0.393  0.759 -0.488  0.905 -0.488  1.017 -0.569  1.120 -0.672  1.247 -0.716  1.393 -0.716
2#apa#apa04#app0408/c  1.038 0.827  0.975 0.890  0.911 0.953  0.847 1.013  0.757 1.013  0.668 1.013  0.578 1.013  0.489 1.013  0.400 1.013  0.310 1.013  0.221 1.013  0.131 1.013  0.042 1.013  -0.048 1.013  -0.082 0.958  -0.082 0.869  -0.115 0.793  -0.179 0.730  -0.242 0.667  -0.269 0.588  -0.269 0.499  -0.300 0.422  -0.363 0.359  -0.426 0.296  -0.455 0.218  -0.455 0.129  -0.455 0.039  -0.455 -0.050  -0.455 -0.140  -0.455 -0.229  -0.455 -0.319  -0.455 -0.408  -0.455 -0.497  -0.455 -0.587  -0.448 -0.673  -0.385 -0.737  -0.322 -0.800  -0.258 -0.863  -0.195 -0.926  -0.132 -0.990  -0.082 -1.058  -0.082 -1.148  -0.074 -1.234  -0.011 -1.297  0.052 -1.361  0.120 -1.413  0.210 -1.413  0.299 -1.413  0.389 -1.413  0.478 -1.413
2#apa#apa04#app0408/e  -0.223 0.583  -0.223 0.429  -0.085 0.412  -0.052 0.292  0.041 0.288  0.178 0.357  0.319 0.412  0.473 0.412  0.627 0.412  0.780 0.412  0.934 0.412  1.054 0.495  1.141 0.612  1.132 0.762  1.023 0.871  0.891 0.924  0.738 0.924  0.584 0.924  0.430 0.924  0.276 0.924  0.122 0.924  0.013 0.818  -0.096 0.709  -0.205 0.600  -0.338 0.525  -0.475 0.456  -0.603 0.373  -0.711 0.264  -0.820 0.156  -0.929 0.047  -1.037 -0.062  -1.075 -0.200  -1.075 -0.354  -1.075 -0.508  -1.024 -0.611  -0.904 -0.645  -0.887 -0.781  -0.733 -0.782  -0.625 -0.890  -0.496 -0.952  -0.343 -0.952  -0.199 -0.976  -0.090 -1.084  0.048 -1.122  0.202 -1.122  0.356 -1.122  0.510 -1.122  0.663 -1.122  0.817 -1.122  0.971 -1.122
2#apa#apa04#app0408/Y  -0.419 1.243  -0.438 1.099  -0.544 0.992  -0.651 0.886  -0.758 0.779  -0.796 0.644  -0.796 0.493  -0.796 0.342  -0.796 0.191  -0.722 0.114  -0.670 0.014  -0.545 -0.012  -0.394 -0.012  -0.243 -0.012  -0.092 -0.012  0.059 -0.012  0.173 0.079  0.298 0.159  0.433 0.227  0.545 0.326  0.680 0.365  0.796 0.451  0.835 0.586  0.835 0.737  0.835 0.888  0.835 1.039  0.797 1.056  0.718 0.927  0.639 0.798  0.560 0.670  0.480 0.541  0.401 0.413  0.322 0.284  0.243 0.155  0.164 0.027  0.085 -0.102  0.006 -0.230  -0.074 -0.359  -0.153 -0.488  -0.169 -0.634  -0.169 -0.785  -0.169 -0.936  -0.169 -1.087  -0.169 -1.238  -0.169 -1.389  -0.169 -1.540  -0.169 -1.691  -0.169 -1.842  -0.169 -1.993  -0.169 -2.144
2#apa#apa04#app0408/o  -0.453 1.090  -0.453 0.951  -0.484 0.825  -0.583 0.726  -0.681 0.628  -0.780 0.529  -0.878 0.431  -0.922 0.309  -0.922 0.170  -0.922 0.030  -0.922 -0.109  -0.922 -0.248  -0.922 -0.388  -0.922 -0.527  -0.839 -0.632  -0.741 -0.731  -0.624 -0.784  -0.484 -0.784  -0.377 -0.861  -0.278 -0.959  -0.163 -1.019  -0.024 -1.019  0.115 -1.019  0.253 -1.016  0.352 -0.917  0.450 -0.819  0.576 -0.784  0.715 -0.784  0.854 -0.784  0.953 -0.744  0.953 -0.605  0.953 -0.465  0.953 -0.326  0.953 -0.187  0.953 -0.047  0.953 0.092  0.918 0.223  0.856 0.348  0.794 0.472  0.731 0.597  0.607 0.622  0.473 0.634  0.374 0.732  0.276 0.831  0.177 0.929  0.078 1.028  -0.035 1.090  -0.174 1.090  -0.314 1.090  -0.453 1.090
2#apa#apa04#app0408/u  -0.117 0.780  -0.227 0.780  -0.320 0.764  -0.320 0.654  -0.353 0.577  -0.463 0.577  -0.573 0.577  -0.682 0.577  -0.773 0.530  -0.851 0.453  -0.928 0.375  -1.006 0.297  -1.084 0.220  -1.133 0.130  -1.133 0.020  -1.133 -0.089  -1.133 -0.199  -1.133 -0.309  -1.133 -0.419  -1.044 -0.440  -0.934 -0.440  -0.824 -0.440  -0.714 -0.440  -0.605 -0.440  -0.495 -0.440  -0.385 -0.440  -0.275 -0.440  -0.165 -0.440  -0.055 -0.440  0.055 -0.440  0.164 -0.440  0.274 -0.440  0.384 -0.440  0.494 -0.439  0.592 -0.390  0.690 -0.341  0.788 -0.292  0.887 -0.243  0.995 -0.236  1.103 -0.234  1.103 -0.124  1.116 -0.020  1.194 0.058  1.271 0.135  1.367 0.170  1.476 0.170  1.509 0.247  1.509 0.357  1.509 0.467  1.509 0.577
2#apa#apa04#app0408/r  -0.566 0.164  -0.480 0.079  -0.394 -0.007  -0.288 -0.044  -0.167 -0.044  -0.149 -0.148  -0.161 -0.264  -0.247 -0.350  -0.333 -0.436  -0.358 -0.547  -0.358 -0.668  -0.358 -0.790  -0.391 -0.877  -0.513 -0.877  -0.566 -0.945  -0.566 -1.067  -0.566 -1.188  -0.551 -1.294  -0.429 -1.294  -0.358 -1.244  -0.358 -1.123  -0.358 -1.001  -0.358 -0.880  -0.274 -0.793  -0.188 -0.708  -0.149 -0.602  -0.149 -0.481  -0.149 -0.360  -0.143 -0.240  -0.089 -0.131  -0.035 -0.023  0.020 0.086  0.083 0.188  0.169 0.274  0.254 0.360  0.267 0.476  0.274 0.595  0.329 0.704  0.383 0.813  0.437 0.921  0.501 1.023  0.587 1.109  0.672 1.195  0.684 1.311  0.702 1.414  0.823 1.414  0.892 1.467  0.892 1.588  0.979 1.623  1.101 1.623
2#apa#apa04#app0408/s  1.043 1.012  0.910 1.012  0.777 1.012  0.645 1.012  0.512 1.012  0.379 1.012  0.246 1.012  0.113 1.012  -0.020 1.012  -0.152 1.012  -0.285 1.012  -0.418 1.012  -0.551 1.012  -0.684 1.012  -0.780 0.923  -0.874 0.829  -0.884 0.701  -0.884 0.568  -0.884 0.435  -0.791 0.341  -0.697 0.247  -0.603 0.153  -0.509 0.059  -0.415 -0.035  -0.321 -0.129  -0.194 -0.144  -0.067 -0.167  0.052 -0.227  0.171 -0.286  0.291 -0.337  0.424 -0.337  0.557 -0.337  0.680 -0.360  0.774 -0.454  0.850 -0.555  0.850 -0.688  0.752 -0.722  0.623 -0.739  0.505 -0.799  0.386 -0.858  0.272 -0.921  0.272 -1.054  0.193 -1.108  0.060 -1.108  -0.072 -1.108  -0.205 -1.108  -0.335 -1.122  -0.453 -1.181  -0.572 -1.241  -0.691 -1.300
