1c#apa#apa15#app1524/f  0.517 0.763  0.517 0.915  0.517 1.067  0.517 1.219  0.445 1.340  0.337 1.448  0.230 1.555  0.098 1.604  -0.034 1.557  -0.142 1.450  -0.249 1.342  -0.324 1.221  -0.330 1.070  -0.359 0.921  -0.389 0.772  -0.419 0.623  -0.449 0.475  -0.478 0.326  -0.476 0.177  -0.446 0.028  -0.416 -0.121  -0.386 -0.270  -0.356 -0.419  -0.327 -0.568  -0.262 -0.705  -0.195 -0.841  -0.120 -0.973  -0.036 -1.099  0.049 -1.225  0.133 -1.352  0.181 -1.489  0.192 -1.544  0.224 -1.395  0.257 -1.247  0.290 -1.099  0.323 -0.951  0.356 -0.802  0.389 -0.654  0.422 -0.506  0.455 -0.358  0.488 -0.209  0.500 -0.078  0.348 -0.078  0.204 -0.126  0.060 -0.174  -0.084 -0.222  -0.228 -0.270  -0.372 -0.318  -0.516 -0.366  -0.660 -0.414
1c#apa#apa15#app1524/y  -0.910 0.975  -0.910 0.857  -0.910 0.739  -0.910 0.621  -0.910 0.503  -0.910 0.385  -0.858 0.289  -0.775 0.205  -0.688 0.130  -0.570 0.130  -0.452 0.130  -0.334 0.130  -0.257 0.186  -0.220 0.298  -0.183 0.410  -0.145 0.522  -0.108 0.634  -0.071 0.746  -0.065 0.863  -0.060 0.980  0.023 1.063  0.106 1.146  0.147 1.126  0.147 1.008  0.147 0.890  0.147 0.772  0.147 0.654  0.147 0.536  0.147 0.418  0.147 0.300  0.147 0.182  0.176 0.070  0.229 -0.035  0.282 -0.141  0.335 -0.246  0.374 -0.357  0.403 -0.471  0.431 -0.586  0.460 -0.700  0.489 -0.815  0.517 -0.929  0.546 -1.044  0.570 -1.159  0.570 -1.277  0.570 -1.395  0.570 -1.513  0.570 -1.631  0.570 -1.749  0.570 -1.867  0.570 -1.985
1c#apa#apa15#app1524/a  0.553 0.222  0.553 0.424  0.553 0.626  0.553 0.828  0.454 0.930  0.271 0.976  0.129 1.119  -0.054 1.166  -0.255 1.166  -0.438 1.120  -0.581 0.977  -0.703 0.817  -0.815 0.649  -0.927 0.481  -1.039 0.313  -1.099 0.130  -1.099 -0.072  -1.099 -0.274  -1.099 -0.476  -1.099 -0.678  -1.099 -0.880  -0.983 -0.998  -0.791 -1.061  -0.600 -1.125  -0.408 -1.189  -0.261 -1.065  -0.118 -0.922  0.024 -0.779  0.167 -0.637  0.310 -0.494  0.378 -0.305  0.442 -0.113  0.506 0.078  0.553 0.272  0.553 0.474  0.553 0.676  0.370 0.694  0.168 0.694  0.081 0.579  0.081 0.377  0.114 0.189  0.257 0.046  0.400 -0.097  0.543 -0.239  0.685 -0.382  0.828 -0.525  0.971 -0.668  1.081 -0.834  1.172 -1.014  1.262 -1.195
1c#apa#apa15#app1524/m  -1.107 0.241  -1.107 0.059  -1.107 -0.122  -1.107 -0.303  -1.107 -0.484  -1.107 -0.665  -1.107 -0.672  -1.107 -0.491  -1.107 -0.310  -1.107 -0.129  -1.061 0.045  -1.004 0.217  -0.946 0.389  -0.940 0.569  -0.816 0.698  -0.652 0.740  -0.471 0.740  -0.290 0.740  -0.109 0.740  -0.103 0.561  -0.046 0.390  0.011 0.218  0.059 0.044  0.059 -0.137  0.059 -0.318  0.059 -0.499  0.059 -0.680  0.059 -0.657  0.059 -0.476  0.059 -0.295  0.094 -0.118  0.138 0.058  0.182 0.233  0.227 0.408  0.355 0.536  0.483 0.665  0.633 0.740  0.788 0.678  0.926 0.574  1.074 0.528  1.131 0.356  1.188 0.184  1.225 0.009  1.225 -0.172  1.225 -0.353  1.225 -0.534  1.225 -0.715  1.225 -0.896  1.225 -1.077  1.225 -1.259
1c#apa#apa15#app1524/e  -0.536 0.006  -0.536 0.139  -0.508 0.243  -0.375 0.243  -0.242 0.243  -0.109 0.243  -0.001 0.304  0.093 0.398  0.175 0.497  0.175 0.630  0.207 0.750  0.301 0.844  0.396 0.938  0.413 1.064  0.409 1.192  0.276 1.192  0.142 1.192  0.009 1.192  -0.124 1.192  -0.257 1.192  -0.328 1.107  -0.370 0.980  -0.412 0.854  -0.454 0.728  -0.496 0.602  -0.536 0.475  -0.536 0.342  -0.536 0.209  -0.536 0.076  -0.536 -0.057  -0.536 -0.190  -0.496 -0.313  -0.436 -0.432  -0.377 -0.551  -0.317 -0.670  -0.258 -0.789  -0.198 -0.908  -0.139 -1.027  -0.079 -1.146  0.032 -1.181  0.165 -1.181  0.298 -1.181  0.431 -1.181  0.564 -1.181  0.697 -1.181  0.830 -1.181  0.963 -1.181  1.096 -1.181  1.229 -1.181  1.362 -1.181
1c#apa#apa15#app1524/o  0.161 0.069  0.161 0.251  0.161 0.433  0.161 0.615  0.161 0.797  0.161 0.979  0.074 1.075  -0.091 1.058  -0.091 0.876  -0.183 0.732  -0.311 0.603  -0.440 0.474  -0.569 0.346  -0.640 0.181  -0.698 0.009  -0.755 -0.164  -0.813 -0.337  -0.870 -0.509  -0.928 -0.682  -0.986 -0.855  -1.043 -1.028  -1.088 -1.197  -0.959 -1.326  -0.827 -1.429  -0.671 -1.335  -0.515 -1.241  -0.359 -1.148  -0.202 -1.054  -0.046 -0.960  0.110 -0.867  0.266 -0.773  0.419 -0.676  0.520 -0.524  0.620 -0.373  0.721 -0.221  0.822 -0.070  0.922 0.083  1.003 0.246  1.085 0.408  1.166 0.571  1.167 0.753  1.055 0.824  0.873 0.824  0.691 0.824  0.525 0.754  0.362 0.673  0.199 0.591  0.022 0.572  -0.160 0.572  -0.342 0.572
1c#apa#apa15#app1524/u  -1.073 0.945  -1.228 0.945  -1.325 0.887  -1.325 0.732  -1.243 0.610  -1.133 0.501  -1.073 0.371  -1.073 0.216  -1.073 0.060  -1.073 -0.095  -1.073 -0.250  -1.010 -0.379  -0.900 -0.489  -0.790 -0.599  -0.681 -0.708  -0.571 -0.818  -0.417 -0.821  -0.278 -0.783  -0.168 -0.673  -0.058 -0.564  0.051 -0.454  0.161 -0.344  0.271 -0.235  0.380 -0.125  0.441 0.005  0.441 0.160  0.441 0.315  0.441 0.471  0.441 0.626  0.529 0.693  0.685 0.693  0.693 0.839  0.644 0.945  0.489 0.945  0.441 0.838  0.441 0.682  0.441 0.527  0.441 0.372  0.441 0.217  0.498 0.075  0.567 -0.064  0.636 -0.202  0.713 -0.336  0.823 -0.446  0.932 -0.555  0.946 -0.705  0.946 -0.860  0.946 -1.015  1.043 -1.073  1.198 -1.073
1c#apa#apa15#app1524/r  -0.746 0.761  -0.746 0.645  -0.746 0.528  -0.746 0.412  -0.746 0.295  -0.746 0.178  -0.746 0.062  -0.738 -0.053  -0.686 -0.157  -0.634 -0.261  -0.582 -0.366  -0.530 -0.470  -0.478 -0.574  -0.425 -0.678  -0.373 -0.783  -0.346 -0.893  -0.346 -1.009  -0.346 -1.126  -0.340 -1.236  -0.223 -1.236  -0.106 -1.236  0.010 -1.236  0.053 -1.162  0.053 -1.045  0.053 -0.929  0.053 -0.812  0.053 -0.696  0.053 -0.579  0.053 -0.463  0.053 -0.346  0.053 -0.229  0.053 -0.113  0.071 -0.001  0.124 0.104  0.176 0.208  0.228 0.312  0.280 0.416  0.332 0.521  0.384 0.625  0.436 0.729  0.509 0.818  0.592 0.901  0.674 0.983  0.757 1.066  0.839 1.148  0.922 1.230  1.004 1.313  1.086 1.395  1.169 1.478  1.251 1.560
1c#apa#apa15#app1524/r  -0.374 1.022  -0.374 0.880  -0.374 0.737  -0.374 0.595  -0.374 0.453  -0.374 0.311  -0.374 0.169  -0.374 0.027  -0.374 -0.115  -0.374 -0.258  -0.374 -0.400  -0.374 -0.542  -0.374 -0.684  -0.374 -0.826  -0.374 -0.968  -0.374 -1.110  -0.374 -1.252  -0.374 -1.395  -0.374 -1.537  -0.374 -1.523  -0.374 -1.381  -0.374 -1.239  -0.374 -1.097  -0.374 -0.955  -0.374 -0.813  -0.374 -0.671  -0.374 -0.529  -0.374 -0.386  -0.374 -0.244  -0.374 -0.102  -0.372 0.039  -0.272 0.140  -0.171 0.240  -0.071 0.341  0.030 0.441  0.130 0.542  0.231 0.642  0.331 0.743  0.432 0.843  0.532 0.944  0.642 1.022  0.784 1.022  0.927 1.022  1.069 1.022  1.211 1.022  1.266 0.934  1.266 0.792  1.222 0.694  1.080 0.694  0.938 0.694
1c#apa#apa15#app1524/i  0.493 0.459  0.399 0.554  0.304 0.649  0.215 0.703  0.156 0.583  0.096 0.463  0.036 0.343  -0.024 0.223  -0.040 0.092  -0.040 -0.042  -0.040 -0.176  -0.040 -0.310  -0.040 -0.444  -0.040 -0.578  -0.040 -0.713  -0.040 -0.847  -0.040 -0.981  -0.040 -1.115  -0.040 -1.249  -0.040 -1.383  -0.040 -1.517  -0.040 -1.652  -0.040 -1.563  -0.040 -1.429  -0.040 -1.295  -0.040 -1.161  -0.040 -1.027  -0.040 -0.892  -0.040 -0.758  -0.040 -0.624  -0.040 -0.490  -0.040 -0.356  -0.040 -0.222  -0.040 -0.088  -0.040 0.047  -0.040 0.181  -0.040 0.315  -0.040 0.449  -0.040 0.583  -0.040 0.717  -0.040 0.852  -0.040 0.986  -0.040 1.120  -0.040 1.254  -0.040 1.388  -0.040 1.522  -0.040 1.656  -0.040 1.791  -0.040 1.925  -0.040 2.059
1c#apa#apa15#app1524/e  -0.546 -0.506  -0.546 -0.351  -0.503 -0.239  -0.348 -0.239  -0.219 -0.178  -0.109 -0.068  0.006 0.027  0.161 0.027  0.297 0.072  0.407 0.181  0.516 0.291  0.518 0.445  0.518 0.600  0.518 0.754  0.518 0.909  0.518 1.064  0.390 1.091  0.235 1.091  0.080 1.091  -0.068 1.118  -0.207 1.187  -0.345 1.256  -0.484 1.326  -0.546 1.272  -0.546 1.117  -0.546 0.962  -0.546 0.808  -0.546 0.653  -0.546 0.498  -0.546 0.343  -0.546 0.188  -0.546 0.034  -0.511 -0.117  -0.473 -0.267  -0.435 -0.417  -0.398 -0.567  -0.360 -0.718  -0.323 -0.868  -0.285 -1.018  -0.153 -1.080  -0.006 -1.129  0.141 -1.178  0.288 -1.227  0.435 -1.276  0.582 -1.282  0.729 -1.233  0.875 -1.184  1.022 -1.136  1.169 -1.087  1.316 -1.038
