3#app#app12#app1270/a  0.657 1.477  0.487 1.477  0.367 1.427  0.292 1.332  0.122 1.332  -0.048 1.332  -0.174 1.226  -0.294 1.106  -0.414 0.986  -0.503 0.853  -0.552 0.703  -0.647 0.573  -0.690 0.420  -0.792 0.293  -0.792 0.123  -0.845 -0.025  -0.937 -0.157  -0.937 -0.327  -0.937 -0.497  -0.856 -0.633  -0.792 -0.776  -0.718 -0.916  -0.647 -1.056  -0.553 -1.131  -0.418 -1.047  -0.273 -0.987  -0.213 -0.877  -0.118 -0.747  0.003 -0.626  0.077 -0.487  0.140 -0.344  0.222 -0.208  0.222 -0.038  0.326 0.028  0.367 0.157  0.436 0.311  0.512 0.463  0.512 0.582  0.547 0.427  0.657 0.303  0.657 0.133  0.657 -0.037  0.657 -0.207  0.657 -0.377  0.657 -0.547  0.657 -0.717  0.689 -0.874  0.802 -0.997  0.827 -1.156  0.947 -1.276
3#app#app12#app1270/q  0.382 1.335  0.116 1.335  -0.129 1.285  -0.285 1.150  -0.449 1.048  -0.541 0.820  -0.636 0.594  -0.726 0.365  -0.726 0.099  -0.516 0.042  -0.347 0.145  -0.132 0.267  0.013 0.474  0.179 0.671  0.290 0.891  0.382 1.119  0.382 1.385  0.290 1.242  0.212 0.995  0.197 0.732  0.139 0.480  0.105 0.222  0.084 -0.041  0.019 -0.299  -0.080 -0.543  -0.080 -0.809  -0.166 -1.054  -0.172 -1.319  -0.172 -1.585  -0.151 -1.846  0.013 -2.002  0.197 -2.078  0.197 -1.812  0.197 -1.546  0.197 -1.280  0.243 -1.021  0.290 -0.763  0.290 -0.497  0.197 -0.269  0.197 -0.003  0.105 0.224  -0.081 0.413  -0.264 0.459  -0.357 0.285  -0.333 0.042  -0.160 -0.050  0.106 -0.049  0.321 0.074  0.509 0.262  0.659 0.412
3#app#app12#app1270/u  -0.904 0.635  -0.904 0.522  -0.904 0.408  -0.904 0.295  -0.858 0.193  -0.807 0.091  -0.756 -0.010  -0.730 -0.117  -0.730 -0.231  -0.730 -0.344  -0.730 -0.458  -0.730 -0.571  -0.660 -0.655  -0.580 -0.735  -0.556 -0.839  -0.556 -0.952  -0.556 -1.066  -0.485 -1.108  -0.371 -1.108  -0.258 -1.108  -0.163 -1.063  -0.083 -0.983  -0.033 -0.890  -0.033 -0.777  0.063 -0.759  0.141 -0.724  0.141 -0.611  0.203 -0.523  0.283 -0.443  0.346 -0.350  0.397 -0.249  0.447 -0.147  0.490 -0.044  0.490 0.069  0.490 0.183  0.493 0.296  0.529 0.403  0.565 0.511  0.601 0.618  0.636 0.726  0.664 0.835  0.664 0.948  0.742 0.984  0.839 1.001  0.839 1.114  0.839 1.227  0.839 1.341  0.839 1.454  0.778 1.507  0.664 1.507
3#app#app12#app1270/i  -0.349 0.133  -0.349 0.030  -0.349 -0.074  -0.349 -0.177  -0.349 -0.280  -0.349 -0.384  -0.349 -0.487  -0.349 -0.590  -0.349 -0.693  -0.349 -0.797  -0.349 -0.900  -0.342 -1.001  -0.269 -1.074  -0.208 -1.152  -0.208 -1.255  -0.208 -1.358  -0.199 -1.373  -0.177 -1.272  -0.156 -1.171  -0.135 -1.069  -0.114 -0.968  -0.093 -0.867  -0.072 -0.766  -0.051 -0.665  -0.030 -0.564  -0.009 -0.463  0.012 -0.362  0.033 -0.260  0.054 -0.159  0.075 -0.058  0.096 0.043  0.117 0.144  0.139 0.245  0.160 0.346  0.181 0.448  0.202 0.549  0.223 0.650  0.244 0.751  0.265 0.852  0.286 0.953  0.307 1.054  0.328 1.155  0.349 1.257  0.370 1.358  0.391 1.459  0.412 1.560  0.434 1.661  0.455 1.762  0.476 1.863  0.497 1.964
3#app#app12#app1270/c  0.290 1.672  0.290 1.587  0.290 1.503  0.218 1.491  0.133 1.491  0.110 1.431  0.110 1.347  0.110 1.263  0.110 1.178  0.093 1.098  0.056 1.023  0.018 0.948  -0.020 0.872  -0.057 0.797  -0.070 0.716  -0.070 0.632  -0.101 0.560  -0.160 0.501  -0.220 0.441  -0.251 0.370  -0.251 0.285  -0.251 0.201  -0.251 0.117  -0.251 0.033  -0.251 -0.051  -0.251 -0.135  -0.251 -0.220  -0.251 -0.304  -0.251 -0.388  -0.251 -0.472  -0.251 -0.556  -0.251 -0.641  -0.251 -0.725  -0.251 -0.809  -0.251 -0.893  -0.251 -0.977  -0.229 -1.052  -0.169 -1.112  -0.110 -1.172  -0.042 -1.211  0.042 -1.211  0.126 -1.211  0.210 -1.211  0.293 -1.208  0.353 -1.148  0.412 -1.089  0.472 -1.029  0.531 -0.970  0.591 -0.910  0.650 -0.851
3#app#app12#app1270/k  -0.429 2.048  -0.429 1.858  -0.429 1.669  -0.429 1.480  -0.429 1.291  -0.429 1.101  -0.429 0.912  -0.429 0.723  -0.429 0.533  -0.429 0.344  -0.429 0.155  -0.429 -0.034  -0.429 -0.224  -0.429 -0.413  -0.446 -0.595  -0.567 -0.734  -0.567 -0.923  -0.567 -1.113  -0.567 -1.302  -0.532 -1.333  -0.451 -1.161  -0.371 -0.990  -0.290 -0.819  -0.210 -0.648  -0.129 -0.476  -0.048 -0.305  0.032 -0.134  0.113 0.037  0.193 0.209  0.274 0.380  0.355 0.551  0.435 0.722  0.516 0.894  0.442 0.846  0.270 0.804  0.181 0.642  0.124 0.466  0.124 0.277  0.124 0.088  0.124 -0.102  0.124 -0.291  0.262 -0.342  0.326 -0.505  0.460 -0.639  0.617 -0.717  0.768 -0.808  0.938 -0.855  1.127 -0.855  1.317 -0.855  1.506 -0.855
3#app#app12#app1270/b  -0.143 2.190  -0.143 2.054  -0.143 1.918  -0.143 1.782  -0.143 1.646  -0.196 1.522  -0.224 1.392  -0.224 1.256  -0.224 1.120  -0.224 0.984  -0.224 0.848  -0.224 0.711  -0.224 0.575  -0.224 0.439  -0.239 0.307  -0.300 0.185  -0.304 0.050  -0.304 -0.087  -0.304 -0.223  -0.304 -0.359  -0.304 -0.495  -0.342 -0.622  -0.385 -0.748  -0.385 -0.884  -0.416 -1.013  -0.465 -1.138  -0.411 -1.130  -0.321 -1.027  -0.232 -0.925  -0.142 -0.822  -0.052 -0.720  0.037 -0.617  0.127 -0.515  0.217 -0.412  0.306 -0.310  0.396 -0.207  0.486 -0.105  0.575 -0.002  0.662 0.092  0.662 -0.044  0.662 -0.180  0.662 -0.316  0.662 -0.452  0.633 -0.577  0.537 -0.673  0.440 -0.769  0.393 -0.870  0.281 -0.928  0.154 -0.950  0.018 -0.950
3#app#app12#app1270/r  -0.674 0.449  -0.674 0.330  -0.617 0.234  -0.533 0.150  -0.516 0.037  -0.516 -0.082  -0.508 -0.200  -0.454 -0.306  -0.401 -0.413  -0.357 -0.522  -0.357 -0.641  -0.357 -0.761  -0.357 -0.880  -0.357 -1.000  -0.357 -1.119  -0.357 -1.238  -0.311 -1.338  -0.226 -1.423  -0.199 -1.369  -0.199 -1.249  -0.199 -1.130  -0.199 -1.011  -0.199 -0.891  -0.167 -0.785  -0.083 -0.701  -0.041 -0.599  -0.041 -0.479  -0.041 -0.360  -0.041 -0.241  -0.041 -0.121  -0.024 -0.009  0.060 0.075  0.117 0.171  0.117 0.290  0.171 0.397  0.224 0.504  0.276 0.611  0.276 0.731  0.335 0.825  0.420 0.910  0.434 1.023  0.434 1.142  0.449 1.256  0.533 1.340  0.628 1.399  0.748 1.399  0.867 1.399  0.986 1.399  1.106 1.399  1.225 1.399
3#app#app12#app1270/o  -0.364 0.438  -0.482 0.423  -0.482 0.290  -0.482 0.156  -0.543 0.084  -0.601 0.008  -0.601 -0.126  -0.601 -0.259  -0.687 -0.357  -0.719 -0.477  -0.719 -0.611  -0.719 -0.744  -0.703 -0.862  -0.601 -0.893  -0.601 -1.026  -0.557 -1.142  -0.455 -1.217  -0.321 -1.217  -0.188 -1.217  -0.055 -1.217  0.053 -1.154  0.163 -1.098  0.276 -1.049  0.345 -0.944  0.381 -0.826  0.463 -0.726  0.487 -0.602  0.581 -0.508  0.582 -0.375  0.582 -0.241  0.582 -0.108  0.582 0.026  0.582 0.159  0.582 0.293  0.582 0.426  0.582 0.560  0.582 0.693  0.582 0.826  0.582 0.960  0.536 1.075  0.463 1.178  0.431 1.298  0.333 1.384  0.200 1.384  0.067 1.384  -0.010 1.327  -0.082 1.266  -0.128 1.178  -0.231 1.148  -0.246 1.030
3#app#app12#app1270/w  -1.541 0.032  -1.410 0.032  -1.393 -0.083  -1.393 -0.214  -1.312 -0.265  -1.245 -0.329  -1.245 -0.461  -1.214 -0.561  -1.097 -0.575  -1.097 -0.707  -0.968 -0.709  -0.836 -0.709  -0.733 -0.641  -0.635 -0.561  -0.504 -0.560  -0.504 -0.428  -0.422 -0.331  -0.356 -0.227  -0.335 -0.116  -0.208 -0.112  -0.208 0.019  -0.208 0.151  -0.136 0.252  -0.060 0.352  -0.052 0.476  0.079 0.476  0.211 0.476  0.236 0.370  0.299 0.265  0.385 0.169  0.385 0.037  0.385 -0.094  0.462 -0.193  0.533 -0.295  0.547 -0.413  0.678 -0.413  0.772 -0.322  0.829 -0.214  0.853 -0.092  0.946 0.001  0.977 0.119  1.027 0.230  1.120 0.323  1.125 0.452  1.125 0.584  1.154 0.710  1.196 0.835  1.237 0.960  1.273 1.085  1.273 1.217
3#app#app12#app1270/n  -0.857 0.865  -0.857 0.713  -0.857 0.562  -0.857 0.411  -0.857 0.259  -0.857 0.108  -0.857 -0.043  -0.857 -0.195  -0.799 -0.322  -0.696 -0.431  -0.696 -0.582  -0.696 -0.733  -0.696 -0.885  -0.696 -1.036  -0.696 -1.188  -0.696 -1.127  -0.600 -1.072  -0.534 -0.986  -0.500 -0.842  -0.433 -0.707  -0.373 -0.570  -0.373 -0.418  -0.373 -0.267  -0.267 -0.159  -0.211 -0.031  -0.211 0.120  -0.174 0.256  -0.067 0.363  -0.050 0.508  0.033 0.625  0.111 0.744  0.133 0.886  0.240 0.993  0.377 1.026  0.529 1.026  0.595 0.942  0.670 0.865  0.757 0.800  0.757 0.649  0.788 0.511  0.895 0.404  1.002 0.296  1.080 0.177  1.080 0.026  1.095 -0.119  1.202 -0.226  1.241 -0.362  1.302 -0.488  1.402 -0.597  1.402 -0.749
