3#app#app11#app1170/V  -0.962 1.421  -0.962 1.296  -0.933 1.200  -0.852 1.156  -0.852 1.031  -0.800 0.927  -0.741 0.826  -0.741 0.701  -0.741 0.576  -0.656 0.537  -0.631 0.436  -0.595 0.317  -0.555 0.198  -0.520 0.079  -0.520 -0.046  -0.489 -0.158  -0.410 -0.251  -0.390 -0.368  -0.301 -0.456  -0.291 -0.577  -0.202 -0.666  -0.189 -0.785  -0.104 -0.875  -0.015 -0.963  0.032 -1.069  0.105 -1.121  0.143 -1.209  0.143 -1.334  0.225 -1.260  0.253 -1.147  0.253 -1.021  0.305 -0.908  0.361 -0.796  0.367 -0.673  0.423 -0.561  0.475 -0.448  0.486 -0.325  0.542 -0.213  0.598 -0.101  0.654 0.010  0.696 0.126  0.696 0.251  0.723 0.370  0.779 0.482  0.806 0.600  0.806 0.725  0.848 0.841  0.904 0.953  0.917 1.075  0.917 1.200
3#app#app11#app1170/E  0.491 1.397  0.579 1.286  0.427 1.222  0.267 1.176  0.088 1.176  -0.091 1.176  -0.241 1.107  -0.403 1.065  -0.559 1.010  -0.686 0.883  -0.836 0.831  -0.836 0.652  -0.836 0.473  -0.836 0.294  -0.836 0.115  -0.836 -0.064  -0.836 -0.243  -0.726 -0.376  -0.726 -0.555  -0.726 -0.734  -0.628 -0.816  -0.576 -0.966  -0.426 -1.037  -0.290 -1.141  -0.114 -1.148  0.060 -1.136  0.198 -1.037  0.359 -0.977  0.508 -0.878  0.669 -0.816  0.823 -0.791  0.916 -0.705  1.044 -0.654  1.152 -0.587  1.079 -0.423  1.006 -0.260  0.933 -0.096  0.861 0.068  0.788 0.231  0.715 0.395  0.651 0.291  0.472 0.291  0.319 0.229  0.160 0.180  -0.012 0.150  -0.172 0.069  -0.332 -0.011  -0.504 -0.041  -0.664 -0.121  -0.836 -0.152
3#app#app11#app1170/X  -1.437 0.935  -1.372 0.816  -1.226 0.724  -1.080 0.670  -1.015 0.513  -0.854 0.458  -0.685 0.421  -0.555 0.290  -0.425 0.160  -0.295 0.030  -0.164 -0.100  -0.009 -0.196  0.160 -0.256  0.311 -0.337  0.441 -0.468  0.571 -0.598  0.736 -0.644  0.867 -0.774  0.944 -0.926  0.923 -0.833  0.894 -0.651  0.865 -0.470  0.837 -0.288  0.808 -0.106  0.779 0.076  0.750 0.258  0.722 0.440  0.693 0.622  0.664 0.804  0.636 0.985  0.607 1.167  0.546 1.251  0.468 1.099  0.370 0.956  0.349 0.780  0.278 0.626  0.148 0.495  0.052 0.340  -0.030 0.176  -0.113 0.011  -0.195 -0.154  -0.296 -0.305  -0.426 -0.435  -0.530 -0.584  -0.612 -0.749  -0.694 -0.914  -0.723 -1.091  -0.806 -1.256  -0.915 -1.401  -0.961 -1.566
3#app#app11#app1170/I  -0.089 1.717  -0.089 1.645  -0.089 1.574  -0.089 1.502  -0.089 1.430  -0.089 1.359  -0.089 1.287  -0.089 1.216  -0.089 1.144  -0.089 1.072  -0.089 1.001  -0.089 0.929  -0.089 0.858  -0.089 0.786  -0.089 0.715  -0.089 0.643  -0.089 0.571  -0.089 0.500  -0.089 0.428  -0.089 0.357  -0.089 0.285  -0.089 0.214  -0.089 0.142  -0.089 0.070  -0.089 -0.001  -0.089 -0.073  -0.089 -0.144  -0.040 -0.195  0.011 -0.246  0.061 -0.297  0.097 -0.354  0.097 -0.425  0.097 -0.497  0.097 -0.568  0.097 -0.640  0.097 -0.711  0.097 -0.783  0.097 -0.855  0.097 -0.926  0.097 -0.998  0.097 -1.069  0.097 -1.141  0.097 -1.212  0.097 -1.284  0.097 -1.356  0.097 -1.427  0.131 -1.485  0.182 -1.535  0.233 -1.586  0.283 -1.636
3#app#app11#app1170/N  -0.647 0.759  -0.647 0.568  -0.647 0.378  -0.647 0.187  -0.647 -0.004  -0.700 -0.183  -0.766 -0.358  -0.766 -0.549  -0.766 -0.740  -0.766 -0.931  -0.766 -1.121  -0.757 -0.991  -0.747 -0.801  -0.736 -0.610  -0.726 -0.419  -0.715 -0.229  -0.705 -0.038  -0.694 0.153  -0.683 0.343  -0.673 0.534  -0.662 0.724  -0.652 0.915  -0.647 0.891  -0.527 0.819  -0.408 0.748  -0.349 0.581  -0.214 0.446  -0.162 0.282  -0.050 0.203  0.057 0.056  0.123 -0.077  0.191 -0.201  0.277 -0.371  0.393 -0.520  0.450 -0.674  0.547 -0.768  0.713 -0.793  0.904 -0.793  1.025 -0.724  1.047 -0.554  1.145 -0.462  1.145 -0.271  1.145 -0.080  1.166 0.108  1.227 0.289  1.264 0.474  1.264 0.664  1.264 0.855  1.264 1.046  1.264 1.237
3#app#app11#app1170/G  0.208 1.681  0.282 1.637  0.208 1.487  0.076 1.431  -0.028 1.293  -0.096 1.141  -0.256 1.091  -0.302 0.935  -0.382 0.788  -0.508 0.729  -0.619 0.594  -0.680 0.439  -0.737 0.282  -0.768 0.115  -0.896 -0.013  -0.973 -0.161  -0.973 -0.342  -0.973 -0.522  -0.973 -0.702  -0.973 -0.883  -0.826 -0.916  -0.645 -0.916  -0.510 -0.807  -0.348 -0.763  -0.220 -0.636  -0.093 -0.508  0.061 -0.444  0.197 -0.337  0.326 -0.279  0.435 -0.208  0.497 -0.090  0.546 0.025  0.520 0.204  0.495 0.382  0.469 0.561  0.444 0.734  0.444 0.554  0.562 0.491  0.562 0.311  0.562 0.130  0.562 -0.050  0.562 -0.230  0.562 -0.411  0.562 -0.591  0.562 -0.771  0.562 -0.952  0.562 -1.132  0.592 -1.300  0.680 -1.444  0.680 -1.624
3#app#app11#app1170/D  -0.335 0.555  -0.239 0.465  -0.239 0.280  -0.239 0.095  -0.239 -0.090  -0.144 -0.235  -0.144 -0.420  -0.109 -0.600  -0.051 -0.775  -0.048 -0.960  0.006 -1.122  0.069 -1.281  0.089 -1.295  -0.033 -1.156  -0.155 -1.017  -0.278 -0.878  -0.400 -0.740  -0.523 -0.601  -0.645 -0.462  -0.767 -0.324  -0.890 -0.185  -1.012 -0.046  -1.135 0.093  -1.257 0.231  -1.249 0.364  -1.160 0.459  -1.011 0.547  -0.829 0.555  -0.644 0.555  -0.499 0.650  -0.348 0.732  -0.168 0.746  -0.000 0.817  0.140 0.934  0.324 0.937  0.509 0.937  0.694 0.937  0.879 0.937  1.064 0.937  1.193 0.824  1.193 0.639  1.193 0.454  1.193 0.269  1.154 0.094  1.071 -0.072  0.988 -0.237  0.905 -0.402  0.803 -0.556  0.703 -0.712  0.620 -0.878
3#app#app11#app1170/A  -0.395 1.004  -0.461 0.826  -0.506 0.639  -0.595 0.470  -0.617 0.274  -0.650 0.083  -0.728 -0.090  -0.783 -0.273  -0.839 -0.455  -0.839 -0.660  -0.950 -0.820  -0.950 -1.025  -0.946 -0.981  -0.889 -0.783  -0.833 -0.586  -0.776 -0.388  -0.720 -0.191  -0.664 0.007  -0.607 0.204  -0.551 0.401  -0.494 0.599  -0.438 0.796  -0.382 0.994  -0.325 1.191  -0.230 1.336  -0.135 1.226  -0.047 1.100  0.098 0.955  0.165 0.777  0.310 0.632  0.455 0.487  0.561 0.313  0.653 0.129  0.762 -0.042  0.907 -0.187  1.048 -0.334  1.048 -0.539  1.159 -0.699  1.252 -0.865  1.381 -0.952  1.308 -0.848  1.216 -0.664  1.124 -0.481  1.013 -0.328  0.808 -0.328  0.603 -0.328  0.397 -0.328  0.215 -0.384  0.033 -0.439  -0.173 -0.439
3#app#app11#app1170/F  0.778 1.382  0.904 1.338  0.816 1.256  0.648 1.252  0.528 1.132  0.359 1.129  0.189 1.129  0.056 1.038  -0.099 1.003  -0.258 0.976  -0.387 0.877  -0.535 0.825  -0.675 0.751  -0.813 0.674  -0.962 0.625  -0.988 0.481  -0.944 0.329  -0.808 0.246  -0.736 0.149  -0.721 -0.006  -0.610 -0.065  -0.610 -0.235  -0.595 -0.399  -0.484 -0.523  -0.458 -0.687  -0.382 -0.839  -0.357 -1.003  -0.246 -1.127  -0.231 -1.291  -0.184 -1.441  -0.072 -1.471  0.022 -1.329  0.116 -1.188  0.210 -1.046  0.305 -0.905  0.399 -0.763  0.493 -0.622  0.588 -0.480  0.682 -0.339  0.776 -0.198  0.871 -0.056  1.014 -0.006  0.877 -0.006  0.707 -0.006  0.537 -0.006  0.367 -0.006  0.205 -0.040  0.053 -0.116  -0.111 -0.138  -0.231 -0.258
3#app#app11#app1170/T  -0.092 0.384  -0.092 0.230  -0.092 0.077  -0.064 -0.065  0.013 -0.187  0.013 -0.341  0.013 -0.494  0.073 -0.624  0.119 -0.758  0.162 -0.905  0.211 -1.051  0.224 -1.202  0.224 -1.356  0.224 -1.509  0.144 -1.385  0.062 -1.255  -0.020 -1.125  -0.102 -0.995  -0.185 -0.865  -0.267 -0.735  -0.349 -0.605  -0.431 -0.476  -0.513 -0.346  -0.595 -0.216  -0.677 -0.086  -0.759 0.044  -0.841 0.174  -0.923 0.304  -1.005 0.434  -1.040 0.401  -0.904 0.384  -0.829 0.463  -0.702 0.489  -0.619 0.560  -0.500 0.595  -0.346 0.595  -0.192 0.595  -0.039 0.595  0.115 0.595  0.256 0.626  0.377 0.712  0.526 0.749  0.675 0.787  0.819 0.839  0.956 0.908  1.094 0.977  1.238 1.016  1.392 1.016  1.545 1.016  1.699 1.016
3#app#app11#app1170/J  0.107 0.686  0.107 0.728  0.122 0.586  0.207 0.514  0.236 0.387  0.306 0.300  0.406 0.184  0.406 0.028  0.489 -0.095  0.506 -0.245  0.547 -0.392  0.605 -0.535  0.605 -0.692  0.668 -0.834  0.705 -0.982  0.705 -1.139  0.616 -1.207  0.459 -1.207  0.302 -1.207  0.146 -1.207  -0.011 -1.207  -0.168 -1.207  -0.286 -1.113  -0.441 -1.108  -0.521 -1.005  -0.565 -0.855  -0.609 -0.704  -0.654 -0.554  -0.698 -0.403  -0.742 -0.253  -0.786 -0.102  -0.831 0.048  -0.875 0.199  -0.919 0.349  -0.963 0.500  -0.922 0.586  -0.801 0.674  -0.690 0.785  -0.534 0.785  -0.381 0.795  -0.261 0.885  -0.104 0.885  0.048 0.905  0.188 0.975  0.328 1.045  0.476 1.084  0.633 1.084  0.790 1.084  0.947 1.084  1.103 1.084
