2#apa#apa00#app0071/f  0.539 1.013  0.539 1.164  0.539 1.316  0.466 1.394  0.393 1.472  0.293 1.523  0.172 1.450  0.093 1.377  0.019 1.295  -0.044 1.169  -0.044 1.018  -0.044 0.867  -0.044 0.715  -0.044 0.564  0.020 0.439  0.029 0.292  0.029 0.140  0.096 0.005  0.102 -0.145  0.102 -0.296  0.102 -0.448  0.102 -0.599  0.102 -0.750  0.102 -0.901  0.102 -1.053  0.102 -1.204  0.102 -1.355  0.102 -1.507  0.055 -1.611  -0.024 -1.683  -0.117 -1.582  -0.190 -1.461  -0.191 -1.310  -0.209 -1.160  -0.227 -1.010  -0.245 -0.859  -0.263 -0.709  -0.281 -0.559  -0.299 -0.409  -0.317 -0.259  -0.335 -0.108  -0.353 0.042  -0.371 0.192  -0.389 0.342  -0.407 0.492  -0.267 0.503  -0.116 0.503  0.027 0.538  0.169 0.576  0.321 0.576
2#apa#apa00#app0071/a  -0.928 0.734  -0.773 0.734  -0.763 0.879  -0.628 0.899  -0.509 0.987  -0.432 1.110  -0.397 1.230  -0.241 1.230  -0.086 1.230  0.069 1.230  0.224 1.230  0.379 1.230  0.395 1.091  0.524 1.065  0.560 0.946  0.560 0.791  0.462 0.734  0.395 0.646  0.395 0.491  0.327 0.403  0.230 0.346  0.196 0.204  0.087 0.095  -0.023 -0.015  -0.121 -0.133  -0.191 -0.272  -0.260 -0.411  -0.366 -0.523  -0.432 -0.651  -0.468 -0.791  -0.578 -0.901  -0.597 -1.048  -0.597 -1.203  -0.522 -1.327  -0.404 -1.416  -0.248 -1.416  -0.093 -1.416  0.062 -1.416  0.172 -1.308  0.282 -1.199  0.392 -1.089  0.395 -0.935  0.395 -0.780  0.395 -0.625  0.395 -0.470  0.395 -0.315  0.395 -0.159  0.458 -0.030  0.560 0.082  0.560 0.238
2#apa#apa00#app0071/i  -0.325 0.588  -0.325 0.466  -0.325 0.344  -0.325 0.222  -0.325 0.100  -0.325 -0.022  -0.325 -0.144  -0.325 -0.266  -0.325 -0.388  -0.325 -0.509  -0.325 -0.631  -0.325 -0.753  -0.325 -0.875  -0.316 -0.993  -0.230 -1.079  -0.204 -1.191  -0.143 -1.287  -0.057 -1.321  0.029 -1.234  0.148 -1.226  0.237 -1.148  0.341 -1.105  0.400 -1.042  0.464 -0.984  0.505 -0.921  0.476 -0.803  0.446 -0.685  0.417 -0.567  0.387 -0.448  0.358 -0.330  0.328 -0.212  0.298 -0.094  0.269 0.025  0.239 0.143  0.210 0.261  0.180 0.379  0.151 0.498  0.121 0.616  0.091 0.734  0.062 0.852  0.032 0.971  0.003 1.089  -0.027 1.207  -0.056 1.325  -0.086 1.444  -0.115 1.562  -0.145 1.680  -0.175 1.798  -0.204 1.917  -0.204 2.039
2#apa#apa00#app0071/l  -0.101 1.716  -0.101 1.635  -0.178 1.630  -0.187 1.558  -0.187 1.477  -0.187 1.396  -0.187 1.315  -0.148 1.250  -0.101 1.188  -0.101 1.107  -0.101 1.026  -0.101 0.945  -0.101 0.864  -0.126 0.786  -0.152 0.710  -0.177 0.633  -0.187 0.553  -0.187 0.472  -0.187 0.391  -0.187 0.310  -0.187 0.229  -0.187 0.148  -0.187 0.066  -0.187 -0.015  -0.187 -0.096  -0.179 -0.173  -0.122 -0.231  -0.101 -0.304  -0.101 -0.385  -0.101 -0.466  -0.101 -0.547  -0.101 -0.628  -0.101 -0.709  -0.090 -0.787  -0.053 -0.860  -0.017 -0.932  -0.016 -1.013  -0.016 -1.094  0.053 -1.106  0.116 -1.152  0.180 -1.192  0.261 -1.192  0.338 -1.180  0.395 -1.123  0.469 -1.106  0.550 -1.106  0.583 -1.057  0.627 -1.021  0.696 -0.992  0.754 -0.935
2#apa#apa00#app0071/e  -0.220 -0.206  -0.383 -0.206  -0.519 -0.178  -0.489 -0.026  -0.373 0.089  -0.211 0.093  -0.047 0.093  0.105 0.119  0.221 0.235  0.381 0.245  0.496 0.361  0.612 0.476  0.749 0.542  0.827 0.627  0.926 0.691  0.977 0.805  0.977 0.968  0.835 0.991  0.717 1.101  0.570 1.140  0.406 1.140  0.243 1.140  0.079 1.140  -0.037 1.024  -0.152 0.908  -0.288 0.841  -0.369 0.758  -0.437 0.623  -0.553 0.507  -0.668 0.391  -0.668 0.228  -0.689 0.073  -0.805 -0.043  -0.818 -0.201  -0.818 -0.365  -0.818 -0.528  -0.791 -0.681  -0.675 -0.797  -0.665 -0.956  -0.550 -1.072  -0.411 -1.157  -0.265 -1.230  -0.107 -1.252  0.057 -1.252  0.220 -1.252  0.384 -1.252  0.548 -1.252  0.701 -1.229  0.817 -1.113  0.977 -1.103
2#apa#apa00#app0071/d  0.243 -0.352  0.243 -0.136  0.130 -0.034  0.051 0.102  -0.051 0.215  -0.250 0.174  -0.402 0.022  -0.557 -0.125  -0.740 -0.202  -0.889 -0.356  -0.964 -0.540  -1.003 -0.739  -1.003 -0.955  -0.905 -1.129  -0.776 -1.225  -0.594 -1.258  -0.378 -1.258  -0.276 -1.145  -0.174 -1.031  -0.079 -0.901  0.017 -0.725  0.047 -0.517  0.144 -0.325  0.240 -0.132  0.243 0.082  0.243 0.298  0.275 0.506  0.357 0.702  0.357 0.917  0.365 1.129  0.470 1.301  0.470 1.516  0.470 1.731  0.470 1.882  0.410 1.680  0.357 1.478  0.296 1.287  0.243 1.094  0.243 0.879  0.241 0.664  0.145 0.471  0.130 0.259  0.130 0.044  0.130 -0.171  0.130 -0.387  0.173 -0.595  0.242 -0.799  0.337 -0.992  0.415 -1.145  0.583 -1.258
2#apa#apa00#app0071/w  -0.939 0.741  -0.939 0.928  -0.939 1.022  -0.939 0.835  -0.939 0.648  -0.939 0.461  -0.939 0.273  -0.939 0.086  -0.884 -0.078  -0.829 -0.243  -0.829 -0.430  -0.720 -0.572  -0.720 -0.759  -0.720 -0.947  -0.611 -1.025  -0.515 -1.116  -0.502 -0.942  -0.502 -0.755  -0.452 -0.579  -0.392 -0.406  -0.299 -0.258  -0.283 -0.077  -0.266 0.103  -0.174 0.252  -0.174 0.439  -0.070 0.523  0.045 0.386  0.045 0.199  0.154 0.057  0.202 -0.119  0.263 -0.292  0.263 -0.479  0.331 -0.638  0.392 -0.788  0.482 -0.886  0.638 -0.850  0.700 -0.689  0.768 -0.570  0.809 -0.424  0.813 -0.238  0.919 -0.094  0.919 0.093  0.939 0.277  0.985 0.459  1.028 0.641  1.028 0.828  1.101 0.998  1.137 1.177  1.246 1.319  1.246 1.506
2#apa#apa00#app0071/i  -0.411 0.398  -0.411 0.283  -0.411 0.167  -0.411 0.052  -0.411 -0.064  -0.411 -0.179  -0.411 -0.295  -0.411 -0.410  -0.411 -0.526  -0.411 -0.641  -0.411 -0.757  -0.352 -0.848  -0.279 -0.933  -0.279 -1.049  -0.279 -1.164  -0.279 -1.280  -0.200 -1.316  -0.148 -1.253  -0.101 -1.184  0.006 -1.162  0.087 -1.081  0.169 -0.999  0.251 -0.917  0.332 -0.836  0.414 -0.754  0.496 -0.672  0.491 -0.566  0.466 -0.453  0.441 -0.340  0.416 -0.228  0.391 -0.115  0.366 -0.002  0.341 0.111  0.316 0.223  0.291 0.336  0.266 0.449  0.241 0.562  0.216 0.674  0.191 0.787  0.166 0.900  0.141 1.013  0.116 1.125  0.091 1.238  0.066 1.351  0.040 1.464  0.015 1.576  -0.010 1.689  -0.077 1.778  -0.148 1.865  -0.148 1.980
2#apa#apa00#app0071/z  -0.954 1.020  -0.954 1.214  -0.829 1.283  -0.635 1.283  -0.441 1.283  -0.248 1.283  -0.054 1.283  0.140 1.283  0.334 1.283  0.333 1.125  0.228 0.975  0.120 0.889  0.069 0.730  -0.068 0.593  -0.166 0.440  -0.249 0.280  -0.297 0.107  -0.337 -0.070  -0.429 -0.226  -0.429 -0.420  -0.429 -0.614  -0.429 -0.808  -0.429 -1.001  -0.429 -1.195  -0.252 -1.212  -0.058 -1.212  0.005 -1.081  0.198 -1.081  0.392 -1.081  0.586 -1.081  0.772 -1.062  0.919 -0.949  1.113 -0.949  1.260 -0.837  1.130 -0.739  0.959 -0.648  0.788 -0.557  0.617 -0.466  0.446 -0.375  0.275 -0.283  0.104 -0.192  -0.067 -0.101  -0.238 -0.010  -0.408 0.081  -0.579 0.173  -0.624 0.232  -0.468 0.324  -0.291 0.363  -0.097 0.363  0.097 0.363
2#apa#apa00#app0071/a  -1.095 1.096  -0.958 1.124  -0.902 1.233  -0.736 1.233  -0.571 1.233  -0.406 1.233  -0.251 1.208  -0.133 1.096  0.032 1.096  0.197 1.096  0.336 1.031  0.471 0.959  0.544 0.868  0.544 0.703  0.536 0.541  0.419 0.424  0.302 0.308  0.271 0.155  0.126 0.131  0.009 0.014  -0.108 -0.103  -0.225 -0.219  -0.275 -0.364  -0.397 -0.407  -0.422 -0.553  -0.538 -0.670  -0.655 -0.786  -0.685 -0.939  -0.671 -1.090  -0.549 -1.133  -0.477 -1.226  -0.342 -1.297  -0.204 -1.363  -0.068 -1.292  0.070 -1.226  0.235 -1.226  0.271 -1.098  0.408 -1.069  0.442 -0.919  0.544 -0.796  0.544 -0.631  0.544 -0.466  0.544 -0.301  0.544 -0.135  0.544 0.030  0.520 0.189  0.446 0.337  0.408 0.493  0.408 0.658  0.408 0.823
2#apa#apa00#app0071/r  -0.530 1.553  -0.530 1.413  -0.530 1.272  -0.530 1.132  -0.530 0.992  -0.530 0.851  -0.530 0.711  -0.530 0.571  -0.530 0.431  -0.490 0.307  -0.391 0.208  -0.358 0.081  -0.358 -0.059  -0.358 -0.200  -0.358 -0.340  -0.358 -0.480  -0.358 -0.621  -0.358 -0.761  -0.358 -0.901  -0.351 -1.039  -0.252 -1.138  -0.186 -1.251  -0.186 -1.391  -0.186 -1.531  -0.186 -1.426  -0.186 -1.285  -0.186 -1.145  -0.186 -1.005  -0.186 -0.864  -0.090 -0.764  -0.014 -0.655  -0.014 -0.515  -0.014 -0.374  -0.014 -0.234  0.040 -0.116  0.140 -0.017  0.159 0.115  0.216 0.232  0.315 0.331  0.331 0.465  0.417 0.519  0.542 0.557  0.641 0.657  0.767 0.691  0.890 0.733  0.989 0.832  1.116 0.864  1.257 0.864  1.397 0.864  1.537 0.864
