3#apa#apa00#app0007/w  -1.217 0.713  -1.141 0.819  -1.066 0.924  -0.991 0.849  -0.991 0.668  -0.991 0.488  -0.991 0.308  -0.991 0.128  -0.991 -0.053  -0.916 -0.202  -0.916 -0.382  -0.893 -0.559  -0.841 -0.731  -0.766 -0.880  -0.645 -0.940  -0.496 -0.865  -0.413 -0.737  -0.315 -0.597  -0.264 -0.438  -0.240 -0.268  -0.165 -0.119  -0.094 0.032  -0.089 0.211  -0.089 0.391  -0.014 0.540  -0.014 0.721  -0.014 0.676  -0.014 0.496  -0.014 0.316  -0.014 0.135  0.061 -0.014  0.110 -0.186  0.206 -0.333  0.280 -0.483  0.302 -0.654  0.429 -0.782  0.531 -0.865  0.680 -0.790  0.812 -0.697  0.895 -0.550  0.975 -0.389  1.056 -0.227  1.137 -0.066  1.209 0.099  1.265 0.270  1.300 0.447  1.335 0.624  1.338 0.804  1.338 0.984  1.338 1.164
3#apa#apa00#app0007/a  0.279 0.872  0.174 1.027  0.068 1.121  -0.038 1.214  -0.156 1.294  -0.354 1.293  -0.421 1.122  -0.562 0.981  -0.671 0.828  -0.769 0.669  -0.835 0.497  -0.882 0.318  -0.892 0.123  -0.988 -0.036  -0.988 -0.235  -0.988 -0.434  -0.969 -0.625  -0.882 -0.789  -0.762 -0.938  -0.601 -1.029  -0.402 -1.029  -0.322 -0.891  -0.153 -0.818  -0.059 -0.648  0.068 -0.498  0.136 -0.327  0.277 -0.187  0.279 0.011  0.279 0.210  0.279 0.409  0.385 0.565  0.385 0.764  0.385 0.963  0.385 1.005  0.385 0.806  0.385 0.606  0.343 0.450  0.279 0.314  0.279 0.115  0.279 -0.084  0.349 -0.254  0.385 -0.438  0.416 -0.606  0.504 -0.725  0.644 -0.866  0.710 -1.038  0.851 -1.178  0.992 -1.319  1.180 -1.346  1.335 -1.240
3#apa#apa00#app0007/r  -0.579 0.906  -0.579 0.778  -0.579 0.649  -0.579 0.521  -0.579 0.393  -0.579 0.264  -0.579 0.136  -0.579 0.008  -0.548 -0.117  -0.517 -0.241  -0.486 -0.366  -0.479 -0.493  -0.422 -0.608  -0.379 -0.726  -0.337 -0.837  -0.279 -0.941  -0.226 -1.048  -0.178 -1.156  -0.178 -1.285  -0.191 -1.384  -0.281 -1.293  -0.372 -1.202  -0.379 -1.077  -0.379 -0.948  -0.379 -0.820  -0.379 -0.692  -0.379 -0.563  -0.352 -0.441  -0.294 -0.327  -0.279 -0.202  -0.264 -0.080  -0.178 0.013  -0.153 0.131  -0.062 0.221  0.028 0.312  0.119 0.403  0.210 0.494  0.301 0.584  0.410 0.650  0.525 0.706  0.653 0.706  0.771 0.739  0.878 0.810  0.985 0.881  1.081 0.965  1.193 1.006  1.292 1.075  1.408 1.106  1.503 1.186  1.623 1.206
3#apa#apa00#app0007/m  -1.199 0.951  -1.035 1.054  -1.096 0.993  -1.096 0.786  -0.993 0.623  -0.993 0.417  -0.993 0.210  -0.938 0.017  -0.890 -0.178  -0.890 -0.384  -0.890 -0.590  -0.890 -0.796  -0.890 -1.003  -0.787 -0.906  -0.787 -0.699  -0.696 -0.515  -0.630 -0.334  -0.581 -0.148  -0.484 0.018  -0.411 0.194  -0.375 0.386  -0.261 0.539  -0.158 0.642  0.048 0.642  0.140 0.527  0.140 0.321  0.140 0.115  0.140 -0.091  0.140 -0.298  0.140 -0.504  0.140 -0.710  0.150 -0.893  0.276 -0.733  0.346 -0.544  0.449 -0.380  0.452 -0.175  0.545 0.010  0.614 0.189  0.687 0.365  0.832 0.511  0.978 0.656  1.148 0.745  1.170 0.560  1.228 0.363  1.273 0.164  1.273 -0.042  1.273 -0.248  1.376 -0.412  1.386 -0.615  1.478 -0.800
3#apa#apa00#app0007/c  0.299 0.533  0.408 0.516  0.408 0.391  0.408 0.266  0.408 0.141  0.489 0.096  0.614 0.096  0.629 0.208  0.718 0.297  0.736 0.415  0.736 0.540  0.736 0.665  0.736 0.790  0.680 0.860  0.627 0.932  0.538 0.969  0.444 1.043  0.333 1.078  0.208 1.078  0.083 1.078  -0.028 1.063  -0.059 0.969  -0.137 0.922  -0.182 0.815  -0.270 0.727  -0.355 0.637  -0.370 0.518  -0.459 0.429  -0.468 0.307  -0.524 0.195  -0.573 0.081  -0.587 -0.041  -0.643 -0.153  -0.682 -0.269  -0.682 -0.394  -0.682 -0.519  -0.682 -0.644  -0.682 -0.769  -0.599 -0.860  -0.573 -0.975  -0.499 -1.069  -0.430 -1.172  -0.374 -1.284  -0.296 -1.380  -0.198 -1.455  -0.086 -1.511  0.033 -1.540  0.158 -1.540  0.283 -1.540  0.408 -1.540
3#apa#apa00#app0007/u  -1.102 0.812  -1.102 0.999  -0.966 1.063  -0.817 1.155  -0.645 1.140  -0.645 0.953  -0.645 0.766  -0.760 0.693  -0.760 0.506  -0.760 0.319  -0.760 0.133  -0.874 -0.007  -0.874 -0.194  -0.874 -0.381  -0.867 -0.565  -0.760 -0.707  -0.760 -0.894  -0.645 -0.967  -0.506 -1.015  -0.348 -0.946  -0.189 -0.892  -0.107 -0.786  0.035 -0.677  0.086 -0.512  0.245 -0.444  0.382 -0.327  0.416 -0.148  0.499 0.019  0.583 0.186  0.611 0.366  0.611 0.553  0.611 0.740  0.611 0.927  0.611 1.114  0.611 1.009  0.506 0.926  0.497 0.749  0.497 0.563  0.497 0.376  0.497 0.189  0.497 0.002  0.497 -0.185  0.497 -0.372  0.578 -0.525  0.629 -0.691  0.725 -0.838  0.839 -0.911  0.922 -1.015  0.995 -1.129  1.182 -1.129
3#apa#apa00#app0007/p  -0.035 1.162  -0.060 1.000  -0.116 0.870  -0.116 0.684  -0.116 0.497  -0.116 0.311  -0.116 0.125  -0.116 -0.062  -0.116 -0.248  -0.116 -0.435  -0.116 -0.621  -0.116 -0.807  -0.116 -0.994  -0.116 -1.180  -0.116 -1.367  -0.116 -1.553  -0.116 -1.739  -0.117 -1.907  -0.134 -1.722  -0.150 -1.536  -0.166 -1.350  -0.183 -1.165  -0.199 -0.979  -0.216 -0.793  -0.232 -0.608  -0.248 -0.422  -0.265 -0.236  -0.281 -0.051  -0.297 0.135  -0.314 0.321  -0.330 0.506  -0.347 0.692  -0.331 0.866  -0.278 1.031  -0.197 1.184  -0.084 1.300  0.097 1.324  0.283 1.324  0.470 1.324  0.575 1.243  0.694 1.128  0.694 0.941  0.694 0.755  0.694 0.569  0.635 0.396  0.532 0.249  0.441 0.100  0.294 -0.010  0.144 -0.117  -0.035 -0.134
3#apa#apa00#app0007/s  0.540 0.830  0.540 0.938  0.540 1.046  0.483 1.130  0.403 1.195  0.295 1.195  0.187 1.195  0.080 1.195  -0.028 1.195  -0.136 1.195  -0.228 1.157  -0.304 1.081  -0.408 1.073  -0.433 0.991  -0.482 0.903  -0.552 0.827  -0.475 0.751  -0.399 0.675  -0.323 0.599  -0.220 0.587  -0.190 0.510  -0.145 0.421  -0.069 0.345  0.007 0.268  0.053 0.180  0.073 0.081  0.149 0.004  0.175 -0.093  0.175 -0.200  0.175 -0.308  0.196 -0.407  0.272 -0.483  0.297 -0.581  0.297 -0.688  0.297 -0.796  0.297 -0.904  0.297 -1.011  0.297 -1.119  0.297 -1.226  0.200 -1.237  0.175 -1.320  0.106 -1.359  -0.002 -1.359  -0.109 -1.359  -0.214 -1.347  -0.311 -1.298  -0.407 -1.250  -0.433 -1.159  -0.479 -1.070  -0.555 -0.994
3#apa#apa00#app0007/o  0.114 0.998  -0.015 0.998  -0.132 0.947  -0.248 0.889  -0.368 0.853  -0.497 0.853  -0.621 0.840  -0.712 0.749  -0.804 0.658  -0.895 0.567  -0.986 0.475  -1.041 0.369  -1.041 0.240  -1.041 0.111  -1.041 -0.018  -1.041 -0.147  -1.041 -0.276  -0.968 -0.375  -0.877 -0.466  -0.786 -0.558  -0.695 -0.649  -0.601 -0.735  -0.472 -0.735  -0.379 -0.821  -0.274 -0.880  -0.145 -0.880  -0.016 -0.880  0.113 -0.880  0.242 -0.880  0.371 -0.880  0.500 -0.880  0.605 -0.822  0.699 -0.735  0.828 -0.735  0.836 -0.615  0.911 -0.516  0.981 -0.416  0.981 -0.287  0.981 -0.158  0.981 -0.029  0.981 0.100  0.911 0.200  0.836 0.298  0.836 0.427  0.836 0.557  0.750 0.650  0.692 0.755  0.661 0.853  0.547 0.869  0.547 0.998
3#apa#apa00#app0007/f  0.316 1.573  0.308 1.712  0.177 1.696  0.110 1.576  0.104 1.431  0.037 1.311  0.037 1.163  0.037 1.016  0.037 0.868  0.037 0.721  0.104 0.601  0.107 0.455  0.107 0.307  0.107 0.159  0.107 0.012  0.107 -0.136  0.107 -0.283  0.107 -0.431  0.107 -0.578  0.107 -0.726  0.107 -0.873  0.107 -1.021  0.107 -1.168  0.107 -1.316  0.037 -1.435  0.037 -1.582  -0.033 -1.700  -0.112 -1.622  -0.131 -1.476  -0.150 -1.329  -0.169 -1.183  -0.188 -1.037  -0.206 -0.891  -0.225 -0.744  -0.244 -0.598  -0.263 -0.452  -0.282 -0.305  -0.301 -0.159  -0.320 -0.013  -0.339 0.134  -0.357 0.280  -0.376 0.426  -0.311 0.504  -0.203 0.566  -0.098 0.668  0.026 0.726  0.168 0.737  0.301 0.800  0.447 0.807  0.594 0.807
3#apa#apa00#app0007/b  -0.269 2.050  -0.173 1.961  -0.173 1.776  -0.173 1.592  -0.246 1.424  -0.269 1.245  -0.269 1.060  -0.269 0.875  -0.269 0.691  -0.269 0.506  -0.269 0.321  -0.328 0.146  -0.365 -0.032  -0.365 -0.217  -0.365 -0.402  -0.365 -0.587  -0.365 -0.771  -0.387 -0.947  -0.461 -1.101  -0.461 -1.141  -0.461 -0.956  -0.461 -0.771  -0.461 -0.586  -0.427 -0.406  -0.382 -0.227  -0.365 -0.044  -0.290 0.109  -0.269 0.285  -0.136 0.359  -0.006 0.490  0.073 0.610  0.257 0.610  0.442 0.610  0.627 0.610  0.708 0.497  0.839 0.366  0.883 0.199  0.883 0.015  0.883 -0.170  0.883 -0.355  0.841 -0.529  0.787 -0.701  0.679 -0.841  0.595 -0.991  0.446 -1.047  0.278 -1.117  0.093 -1.117  -0.091 -1.117  -0.276 -1.117  -0.461 -1.117
