2#apb#apb42#app4206/E  0.003 1.170  -0.044 1.056  -0.130 0.794  -0.239 0.540  -0.358 0.291  -0.482 0.043  -0.601 -0.206  -0.712 -0.459  -0.781 -0.724  -0.627 -0.881  -0.352 -0.849  -0.079 -0.804  0.192 -0.752  0.460 -0.685  0.731 -0.633  1.005 -0.596  1.280 -0.624  1.549 -0.686  1.698 -0.893  1.534 -0.984  1.269 -0.904  1.005 -0.824  0.740 -0.744  0.475 -0.664  0.211 -0.584  -0.054 -0.504  -0.318 -0.424  -0.583 -0.344  -0.848 -0.264  -0.753 -0.053  -0.482 -0.008  -0.211 0.048  0.061 0.097  0.334 0.131  0.611 0.131  0.693 0.168  0.436 0.268  0.178 0.369  -0.079 0.470  -0.336 0.570  -0.594 0.671  -0.851 0.772  -1.109 0.872  -1.366 0.973  -1.103 0.915  -0.826 0.915  -0.551 0.934  -0.275 0.956  0.001 0.965  0.277 0.974
2#apb#apb42#app4206/d  0.243 -0.328  0.331 -0.130  0.356 0.085  0.294 0.287  0.108 0.390  -0.100 0.417  -0.302 0.337  -0.493 0.236  -0.674 0.116  -0.835 -0.027  -0.983 -0.187  -1.087 -0.374  -1.165 -0.575  -1.140 -0.790  -1.084 -0.993  -0.939 -1.154  -0.745 -1.243  -0.540 -1.315  -0.327 -1.293  -0.112 -1.261  0.094 -1.194  0.296 -1.115  0.456 -0.977  0.596 -0.811  0.657 -0.605  0.705 -0.393  0.705 -0.176  0.679 0.036  0.597 0.237  0.494 0.426  0.357 0.595  0.218 0.761  0.069 0.919  -0.080 1.077  -0.227 1.237  -0.368 1.402  -0.472 1.586  -0.438 1.411  -0.314 1.232  -0.187 1.056  -0.055 0.884  0.075 0.710  0.193 0.527  0.311 0.345  0.464 0.191  0.616 0.037  0.740 -0.142  0.868 -0.317  1.003 -0.487  1.145 -0.652
2#apb#apb42#app4206/i  0.188 0.241  0.211 0.139  0.245 0.038  0.256 -0.068  0.264 -0.174  0.271 -0.280  0.279 -0.387  0.288 -0.493  0.296 -0.599  0.305 -0.705  0.328 -0.806  0.390 -0.892  0.452 -0.979  0.499 -1.074  0.541 -1.172  0.601 -1.258  0.676 -1.287  0.638 -1.196  0.587 -1.102  0.535 -1.009  0.484 -0.916  0.433 -0.823  0.381 -0.729  0.330 -0.636  0.278 -0.543  0.227 -0.450  0.176 -0.356  0.124 -0.263  0.073 -0.170  0.021 -0.077  -0.030 0.017  -0.081 0.110  -0.133 0.203  -0.184 0.296  -0.235 0.390  -0.287 0.483  -0.338 0.576  -0.390 0.669  -0.441 0.763  -0.492 0.856  -0.544 0.949  -0.595 1.043  -0.647 1.136  -0.698 1.229  -0.749 1.322  -0.801 1.416  -0.852 1.509  -0.903 1.602  -0.955 1.695  -1.022 1.761
2#apb#apb42#app4206/t  -0.392 1.473  -0.423 1.615  -0.455 1.757  -0.384 1.709  -0.289 1.599  -0.214 1.475  -0.147 1.346  -0.079 1.217  -0.011 1.089  0.057 0.960  0.119 0.828  0.181 0.696  0.243 0.565  0.304 0.433  0.366 0.301  0.428 0.170  0.490 0.038  0.552 -0.094  0.606 -0.229  0.657 -0.365  0.708 -0.501  0.759 -0.638  0.777 -0.782  0.795 -0.926  0.813 -1.071  0.758 -1.126  0.620 -1.080  0.482 -1.034  0.344 -0.988  0.206 -0.942  0.068 -0.896  -0.070 -0.850  -0.208 -0.804  -0.347 -0.758  -0.485 -0.712  -0.623 -0.666  -0.761 -0.620  -0.899 -0.574  -0.999 -0.500  -0.999 -0.355  -0.872 -0.292  -0.739 -0.233  -0.603 -0.180  -0.467 -0.129  -0.328 -0.086  -0.189 -0.043  -0.050 0.000  0.092 0.033  0.233 0.066  0.375 0.099
2#apb#apb42#app4206/o  -0.161 0.989  -0.288 1.052  -0.412 1.054  -0.530 0.975  -0.648 0.896  -0.764 0.815  -0.881 0.733  -0.992 0.648  -1.033 0.512  -1.074 0.376  -1.077 0.237  -1.060 0.096  -1.042 -0.045  -1.024 -0.186  -0.944 -0.300  -0.855 -0.411  -0.767 -0.522  -0.641 -0.585  -0.511 -0.642  -0.381 -0.699  -0.251 -0.756  -0.113 -0.786  0.027 -0.811  0.167 -0.836  0.307 -0.860  0.448 -0.858  0.590 -0.849  0.732 -0.840  0.873 -0.828  1.002 -0.770  1.132 -0.711  1.239 -0.633  1.278 -0.496  1.280 -0.358  1.252 -0.219  1.209 -0.089  1.094 -0.007  0.978 0.076  0.862 0.158  0.745 0.237  0.616 0.298  0.488 0.358  0.359 0.419  0.231 0.479  0.097 0.527  -0.037 0.572  -0.172 0.617  -0.308 0.658  -0.450 0.658  -0.592 0.658
2#apb#apb42#app4206/r  -0.720 -0.148  -0.642 -0.241  -0.563 -0.335  -0.478 -0.423  -0.386 -0.502  -0.293 -0.582  -0.217 -0.675  -0.163 -0.784  -0.108 -0.894  -0.036 -0.990  0.050 -1.077  0.123 -1.171  0.152 -1.290  0.186 -1.362  0.114 -1.266  0.020 -1.188  -0.074 -1.110  -0.121 -0.999  -0.163 -0.884  -0.205 -0.769  -0.247 -0.654  -0.296 -0.542  -0.345 -0.430  -0.394 -0.318  -0.443 -0.207  -0.492 -0.095  -0.521 0.022  -0.521 0.144  -0.521 0.266  -0.521 0.388  -0.515 0.510  -0.481 0.627  -0.448 0.745  -0.366 0.832  -0.274 0.911  -0.181 0.991  -0.065 1.014  0.057 1.023  0.179 1.032  0.301 1.042  0.421 1.030  0.540 1.003  0.659 0.975  0.778 0.948  0.898 0.925  1.020 0.917  1.142 0.910  1.264 0.902  1.386 0.894  1.508 0.887
2#apb#apb42#app4206/V  -0.888 0.829  -0.970 0.764  -1.035 0.680  -1.061 0.574  -1.088 0.468  -1.091 0.360  -1.081 0.252  -1.071 0.143  -1.053 0.036  -1.009 -0.064  -0.965 -0.164  -0.922 -0.264  -0.872 -0.360  -0.802 -0.444  -0.732 -0.527  -0.662 -0.611  -0.584 -0.686  -0.487 -0.735  -0.389 -0.783  -0.292 -0.832  -0.186 -0.848  -0.077 -0.848  0.032 -0.848  0.141 -0.848  0.243 -0.814  0.344 -0.772  0.445 -0.730  0.546 -0.688  0.627 -0.619  0.700 -0.538  0.772 -0.456  0.843 -0.373  0.883 -0.272  0.924 -0.170  0.965 -0.069  0.978 0.037  0.972 0.146  0.966 0.255  0.941 0.359  0.900 0.460  0.858 0.561  0.794 0.646  0.715 0.721  0.635 0.796  0.556 0.871  0.476 0.945  0.396 1.020  0.316 1.094  0.225 1.151  0.125 1.196
2#apb#apb42#app4206/P  -0.197 -0.463  -0.164 -0.562  -0.117 -0.703  -0.058 -0.839  0.022 -0.965  0.094 -1.095  0.155 -1.231  0.159 -1.379  0.124 -1.459  0.023 -1.352  -0.064 -1.231  -0.151 -1.110  -0.210 -0.973  -0.269 -0.836  -0.345 -0.709  -0.429 -0.586  -0.514 -0.463  -0.592 -0.336  -0.656 -0.202  -0.719 -0.067  -0.765 0.074  -0.793 0.220  -0.819 0.367  -0.819 0.516  -0.784 0.657  -0.722 0.793  -0.639 0.913  -0.528 1.013  -0.408 1.099  -0.275 1.165  -0.141 1.229  0.005 1.261  0.151 1.292  0.298 1.270  0.441 1.237  0.557 1.144  0.662 1.041  0.724 0.906  0.783 0.770  0.801 0.622  0.820 0.474  0.819 0.325  0.810 0.176  0.792 0.029  0.753 -0.115  0.688 -0.247  0.580 -0.344  0.450 -0.415  0.307 -0.449  0.159 -0.463
2#apb#apb42#app4206/O  0.137 0.628  0.042 0.736  -0.084 0.804  -0.228 0.814  -0.370 0.804  -0.506 0.752  -0.641 0.699  -0.749 0.606  -0.848 0.500  -0.935 0.387  -0.977 0.248  -1.018 0.109  -1.043 -0.033  -1.043 -0.178  -1.043 -0.323  -1.004 -0.457  -0.924 -0.579  -0.845 -0.700  -0.751 -0.807  -0.626 -0.879  -0.500 -0.952  -0.367 -1.001  -0.222 -1.011  -0.077 -1.022  0.068 -1.033  0.207 -0.999  0.345 -0.953  0.482 -0.907  0.620 -0.861  0.731 -0.768  0.842 -0.674  0.953 -0.580  1.029 -0.460  1.088 -0.328  1.148 -0.195  1.143 -0.054  1.119 0.089  1.073 0.222  0.984 0.337  0.895 0.451  0.794 0.552  0.665 0.618  0.536 0.685  0.407 0.752  0.274 0.807  0.130 0.826  -0.014 0.846  -0.157 0.852  -0.300 0.827  -0.443 0.802
2#apb#apb42#app4206/p  -0.398 0.049  -0.355 -0.011  -0.339 -0.173  -0.317 -0.334  -0.292 -0.495  -0.256 -0.654  -0.219 -0.813  -0.192 -0.973  -0.172 -1.135  -0.162 -1.297  -0.162 -1.460  -0.180 -1.532  -0.230 -1.377  -0.272 -1.220  -0.329 -1.068  -0.399 -0.921  -0.468 -0.773  -0.537 -0.626  -0.604 -0.477  -0.672 -0.329  -0.732 -0.178  -0.773 -0.020  -0.815 0.137  -0.775 0.288  -0.705 0.435  -0.623 0.576  -0.525 0.702  -0.396 0.801  -0.266 0.900  -0.127 0.982  0.022 1.048  0.171 1.114  0.321 1.177  0.472 1.238  0.626 1.294  0.779 1.272  0.922 1.203  1.012 1.067  1.027 0.912  1.017 0.749  0.984 0.590  0.938 0.434  0.876 0.286  0.778 0.156  0.680 0.025  0.574 -0.098  0.463 -0.217  0.347 -0.331  0.210 -0.419  0.073 -0.507
2#apb#apb42#app4206/e  -0.978 -0.285  -0.912 -0.158  -0.754 -0.178  -0.597 -0.198  -0.444 -0.153  -0.292 -0.107  -0.140 -0.060  0.008 -0.004  0.146 0.075  0.284 0.154  0.422 0.233  0.561 0.311  0.702 0.383  0.845 0.454  0.987 0.526  1.048 0.667  1.067 0.806  0.929 0.885  0.791 0.964  0.639 1.010  0.486 1.056  0.333 1.091  0.176 1.066  0.019 1.042  -0.138 1.018  -0.282 0.957  -0.416 0.872  -0.550 0.787  -0.678 0.697  -0.712 0.541  -0.745 0.386  -0.778 0.230  -0.803 0.074  -0.791 -0.085  -0.779 -0.243  -0.767 -0.402  -0.696 -0.537  -0.594 -0.659  -0.492 -0.781  -0.391 -0.903  -0.267 -0.992  -0.114 -1.036  0.039 -1.080  0.192 -1.124  0.347 -1.158  0.504 -1.181  0.661 -1.205  0.819 -1.228  0.976 -1.252  1.133 -1.276
