1c#tos#t3#t3026064/b  -0.438 2.139  -0.470 2.030  -0.353 1.919  -0.339 1.753  -0.339 1.583  -0.339 1.413  -0.339 1.243  -0.339 1.073  -0.339 0.903  -0.339 0.733  -0.339 0.564  -0.339 0.394  -0.306 0.227  -0.289 0.059  -0.276 -0.109  -0.239 -0.275  -0.239 -0.445  -0.239 -0.614  -0.239 -0.784  -0.289 -0.933  -0.336 -1.056  -0.351 -0.894  -0.438 -0.760  -0.427 -0.595  -0.339 -0.461  -0.339 -0.292  -0.289 -0.133  -0.205 -0.015  -0.081 0.100  0.050 0.192  0.160 0.290  0.317 0.342  0.487 0.342  0.628 0.274  0.764 0.173  0.816 0.029  0.925 -0.090  0.959 -0.239  0.959 -0.409  0.919 -0.567  0.832 -0.712  0.703 -0.776  0.627 -0.906  0.457 -0.906  0.290 -0.916  0.138 -0.992  -0.029 -1.006  -0.199 -1.006  -0.339 -0.976  -0.239 -0.906
1c#tos#t3#t3026064/c  0.818 0.727  0.705 0.727  0.592 0.727  0.582 0.830  0.555 0.915  0.468 0.956  0.393 1.033  0.300 1.070  0.220 1.103  0.108 1.103  -0.005 1.103  -0.118 1.103  -0.213 1.044  -0.312 0.993  -0.406 0.948  -0.429 0.845  -0.507 0.764  -0.569 0.670  -0.611 0.567  -0.638 0.457  -0.712 0.374  -0.735 0.271  -0.735 0.159  -0.735 0.046  -0.735 -0.067  -0.735 -0.180  -0.735 -0.292  -0.735 -0.405  -0.735 -0.518  -0.697 -0.603  -0.592 -0.641  -0.530 -0.735  -0.444 -0.798  -0.342 -0.843  -0.263 -0.922  -0.168 -0.967  -0.056 -0.967  0.057 -0.967  0.170 -0.967  0.283 -0.967  0.395 -0.967  0.507 -0.961  0.614 -0.925  0.721 -0.890  0.825 -0.862  0.887 -0.768  0.961 -0.683  1.040 -0.603  1.100 -0.543  1.194 -0.497
1c#tos#t3#t3026064/d  0.295 2.070  0.168 2.042  0.138 1.900  0.138 1.754  0.138 1.607  0.138 1.460  0.138 1.313  0.162 1.169  0.190 1.025  0.224 0.883  0.312 0.766  0.334 0.627  0.334 0.480  0.334 0.333  0.334 0.186  0.373 0.051  0.413 -0.083  0.413 -0.230  0.413 -0.377  0.413 -0.524  0.413 -0.670  0.452 -0.575  0.400 -0.480  0.315 -0.401  0.266 -0.264  0.138 -0.237  0.104 -0.098  -0.008 -0.020  -0.136 0.004  -0.179 0.108  -0.326 0.108  -0.450 0.086  -0.489 -0.022  -0.603 -0.087  -0.733 -0.144  -0.764 -0.283  -0.764 -0.430  -0.764 -0.577  -0.764 -0.723  -0.685 -0.838  -0.653 -0.977  -0.576 -1.100  -0.439 -1.147  -0.292 -1.147  -0.145 -1.147  0.001 -1.147  0.148 -1.147  0.252 -1.077  0.384 -1.029  0.491 -0.990
1c#tos#t3#t3026064/e  -0.607 0.528  -0.671 0.376  -0.728 0.263  -0.586 0.184  -0.427 0.119  -0.276 0.046  -0.103 0.046  0.070 0.046  0.243 0.046  0.406 0.079  0.559 0.143  0.732 0.143  0.742 0.306  0.789 0.432  0.838 0.555  0.790 0.717  0.651 0.812  0.523 0.917  0.400 1.015  0.245 1.058  0.083 1.107  -0.089 1.107  -0.253 1.067  -0.376 1.010  -0.463 0.924  -0.558 0.819  -0.653 0.677  -0.704 0.516  -0.816 0.408  -0.896 0.259  -0.896 0.086  -0.896 -0.087  -0.896 -0.260  -0.800 -0.393  -0.763 -0.557  -0.750 -0.726  -0.602 -0.807  -0.493 -0.926  -0.338 -1.004  -0.168 -1.014  0.005 -1.014  0.178 -1.014  0.351 -1.014  0.524 -1.014  0.697 -1.014  0.870 -1.014  1.043 -1.014  1.215 -1.014  1.340 -0.966  1.513 -0.966
1c#tos#t3#t3026064/h  -0.492 1.956  -0.570 1.855  -0.570 1.698  -0.559 1.544  -0.491 1.404  -0.453 1.252  -0.453 1.095  -0.430 0.941  -0.414 0.786  -0.414 0.629  -0.414 0.472  -0.414 0.316  -0.414 0.159  -0.414 0.002  -0.414 -0.154  -0.414 -0.311  -0.414 -0.467  -0.414 -0.624  -0.414 -0.781  -0.414 -0.937  -0.414 -1.094  -0.414 -1.075  -0.492 -0.997  -0.492 -0.840  -0.487 -0.685  -0.453 -0.536  -0.452 -0.380  -0.363 -0.254  -0.252 -0.143  -0.219 0.000  -0.102 0.086  -0.031 0.198  0.039 0.329  0.178 0.358  0.327 0.350  0.405 0.271  0.487 0.193  0.521 0.045  0.540 -0.107  0.560 -0.259  0.578 -0.414  0.599 -0.567  0.708 -0.639  0.776 -0.734  0.916 -0.773  1.073 -0.773  1.222 -0.748  1.320 -0.644  1.418 -0.540  1.496 -0.461
1c#tos#t3#t3026064/i  0.031 -0.012  -0.043 -0.028  -0.014 -0.128  -0.014 -0.241  -0.014 -0.353  0.043 -0.419  0.070 -0.528  0.077 -0.640  0.077 -0.753  0.077 -0.865  0.077 -0.978  0.077 -1.090  0.077 -1.203  0.077 -1.315  0.077 -1.428  0.077 -1.541  0.071 -1.437  0.064 -1.324  0.058 -1.212  0.052 -1.099  0.046 -0.987  0.039 -0.875  0.033 -0.762  0.027 -0.650  0.021 -0.538  0.014 -0.425  0.008 -0.313  0.002 -0.201  -0.004 -0.088  -0.011 0.024  -0.017 0.137  -0.023 0.249  -0.029 0.361  -0.036 0.474  -0.042 0.586  -0.048 0.698  -0.054 0.811  -0.061 0.923  -0.067 1.035  -0.073 1.148  -0.079 1.260  -0.086 1.373  -0.092 1.485  -0.098 1.597  -0.112 1.701  -0.194 1.670  -0.124 1.587  -0.037 1.534  0.025 1.440  0.077 1.340
1c#tos#t3#t3026064/j  0.413 0.937  0.289 0.886  0.269 0.749  0.279 0.614  0.305 0.495  0.305 0.350  0.305 0.204  0.377 0.131  0.377 -0.014  0.382 -0.158  0.413 -0.298  0.435 -0.438  0.484 -0.565  0.514 -0.703  0.520 -0.847  0.494 -0.986  0.446 -1.112  0.303 -1.124  0.233 -1.218  0.089 -1.220  -0.019 -1.265  -0.161 -1.292  -0.306 -1.292  -0.447 -1.275  -0.579 -1.220  -0.686 -1.145  -0.672 -1.008  -0.632 -0.868  -0.591 -0.729  -0.551 -0.590  -0.511 -0.450  -0.470 -0.311  -0.430 -0.171  -0.389 -0.032  -0.349 0.107  -0.309 0.247  -0.268 0.386  -0.228 0.526  -0.188 0.665  -0.147 0.804  -0.107 0.944  -0.067 1.083  -0.026 1.223  0.014 1.362  0.054 1.501  0.089 1.600  0.052 1.514  0.143 1.417  0.211 1.326  0.341 1.261
1c#tos#t3#t3026064/l  0.080 1.537  0.010 1.537  -0.012 1.582  -0.012 1.512  -0.012 1.441  -0.012 1.371  -0.012 1.301  -0.012 1.231  -0.012 1.161  -0.012 1.091  -0.012 1.021  -0.012 0.951  -0.012 0.881  -0.012 0.811  -0.012 0.740  -0.012 0.670  -0.012 0.600  -0.012 0.530  -0.012 0.460  -0.012 0.390  -0.012 0.320  -0.012 0.250  -0.012 0.180  -0.012 0.110  -0.012 0.039  -0.012 -0.031  -0.012 -0.101  -0.012 -0.171  -0.012 -0.241  -0.012 -0.311  -0.012 -0.381  -0.012 -0.451  -0.012 -0.521  -0.012 -0.591  -0.012 -0.662  -0.012 -0.732  -0.012 -0.802  -0.012 -0.872  -0.005 -0.941  0.017 -1.007  0.034 -1.075  0.034 -1.145  0.034 -1.215  0.034 -1.285  0.034 -1.355  0.034 -1.425  0.034 -1.495  0.034 -1.565  0.034 -1.635  0.034 -1.706
1c#tos#t3#t3026064/m  -1.309 0.036  -1.382 -0.097  -1.381 0.004  -1.316 0.169  -1.237 0.280  -1.060 0.288  -1.010 0.464  -0.912 0.615  -0.806 0.721  -0.732 0.581  -0.732 0.396  -0.732 0.211  -0.732 0.026  -0.732 -0.159  -0.750 -0.341  -0.768 -0.486  -0.768 -0.301  -0.682 -0.166  -0.628 -0.004  -0.516 0.122  -0.441 0.255  -0.328 0.396  -0.192 0.446  -0.102 0.541  -0.011 0.446  0.044 0.277  0.133 0.121  0.097 -0.028  0.097 -0.214  0.025 -0.327  -0.047 -0.354  -0.009 -0.188  0.149 -0.108  0.215 0.044  0.367 0.144  0.508 0.216  0.682 0.199  0.725 0.036  0.775 -0.124  0.818 -0.302  0.890 -0.457  0.992 -0.607  1.130 -0.685  1.312 -0.661  1.481 -0.588  1.565 -0.442  1.712 -0.329  1.791 -0.165  1.842 -0.011  1.971 0.108
1c#tos#t3#t3026064/n  -1.035 0.724  -1.195 0.650  -1.179 0.724  -1.044 0.772  -0.898 0.861  -0.796 1.010  -0.615 1.012  -0.554 0.890  -0.554 0.707  -0.554 0.525  -0.554 0.342  -0.554 0.159  -0.554 -0.024  -0.554 -0.206  -0.591 -0.385  -0.602 -0.566  -0.674 -0.704  -0.794 -0.813  -0.794 -0.918  -0.760 -0.743  -0.660 -0.593  -0.597 -0.423  -0.506 -0.277  -0.454 -0.110  -0.337 0.029  -0.308 0.198  -0.139 0.266  0.006 0.372  0.086 0.484  0.214 0.595  0.363 0.628  0.406 0.488  0.454 0.325  0.454 0.143  0.454 -0.040  0.454 -0.223  0.416 -0.399  0.406 -0.580  0.439 -0.750  0.576 -0.861  0.759 -0.861  0.917 -0.815  1.028 -0.671  1.157 -0.542  1.287 -0.413  1.429 -0.298  1.511 -0.157  1.572 0.009  1.670 0.163  1.799 0.292
1c#tos#t3#t3026064/p  -0.165 1.090  -0.204 0.945  -0.174 0.765  -0.165 0.582  -0.165 0.398  -0.165 0.214  -0.165 0.029  -0.165 -0.155  -0.165 -0.339  -0.165 -0.523  -0.175 -0.707  -0.204 -0.887  -0.204 -1.072  -0.204 -1.256  -0.204 -1.440  -0.204 -1.624  -0.204 -1.809  -0.220 -1.848  -0.282 -1.678  -0.282 -1.494  -0.282 -1.310  -0.268 -1.126  -0.247 -0.943  -0.226 -0.760  -0.204 -0.577  -0.183 -0.394  -0.162 -0.211  -0.141 -0.028  -0.120 0.155  -0.099 0.338  -0.078 0.521  -0.057 0.705  -0.036 0.888  -0.015 1.071  0.069 1.206  0.253 1.207  0.437 1.207  0.622 1.207  0.806 1.207  0.929 1.146  0.929 0.961  0.818 0.857  0.656 0.778  0.526 0.647  0.378 0.541  0.232 0.432  0.076 0.342  -0.075 0.242  -0.254 0.230  -0.399 0.269
