2#apa#apa02#app0271/!  0.210 1.283  0.210 1.356  0.210 1.429  0.209 1.500  0.158 1.448  0.106 1.397  0.102 1.326  0.102 1.253  0.102 1.180  0.054 1.127  0.002 1.075  -0.007 1.006  -0.007 0.934  -0.007 0.861  -0.007 0.788  -0.007 0.715  -0.007 0.642  -0.007 0.570  -0.007 0.497  -0.007 0.424  -0.007 0.351  -0.007 0.278  -0.007 0.205  -0.007 0.133  -0.007 0.060  -0.007 -0.013  -0.007 -0.086  -0.007 -0.159  -0.007 -0.232  -0.007 -0.304  -0.010 -0.377  -0.016 -0.450  -0.022 -0.522  -0.028 -0.595  -0.034 -0.667  -0.040 -0.740  -0.046 -0.813  -0.052 -0.885  -0.058 -0.958  -0.064 -1.030  -0.070 -1.103  -0.076 -1.175  -0.082 -1.248  -0.088 -1.321  -0.094 -1.393  -0.100 -1.466  -0.106 -1.538  -0.112 -1.611  -0.116 -1.612  -0.116 -1.539
2#apa#apa02#app0271/@  -0.061 0.080  0.041 0.303  -0.041 0.486  -0.264 0.445  -0.366 0.281  -0.468 0.118  -0.468 -0.147  -0.468 -0.412  -0.362 -0.632  -0.097 -0.632  0.041 -0.445  0.188 -0.327  0.250 -0.123  0.346 0.046  0.318 0.283  0.155 0.181  0.142 -0.071  0.142 -0.336  0.316 -0.428  0.549 -0.397  0.651 -0.174  0.763 -0.017  0.956 0.129  0.956 0.394  0.956 0.659  0.956 0.925  0.868 1.169  0.689 1.363  0.542 1.503  0.277 1.503  0.054 1.401  -0.163 1.275  -0.351 1.198  -0.471 0.991  -0.658 0.804  -0.773 0.586  -0.874 0.345  -0.938 0.090  -0.976 -0.169  -0.976 -0.434  -0.874 -0.657  -0.813 -0.897  -0.697 -1.114  -0.485 -1.242  -0.337 -1.409  -0.080 -1.445  0.185 -1.445  0.408 -1.343  0.565 -1.226  0.752 -1.038
2#apa#apa02#app0271/#  0.156 1.260  0.021 0.879  -0.160 0.505  -0.336 0.132  -0.486 -0.242  -0.582 -0.639  -0.771 -1.019  -0.762 -1.236  -0.495 -0.891  -0.228 -0.545  0.039 -0.200  0.306 0.145  0.573 0.491  0.840 0.836  1.107 1.182  1.236 1.207  1.070 0.822  0.894 0.459  0.771 0.073  0.648 -0.313  0.525 -0.698  0.287 -0.641  -0.054 -0.368  -0.395 -0.096  -0.735 0.177  -1.076 0.450  -1.319 0.522  -1.006 0.399  -0.692 0.276  -0.256 0.276  0.181 0.276  0.566 0.153  1.003 0.153  1.440 0.153  1.511 0.263  1.077 0.214  0.643 0.166  0.209 0.118  -0.225 0.070  -0.659 0.022  -1.093 -0.027  -1.527 -0.075  -1.566 -0.243  -1.320 -0.433  -0.924 -0.489  -0.527 -0.585  -0.116 -0.695  0.317 -0.708  0.754 -0.708  1.140 -0.831
2#apa#apa02#app0271/$  0.144 0.691  0.317 0.799  0.234 0.908  -0.048 0.908  -0.285 0.799  -0.549 0.725  -0.777 0.582  -0.943 0.466  -0.872 0.256  -0.616 0.147  -0.335 0.147  -0.091 0.056  0.183 0.038  0.443 -0.057  0.711 -0.094  0.906 -0.231  0.906 -0.513  0.797 -0.686  0.592 -0.819  0.362 -0.961  0.169 -1.049  -0.004 -1.158  -0.286 -1.158  -0.567 -1.158  -0.726 -0.971  -0.621 -0.713  -0.504 -0.456  -0.386 -0.200  -0.269 0.056  -0.152 0.312  -0.034 0.568  0.083 0.824  0.200 1.080  0.318 1.336  0.435 1.592  0.409 1.717  0.362 1.455  0.253 1.218  0.253 0.936  0.144 0.680  0.144 0.399  0.144 0.117  0.115 -0.160  0.036 -0.429  0.036 -0.710  -0.073 -0.947  -0.123 -1.208  -0.182 -1.465  -0.182 -1.747  -0.073 -1.920
2#apa#apa02#app0271/%  -0.621 0.588  -0.688 0.712  -0.864 0.588  -0.943 0.362  -1.095 0.142  -1.095 -0.141  -0.880 -0.265  -0.621 -0.240  -0.443 -0.086  -0.337 0.153  -0.242 0.397  -0.337 0.641  -0.483 0.778  -0.432 0.923  -0.302 1.097  -0.044 1.157  0.240 1.157  0.516 1.150  0.421 0.962  0.421 0.877  0.516 1.066  0.680 1.226  0.895 1.195  0.706 1.046  0.561 0.823  0.365 0.666  0.204 0.438  0.110 0.182  -0.091 -0.019  -0.264 -0.236  -0.374 -0.492  -0.508 -0.720  -0.621 -0.956  -0.516 -1.058  -0.270 -0.917  -0.024 -0.777  0.222 -0.636  0.468 -0.496  0.697 -0.360  0.508 -0.454  0.327 -0.611  0.149 -0.821  0.061 -1.081  0.042 -1.360  0.189 -1.497  0.457 -1.462  0.657 -1.261  0.801 -1.037  0.895 -0.793  0.990 -0.549
2#apa#apa02#app0271/^  -1.225 -0.467  -1.225 -0.574  -1.225 -0.641  -1.225 -0.533  -1.266 -0.467  -1.373 -0.467  -1.358 -0.467  -1.251 -0.467  -1.225 -0.386  -1.225 -0.278  -1.123 -0.273  -1.021 -0.262  -0.945 -0.187  -0.869 -0.111  -0.793 -0.035  -0.717 0.041  -0.641 0.115  -0.534 0.115  -0.433 0.131  -0.357 0.207  -0.281 0.283  -0.185 0.309  -0.078 0.309  0.003 0.373  0.079 0.449  0.155 0.525  0.230 0.600  0.306 0.676  0.405 0.697  0.512 0.697  0.521 0.600  0.532 0.503  0.639 0.503  0.716 0.472  0.716 0.365  0.767 0.309  0.874 0.309  0.910 0.237  0.910 0.130  0.910 0.023  0.915 -0.079  1.022 -0.079  1.104 -0.105  1.104 -0.212  1.104 -0.319  1.104 -0.426  1.170 -0.467  1.277 -0.467  1.298 -0.554  1.298 -0.661
2#apa#apa02#app0271/&  0.218 1.437  0.314 1.533  0.317 1.605  0.384 1.537  0.417 1.433  0.445 1.310  0.516 1.204  0.516 1.068  0.592 0.964  0.687 0.868  0.715 0.744  0.691 0.619  0.587 0.543  0.451 0.543  0.345 0.472  0.221 0.444  0.086 0.444  -0.029 0.395  -0.144 0.344  -0.279 0.344  -0.375 0.248  -0.500 0.223  -0.603 0.146  -0.676 0.083  -0.607 -0.023  -0.484 -0.053  -0.348 -0.053  -0.213 -0.053  -0.077 -0.053  0.058 -0.053  0.194 -0.053  0.210 -0.161  0.114 -0.257  0.017 -0.351  -0.080 -0.389  -0.154 -0.451  -0.190 -0.550  -0.279 -0.597  -0.337 -0.708  -0.378 -0.826  -0.364 -0.947  -0.279 -0.998  -0.192 -1.047  -0.180 -1.169  -0.180 -1.305  -0.180 -1.440  -0.180 -1.576  -0.228 -1.691  -0.279 -1.805  -0.279 -1.941
2#apa#apa02#app0271/*  1.150 1.123  1.496 1.163  1.323 1.214  1.063 1.036  0.912 0.712  0.639 0.438  0.365 0.164  0.091 -0.109  -0.138 -0.415  -0.355 -0.729  -0.547 -1.061  -0.753 -1.369  -0.953 -1.673  -1.094 -1.641  -0.926 -1.323  -0.753 -1.008  -0.552 -0.697  -0.430 -0.330  -0.407 0.053  -0.400 0.437  -0.234 0.755  -0.098 1.086  -0.061 1.457  0.133 1.275  0.285 0.951  0.458 0.737  0.458 0.350  0.631 0.035  0.631 -0.171  0.326 -0.089  0.011 0.084  -0.304 0.257  -0.691 0.257  -0.926 0.106  -0.668 -0.174  -0.317 -0.262  0.070 -0.262  0.457 -0.262  0.112 -0.301  -0.142 -0.435  -0.529 -0.435  -0.916 -0.435  -0.956 -0.291  -0.581 -0.262  -0.367 -0.089  -0.004 -0.031  0.335 0.084  0.722 0.084  1.109 0.084  1.323 -0.089
2#apa#apa02#app0271/(  0.471 0.754  0.557 0.754  0.571 0.827  0.571 0.914  0.571 1.000  0.571 1.086  0.571 1.173  0.566 1.254  0.480 1.254  0.416 1.200  0.349 1.154  0.271 1.146  0.271 1.059  0.213 0.997  0.152 0.936  0.091 0.875  0.039 0.806  -0.009 0.734  -0.057 0.662  -0.105 0.591  -0.129 0.512  -0.142 0.428  -0.181 0.351  -0.219 0.274  -0.229 0.190  -0.229 0.103  -0.256 0.028  -0.317 -0.033  -0.329 -0.115  -0.329 -0.201  -0.329 -0.287  -0.329 -0.374  -0.329 -0.460  -0.329 -0.547  -0.329 -0.633  -0.329 -0.719  -0.329 -0.806  -0.329 -0.892  -0.329 -0.979  -0.329 -1.065  -0.325 -1.150  -0.264 -1.211  -0.203 -1.272  -0.142 -1.333  -0.129 -1.414  -0.075 -1.446  -0.029 -1.487  -0.002 -1.546  0.085 -1.546  0.171 -1.546
2#apa#apa02#app0271/)  -0.145 1.340  -0.145 1.419  -0.145 1.498  -0.145 1.518  -0.145 1.439  -0.145 1.360  -0.104 1.298  -0.048 1.242  -0.041 1.166  -0.009 1.100  0.046 1.044  0.062 0.972  0.085 0.902  0.141 0.846  0.180 0.780  0.205 0.705  0.230 0.630  0.255 0.555  0.270 0.478  0.270 0.399  0.270 0.320  0.270 0.241  0.270 0.162  0.270 0.083  0.270 0.004  0.224 -0.056  0.168 -0.112  0.166 -0.190  0.166 -0.269  0.166 -0.348  0.165 -0.427  0.109 -0.483  0.062 -0.543  0.062 -0.622  0.062 -0.701  0.062 -0.780  0.055 -0.857  0.019 -0.928  -0.016 -0.998  -0.057 -1.065  -0.113 -1.121  -0.169 -1.177  -0.225 -1.233  -0.294 -1.257  -0.353 -1.277  -0.353 -1.356  -0.427 -1.361  -0.457 -1.410  -0.482 -1.464  -0.561 -1.464
2#apa#apa02#app0271/`  -1.222 0.650  -1.138 0.650  -1.055 0.650  -0.971 0.650  -0.922 0.684  -0.922 0.768  -0.922 0.851  -0.922 0.935  -0.922 0.881  -0.922 0.797  -0.922 0.713  -0.902 0.650  -0.818 0.650  -0.735 0.650  -0.651 0.650  -0.583 0.611  -0.524 0.552  -0.465 0.493  -0.406 0.434  -0.347 0.375  -0.287 0.315  -0.228 0.256  -0.169 0.197  -0.110 0.138  -0.051 0.079  0.008 0.020  0.067 -0.040  0.127 -0.099  0.186 -0.158  0.245 -0.217  0.304 -0.276  0.363 -0.335  0.422 -0.394  0.482 -0.454  0.541 -0.513  0.608 -0.551  0.692 -0.551  0.776 -0.551  0.859 -0.551  0.879 -0.615  0.879 -0.699  0.879 -0.782  0.894 -0.851  0.978 -0.851  1.061 -0.851  1.145 -0.851  1.179 -0.900  1.179 -0.984  1.179 -1.068  1.179 -1.151
