1c#app#app14#app1468/h  -0.131 1.939  -0.025 1.833  -0.017 1.913  -0.061 1.782  -0.131 1.661  -0.131 1.511  -0.131 1.361  -0.131 1.211  -0.168 1.070  -0.235 0.936  -0.244 0.789  -0.244 0.639  -0.244 0.489  -0.284 0.346  -0.331 0.204  -0.358 0.058  -0.358 -0.092  -0.358 -0.241  -0.372 -0.389  -0.409 -0.535  -0.445 -0.680  -0.471 -0.827  -0.471 -0.976  -0.471 -1.126  -0.471 -1.204  -0.399 -1.126  -0.358 -1.018  -0.344 -0.871  -0.277 -0.737  -0.244 -0.595  -0.164 -0.478  -0.058 -0.372  -0.017 -0.240  0.073 -0.127  0.099 0.012  0.205 0.118  0.323 0.152  0.389 0.236  0.437 0.134  0.550 0.098  0.550 -0.052  0.619 -0.173  0.664 -0.305  0.664 -0.455  0.664 -0.604  0.664 -0.754  0.664 -0.904  0.664 -1.054  0.664 -1.204  0.664 -1.353
1c#app#app14#app1468/e  -0.083 -0.153  0.053 -0.153  0.172 -0.111  0.268 -0.015  0.373 0.060  0.509 0.060  0.556 0.149  0.569 0.273  0.705 0.273  0.769 0.344  0.769 0.481  0.862 0.578  0.958 0.674  0.910 0.771  0.813 0.867  0.769 0.984  0.769 1.121  0.637 1.124  0.500 1.124  0.364 1.124  0.262 1.043  0.166 0.947  0.044 0.911  -0.089 0.905  -0.185 0.809  -0.282 0.713  -0.378 0.617  -0.474 0.520  -0.570 0.424  -0.666 0.328  -0.722 0.215  -0.722 0.079  -0.722 -0.058  -0.722 -0.194  -0.722 -0.330  -0.722 -0.466  -0.722 -0.602  -0.722 -0.738  -0.722 -0.874  -0.717 -1.005  -0.581 -1.005  -0.509 -1.069  -0.509 -1.205  -0.385 -1.218  -0.263 -1.251  -0.167 -1.347  -0.065 -1.431  0.071 -1.431  0.207 -1.431  0.343 -1.431
1c#app#app14#app1468/s  0.497 1.422  0.389 1.422  0.282 1.422  0.185 1.375  0.089 1.327  -0.008 1.278  -0.104 1.230  -0.155 1.154  -0.155 1.046  -0.204 0.988  -0.312 0.988  -0.372 0.940  -0.372 0.832  -0.418 0.771  -0.526 0.771  -0.558 0.739  -0.481 0.663  -0.405 0.587  -0.329 0.511  -0.253 0.434  -0.177 0.358  -0.100 0.282  -0.024 0.206  0.052 0.130  0.128 0.053  0.204 -0.023  0.280 -0.099  0.280 -0.207  0.280 -0.315  0.387 -0.316  0.495 -0.316  0.497 -0.421  0.497 -0.529  0.497 -0.636  0.497 -0.744  0.395 -0.750  0.287 -0.750  0.280 -0.850  0.280 -0.958  0.210 -1.037  0.134 -1.113  0.056 -1.184  -0.052 -1.184  -0.155 -1.190  -0.155 -1.297  -0.158 -1.402  -0.266 -1.402  -0.373 -1.402  -0.481 -1.402  -0.589 -1.402
1c#app#app14#app1468/o  -0.940 0.587  -0.790 0.587  -0.752 0.476  -0.680 0.399  -0.563 0.432  -0.563 0.581  -0.420 0.587  -0.375 0.692  -0.309 0.775  -0.187 0.802  -0.187 0.952  -0.049 0.963  0.101 0.963  0.250 0.963  0.400 0.963  0.549 0.963  0.698 0.963  0.755 0.870  0.793 0.737  0.899 0.631  0.943 0.500  0.943 0.350  0.943 0.201  0.943 0.051  0.943 -0.098  0.943 -0.248  0.943 -0.397  0.940 -0.545  0.835 -0.651  0.729 -0.757  0.623 -0.863  0.517 -0.968  0.412 -1.074  0.276 -1.108  0.127 -1.108  -0.023 -1.108  -0.172 -1.108  -0.322 -1.108  -0.443 -1.040  -0.549 -0.934  -0.654 -0.828  -0.752 -0.719  -0.752 -0.570  -0.838 -0.456  -0.940 -0.349  -0.940 -0.199  -0.940 -0.050  -0.862 0.022  -0.752 0.061  -0.752 0.210
1c#app#app14#app1468/o  -0.818 0.024  -0.818 0.186  -0.759 0.324  -0.644 0.439  -0.529 0.554  -0.414 0.669  -0.283 0.745  -0.121 0.745  0.042 0.745  0.204 0.745  0.366 0.745  0.529 0.745  0.691 0.745  0.854 0.745  0.863 0.591  0.938 0.504  1.101 0.504  1.103 0.344  1.103 0.182  1.099 0.021  0.985 -0.094  0.870 -0.209  0.863 -0.368  0.863 -0.531  0.863 -0.693  0.750 -0.809  0.635 -0.924  0.520 -1.039  0.406 -1.154  0.253 -1.177  0.090 -1.177  -0.072 -1.177  -0.235 -1.177  -0.380 -1.135  -0.495 -1.020  -0.578 -0.893  -0.578 -0.730  -0.636 -0.581  -0.708 -0.436  -0.781 -0.291  -0.818 -0.137  -0.818 0.025  -0.818 0.188  -0.818 0.350  -0.818 0.512  -0.818 0.675  -0.753 0.810  -0.638 0.925  -0.501 0.985  -0.338 0.985
1c#app#app14#app1468/n  -0.953 0.968  -0.953 0.850  -0.953 0.733  -0.953 0.615  -0.953 0.497  -0.953 0.379  -0.953 0.261  -0.953 0.144  -0.953 0.026  -0.953 -0.092  -0.953 -0.210  -0.953 -0.194  -0.953 -0.076  -0.896 -0.015  -0.778 -0.015  -0.674 0.018  -0.591 0.101  -0.507 0.185  -0.424 0.268  -0.341 0.351  -0.258 0.434  -0.215 0.535  -0.215 0.653  -0.167 0.722  -0.050 0.722  0.068 0.722  0.186 0.722  0.276 0.695  0.276 0.577  0.288 0.464  0.372 0.381  0.455 0.298  0.522 0.208  0.522 0.090  0.522 -0.028  0.522 -0.146  0.524 -0.263  0.607 -0.346  0.690 -0.429  0.774 -0.513  0.857 -0.596  0.940 -0.679  1.013 -0.767  1.013 -0.884  1.016 -1.001  1.100 -1.084  1.183 -1.168  1.259 -1.254  1.259 -1.372  1.259 -1.489
1c#app#app14#app1468/t  1.785 0.578  1.661 0.454  1.537 0.331  1.407 0.222  1.232 0.222  1.057 0.222  0.883 0.222  0.708 0.222  0.533 0.222  0.358 0.222  0.183 0.222  0.008 0.222  0.003 0.051  0.003 -0.124  -0.161 -0.134  -0.336 -0.134  -0.511 -0.134  -0.686 -0.134  -0.861 -0.134  -1.036 -0.134  -0.978 -0.018  -0.873 0.122  -0.768 0.262  -0.663 0.402  -0.558 0.542  -0.453 0.682  -0.348 0.822  -0.243 0.962  -0.138 1.102  -0.033 1.242  0.003 1.177  0.003 1.002  0.003 0.827  0.003 0.652  0.003 0.477  0.003 0.302  0.003 0.127  0.003 -0.048  -0.036 -0.214  -0.114 -0.370  -0.193 -0.527  -0.271 -0.683  -0.349 -0.840  -0.353 -1.014  -0.353 -1.189  -0.353 -1.364  -0.353 -1.539  -0.244 -1.668  -0.120 -1.792  0.003 -1.916
1c#app#app14#app1468/o  -0.644 0.482  -0.533 0.371  -0.421 0.259  -0.264 0.257  -0.193 0.344  -0.180 0.496  -0.068 0.608  0.044 0.720  0.155 0.831  0.267 0.943  0.379 1.055  0.494 1.159  0.651 1.159  0.780 1.088  0.892 0.976  0.934 0.836  0.934 0.678  0.934 0.520  0.934 0.362  0.934 0.204  0.934 0.046  0.934 -0.112  0.881 -0.247  0.769 -0.359  0.709 -0.492  0.705 -0.649  0.593 -0.760  0.481 -0.871  0.323 -0.871  0.258 -0.963  0.233 -1.096  0.075 -1.096  -0.083 -1.096  -0.241 -1.096  -0.399 -1.096  -0.557 -1.096  -0.694 -1.047  -0.806 -0.935  -0.870 -0.804  -0.870 -0.646  -0.870 -0.488  -0.870 -0.330  -0.870 -0.172  -0.870 -0.014  -0.870 0.144  -0.870 0.302  -0.870 0.460  -0.870 0.618  -0.802 0.708  -0.644 0.708
1c#app#app14#app1468/o  -0.842 0.266  -0.690 0.266  -0.564 0.293  -0.564 0.444  -0.512 0.544  -0.360 0.544  -0.287 0.623  -0.287 0.774  -0.182 0.821  -0.030 0.821  -0.010 0.953  -0.003 1.098  0.148 1.098  0.300 1.098  0.452 1.098  0.604 1.098  0.756 1.098  0.822 1.013  0.822 0.861  0.822 0.709  0.822 0.557  0.822 0.406  0.822 0.254  0.822 0.102  0.822 -0.050  0.822 -0.202  0.822 -0.354  0.822 -0.505  0.757 -0.630  0.650 -0.738  0.543 -0.845  0.435 -0.952  0.328 -1.060  0.201 -1.120  0.049 -1.120  -0.103 -1.120  -0.254 -1.120  -0.406 -1.120  -0.558 -1.120  -0.564 -0.975  -0.584 -0.843  -0.736 -0.843  -0.842 -0.796  -0.842 -0.645  -0.842 -0.493  -0.842 -0.341  -0.842 -0.189  -0.842 -0.037  -0.842 0.114  -0.842 0.266
1c#app#app14#app1468/k  -0.072 2.196  -0.072 2.015  -0.072 1.835  -0.072 1.654  -0.234 1.636  -0.259 1.480  -0.259 1.300  -0.323 1.135  -0.403 0.973  -0.445 0.803  -0.445 0.622  -0.445 0.442  -0.445 0.261  -0.445 0.081  -0.445 -0.099  -0.445 -0.280  -0.445 -0.460  -0.445 -0.641  -0.445 -0.821  -0.445 -1.001  -0.426 -1.163  -0.254 -1.150  -0.197 -0.979  -0.140 -0.808  -0.083 -0.637  -0.026 -0.466  0.031 -0.295  0.088 -0.123  0.145 0.048  0.202 0.219  0.259 0.390  0.301 0.469  0.301 0.289  0.266 0.143  0.094 0.123  -0.033 -0.004  -0.161 -0.132  -0.259 -0.272  -0.223 -0.416  -0.042 -0.416  0.115 -0.440  0.132 -0.603  0.309 -0.611  0.437 -0.738  0.596 -0.790  0.776 -0.790  0.929 -0.857  1.060 -0.976  1.234 -0.982  1.234 -1.163
1c#app#app14#app1468/e  -0.241 0.357  -0.241 0.212  -0.183 0.126  -0.039 0.126  -0.011 0.242  0.019 0.357  0.163 0.357  0.307 0.357  0.452 0.357  0.596 0.357  0.740 0.357  0.884 0.357  0.912 0.474  0.912 0.618  0.912 0.762  0.912 0.906  0.909 1.048  0.765 1.048  0.621 1.048  0.476 1.048  0.332 1.048  0.188 1.048  0.044 1.048  -0.011 0.958  -0.013 0.815  -0.115 0.713  -0.217 0.611  -0.319 0.509  -0.421 0.407  -0.472 0.284  -0.472 0.140  -0.564 0.034  -0.666 -0.068  -0.702 -0.198  -0.702 -0.342  -0.702 -0.486  -0.702 -0.630  -0.702 -0.775  -0.702 -0.919  -0.666 -1.027  -0.522 -1.027  -0.472 -1.121  -0.466 -1.263  -0.364 -1.365  -0.262 -1.467  -0.127 -1.488  0.018 -1.488  0.162 -1.488  0.306 -1.488  0.450 -1.488
