2#tos#f1#f1042059/!  0.145 1.581  0.075 1.581  0.050 1.535  0.029 1.486  0.002 1.442  0.002 1.372  0.002 1.302  0.002 1.232  0.002 1.161  0.002 1.091  0.002 1.021  0.002 0.951  0.002 0.880  0.002 0.810  0.002 0.740  0.002 0.670  0.002 0.599  0.002 0.529  0.002 0.459  0.002 0.389  0.002 0.319  0.002 0.248  0.002 0.178  0.002 0.108  0.002 0.038  0.002 -0.033  0.002 -0.103  0.002 -0.173  0.002 -0.243  0.002 -0.314  0.002 -0.384  0.002 -0.454  0.002 -0.524  0.002 -0.595  0.002 -0.665  0.002 -0.735  0.002 -0.805  0.002 -0.875  0.002 -0.946  0.002 -1.016  0.002 -1.086  -0.018 -1.148  -0.045 -1.207  -0.045 -1.277  -0.045 -1.347  -0.045 -1.418  -0.045 -1.488  -0.045 -1.558  -0.045 -1.628  -0.045 -1.699
2#tos#f1#f1042059/%  1.037 1.826  0.834 1.721  0.782 1.465  0.637 1.250  0.582 1.014  0.478 0.770  0.286 0.620  0.165 0.403  0.086 0.167  -0.019 -0.066  -0.163 -0.291  -0.290 -0.527  -0.325 -0.783  -0.448 -0.992  -0.537 -1.214  -0.615 -1.241  -0.615 -0.973  -0.615 -0.705  -0.615 -0.437  -0.615 -0.169  -0.615 0.099  -0.615 0.367  -0.826 0.424  -1.065 0.453  -0.990 0.675  -0.864 0.876  -0.616 0.925  -0.465 1.009  -0.540 0.787  -0.565 0.535  -0.665 0.297  -0.760 0.124  -0.715 0.062  -0.467 -0.039  -0.219 -0.141  0.029 -0.243  0.277 -0.345  0.525 -0.446  0.773 -0.548  1.021 -0.650  0.987 -0.773  0.731 -0.827  0.554 -0.812  0.537 -0.548  0.537 -0.280  0.733 -0.134  0.837 -0.285  0.837 -0.553  0.837 -0.821  0.737 -1.028
2#tos#f1#f1042059/'  0.481 1.603  0.428 1.551  0.376 1.499  0.359 1.432  0.358 1.358  0.335 1.287  0.311 1.217  0.288 1.147  0.264 1.076  0.241 1.006  0.237 0.933  0.223 0.873  0.149 0.873  0.115 0.832  0.115 0.758  0.115 0.684  0.115 0.610  0.115 0.536  0.115 0.461  0.115 0.387  0.115 0.313  0.115 0.239  0.115 0.165  0.115 0.091  0.113 0.017  0.069 -0.042  0.024 -0.101  -0.020 -0.161  -0.064 -0.220  -0.109 -0.279  -0.153 -0.338  -0.198 -0.398  -0.242 -0.457  -0.250 -0.529  -0.250 -0.603  -0.250 -0.677  -0.250 -0.751  -0.250 -0.825  -0.250 -0.899  -0.250 -0.973  -0.250 -1.047  -0.250 -1.121  -0.250 -1.196  -0.250 -1.270  -0.261 -1.341  -0.294 -1.408  -0.327 -1.474  -0.360 -1.540  -0.372 -1.611  -0.372 -1.686
2#tos#f1#f1042059/(  0.573 1.453  0.539 1.405  0.456 1.405  0.398 1.359  0.352 1.290  0.285 1.259  0.235 1.227  0.168 1.211  0.138 1.158  0.138 1.075  0.120 1.000  0.061 0.941  0.003 0.882  -0.056 0.824  -0.056 0.741  -0.125 0.727  -0.153 0.672  -0.153 0.589  -0.153 0.506  -0.201 0.472  -0.201 0.389  -0.216 0.309  -0.256 0.237  -0.298 0.171  -0.298 0.089  -0.298 0.006  -0.298 -0.077  -0.298 -0.160  -0.298 -0.243  -0.298 -0.326  -0.298 -0.409  -0.298 -0.492  -0.298 -0.575  -0.298 -0.658  -0.283 -0.725  -0.234 -0.772  -0.208 -0.851  -0.173 -0.926  -0.136 -1.000  -0.093 -1.064  -0.023 -1.097  0.035 -1.155  0.108 -1.180  0.167 -1.238  0.236 -1.283  0.296 -1.333  0.336 -1.403  0.380 -1.442  0.446 -1.485  0.525 -1.500
2#tos#f1#f1042059/)  -0.360 1.441  -0.441 1.441  -0.444 1.392  -0.389 1.351  -0.344 1.294  -0.263 1.294  -0.191 1.258  -0.164 1.194  -0.131 1.147  -0.066 1.131  -0.033 1.064  0.024 1.007  0.081 0.950  0.138 0.893  0.179 0.829  0.179 0.749  0.179 0.668  0.179 0.587  0.179 0.507  0.194 0.430  0.230 0.358  0.266 0.286  0.277 0.208  0.277 0.127  0.277 0.046  0.277 -0.034  0.266 -0.113  0.240 -0.189  0.228 -0.268  0.228 -0.349  0.228 -0.429  0.228 -0.510  0.178 -0.570  0.126 -0.630  0.101 -0.706  0.081 -0.784  0.081 -0.864  0.081 -0.945  0.020 -0.981  -0.057 -1.007  -0.066 -1.081  -0.090 -1.156  -0.139 -1.206  -0.164 -1.262  -0.164 -1.342  -0.185 -1.402  -0.266 -1.402  -0.346 -1.402  -0.360 -1.469  -0.360 -1.549
2#tos#f1#f1042059/*  -0.766 0.868  -1.016 0.785  -1.013 0.615  -0.819 0.431  -0.671 0.208  -0.446 0.107  -0.253 -0.106  -0.018 -0.276  0.223 -0.433  0.452 -0.615  0.607 -0.804  0.794 -0.960  0.983 -1.117  1.021 -0.824  1.059 -0.531  1.097 -0.237  1.134 0.056  1.172 0.349  1.210 0.643  1.100 0.805  0.804 0.805  0.508 0.805  0.355 0.613  0.208 0.373  -0.016 0.183  -0.244 -0.004  -0.434 -0.226  -0.638 -0.439  -0.891 -0.579  -0.847 -0.643  -0.737 -0.369  -0.627 -0.094  -0.517 0.180  -0.407 0.455  -0.297 0.730  -0.187 1.004  -0.078 1.279  -0.151 1.430  -0.150 1.242  -0.142 0.954  -0.142 0.659  -0.142 0.363  -0.142 0.067  -0.142 -0.229  -0.142 -0.525  -0.142 -0.820  -0.142 -1.116  -0.142 -1.412  -0.142 -1.708  -0.080 -1.941
2#tos#f1#f1042059/+  -0.715 0.113  -0.771 -0.021  -0.949 -0.053  -1.126 -0.086  -1.304 -0.118  -1.458 -0.160  -1.314 -0.197  -1.133 -0.197  -0.952 -0.197  -0.771 -0.195  -0.600 -0.138  -0.420 -0.135  -0.239 -0.135  -0.062 -0.118  0.107 -0.057  0.284 -0.022  0.460 0.019  0.637 0.051  0.805 0.083  0.973 0.113  1.154 0.113  1.201 0.113  1.078 0.218  0.982 0.370  0.885 0.523  0.788 0.676  0.692 0.829  0.595 0.982  0.499 1.135  0.402 1.288  0.223 1.290  0.042 1.290  0.029 1.122  0.029 0.942  0.029 0.761  0.029 0.580  0.029 0.399  0.029 0.218  0.029 0.037  0.029 -0.143  0.029 -0.324  0.029 -0.505  0.029 -0.686  0.029 -0.867  0.029 -1.048  -0.023 -1.220  -0.061 -1.395  -0.095 -1.570  -0.095 -1.751  -0.095 -1.932
2#tos#f1#f1042059/  -0.760 0.429  -0.842 0.429  -0.925 0.429  -0.990 0.395  -1.036 0.326  -1.081 0.257  -1.127 0.189  -1.173 0.120  -1.175 0.038  -1.233 0.013  -1.279 -0.024  -1.263 -0.090  -1.180 -0.090  -1.097 -0.090  -1.015 -0.090  -0.932 -0.090  -0.849 -0.090  -0.767 -0.090  -0.684 -0.090  -0.601 -0.090  -0.519 -0.090  -0.436 -0.090  -0.353 -0.090  -0.271 -0.090  -0.188 -0.090  -0.105 -0.090  -0.023 -0.090  0.060 -0.090  0.142 -0.090  0.225 -0.090  0.308 -0.090  0.390 -0.090  0.473 -0.090  0.556 -0.090  0.638 -0.090  0.721 -0.090  0.804 -0.090  0.886 -0.090  0.969 -0.090  1.052 -0.090  1.127 -0.072  1.185 -0.014  1.257 0.013  1.339 0.013  1.422 0.013  1.505 0.013  1.587 0.013  1.670 0.013  1.753 0.013  1.835 0.013
2#tos#f1#f1042059/  0.734 1.457  0.709 1.409  0.687 1.359  0.659 1.314  0.639 1.261  0.626 1.192  0.593 1.127  0.573 1.067  0.508 1.034  0.485 0.970  0.471 0.899  0.457 0.828  0.420 0.771  0.359 0.731  0.304 0.687  0.287 0.617  0.269 0.546  0.237 0.484  0.186 0.433  0.141 0.376  0.101 0.316  0.065 0.253  0.048 0.183  0.030 0.113  -0.005 0.052  -0.056 0.001  -0.107 -0.051  -0.131 -0.116  -0.146 -0.188  -0.160 -0.259  -0.181 -0.327  -0.214 -0.392  -0.232 -0.462  -0.250 -0.533  -0.274 -0.600  -0.317 -0.658  -0.361 -0.716  -0.404 -0.774  -0.454 -0.826  -0.472 -0.897  -0.489 -0.967  -0.512 -1.036  -0.544 -1.101  -0.577 -1.166  -0.596 -1.233  -0.596 -1.306  -0.596 -1.379  -0.596 -1.451  -0.626 -1.505  -0.691 -1.538
2#tos#f1#f1042059/;  -0.142 1.996  -0.262 1.972  -0.304 1.846  -0.294 1.715  -0.198 1.619  -0.142 1.538  -0.090 1.455  0.021 1.430  0.082 1.349  0.101 1.214  0.119 1.080  0.138 0.946  0.156 0.811  0.175 0.677  0.193 0.543  0.212 0.408  0.230 0.274  0.249 0.140  0.267 0.005  0.286 -0.129  0.252 -0.224  0.238 -0.346  0.183 -0.427  0.061 -0.441  -0.033 -0.482  -0.033 -0.617  -0.063 -0.741  -0.112 -0.863  -0.142 -0.995  -0.142 -1.131  -0.098 -1.032  -0.048 -0.905  0.001 -0.779  0.050 -0.652  0.099 -0.526  0.148 -0.400  0.197 -0.273  0.238 -0.195  0.185 -0.278  0.129 -0.358  0.081 -0.482  0.021 -0.594  0.003 -0.712  -0.108 -0.752  -0.195 -0.847  -0.250 -0.948  -0.297 -1.037  -0.352 -1.156  -0.402 -1.282  -0.412 -1.416
2#tos#f1#f1042059/<  0.826 1.539  0.782 1.487  0.722 1.450  0.662 1.383  0.572 1.360  0.515 1.299  0.469 1.218  0.411 1.141  0.352 1.065  0.284 0.997  0.209 0.937  0.129 0.884  0.081 0.806  0.050 0.715  -0.016 0.645  -0.084 0.577  -0.142 0.501  -0.196 0.421  -0.279 0.398  -0.348 0.347  -0.402 0.267  -0.455 0.187  -0.509 0.107  -0.531 0.017  -0.574 -0.069  -0.617 -0.155  -0.677 -0.197  -0.677 -0.294  -0.615 -0.328  -0.571 -0.379  -0.475 -0.379  -0.418 -0.419  -0.418 -0.516  -0.393 -0.587  -0.335 -0.649  -0.265 -0.691  -0.169 -0.691  -0.159 -0.777  -0.088 -0.830  -0.013 -0.888  0.033 -0.972  0.105 -1.030  0.183 -1.084  0.251 -1.152  0.345 -1.157  0.411 -1.187  0.434 -1.261  0.515 -1.276  0.522 -1.365  0.567 -1.416
