1c#tos#t1#t1057066/b  -0.320 1.869  -0.260 1.824  -0.200 1.659  -0.193 1.435  -0.140 1.223  -0.140 0.998  -0.260 0.893  -0.260 0.668  -0.260 0.443  -0.308 0.226  -0.320 0.002  -0.320 -0.223  -0.320 -0.448  -0.380 -0.613  -0.380 -0.838  -0.380 -1.063  -0.380 -1.288  -0.440 -1.488  -0.500 -1.288  -0.486 -1.064  -0.470 -0.839  -0.453 -0.615  -0.436 -0.391  -0.420 -0.166  -0.403 0.058  -0.386 0.283  -0.517 0.370  -0.617 0.250  -0.406 0.284  -0.243 0.436  -0.026 0.490  0.177 0.525  0.349 0.610  0.574 0.610  0.725 0.730  0.950 0.730  1.059 0.613  1.119 0.413  1.119 0.188  1.119 -0.037  1.011 -0.217  0.858 -0.381  0.712 -0.529  0.579 -0.622  0.482 -0.806  0.386 -0.949  0.173 -1.002  -0.050 -1.009  -0.275 -1.009  -0.440 -0.949
1c#tos#t1#t1057066/c  0.564 0.362  0.674 0.362  0.784 0.362  0.788 0.468  0.836 0.530  0.844 0.632  0.844 0.742  0.844 0.852  0.788 0.939  0.773 1.034  0.663 1.034  0.553 1.034  0.452 1.024  0.389 0.978  0.279 0.978  0.170 0.975  0.092 0.897  -0.005 0.866  -0.104 0.830  -0.196 0.769  -0.276 0.695  -0.329 0.624  -0.433 0.589  -0.474 0.499  -0.552 0.421  -0.555 0.313  -0.589 0.216  -0.611 0.116  -0.611 0.006  -0.611 -0.104  -0.611 -0.214  -0.611 -0.324  -0.611 -0.434  -0.611 -0.544  -0.611 -0.654  -0.611 -0.764  -0.611 -0.874  -0.555 -0.928  -0.499 -0.981  -0.426 -1.034  -0.391 -1.138  -0.290 -1.149  -0.190 -1.192  -0.091 -1.241  0.014 -1.261  0.124 -1.261  0.234 -1.261  0.344 -1.261  0.454 -1.261  0.564 -1.261
1c#tos#t1#t1057066/e  -0.606 0.091  -0.767 0.037  -0.773 -0.071  -0.591 -0.071  -0.408 -0.071  -0.225 -0.071  -0.085 -0.003  0.073 0.037  0.256 0.037  0.438 0.037  0.621 0.037  0.804 0.037  0.986 0.037  1.115 0.091  1.235 0.185  1.229 0.362  1.073 0.420  1.049 0.578  0.895 0.648  0.786 0.764  0.608 0.795  0.531 0.900  0.407 0.965  0.236 1.012  0.066 1.043  -0.107 1.066  -0.263 0.982  -0.439 0.941  -0.552 0.840  -0.690 0.795  -0.715 0.637  -0.877 0.572  -0.877 0.389  -0.877 0.207  -0.877 0.024  -0.838 -0.149  -0.823 -0.329  -0.823 -0.511  -0.759 -0.677  -0.617 -0.776  -0.552 -0.938  -0.414 -1.046  -0.231 -1.046  -0.061 -1.062  -0.017 -1.239  0.148 -1.263  0.330 -1.263  0.502 -1.289  0.673 -1.317  0.802 -1.371
1c#tos#t1#t1057066/f  0.885 1.764  0.710 1.806  0.535 1.848  0.351 1.880  0.185 1.829  0.034 1.764  -0.061 1.634  -0.106 1.436  -0.106 1.219  -0.106 1.002  -0.060 0.831  -0.048 0.626  -0.048 0.410  -0.048 0.193  -0.048 -0.024  -0.048 -0.241  -0.048 -0.458  -0.048 -0.675  -0.048 -0.892  -0.106 -1.050  -0.081 -1.038  -0.034 -0.827  0.013 -0.615  0.060 -0.403  0.107 -0.191  0.004 -0.108  -0.164 -0.134  -0.290 -0.028  -0.505 -0.001  -0.721 0.015  -0.615 -0.044  -0.422 -0.102  -0.206 -0.099  0.007 -0.056  0.209 0.015  0.426 0.015  0.559 -0.020  0.405 -0.173  0.252 -0.327  0.099 -0.480  -0.055 -0.634  -0.208 -0.787  -0.361 -0.940  -0.555 -1.029  -0.491 -1.151  -0.274 -1.151  -0.057 -1.151  0.160 -1.151  0.377 -1.151  0.593 -1.151
1c#tos#t1#t1057066/j  0.129 1.700  0.078 1.648  0.026 1.597  -0.025 1.545  0.078 1.545  0.125 1.470  0.184 1.402  0.191 1.299  0.198 1.196  0.206 1.093  0.213 0.990  0.220 0.887  0.228 0.784  0.232 0.681  0.232 0.578  0.141 0.566  0.078 0.526  0.129 0.474  0.129 0.371  0.170 0.308  0.181 0.216  0.181 0.113  0.181 0.010  0.181 -0.093  0.181 -0.197  0.210 -0.295  0.256 -0.385  0.284 -0.477  0.284 -0.580  0.284 -0.683  0.284 -0.786  0.284 -0.889  0.284 -0.993  0.284 -1.096  0.219 -1.134  0.116 -1.134  0.013 -1.134  -0.084 -1.105  -0.181 -1.083  -0.285 -1.082  -0.377 -1.036  -0.427 -0.980  -0.531 -0.980  -0.592 -0.938  -0.592 -0.835  -0.644 -0.753  -0.665 -0.671  -0.747 -0.650  -0.747 -0.546  -0.798 -0.465
1c#tos#t1#t1057066/l  0.028 1.766  -0.067 1.765  -0.069 1.671  -0.160 1.671  -0.115 1.620  -0.115 1.525  -0.115 1.429  -0.115 1.333  -0.110 1.239  -0.067 1.161  -0.067 1.065  -0.067 0.970  -0.067 0.874  -0.029 0.817  -0.020 0.730  -0.020 0.634  -0.020 0.538  -0.020 0.443  0.002 0.350  0.025 0.257  0.028 0.161  0.028 0.065  0.028 -0.030  0.028 -0.126  0.028 -0.222  0.028 -0.318  0.028 -0.413  0.028 -0.509  0.028 -0.605  0.074 -0.654  0.075 -0.749  0.076 -0.844  0.122 -0.893  0.076 -0.921  -0.013 -0.885  -0.101 -0.850  -0.149 -0.892  -0.236 -0.928  -0.321 -0.971  -0.338 -1.034  -0.242 -1.034  -0.147 -1.034  -0.053 -1.027  0.034 -0.987  0.129 -0.987  0.225 -0.987  0.320 -0.990  0.406 -1.033  0.454 -1.081  0.550 -1.081
1c#tos#t1#t1057066/m  -0.841 0.760  -0.961 0.824  -0.968 0.774  -0.904 0.605  -0.904 0.422  -0.904 0.239  -0.911 0.059  -0.968 -0.100  -0.968 -0.283  -0.968 -0.466  -0.968 -0.649  -0.968 -0.832  -0.968 -1.001  -0.911 -0.832  -0.875 -0.663  -0.841 -0.494  -0.795 -0.330  -0.715 -0.180  -0.715 0.003  -0.652 0.171  -0.525 0.228  -0.525 0.411  -0.439 0.508  -0.320 0.571  -0.197 0.458  -0.055 0.381  0.050 0.255  0.135 0.135  0.169 -0.040  0.277 -0.149  0.306 -0.323  0.359 -0.484  0.460 -0.566  0.485 -0.408  0.485 -0.225  0.494 -0.044  0.549 0.126  0.675 0.256  0.768 0.412  0.897 0.510  1.043 0.571  1.180 0.525  1.307 0.432  1.307 0.249  1.307 0.066  1.423 -0.041  1.433 -0.222  1.496 -0.379  1.538 -0.545  1.623 -0.693
1c#tos#t1#t1057066/p  -0.214 1.224  -0.276 1.065  -0.276 0.843  -0.276 0.622  -0.276 0.400  -0.276 0.179  -0.276 -0.043  -0.278 -0.264  -0.348 -0.474  -0.400 -0.687  -0.400 -0.909  -0.400 -1.130  -0.400 -1.352  -0.400 -1.573  -0.338 -1.780  -0.338 -1.727  -0.333 -1.506  -0.328 -1.284  -0.323 -1.063  -0.318 -0.842  -0.313 -0.620  -0.308 -0.399  -0.303 -0.177  -0.298 0.044  -0.293 0.266  -0.288 0.487  -0.284 0.709  -0.279 0.930  -0.389 1.039  -0.462 1.100  -0.241 1.101  -0.019 1.101  0.202 1.101  0.422 1.092  0.631 1.039  0.791 0.977  1.012 0.977  1.083 0.827  1.083 0.605  1.083 0.384  0.956 0.286  0.898 0.074  0.831 -0.106  0.648 -0.229  0.465 -0.329  0.302 -0.402  0.116 -0.505  -0.091 -0.490  -0.204 -0.382  -0.276 -0.197
1c#tos#t1#t1057066/q  0.464 0.524  0.257 0.524  0.172 0.685  0.014 0.793  -0.158 0.862  -0.312 0.948  -0.505 1.008  -0.685 0.981  -0.799 0.887  -0.867 0.747  -0.891 0.548  -0.988 0.369  -0.988 0.162  -0.988 -0.045  -0.988 -0.253  -0.867 -0.375  -0.675 -0.427  -0.516 -0.553  -0.313 -0.565  -0.114 -0.614  0.092 -0.625  0.162 -0.452  0.200 -0.250  0.257 -0.051  0.314 0.148  0.371 0.348  0.428 0.547  0.485 0.747  0.542 0.946  0.599 1.145  0.611 1.311  0.525 1.189  0.525 0.982  0.525 0.774  0.506 0.569  0.448 0.371  0.378 0.177  0.343 -0.026  0.343 -0.233  0.343 -0.441  0.343 -0.648  0.343 -0.855  0.223 -0.988  0.222 -1.195  0.222 -1.403  0.210 -1.581  0.101 -1.525  -0.031 -1.637  -0.046 -1.775  0.162 -1.775
1c#tos#t1#t1057066/r  -0.149 1.461  -0.176 1.319  -0.265 1.237  -0.265 1.084  -0.265 0.931  -0.265 0.779  -0.207 0.650  -0.207 0.497  -0.264 0.368  -0.265 0.215  -0.265 0.062  -0.265 -0.090  -0.265 -0.243  -0.265 -0.396  -0.265 -0.549  -0.265 -0.702  -0.335 -0.833  -0.380 -0.972  -0.380 -1.125  -0.380 -1.278  -0.380 -1.431  -0.380 -1.583  -0.400 -1.571  -0.437 -1.434  -0.437 -1.281  -0.437 -1.128  -0.406 -0.981  -0.380 -0.832  -0.380 -0.679  -0.380 -0.527  -0.293 -0.438  -0.207 -0.316  -0.207 -0.163  -0.149 -0.024  -0.101 0.117  -0.031 0.251  0.078 0.333  0.139 0.467  0.277 0.482  0.312 0.600  0.405 0.686  0.553 0.712  0.706 0.712  0.830 0.741  0.896 0.828  1.003 0.874  1.144 0.885  1.295 0.881  1.348 0.750  1.406 0.655
1c#tos#t1#t1057066/t  -0.768 0.680  -0.877 0.617  -1.005 0.506  -1.139 0.399  -1.294 0.321  -1.220 0.298  -1.046 0.298  -0.873 0.298  -0.713 0.357  -0.567 0.425  -0.393 0.425  -0.220 0.425  -0.051 0.452  0.117 0.489  0.291 0.489  0.464 0.489  0.638 0.490  0.806 0.532  0.810 0.592  0.655 0.670  0.500 0.747  0.345 0.825  0.189 0.903  0.034 0.980  -0.135 0.999  -0.207 0.999  -0.194 0.838  -0.194 0.665  -0.194 0.491  -0.194 0.318  -0.194 0.144  -0.194 -0.029  -0.194 -0.203  -0.194 -0.377  -0.194 -0.550  -0.194 -0.724  -0.194 -0.897  -0.152 -1.061  -0.018 -1.160  0.075 -1.295  0.185 -1.358  0.358 -1.358  0.532 -1.358  0.679 -1.295  0.834 -1.269  0.889 -1.104  1.025 -1.023  1.102 -0.868  1.144 -0.704  1.144 -0.530
