1c#apb#apb40#app4070/g  0.509 0.622  0.523 0.795  0.595 0.956  0.645 1.131  0.647 1.313  0.555 1.460  0.373 1.460  0.204 1.390  0.042 1.309  -0.089 1.182  -0.221 1.055  -0.350 0.927  -0.476 0.795  -0.597 0.659  -0.658 0.487  -0.628 0.313  -0.472 0.249  -0.293 0.249  -0.115 0.290  0.056 0.351  0.224 0.424  0.387 0.505  0.554 0.576  0.580 0.455  0.516 0.284  0.435 0.121  0.346 -0.039  0.257 -0.198  0.169 -0.359  0.082 -0.519  -0.006 -0.679  -0.094 -0.839  -0.183 -0.999  -0.272 -1.158  -0.364 -1.316  -0.459 -1.472  -0.547 -1.633  -0.629 -1.729  -0.605 -1.554  -0.547 -1.382  -0.469 -1.216  -0.392 -1.051  -0.302 -0.892  -0.206 -0.736  -0.111 -0.580  0.006 -0.441  0.132 -0.310  0.259 -0.178  0.415 -0.084  0.574 0.006
1c#apb#apb40#app4070/u  0.107 1.215  0.032 1.358  -0.107 1.298  -0.211 1.168  -0.315 1.038  -0.417 0.906  -0.515 0.771  -0.613 0.636  -0.712 0.501  -0.810 0.366  -0.905 0.230  -1.000 0.092  -1.094 -0.045  -1.189 -0.183  -1.269 -0.326  -1.310 -0.488  -1.298 -0.640  -1.202 -0.777  -1.036 -0.778  -0.870 -0.774  -0.714 -0.714  -0.558 -0.654  -0.403 -0.594  -0.268 -0.497  -0.136 -0.396  -0.004 -0.294  0.126 -0.190  0.244 -0.072  0.362 0.046  0.480 0.164  0.588 0.292  0.694 0.420  0.800 0.549  0.902 0.681  0.818 0.587  0.724 0.449  0.633 0.309  0.542 0.169  0.477 0.018  0.428 -0.142  0.379 -0.302  0.413 -0.462  0.480 -0.605  0.627 -0.685  0.789 -0.711  0.954 -0.716  1.109 -0.652  1.263 -0.589  1.416 -0.522  1.568 -0.455
1c#apb#apb40#app4070/i  -1.290 -1.078  -1.171 -1.067  -1.048 -0.995  -0.929 -0.916  -0.810 -0.837  -0.697 -0.751  -0.586 -0.661  -0.475 -0.571  -0.367 -0.478  -0.263 -0.380  -0.159 -0.283  -0.087 -0.160  -0.020 -0.034  0.025 0.101  0.026 0.241  -0.076 0.231  -0.168 0.122  -0.254 0.009  -0.329 -0.113  -0.403 -0.234  -0.436 -0.372  -0.461 -0.512  -0.421 -0.646  -0.349 -0.764  -0.232 -0.846  -0.094 -0.859  0.045 -0.838  0.179 -0.788  0.311 -0.737  0.443 -0.682  0.543 -0.607  0.540 -0.464  0.536 -0.322  0.532 -0.179  0.529 -0.036  0.525 0.106  0.521 0.249  0.518 0.392  0.514 0.534  0.511 0.677  0.507 0.820  0.503 0.962  0.500 1.105  0.496 1.248  0.492 1.390  0.489 1.533  0.485 1.676  0.481 1.818  0.478 1.961  0.393 2.034
1c#apb#apb40#app4070/l  -1.297 -1.077  -1.253 -0.953  -1.127 -0.839  -0.997 -0.729  -0.859 -0.627  -0.721 -0.526  -0.585 -0.424  -0.450 -0.319  -0.315 -0.214  -0.183 -0.107  -0.058 0.010  0.066 0.127  0.189 0.245  0.299 0.376  0.409 0.507  0.507 0.645  0.579 0.800  0.650 0.955  0.714 1.112  0.762 1.276  0.804 1.441  0.741 1.545  0.593 1.474  0.472 1.353  0.351 1.232  0.248 1.098  0.153 0.956  0.058 0.814  -0.036 0.672  -0.115 0.520  -0.184 0.364  -0.254 0.209  -0.323 0.053  -0.381 -0.107  -0.422 -0.273  -0.464 -0.439  -0.490 -0.606  -0.478 -0.776  -0.443 -0.940  -0.362 -1.090  -0.208 -1.158  -0.039 -1.134  0.112 -1.064  0.251 -0.965  0.389 -0.865  0.526 -0.763  0.640 -0.639  0.737 -0.498  0.857 -0.379  0.936 -0.274
1c#apb#apb40#app4070/a  0.275 0.546  0.377 0.692  0.487 0.832  0.598 0.970  0.689 1.124  0.612 1.218  0.447 1.159  0.286 1.083  0.125 1.006  -0.018 0.902  -0.156 0.788  -0.293 0.675  -0.431 0.562  -0.568 0.448  -0.703 0.332  -0.838 0.216  -0.973 0.100  -1.104 -0.020  -1.206 -0.166  -1.308 -0.312  -1.387 -0.466  -1.400 -0.644  -1.329 -0.790  -1.182 -0.875  -1.006 -0.908  -0.833 -0.898  -0.662 -0.848  -0.491 -0.798  -0.331 -0.724  -0.179 -0.631  -0.027 -0.539  0.121 -0.440  0.263 -0.332  0.404 -0.223  0.510 -0.081  0.611 0.066  0.694 0.222  0.764 0.386  0.690 0.436  0.592 0.288  0.503 0.135  0.462 -0.039  0.422 -0.212  0.497 -0.374  0.594 -0.517  0.738 -0.622  0.904 -0.678  1.078 -0.713  1.254 -0.682  1.429 -0.651
1c#apb#apb40#app4070/r  -1.442 -0.977  -1.524 -0.970  -1.424 -0.893  -1.351 -0.780  -1.278 -0.666  -1.167 -0.593  -1.051 -0.524  -0.935 -0.455  -0.818 -0.387  -0.715 -0.301  -0.614 -0.211  -0.514 -0.121  -0.413 -0.031  -0.324 0.070  -0.239 0.175  -0.155 0.280  -0.070 0.385  0.014 0.491  0.095 0.598  0.177 0.705  0.259 0.813  0.340 0.920  0.420 1.029  0.496 1.141  0.573 1.252  0.655 1.358  0.700 1.258  0.685 1.128  0.648 0.998  0.611 0.869  0.571 0.740  0.520 0.615  0.469 0.490  0.418 0.365  0.367 0.240  0.325 0.112  0.290 -0.018  0.255 -0.148  0.220 -0.279  0.183 -0.409  0.144 -0.538  0.113 -0.666  0.159 -0.793  0.225 -0.898  0.356 -0.928  0.488 -0.952  0.619 -0.920  0.750 -0.889  0.881 -0.857  1.012 -0.826
1c#apb#apb40#app4070/t  -1.420 -0.988  -1.420 -1.174  -1.207 -1.134  -1.013 -1.024  -0.833 -0.894  -0.660 -0.754  -0.485 -0.615  -0.305 -0.484  -0.125 -0.353  0.050 -0.216  0.208 -0.058  0.366 0.099  0.509 0.269  0.643 0.447  0.760 0.635  0.845 0.841  0.930 1.047  1.000 1.259  1.071 1.470  0.940 1.428  0.791 1.263  0.642 1.097  0.500 0.926  0.366 0.747  0.232 0.569  0.098 0.391  -0.018 0.201  -0.133 0.010  -0.249 -0.181  -0.354 -0.377  -0.441 -0.582  -0.520 -0.788  -0.479 -1.007  -0.352 -1.178  -0.149 -1.259  -0.146 -1.114  -0.213 -0.901  -0.279 -0.688  -0.346 -0.476  -0.413 -0.263  -0.480 -0.050  -0.547 0.162  -0.431 0.290  -0.213 0.336  0.005 0.383  0.222 0.431  0.440 0.481  0.657 0.532  0.872 0.591  1.087 0.649
1c#apb#apb40#app4070/k  -1.639 -0.889  -1.722 -1.008  -1.524 -0.947  -1.353 -0.824  -1.181 -0.701  -1.015 -0.570  -0.850 -0.439  -0.685 -0.307  -0.519 -0.176  -0.354 -0.045  -0.188 0.086  -0.026 0.222  0.125 0.369  0.277 0.516  0.411 0.678  0.537 0.848  0.659 1.020  0.749 1.211  0.839 1.402  0.889 1.606  0.725 1.544  0.582 1.389  0.462 1.215  0.343 1.041  0.234 0.860  0.129 0.677  0.023 0.494  -0.067 0.303  -0.153 0.110  -0.220 -0.089  -0.272 -0.294  -0.272 -0.505  -0.154 -0.455  -0.004 -0.307  0.135 -0.148  0.285 0.000  0.456 0.117  0.605 0.047  0.584 -0.160  0.462 -0.331  0.316 -0.483  0.134 -0.587  -0.061 -0.669  -0.250 -0.694  -0.094 -0.831  0.108 -0.889  0.319 -0.889  0.529 -0.870  0.737 -0.837  0.946 -0.809
1c#apb#apb40#app4070/i  -0.563 0.280  -0.444 0.422  -0.544 0.450  -0.696 0.336  -0.840 0.211  -0.976 0.076  -1.099 -0.068  -1.199 -0.231  -1.288 -0.399  -1.342 -0.582  -1.317 -0.769  -1.188 -0.894  -1.005 -0.916  -0.817 -0.895  -0.642 -0.818  -0.468 -0.740  -0.308 -0.636  -0.147 -0.531  -0.003 -0.406  0.139 -0.279  0.286 -0.156  0.431 -0.032  0.561 0.108  0.679 0.257  0.795 0.312  0.774 0.126  0.774 -0.065  0.761 -0.255  0.703 -0.437  0.580 -0.582  0.449 -0.721  0.347 -0.876  0.463 -0.798  0.597 -0.664  0.721 -0.522  0.665 -0.589  0.627 -0.402  0.588 -0.215  0.550 -0.027  0.511 0.160  0.473 0.347  0.435 0.534  0.396 0.722  0.358 0.909  0.319 1.096  0.281 1.283  0.243 1.471  0.204 1.658  0.088 1.799  0.090 1.944
1c#apb#apb40#app4070/n  -0.664 0.585  -0.606 0.776  -0.446 0.905  -0.254 0.980  -0.072 0.950  -0.047 0.748  -0.049 0.541  -0.134 0.350  -0.219 0.159  -0.331 -0.016  -0.466 -0.175  -0.601 -0.335  -0.745 -0.486  -0.897 -0.631  -1.048 -0.775  -1.203 -0.916  -1.375 -1.031  -1.395 -0.930  -1.268 -0.764  -1.134 -0.603  -0.986 -0.455  -0.838 -0.307  -0.690 -0.159  -0.536 -0.018  -0.381 0.122  -0.226 0.263  -0.071 0.403  0.083 0.545  0.237 0.687  0.391 0.827  0.583 0.911  0.773 0.907  0.749 0.714  0.694 0.513  0.612 0.320  0.531 0.127  0.417 -0.048  0.296 -0.218  0.186 -0.395  0.122 -0.584  0.258 -0.716  0.454 -0.690  0.652 -0.621  0.838 -0.526  1.022 -0.427  1.205 -0.326  1.386 -0.221  1.567 -0.115  1.732 0.012  1.895 0.144
1c#apb#apb40#app4070/s  -1.290 -1.032  -1.384 -0.996  -1.384 -0.861  -1.322 -0.743  -1.250 -0.629  -1.179 -0.514  -1.092 -0.413  -0.993 -0.320  -0.894 -0.228  -0.795 -0.136  -0.697 -0.044  -0.595 0.045  -0.493 0.133  -0.390 0.221  -0.288 0.310  -0.186 0.398  -0.081 0.483  0.030 0.560  0.141 0.637  0.252 0.714  0.363 0.791  0.475 0.866  0.597 0.925  0.718 0.983  0.840 1.042  0.967 1.074  1.090 1.050  1.109 0.916  1.105 0.784  1.070 0.654  1.035 0.523  1.000 0.393  0.934 0.276  0.862 0.162  0.789 0.048  0.717 -0.066  0.639 -0.176  0.545 -0.273  0.452 -0.371  0.358 -0.468  0.260 -0.561  0.155 -0.645  0.049 -0.730  -0.063 -0.803  -0.186 -0.858  -0.321 -0.859  -0.403 -0.759  -0.443 -0.630  -0.429 -0.501  -0.392 -0.371
