1b#tos#f1#f1051061/A  0.433 1.514  0.212 1.535  0.085 1.295  -0.030 1.050  -0.130 0.788  -0.237 0.528  -0.384 0.288  -0.503 0.034  -0.614 -0.225  -0.677 -0.498  -0.812 -0.741  -0.921 -0.998  -0.988 -1.271  -0.988 -1.553  -0.860 -1.516  -0.764 -1.252  -0.667 -0.987  -0.570 -0.723  -0.473 -0.458  -0.376 -0.194  -0.279 0.071  -0.182 0.335  -0.085 0.600  0.011 0.865  0.108 1.129  0.205 1.394  0.282 1.407  0.420 1.166  0.433 0.886  0.605 0.668  0.692 0.418  0.779 0.157  0.844 -0.102  0.907 -0.371  1.036 -0.609  1.093 -0.868  1.032 -0.961  0.803 -0.796  0.575 -0.631  0.347 -0.466  0.118 -0.301  -0.110 -0.136  -0.339 0.029  -0.514 -0.017  -0.616 -0.122  -0.335 -0.118  -0.062 -0.079  0.219 -0.079  0.498 -0.052  0.778 -0.036
1b#tos#f1#f1051061/B  -0.022 1.273  -0.159 1.433  -0.205 1.265  -0.236 1.010  -0.250 0.752  -0.250 0.493  -0.250 0.234  -0.250 -0.025  -0.252 -0.283  -0.368 -0.515  -0.403 -0.768  -0.433 -1.024  -0.433 -1.283  -0.433 -1.542  -0.427 -1.406  -0.418 -1.147  -0.410 -0.889  -0.402 -0.630  -0.393 -0.371  -0.385 -0.112  -0.377 0.147  -0.368 0.406  -0.360 0.665  -0.352 0.924  -0.343 1.183  -0.310 1.410  -0.069 1.350  0.179 1.313  0.368 1.162  0.571 1.000  0.617 0.787  0.605 0.534  0.392 0.391  0.146 0.330  -0.110 0.314  -0.132 0.314  0.127 0.314  0.386 0.314  0.627 0.254  0.784 0.073  0.845 -0.172  0.845 -0.431  0.829 -0.687  0.736 -0.928  0.593 -1.115  0.391 -1.234  0.226 -1.330  0.013 -1.375  -0.180 -1.277  -0.296 -1.101
1b#tos#f1#f1051061/C  0.597 0.274  0.597 0.378  0.597 0.483  0.597 0.587  0.597 0.691  0.597 0.796  0.597 0.900  0.597 1.004  0.549 1.061  0.465 1.082  0.428 1.148  0.323 1.148  0.219 1.148  0.158 1.105  0.054 1.105  -0.035 1.076  -0.093 0.989  -0.151 0.902  -0.208 0.815  -0.266 0.728  -0.337 0.652  -0.401 0.570  -0.455 0.482  -0.475 0.379  -0.496 0.277  -0.552 0.190  -0.584 0.095  -0.584 -0.009  -0.584 -0.114  -0.584 -0.218  -0.584 -0.322  -0.584 -0.427  -0.584 -0.531  -0.568 -0.632  -0.521 -0.725  -0.475 -0.818  -0.435 -0.914  -0.391 -1.004  -0.301 -1.058  -0.212 -1.112  -0.114 -1.144  -0.012 -1.169  0.091 -1.186  0.194 -1.203  0.296 -1.220  0.399 -1.238  0.502 -1.255  0.606 -1.256  0.711 -1.256  0.815 -1.256
1b#tos#f1#f1051061/D  -0.373 0.817  -0.495 0.896  -0.536 1.080  -0.536 0.920  -0.536 0.719  -0.536 0.519  -0.536 0.318  -0.536 0.117  -0.536 -0.083  -0.551 -0.282  -0.614 -0.472  -0.617 -0.673  -0.617 -0.873  -0.617 -1.074  -0.617 -1.275  -0.560 -1.229  -0.529 -1.031  -0.498 -0.832  -0.467 -0.634  -0.436 -0.436  -0.405 -0.237  -0.373 -0.039  -0.342 0.159  -0.311 0.358  -0.280 0.556  -0.252 0.754  -0.237 0.946  -0.077 1.060  0.123 1.060  0.324 1.060  0.525 1.060  0.726 1.060  0.909 0.986  1.055 0.850  1.166 0.709  1.184 0.515  1.248 0.341  1.248 0.140  1.193 -0.044  1.019 -0.142  0.883 -0.250  0.835 -0.418  0.656 -0.504  0.513 -0.644  0.322 -0.708  0.149 -0.807  -0.019 -0.916  -0.188 -1.024  -0.361 -1.122  -0.495 -1.250
1b#tos#f1#f1051061/F  -0.587 1.023  -0.771 1.007  -0.799 0.986  -0.614 0.986  -0.430 0.999  -0.248 1.037  -0.064 1.059  0.113 1.095  0.298 1.095  0.480 1.126  0.665 1.131  0.657 1.116  0.474 1.087  0.291 1.058  0.108 1.029  -0.072 1.004  -0.152 0.862  -0.225 0.698  -0.225 0.512  -0.225 0.327  -0.225 0.141  -0.225 -0.044  -0.198 -0.227  -0.189 -0.412  -0.189 -0.598  -0.189 -0.783  -0.189 -0.969  -0.153 -1.150  -0.116 -1.331  -0.116 -1.516  -0.116 -1.702  -0.113 -1.791  -0.100 -1.606  -0.087 -1.420  -0.074 -1.235  -0.061 -1.050  -0.048 -0.865  -0.035 -0.680  -0.022 -0.495  -0.009 -0.310  -0.163 -0.295  -0.248 -0.318  -0.088 -0.254  0.075 -0.168  0.247 -0.100  0.427 -0.064  0.610 -0.042  0.795 -0.028  0.969 0.029  1.152 0.045
1b#tos#f1#f1051061/I  0.174 1.541  0.104 1.541  0.034 1.541  -0.007 1.512  -0.007 1.442  -0.007 1.372  -0.007 1.302  -0.007 1.232  -0.007 1.162  -0.007 1.092  -0.007 1.022  -0.007 0.952  -0.007 0.882  -0.007 0.812  -0.007 0.742  -0.007 0.672  -0.007 0.602  -0.007 0.532  -0.007 0.462  -0.007 0.392  -0.007 0.322  -0.007 0.252  -0.007 0.182  -0.007 0.112  -0.007 0.042  -0.007 -0.028  -0.007 -0.098  -0.007 -0.168  -0.007 -0.238  -0.007 -0.308  -0.007 -0.378  -0.007 -0.448  -0.007 -0.518  -0.007 -0.588  -0.007 -0.658  -0.007 -0.728  -0.007 -0.798  -0.007 -0.868  -0.007 -0.938  -0.007 -1.008  -0.007 -1.078  -0.007 -1.148  -0.007 -1.218  -0.007 -1.288  -0.007 -1.358  -0.007 -1.428  -0.007 -1.498  -0.007 -1.568  -0.007 -1.638  -0.007 -1.708
1b#tos#f1#f1051061/L  -0.236 1.442  -0.240 1.531  -0.332 1.531  -0.369 1.475  -0.369 1.382  -0.369 1.289  -0.369 1.196  -0.383 1.107  -0.431 1.027  -0.479 0.947  -0.503 0.861  -0.503 0.768  -0.503 0.675  -0.503 0.582  -0.503 0.489  -0.503 0.396  -0.503 0.303  -0.503 0.210  -0.503 0.117  -0.503 0.024  -0.492 -0.067  -0.470 -0.157  -0.458 -0.249  -0.458 -0.342  -0.458 -0.435  -0.418 -0.511  -0.414 -0.602  -0.414 -0.695  -0.378 -0.774  -0.289 -0.783  -0.196 -0.783  -0.103 -0.783  -0.029 -0.738  0.064 -0.738  0.157 -0.738  0.250 -0.738  0.328 -0.689  0.409 -0.649  0.502 -0.649  0.595 -0.649  0.688 -0.649  0.772 -0.613  0.855 -0.571  0.946 -0.560  1.039 -0.560  1.131 -0.548  1.222 -0.532  1.314 -0.517  1.407 -0.516  1.500 -0.516
1b#tos#f1#f1051061/M  -0.313 0.783  -0.450 0.956  -0.629 1.070  -0.672 1.006  -0.734 0.787  -0.734 0.558  -0.734 0.329  -0.734 0.099  -0.734 -0.130  -0.734 -0.359  -0.734 -0.589  -0.734 -0.818  -0.734 -1.047  -0.664 -1.248  -0.588 -1.284  -0.571 -1.056  -0.553 -0.827  -0.535 -0.599  -0.518 -0.370  -0.500 -0.141  -0.483 0.087  -0.465 0.316  -0.448 0.545  -0.430 0.773  -0.497 0.924  -0.474 0.829  -0.418 0.617  -0.382 0.392  -0.348 0.167  -0.239 -0.032  -0.158 -0.239  -0.012 -0.381  0.200 -0.411  0.394 -0.298  0.494 -0.107  0.635 0.055  0.742 0.231  0.829 0.435  0.926 0.641  1.021 0.819  1.057 0.764  1.069 0.537  1.092 0.311  1.092 0.082  1.127 -0.143  1.167 -0.366  1.199 -0.592  1.239 -0.816  1.267 -1.041  1.408 -1.218
1b#tos#f1#f1051061/N  -0.541 0.705  -0.649 0.876  -0.741 0.779  -0.808 0.570  -0.808 0.344  -0.808 0.119  -0.808 -0.106  -0.808 -0.332  -0.808 -0.557  -0.808 -0.782  -0.782 -1.004  -0.775 -1.229  -0.727 -1.435  -0.565 -1.386  -0.462 -1.186  -0.358 -0.986  -0.255 -0.786  -0.151 -0.586  -0.048 -0.386  0.056 -0.185  0.159 0.015  0.262 0.215  0.366 0.415  0.469 0.615  0.573 0.815  0.676 1.016  0.780 1.216  0.883 1.416  0.863 1.451  0.863 1.226  0.863 1.000  0.863 0.775  0.863 0.550  0.863 0.324  0.830 0.102  0.808 -0.120  0.763 -0.341  0.763 -0.566  0.763 -0.792  0.694 -0.831  0.500 -0.737  0.341 -0.588  0.146 -0.479  -0.005 -0.315  -0.206 -0.215  -0.313 -0.027  -0.497 0.100  -0.617 0.289  -0.790 0.420  -0.875 0.604
1b#tos#f1#f1051061/P  -0.385 0.929  -0.550 0.929  -0.715 0.929  -0.861 0.929  -0.698 0.949  -0.543 0.999  -0.388 1.041  -0.223 1.041  -0.059 1.041  0.106 1.041  0.271 1.041  0.426 0.990  0.574 0.916  0.673 0.798  0.754 0.667  0.840 0.537  0.846 0.373  0.846 0.208  0.784 0.088  0.734 -0.041  0.602 -0.130  0.447 -0.184  0.307 -0.269  0.147 -0.302  -0.018 -0.302  -0.183 -0.302  -0.236 -0.190  -0.236 -0.026  -0.215 0.136  -0.199 0.298  -0.199 0.462  -0.199 0.627  -0.199 0.544  -0.199 0.379  -0.199 0.215  -0.199 0.050  -0.199 -0.115  -0.182 -0.277  -0.161 -0.438  -0.161 -0.603  -0.161 -0.768  -0.161 -0.932  -0.161 -1.097  -0.161 -1.262  -0.131 -1.424  -0.124 -1.588  -0.075 -1.742  -0.050 -1.905  0.011 -2.058  0.062 -2.204
1b#tos#f1#f1051061/S  0.880 0.832  0.880 0.949  0.769 0.955  0.652 0.955  0.563 1.024  0.469 1.079  0.360 1.112  0.286 1.161  0.168 1.161  0.051 1.161  -0.066 1.161  -0.178 1.143  -0.275 1.078  -0.358 0.996  -0.441 0.914  -0.536 0.859  -0.618 0.776  -0.681 0.679  -0.687 0.563  -0.687 0.446  -0.652 0.343  -0.569 0.260  -0.563 0.146  -0.472 0.085  -0.398 0.013  -0.349 -0.084  -0.262 -0.158  -0.145 -0.158  -0.073 -0.231  0.028 -0.284  0.143 -0.307  0.251 -0.346  0.345 -0.416  0.393 -0.512  0.438 -0.611  0.509 -0.658  0.509 -0.775  0.509 -0.892  0.509 -1.010  0.481 -1.120  0.385 -1.175  0.274 -1.212  0.160 -1.230  0.048 -1.254  -0.065 -1.271  -0.182 -1.271  -0.298 -1.265  -0.412 -1.236  -0.528 -1.230  -0.563 -1.147
