3#apb#apb04#app0418/A  -0.081 0.616  -0.032 0.885  -0.030 0.935  -0.129 0.679  -0.214 0.417  -0.317 0.160  -0.417 -0.098  -0.504 -0.361  -0.597 -0.620  -0.711 -0.872  -0.819 -1.127  -0.952 -1.369  -0.890 -1.141  -0.848 -0.870  -0.798 -0.598  -0.758 -0.325  -0.707 -0.053  -0.623 0.209  -0.516 0.464  -0.383 0.706  -0.242 0.945  -0.098 1.181  0.052 1.413  0.220 1.632  0.436 1.766  0.538 1.517  0.583 1.244  0.627 0.971  0.645 0.695  0.646 0.419  0.659 0.142  0.677 -0.134  0.693 -0.410  0.753 -0.680  0.767 -0.955  0.815 -1.225  0.774 -1.401  0.581 -1.224  0.411 -1.006  0.241 -0.788  0.070 -0.570  -0.100 -0.352  -0.270 -0.133  -0.438 0.086  -0.408 -0.002  -0.187 -0.164  0.079 -0.235  0.352 -0.237  0.609 -0.143  0.839 0.011
3#apb#apb04#app0418/B  -0.317 0.864  -0.425 0.717  -0.408 0.481  -0.425 0.245  -0.438 0.009  -0.463 -0.225  -0.449 -0.462  -0.469 -0.699  -0.469 -0.936  -0.457 -1.168  -0.363 -1.055  -0.433 -0.828  -0.504 -0.602  -0.574 -0.375  -0.644 -0.148  -0.714 0.078  -0.785 0.305  -0.855 0.532  -0.925 0.758  -0.996 0.985  -0.955 1.029  -0.746 0.930  -0.514 0.961  -0.290 1.040  -0.063 1.108  0.163 1.179  0.391 1.234  0.610 1.164  0.701 0.958  0.672 0.722  0.598 0.501  0.458 0.310  0.299 0.134  0.114 -0.015  -0.074 -0.155  0.092 -0.016  0.316 0.061  0.549 0.070  0.774 0.011  0.979 -0.108  1.136 -0.269  1.166 -0.497  1.095 -0.724  1.016 -0.947  0.906 -1.157  0.748 -1.327  0.522 -1.354  0.304 -1.285  0.136 -1.118  0.009 -0.918
3#apb#apb04#app0418/C  0.772 0.502  0.744 0.575  0.733 0.674  0.701 0.770  0.660 0.862  0.603 0.945  0.532 1.016  0.446 1.051  0.376 1.109  0.303 1.146  0.206 1.139  0.110 1.153  0.020 1.117  -0.039 1.036  -0.110 0.965  -0.183 0.896  -0.262 0.833  -0.337 0.765  -0.408 0.694  -0.466 0.613  -0.515 0.525  -0.563 0.436  -0.589 0.340  -0.609 0.241  -0.629 0.142  -0.661 0.047  -0.692 -0.049  -0.697 -0.145  -0.668 -0.242  -0.639 -0.338  -0.615 -0.436  -0.593 -0.534  -0.566 -0.630  -0.495 -0.701  -0.424 -0.772  -0.352 -0.844  -0.268 -0.896  -0.177 -0.938  -0.085 -0.980  0.008 -1.019  0.103 -1.053  0.198 -1.087  0.293 -1.120  0.389 -1.142  0.489 -1.133  0.590 -1.124  0.690 -1.115  0.791 -1.106  0.891 -1.098  0.991 -1.090
3#apb#apb04#app0418/D  -0.391 0.710  -0.297 0.596  -0.258 0.428  -0.245 0.257  -0.245 0.085  -0.245 -0.087  -0.213 -0.255  -0.174 -0.423  -0.173 -0.595  -0.245 -0.750  -0.284 -0.772  -0.369 -0.622  -0.453 -0.472  -0.537 -0.322  -0.621 -0.172  -0.705 -0.022  -0.789 0.128  -0.873 0.278  -0.958 0.428  -1.042 0.578  -1.126 0.729  -1.147 0.854  -1.014 0.929  -0.842 0.929  -0.670 0.929  -0.498 0.929  -0.326 0.929  -0.165 0.872  -0.008 0.803  0.154 0.751  0.325 0.728  0.491 0.691  0.639 0.604  0.783 0.511  0.912 0.397  1.018 0.263  1.116 0.122  1.200 -0.029  1.224 -0.192  1.196 -0.360  1.119 -0.514  1.025 -0.658  0.929 -0.800  0.830 -0.941  0.697 -1.045  0.555 -1.141  0.419 -1.246  0.260 -1.309  0.095 -1.357  -0.076 -1.376
3#apb#apb04#app0418/E  -0.657 0.604  -0.703 0.735  -0.715 0.538  -0.679 0.325  -0.653 0.110  -0.640 -0.109  -0.657 -0.328  -0.657 -0.548  -0.702 -0.762  -0.703 -0.982  -0.568 -1.142  -0.356 -1.193  -0.137 -1.192  0.083 -1.181  0.301 -1.201  0.518 -1.238  0.729 -1.295  0.931 -1.271  0.996 -1.078  0.809 -0.961  0.622 -0.844  0.435 -0.727  0.249 -0.611  0.062 -0.494  -0.125 -0.377  -0.312 -0.260  -0.451 -0.135  -0.355 0.022  -0.187 0.058  0.032 0.056  0.251 0.048  0.470 0.070  0.667 0.140  0.712 0.245  0.515 0.343  0.318 0.442  0.121 0.540  -0.076 0.639  -0.274 0.737  -0.471 0.836  -0.668 0.934  -0.655 1.046  -0.441 1.087  -0.222 1.111  -0.002 1.126  0.217 1.147  0.430 1.201  0.649 1.225  0.865 1.264  1.083 1.300
3#apb#apb04#app0418/F  -0.573 0.452  -0.465 0.389  -0.437 0.161  -0.409 -0.071  -0.381 -0.302  -0.352 -0.534  -0.352 -0.767  -0.352 -1.000  -0.352 -1.234  -0.352 -1.467  -0.313 -1.691  -0.108 -1.706  -0.178 -1.484  -0.248 -1.261  -0.318 -1.039  -0.389 -0.816  -0.459 -0.593  -0.529 -0.371  -0.600 -0.148  -0.670 0.074  -0.740 0.297  -0.810 0.519  -0.820 0.732  -0.600 0.796  -0.367 0.796  -0.133 0.796  0.091 0.853  0.321 0.870  0.545 0.931  0.771 0.958  0.947 1.112  1.167 1.188  1.390 1.249  1.269 1.129  1.095 0.973  0.921 0.818  0.748 0.662  0.574 0.506  0.400 0.350  0.226 0.195  0.052 0.039  -0.121 -0.117  -0.295 -0.273  -0.469 -0.428  -0.273 -0.338  -0.073 -0.230  0.160 -0.212  0.389 -0.241  0.620 -0.261  0.853 -0.261
3#apb#apb04#app0418/G  0.413 1.202  0.428 1.280  0.303 1.312  0.167 1.383  0.001 1.383  -0.139 1.301  -0.301 1.272  -0.443 1.188  -0.566 1.077  -0.692 0.970  -0.824 0.870  -0.892 0.720  -0.954 0.566  -1.010 0.411  -1.010 0.245  -1.005 0.081  -0.932 -0.066  -0.869 -0.219  -0.758 -0.339  -0.616 -0.421  -0.464 -0.486  -0.301 -0.505  -0.148 -0.555  0.015 -0.521  0.178 -0.505  0.341 -0.479  0.507 -0.479  0.619 -0.363  0.697 -0.237  0.697 -0.071  0.653 0.088  0.563 0.224  0.416 0.271  0.259 0.313  0.127 0.271  -0.001 0.270  0.059 0.123  0.186 0.024  0.270 -0.116  0.364 -0.250  0.436 -0.392  0.474 -0.553  0.506 -0.716  0.528 -0.880  0.539 -1.045  0.519 -1.209  0.478 -1.370  0.434 -1.530  0.388 -1.689  0.361 -1.850
3#apb#apb04#app0418/H  -0.730 1.168  -0.592 1.280  -0.542 1.106  -0.532 0.837  -0.529 0.567  -0.549 0.297  -0.569 0.027  -0.588 -0.243  -0.611 -0.513  -0.647 -0.782  -0.707 -1.046  -0.764 -1.310  -0.729 -1.360  -0.611 -1.117  -0.492 -0.873  -0.373 -0.630  -0.254 -0.386  -0.136 -0.143  -0.017 0.100  0.102 0.344  0.221 0.587  0.339 0.831  0.458 1.074  0.577 1.318  0.696 1.561  0.674 1.433  0.745 1.177  0.781 0.909  0.838 0.644  0.866 0.375  0.910 0.109  0.942 -0.157  0.922 -0.427  0.877 -0.695  0.853 -0.964  0.762 -1.217  0.599 -1.202  0.397 -1.022  0.194 -0.842  -0.008 -0.662  -0.210 -0.482  -0.412 -0.302  -0.615 -0.122  -0.817 0.059  -0.782 0.090  -0.521 0.161  -0.252 0.158  0.010 0.091  0.279 0.106  0.548 0.090
3#apb#apb04#app0418/I  -0.142 0.666  -0.142 0.750  -0.113 0.824  -0.067 0.893  -0.065 0.976  -0.065 1.059  -0.062 1.141  -0.046 1.223  -0.029 1.304  0.011 1.349  0.011 1.354  0.022 1.272  0.042 1.192  0.054 1.110  0.060 1.027  0.066 0.944  0.073 0.861  0.079 0.778  0.085 0.696  0.080 0.613  0.068 0.531  0.057 0.449  0.045 0.366  0.033 0.284  0.021 0.202  0.011 0.120  0.011 0.037  0.011 -0.046  0.011 -0.130  0.011 -0.213  0.011 -0.296  0.011 -0.379  0.011 -0.462  0.011 -0.545  0.011 -0.628  0.011 -0.711  0.011 -0.794  0.011 -0.877  0.011 -0.960  0.011 -1.043  0.006 -1.126  -0.007 -1.208  -0.019 -1.290  -0.032 -1.372  -0.044 -1.454  -0.057 -1.537  -0.057 -1.618  -0.034 -1.698  -0.012 -1.778  0.011 -1.857
3#apb#apb04#app0418/J  0.406 0.684  0.336 0.778  0.356 0.640  0.356 0.494  0.374 0.350  0.415 0.210  0.457 0.070  0.473 -0.075  0.504 -0.218  0.529 -0.361  0.529 -0.507  0.512 -0.648  0.423 -0.764  0.338 -0.882  0.263 -1.007  0.174 -1.119  0.039 -1.153  -0.094 -1.193  -0.240 -1.193  -0.386 -1.193  -0.532 -1.193  -0.671 -1.147  -0.810 -1.103  -0.912 -1.026  -0.952 -0.889  -0.952 -0.743  -0.950 -0.598  -0.828 -0.526  -0.709 -0.482  -0.647 -0.349  -0.585 -0.217  -0.523 -0.085  -0.461 0.048  -0.399 0.180  -0.336 0.313  -0.274 0.445  -0.212 0.577  -0.150 0.710  -0.088 0.842  -0.026 0.974  0.035 1.100  0.085 1.132  0.173 1.049  0.305 1.005  0.449 1.019  0.588 1.066  0.715 1.135  0.839 1.213  0.966 1.285  1.097 1.350
3#apb#apb04#app0418/K  -0.868 1.116  -0.774 0.999  -0.723 0.792  -0.723 0.571  -0.723 0.350  -0.723 0.129  -0.712 -0.091  -0.695 -0.312  -0.649 -0.527  -0.609 -0.744  -0.626 -0.964  -0.622 -1.184  -0.636 -1.399  -0.549 -1.433  -0.478 -1.228  -0.384 -1.028  -0.290 -0.828  -0.197 -0.628  -0.103 -0.427  -0.009 -0.227  0.084 -0.027  0.178 0.173  0.272 0.373  0.365 0.573  0.459 0.774  0.553 0.974  0.646 1.174  0.741 1.323  0.848 1.204  0.788 1.003  0.631 0.855  0.446 0.735  0.241 0.654  0.025 0.623  -0.196 0.623  -0.417 0.623  -0.634 0.623  -0.450 0.509  -0.267 0.385  -0.093 0.250  0.047 0.079  0.195 -0.084  0.360 -0.231  0.486 -0.412  0.621 -0.587  0.761 -0.758  0.884 -0.940  0.980 -1.138  1.170 -1.176  1.367 -1.118
