2#apb#apb38#app3823/A  -1.254 -1.529  -1.203 -1.415  -1.098 -1.241  -1.010 -1.056  -0.924 -0.870  -0.832 -0.686  -0.740 -0.503  -0.645 -0.321  -0.550 -0.139  -0.467 0.048  -0.397 0.240  -0.326 0.433  -0.222 0.610  -0.118 0.786  -0.035 0.974  0.048 1.162  0.133 1.348  0.222 1.531  0.253 1.500  0.307 1.303  0.332 1.100  0.339 0.895  0.342 0.690  0.357 0.485  0.387 0.283  0.422 0.081  0.454 -0.122  0.468 -0.326  0.468 -0.531  0.468 -0.736  0.453 -0.939  0.408 -1.139  0.382 -1.341  0.282 -1.197  0.174 -1.023  0.066 -0.849  -0.043 -0.675  -0.151 -0.501  -0.260 -0.326  -0.368 -0.152  -0.422 -0.000  -0.270 0.135  -0.092 0.235  0.097 0.313  0.291 0.380  0.482 0.456  0.665 0.546  0.843 0.647  1.040 0.706  1.243 0.731
2#apb#apb38#app3823/g  0.456 1.285  0.337 1.211  0.215 1.142  0.090 1.077  -0.034 1.010  -0.144 0.924  -0.255 0.837  -0.351 0.736  -0.435 0.624  -0.532 0.523  -0.643 0.437  -0.691 0.308  -0.679 0.175  -0.559 0.113  -0.420 0.139  -0.294 0.191  -0.183 0.278  -0.074 0.365  0.035 0.455  0.125 0.562  0.216 0.669  0.304 0.779  0.390 0.890  0.482 0.995  0.541 0.913  0.554 0.773  0.554 0.633  0.554 0.492  0.554 0.352  0.551 0.211  0.543 0.071  0.535 -0.070  0.521 -0.209  0.506 -0.349  0.487 -0.488  0.453 -0.624  0.419 -0.761  0.352 -0.885  0.279 -1.004  0.185 -1.108  0.087 -1.209  -0.018 -1.302  -0.144 -1.357  -0.280 -1.393  -0.418 -1.410  -0.558 -1.410  -0.699 -1.415  -0.839 -1.426  -0.974 -1.399  -1.106 -1.351
2#apb#apb38#app3823/o  0.466 1.308  0.360 1.318  0.241 1.285  0.139 1.220  0.045 1.141  -0.024 1.039  -0.092 0.937  -0.167 0.841  -0.265 0.767  -0.364 0.693  -0.449 0.606  -0.526 0.510  -0.602 0.414  -0.677 0.316  -0.745 0.214  -0.813 0.112  -0.876 0.006  -0.931 -0.104  -0.986 -0.214  -1.004 -0.330  -0.986 -0.452  -0.935 -0.561  -0.867 -0.663  -0.796 -0.764  -0.725 -0.864  -0.631 -0.936  -0.518 -0.985  -0.403 -0.988  -0.285 -0.953  -0.167 -0.917  -0.045 -0.911  0.078 -0.911  0.201 -0.911  0.315 -0.883  0.418 -0.814  0.508 -0.732  0.586 -0.638  0.662 -0.541  0.733 -0.441  0.799 -0.338  0.849 -0.225  0.899 -0.113  0.925 0.006  0.939 0.128  0.952 0.250  0.964 0.373  0.976 0.495  0.964 0.616  0.940 0.737  0.916 0.857
2#apb#apb38#app3823/u  -1.201 0.537  -1.180 0.451  -1.158 0.366  -1.137 0.281  -1.187 0.212  -1.242 0.143  -1.244 0.069  -1.205 -0.010  -1.170 -0.090  -1.135 -0.171  -1.097 -0.248  -1.019 -0.288  -0.940 -0.327  -0.862 -0.366  -0.783 -0.405  -0.704 -0.443  -0.621 -0.471  -0.538 -0.499  -0.455 -0.527  -0.369 -0.544  -0.282 -0.554  -0.195 -0.564  -0.108 -0.569  -0.020 -0.558  0.067 -0.547  0.150 -0.527  0.220 -0.475  0.290 -0.422  0.361 -0.369  0.437 -0.328  0.519 -0.297  0.601 -0.266  0.679 -0.227  0.747 -0.172  0.816 -0.118  0.846 -0.036  0.873 0.048  0.901 0.131  0.927 0.215  0.951 0.299  0.975 0.383  1.000 0.467  1.026 0.552  1.051 0.636  1.076 0.720  1.080 0.807  1.080 0.895  1.072 0.982  1.060 1.069  1.047 1.156
2#apb#apb38#app3823/r  -0.391 0.499  -0.305 0.413  -0.233 0.319  -0.194 0.203  -0.156 0.088  -0.139 -0.029  -0.157 -0.149  -0.174 -0.270  -0.193 -0.390  -0.211 -0.510  -0.230 -0.630  -0.243 -0.750  -0.243 -0.872  -0.243 -0.993  -0.238 -1.115  -0.228 -1.236  -0.218 -1.357  -0.208 -1.478  -0.237 -1.503  -0.210 -1.384  -0.184 -1.265  -0.166 -1.146  -0.159 -1.024  -0.151 -0.903  -0.143 -0.782  -0.136 -0.661  -0.138 -0.539  -0.146 -0.418  -0.155 -0.297  -0.164 -0.176  -0.167 -0.055  -0.157 0.067  -0.148 0.188  -0.139 0.309  -0.117 0.427  -0.072 0.540  -0.027 0.653  0.019 0.765  0.074 0.874  0.128 0.983  0.197 1.079  0.293 1.154  0.389 1.228  0.485 1.303  0.592 1.359  0.701 1.414  0.811 1.465  0.927 1.500  1.043 1.535  1.160 1.569
2#apb#apb38#app3823/a  0.921 1.186  0.777 1.186  0.654 1.122  0.532 1.048  0.401 0.988  0.270 0.928  0.139 0.867  0.026 0.778  -0.084 0.685  -0.193 0.592  -0.303 0.499  -0.409 0.401  -0.511 0.299  -0.613 0.197  -0.714 0.095  -0.820 -0.003  -0.932 -0.093  -1.045 -0.183  -1.150 -0.277  -1.182 -0.418  -1.213 -0.559  -1.202 -0.700  -1.161 -0.833  -1.056 -0.932  -0.936 -1.012  -0.815 -1.038  -0.691 -0.964  -0.568 -0.890  -0.451 -0.807  -0.344 -0.710  -0.238 -0.613  -0.131 -0.516  -0.031 -0.413  0.066 -0.306  0.163 -0.199  0.260 -0.093  0.349 0.020  0.437 0.134  0.526 0.248  0.605 0.368  0.667 0.493  0.746 0.380  0.832 0.265  0.924 0.154  1.018 0.045  1.108 -0.067  1.195 -0.183  1.281 -0.298  1.391 -0.391  1.502 -0.483
2#apb#apb38#app3823/H  -0.391 1.606  -0.513 1.435  -0.529 1.197  -0.549 0.959  -0.585 0.723  -0.655 0.494  -0.687 0.257  -0.726 0.022  -0.787 -0.210  -0.847 -0.441  -0.905 -0.673  -0.978 -0.901  -1.037 -1.131  -1.050 -1.296  -0.902 -1.108  -0.754 -0.920  -0.606 -0.732  -0.458 -0.544  -0.309 -0.356  -0.161 -0.168  -0.013 0.020  0.135 0.208  0.283 0.396  0.431 0.584  0.580 0.772  0.728 0.960  0.876 1.147  1.037 1.264  1.093 1.038  1.074 0.800  1.057 0.561  1.017 0.326  0.965 0.092  0.918 -0.143  0.874 -0.378  0.799 -0.604  0.706 -0.824  0.620 -0.981  0.423 -0.846  0.225 -0.710  0.028 -0.575  -0.169 -0.440  -0.367 -0.304  -0.564 -0.169  -0.477 -0.126  -0.248 -0.057  -0.009 -0.056  0.230 -0.056  0.470 -0.056  0.709 -0.056
2#apb#apb38#app3823/i  -0.202 0.207  -0.293 0.146  -0.384 0.085  -0.440 -0.004  -0.479 -0.106  -0.517 -0.209  -0.520 -0.318  -0.520 -0.427  -0.520 -0.537  -0.520 -0.646  -0.496 -0.753  -0.472 -0.860  -0.449 -0.967  -0.431 -1.075  -0.412 -1.183  -0.382 -1.288  -0.351 -1.393  -0.315 -1.345  -0.277 -1.242  -0.239 -1.140  -0.200 -1.037  -0.162 -0.935  -0.124 -0.832  -0.085 -0.729  -0.047 -0.627  -0.009 -0.524  0.029 -0.422  0.068 -0.319  0.106 -0.217  0.144 -0.114  0.183 -0.011  0.221 0.091  0.259 0.194  0.298 0.296  0.336 0.399  0.374 0.502  0.412 0.604  0.451 0.707  0.489 0.809  0.527 0.912  0.566 1.015  0.604 1.117  0.642 1.220  0.617 1.323  0.582 1.427  0.495 1.486  0.397 1.535  0.346 1.622  0.337 1.728  0.364 1.834
2#apb#apb38#app3823/l  0.307 1.623  0.291 1.585  0.311 1.518  0.328 1.451  0.337 1.382  0.337 1.312  0.337 1.242  0.337 1.172  0.321 1.105  0.297 1.039  0.273 0.973  0.249 0.908  0.225 0.842  0.211 0.774  0.200 0.704  0.190 0.635  0.179 0.566  0.168 0.497  0.155 0.429  0.127 0.365  0.099 0.300  0.071 0.236  0.043 0.172  0.015 0.108  -0.013 0.044  -0.041 -0.020  -0.059 -0.087  -0.073 -0.156  -0.088 -0.224  -0.102 -0.293  -0.117 -0.361  -0.131 -0.430  -0.145 -0.498  -0.160 -0.567  -0.176 -0.635  -0.193 -0.703  -0.210 -0.770  -0.227 -0.838  -0.244 -0.906  -0.261 -0.974  -0.278 -1.042  -0.292 -1.110  -0.304 -1.179  -0.317 -1.248  -0.330 -1.317  -0.342 -1.386  -0.338 -1.455  -0.330 -1.525  -0.322 -1.594  -0.314 -1.664
2#apb#apb38#app3823/l  0.610 1.522  0.541 1.522  0.512 1.470  0.473 1.412  0.434 1.354  0.396 1.297  0.359 1.238  0.334 1.173  0.309 1.108  0.284 1.043  0.259 0.978  0.234 0.913  0.213 0.847  0.194 0.780  0.174 0.713  0.155 0.646  0.136 0.579  0.117 0.512  0.101 0.444  0.086 0.376  0.070 0.308  0.055 0.240  0.039 0.172  0.024 0.105  0.008 0.037  -0.007 -0.031  -0.022 -0.099  -0.041 -0.166  -0.059 -0.234  -0.077 -0.301  -0.095 -0.368  -0.114 -0.435  -0.132 -0.502  -0.150 -0.569  -0.169 -0.637  -0.187 -0.704  -0.210 -0.770  -0.233 -0.835  -0.256 -0.901  -0.279 -0.967  -0.302 -1.032  -0.325 -1.098  -0.348 -1.164  -0.371 -1.230  -0.395 -1.295  -0.420 -1.360  -0.445 -1.425  -0.470 -1.490  -0.495 -1.555  -0.520 -1.620
2#apb#apb38#app3823/s  0.688 1.098  0.667 1.154  0.569 1.175  0.467 1.169  0.364 1.162  0.266 1.136  0.167 1.108  0.069 1.080  -0.031 1.056  -0.131 1.036  -0.232 1.016  -0.325 0.979  -0.407 0.918  -0.452 0.828  -0.406 0.737  -0.343 0.657  -0.268 0.588  -0.187 0.525  -0.098 0.477  -0.002 0.442  0.092 0.401  0.185 0.358  0.271 0.304  0.350 0.239  0.427 0.171  0.500 0.099  0.555 0.013  0.590 -0.082  0.606 -0.182  0.581 -0.281  0.525 -0.366  0.464 -0.447  0.393 -0.520  0.314 -0.586  0.235 -0.651  0.155 -0.716  0.075 -0.780  -0.005 -0.844  -0.085 -0.908  -0.165 -0.971  -0.247 -1.033  -0.329 -1.094  -0.411 -1.156  -0.496 -1.212  -0.589 -1.255  -0.681 -1.299  -0.775 -1.340  -0.871 -1.377  -0.968 -1.407  -1.070 -1.420
