1b#tos#t1#t1069062/B  -0.401 1.342  -0.401 1.055  -0.401 0.769  -0.414 0.484  -0.445 0.201  -0.445 -0.085  -0.445 -0.371  -0.445 -0.657  -0.445 -0.944  -0.445 -1.230  -0.393 -1.054  -0.378 -0.768  -0.363 -0.482  -0.348 -0.196  -0.334 0.089  -0.319 0.375  -0.304 0.661  -0.289 0.947  -0.274 1.233  -0.287 1.386  -0.000 1.386  0.286 1.386  0.546 1.322  0.764 1.175  0.971 1.001  1.100 0.778  1.100 0.492  0.905 0.297  0.641 0.238  0.406 0.150  0.120 0.150  -0.165 0.130  -0.445 0.102  -0.597 0.017  -0.311 0.017  -0.024 0.017  0.262 0.017  0.393 -0.137  0.658 -0.159  0.879 -0.338  0.879 -0.624  0.835 -0.867  0.636 -0.954  0.414 -1.110  0.136 -1.130  -0.017 -1.263  -0.303 -1.263  -0.590 -1.263  -0.833 -1.194  -1.063 -1.130
1b#tos#t1#t1069062/D  -0.324 1.188  -0.398 1.058  -0.398 0.853  -0.398 0.649  -0.398 0.444  -0.406 0.241  -0.484 0.052  -0.509 -0.147  -0.509 -0.352  -0.509 -0.556  -0.509 -0.761  -0.511 -0.961  -0.543 -0.771  -0.526 -0.567  -0.510 -0.363  -0.494 -0.159  -0.477 0.045  -0.461 0.249  -0.445 0.453  -0.428 0.657  -0.412 0.861  -0.423 1.040  -0.620 1.048  -0.482 1.114  -0.279 1.110  -0.088 1.052  0.108 1.003  0.280 0.913  0.418 0.829  0.535 0.738  0.695 0.621  0.826 0.525  0.922 0.372  1.005 0.214  1.131 0.113  1.160 -0.063  1.160 -0.268  1.103 -0.455  1.086 -0.655  0.942 -0.764  0.836 -0.893  0.669 -0.963  0.538 -1.037  0.335 -1.041  0.143 -1.111  -0.061 -1.111  -0.266 -1.111  -0.471 -1.111  -0.675 -1.111  -0.880 -1.111
1b#tos#t1#t1069062/E  -0.614 1.394  -0.582 1.103  -0.576 0.807  -0.576 0.508  -0.576 0.210  -0.576 -0.088  -0.576 -0.386  -0.538 -0.678  -0.500 -0.939  -0.500 -0.732  -0.500 -0.433  -0.500 -0.135  -0.500 0.163  -0.500 0.461  -0.500 0.759  -0.573 0.979  -0.274 0.979  0.024 0.979  0.322 0.979  0.620 0.979  0.904 1.054  1.202 1.054  1.500 1.054  1.236 0.926  0.977 0.779  0.717 0.632  0.458 0.485  0.198 0.339  -0.062 0.192  -0.321 0.045  -0.577 -0.107  -0.569 -0.154  -0.271 -0.154  0.027 -0.154  0.324 -0.143  0.618 -0.116  0.809 -0.145  0.552 -0.296  0.294 -0.446  0.037 -0.597  -0.220 -0.748  -0.478 -0.898  -0.727 -1.037  -0.693 -1.248  -0.395 -1.248  -0.097 -1.248  0.195 -1.211  0.489 -1.173  0.787 -1.173  1.085 -1.173
1b#tos#t1#t1069062/F  -0.529 1.037  -0.614 0.833  -0.614 0.543  -0.614 0.254  -0.614 -0.036  -0.614 -0.325  -0.614 -0.615  -0.699 -0.852  -0.699 -1.141  -0.699 -1.431  -0.699 -1.720  -0.684 -1.517  -0.658 -1.229  -0.632 -0.940  -0.605 -0.652  -0.579 -0.364  -0.553 -0.075  -0.527 0.213  -0.501 0.501  -0.474 0.789  -0.448 1.078  -0.418 0.953  -0.129 0.953  0.161 0.953  0.440 0.995  0.729 0.995  1.019 0.995  1.308 0.995  1.340 0.970  1.093 0.819  0.846 0.667  0.600 0.516  0.353 0.364  0.106 0.213  -0.141 0.062  -0.387 -0.090  -0.571 -0.239  -0.406 -0.363  -0.126 -0.320  0.163 -0.320  0.446 -0.362  0.735 -0.363  0.710 -0.347  0.751 -0.060  0.749 0.189  0.659 0.074  0.659 -0.216  0.659 -0.505  0.659 -0.795  0.659 -1.084
1b#tos#t1#t1069062/G  0.716 0.777  0.686 0.969  0.617 1.148  0.514 1.273  0.328 1.330  0.132 1.339  -0.067 1.339  -0.266 1.339  -0.421 1.232  -0.506 1.066  -0.655 0.959  -0.731 0.784  -0.835 0.616  -0.898 0.427  -0.951 0.243  -1.002 0.057  -1.002 -0.142  -1.002 -0.342  -0.969 -0.533  -0.952 -0.726  -0.821 -0.874  -0.672 -0.976  -0.544 -1.073  -0.345 -1.073  -0.145 -1.073  -0.011 -1.008  0.055 -0.874  0.027 -0.677  -0.007 -0.481  -0.041 -0.285  -0.075 -0.088  -0.109 0.108  -0.183 0.116  0.016 0.116  0.216 0.116  0.415 0.116  0.614 0.116  0.808 0.083  1.008 0.083  1.174 0.050  0.989 0.009  0.800 -0.054  0.611 -0.117  0.451 -0.182  0.473 -0.378  0.491 -0.575  0.517 -0.772  0.517 -0.971  0.517 -1.171  0.517 -1.370
1b#tos#t1#t1069062/H  -0.948 1.221  -0.948 1.042  -0.948 0.864  -0.948 0.685  -0.948 0.506  -0.948 0.327  -0.948 0.148  -0.948 -0.030  -0.948 -0.209  -0.948 -0.388  -0.948 -0.567  -0.948 -0.745  -0.948 -0.924  -0.895 -0.846  -0.823 -0.682  -0.752 -0.518  -0.681 -0.354  -0.609 -0.190  -0.651 -0.093  -0.709 -0.078  -0.531 -0.078  -0.389 -0.041  -0.210 -0.041  -0.031 -0.041  0.147 -0.041  0.326 -0.041  0.505 -0.041  0.648 -0.076  0.727 0.025  0.738 0.203  0.749 0.381  0.760 0.560  0.771 0.738  0.783 0.917  0.794 1.095  0.753 1.059  0.723 0.887  0.723 0.708  0.723 0.530  0.723 0.351  0.723 0.172  0.730 -0.006  0.767 -0.181  0.797 -0.356  0.797 -0.535  0.797 -0.714  0.797 -0.892  0.862 -1.059  0.871 -1.236  0.871 -1.415
1b#tos#t1#t1069062/I  -0.432 1.303  -0.450 1.177  -0.441 1.147  -0.304 1.147  -0.168 1.147  -0.031 1.147  0.106 1.147  0.243 1.147  0.309 1.077  0.399 1.030  0.536 1.030  0.672 1.030  0.669 1.036  0.533 1.048  0.397 1.061  0.265 1.047  0.156 0.966  0.075 0.873  0.075 0.736  0.075 0.600  0.075 0.463  0.075 0.326  0.075 0.189  0.075 0.053  0.075 -0.084  0.075 -0.221  0.075 -0.357  0.075 -0.494  0.075 -0.631  0.075 -0.768  0.075 -0.904  -0.004 -0.953  -0.140 -0.938  -0.276 -0.924  -0.412 -0.910  -0.548 -0.895  -0.684 -0.883  -0.782 -0.922  -0.804 -1.000  -0.667 -1.000  -0.531 -1.000  -0.394 -1.000  -0.257 -1.000  -0.121 -1.000  0.016 -1.000  0.153 -1.000  0.290 -1.000  0.426 -1.000  0.563 -1.000  0.661 -1.039
1b#tos#t1#t1069062/J  -0.296 1.073  -0.345 1.022  -0.241 1.022  -0.137 1.022  -0.033 1.022  0.072 1.022  0.176 1.022  0.280 1.022  0.380 1.047  0.473 1.073  0.577 1.073  0.682 1.073  0.692 1.075  0.611 1.010  0.529 0.945  0.447 0.881  0.365 0.816  0.284 0.752  0.192 0.716  0.193 0.617  0.213 0.516  0.213 0.411  0.213 0.307  0.213 0.203  0.213 0.099  0.213 -0.005  0.213 -0.109  0.213 -0.213  0.213 -0.317  0.213 -0.421  0.213 -0.526  0.162 -0.614  0.162 -0.718  0.156 -0.821  0.090 -0.898  0.043 -0.973  -0.012 -1.053  -0.088 -1.112  -0.161 -1.186  -0.259 -1.215  -0.362 -1.219  -0.466 -1.219  -0.570 -1.219  -0.653 -1.197  -0.724 -1.144  -0.808 -1.083  -0.869 -1.003  -0.907 -0.927  -0.971 -0.862  -1.009 -0.786
1b#tos#t1#t1069062/K  -0.483 1.328  -0.620 1.207  -0.621 0.949  -0.655 0.695  -0.671 0.438  -0.689 0.182  -0.689 -0.077  -0.689 -0.335  -0.689 -0.593  -0.689 -0.851  -0.689 -1.109  -0.705 -1.360  -0.723 -1.611  -0.613 -1.393  -0.499 -1.161  -0.386 -0.929  -0.273 -0.697  -0.159 -0.465  -0.046 -0.233  0.068 -0.002  0.181 0.230  0.295 0.462  0.408 0.694  0.521 0.926  0.635 1.158  0.748 1.390  0.771 1.473  0.634 1.280  0.538 1.075  0.369 0.894  0.219 0.703  0.119 0.484  -0.050 0.318  -0.165 0.126  -0.332 -0.005  -0.449 -0.227  -0.544 -0.411  -0.361 -0.229  -0.179 -0.046  0.004 0.136  0.186 0.319  0.236 0.181  0.380 0.061  0.492 -0.123  0.658 -0.308  0.806 -0.520  0.968 -0.713  1.058 -0.931  1.074 -1.173  1.298 -1.207
1b#tos#t1#t1069062/L  -0.145 1.700  -0.162 1.633  -0.246 1.633  -0.246 1.549  -0.246 1.465  -0.246 1.381  -0.246 1.297  -0.246 1.213  -0.246 1.129  -0.273 1.050  -0.280 0.967  -0.280 0.883  -0.280 0.799  -0.280 0.715  -0.280 0.631  -0.280 0.547  -0.280 0.463  -0.280 0.380  -0.280 0.296  -0.280 0.212  -0.280 0.128  -0.280 0.044  -0.280 -0.040  -0.280 -0.124  -0.271 -0.206  -0.246 -0.286  -0.246 -0.370  -0.246 -0.454  -0.246 -0.538  -0.246 -0.622  -0.246 -0.706  -0.246 -0.790  -0.246 -0.874  -0.173 -0.885  -0.089 -0.885  -0.005 -0.885  0.078 -0.885  0.162 -0.885  0.246 -0.885  0.330 -0.885  0.414 -0.885  0.498 -0.885  0.582 -0.885  0.666 -0.885  0.750 -0.885  0.834 -0.885  0.917 -0.885  1.001 -0.886  1.081 -0.913  1.164 -0.918
1b#tos#t1#t1069062/P  -0.205 0.967  -0.344 1.041  -0.427 0.912  -0.427 0.700  -0.427 0.487  -0.427 0.275  -0.427 0.062  -0.427 -0.150  -0.427 -0.362  -0.427 -0.575  -0.427 -0.787  -0.427 -1.000  -0.427 -1.212  -0.427 -1.424  -0.395 -1.634  -0.388 -1.768  -0.374 -1.556  -0.361 -1.344  -0.348 -1.132  -0.335 -0.920  -0.321 -0.708  -0.308 -0.496  -0.295 -0.284  -0.282 -0.072  -0.268 0.140  -0.255 0.352  -0.242 0.564  -0.229 0.776  -0.215 0.988  -0.254 1.152  -0.166 1.152  0.046 1.152  0.258 1.152  0.471 1.152  0.650 1.090  0.807 0.954  0.978 0.841  1.052 0.664  1.171 0.515  1.200 0.314  1.200 0.102  1.041 0.006  0.942 -0.140  0.738 -0.170  0.552 -0.253  0.344 -0.290  0.132 -0.290  -0.081 -0.290  -0.289 -0.327  -0.501 -0.327
