1c#apb#apb08#app0875/a  0.546 0.411  0.576 0.573  0.606 0.735  0.638 0.896  0.584 1.050  0.489 1.172  0.335 1.214  0.170 1.214  0.013 1.177  -0.137 1.111  -0.287 1.043  -0.411 0.935  -0.535 0.827  -0.656 0.716  -0.760 0.589  -0.865 0.462  -0.967 0.333  -1.024 0.179  -1.081 0.025  -1.128 -0.131  -1.119 -0.295  -1.109 -0.460  -1.052 -0.611  -0.975 -0.756  -0.876 -0.876  -0.719 -0.924  -0.560 -0.954  -0.396 -0.942  -0.240 -0.906  -0.105 -0.813  0.029 -0.718  0.123 -0.583  0.217 -0.448  0.268 -0.293  0.306 -0.133  0.337 0.028  0.347 0.192  0.366 0.354  0.424 0.366  0.460 0.206  0.480 0.043  0.505 -0.119  0.578 -0.266  0.652 -0.413  0.733 -0.556  0.822 -0.694  0.914 -0.830  1.031 -0.946  1.150 -1.058  1.301 -1.123
1c#apb#apb08#app0875/y  -1.113 1.270  -1.113 1.111  -1.040 0.972  -0.961 0.834  -0.887 0.693  -0.813 0.553  -0.740 0.412  -0.666 0.272  -0.593 0.131  -0.515 -0.007  -0.429 -0.141  -0.346 -0.275  -0.266 -0.413  -0.169 -0.538  -0.039 -0.621  0.056 -0.529  0.088 -0.373  0.120 -0.218  0.152 -0.062  0.183 0.093  0.215 0.249  0.247 0.404  0.278 0.560  0.310 0.715  0.342 0.871  0.373 1.026  0.405 1.182  0.437 1.337  0.359 1.218  0.320 1.066  0.291 0.910  0.276 0.752  0.263 0.594  0.251 0.435  0.239 0.277  0.227 0.119  0.215 -0.039  0.212 -0.198  0.212 -0.357  0.212 -0.515  0.221 -0.673  0.242 -0.831  0.264 -0.988  0.293 -1.144  0.324 -1.299  0.355 -1.455  0.384 -1.611  0.416 -1.767  0.452 -1.921  0.457 -2.079
1c#apb#apb08#app0875/u  -1.051 0.958  -1.023 1.007  -1.023 0.886  -1.060 0.771  -1.101 0.657  -1.142 0.543  -1.161 0.426  -1.161 0.305  -1.161 0.184  -1.159 0.063  -1.135 -0.056  -1.111 -0.175  -1.052 -0.278  -0.983 -0.377  -0.914 -0.476  -0.813 -0.544  -0.707 -0.600  -0.591 -0.635  -0.475 -0.670  -0.359 -0.639  -0.243 -0.606  -0.126 -0.572  -0.027 -0.508  0.063 -0.427  0.153 -0.346  0.224 -0.251  0.282 -0.144  0.339 -0.038  0.395 0.070  0.446 0.180  0.496 0.289  0.547 0.399  0.609 0.503  0.671 0.607  0.716 0.716  0.748 0.720  0.762 0.600  0.776 0.480  0.793 0.360  0.810 0.240  0.830 0.121  0.876 0.009  0.923 -0.103  0.971 -0.214  1.028 -0.320  1.086 -0.427  1.143 -0.533  1.218 -0.628  1.298 -0.718  1.378 -0.809
1c#apb#apb08#app0875/n  -0.992 0.657  -0.992 0.528  -0.992 0.399  -0.985 0.270  -0.975 0.142  -0.961 0.013  -0.934 -0.113  -0.907 -0.239  -0.875 -0.364  -0.837 -0.488  -0.799 -0.611  -0.794 -0.739  -0.782 -0.864  -0.687 -0.914  -0.620 -0.803  -0.620 -0.674  -0.620 -0.545  -0.605 -0.417  -0.576 -0.292  -0.546 -0.166  -0.512 -0.042  -0.454 0.073  -0.397 0.189  -0.339 0.304  -0.277 0.418  -0.205 0.525  -0.134 0.632  -0.062 0.740  0.043 0.813  0.153 0.879  0.275 0.914  0.403 0.928  0.523 0.884  0.641 0.831  0.709 0.722  0.777 0.612  0.843 0.502  0.892 0.382  0.941 0.263  0.991 0.144  1.030 0.021  1.062 -0.104  1.093 -0.230  1.119 -0.356  1.138 -0.484  1.156 -0.611  1.170 -0.740  1.181 -0.868  1.178 -0.997  1.162 -1.125
1c#apb#apb08#app0875/e  -1.005 0.028  -0.867 -0.016  -0.717 -0.024  -0.567 -0.038  -0.417 -0.038  -0.266 -0.038  -0.118 -0.010  0.030 0.020  0.154 0.099  0.270 0.195  0.387 0.290  0.507 0.382  0.622 0.477  0.689 0.612  0.755 0.748  0.806 0.889  0.820 1.033  0.762 1.164  0.634 1.244  0.486 1.255  0.340 1.237  0.205 1.169  0.070 1.102  -0.048 1.011  -0.158 0.908  -0.268 0.805  -0.365 0.691  -0.446 0.564  -0.528 0.438  -0.594 0.303  -0.646 0.161  -0.697 0.020  -0.742 -0.123  -0.742 -0.274  -0.742 -0.425  -0.698 -0.565  -0.630 -0.700  -0.541 -0.815  -0.415 -0.898  -0.290 -0.982  -0.154 -1.047  -0.015 -1.105  0.124 -1.164  0.270 -1.196  0.419 -1.221  0.567 -1.246  0.716 -1.260  0.865 -1.240  1.015 -1.220  1.164 -1.199
1c#apb#apb08#app0875/p  -0.337 0.037  -0.402 -0.066  -0.422 -0.227  -0.432 -0.388  -0.432 -0.549  -0.432 -0.711  -0.448 -0.871  -0.465 -1.032  -0.452 -1.192  -0.439 -1.351  -0.451 -1.511  -0.484 -1.378  -0.529 -1.222  -0.558 -1.064  -0.577 -0.903  -0.596 -0.743  -0.606 -0.582  -0.611 -0.420  -0.616 -0.259  -0.622 -0.097  -0.607 0.063  -0.589 0.224  -0.571 0.384  -0.504 0.527  -0.413 0.660  -0.321 0.793  -0.202 0.902  -0.081 1.009  0.043 1.111  0.193 1.172  0.342 1.234  0.503 1.236  0.664 1.233  0.820 1.192  0.965 1.131  1.073 1.011  1.117 0.864  1.128 0.703  1.086 0.548  1.037 0.394  0.966 0.250  0.877 0.116  0.773 -0.007  0.651 -0.113  0.528 -0.216  0.387 -0.295  0.246 -0.375  0.090 -0.415  -0.067 -0.424  -0.223 -0.381
1c#apb#apb08#app0875/r  -0.631 0.481  -0.631 0.370  -0.631 0.259  -0.631 0.147  -0.631 0.036  -0.631 -0.076  -0.631 -0.187  -0.631 -0.299  -0.623 -0.409  -0.606 -0.520  -0.589 -0.630  -0.573 -0.740  -0.563 -0.851  -0.553 -0.962  -0.517 -1.061  -0.438 -1.139  -0.407 -1.238  -0.435 -1.189  -0.435 -1.077  -0.435 -0.966  -0.435 -0.855  -0.435 -0.743  -0.431 -0.632  -0.425 -0.521  -0.419 -0.409  -0.413 -0.298  -0.404 -0.187  -0.344 -0.094  -0.284 0.000  -0.224 0.094  -0.163 0.187  -0.079 0.259  0.009 0.327  0.097 0.395  0.186 0.463  0.281 0.520  0.379 0.573  0.477 0.626  0.576 0.678  0.678 0.722  0.780 0.766  0.883 0.810  0.986 0.851  1.094 0.880  1.202 0.908  1.309 0.937  1.418 0.958  1.529 0.958  1.640 0.948  1.750 0.929
1c#apb#apb08#app0875/i  -0.313 1.487  -0.313 1.561  -0.266 1.536  -0.272 1.462  -0.277 1.388  -0.283 1.314  -0.289 1.239  -0.295 1.165  -0.301 1.091  -0.307 1.017  -0.313 0.943  -0.319 0.869  -0.325 0.795  -0.331 0.720  -0.337 0.646  -0.343 0.572  -0.349 0.498  -0.355 0.424  -0.360 0.350  -0.313 0.325  -0.240 0.307  -0.189 0.261  -0.149 0.198  -0.109 0.135  -0.069 0.072  -0.030 0.009  0.005 -0.057  0.040 -0.122  0.075 -0.188  0.111 -0.253  0.143 -0.320  0.171 -0.389  0.198 -0.458  0.226 -0.527  0.253 -0.597  0.281 -0.666  0.311 -0.734  0.342 -0.802  0.372 -0.870  0.390 -0.941  0.405 -1.014  0.419 -1.087  0.429 -1.161  0.429 -1.235  0.429 -1.309  0.428 -1.384  0.416 -1.457  0.404 -1.531  0.391 -1.604  0.379 -1.677
1c#apb#apb08#app0875/l  -0.342 1.650  -0.308 1.588  -0.275 1.527  -0.242 1.465  -0.209 1.404  -0.185 1.339  -0.163 1.273  -0.141 1.207  -0.119 1.141  -0.097 1.074  -0.079 1.007  -0.069 0.938  -0.060 0.869  -0.050 0.800  -0.041 0.731  -0.031 0.662  -0.022 0.593  -0.016 0.523  -0.011 0.454  -0.005 0.384  0.000 0.315  0.006 0.245  0.011 0.176  0.017 0.106  0.016 0.037  0.012 -0.033  0.009 -0.102  0.005 -0.172  0.002 -0.242  -0.001 -0.311  0.009 -0.380  0.020 -0.449  0.031 -0.518  0.042 -0.587  0.053 -0.656  0.066 -0.724  0.082 -0.792  0.098 -0.860  0.114 -0.928  0.130 -0.995  0.142 -1.064  0.150 -1.133  0.159 -1.202  0.167 -1.272  0.175 -1.341  0.181 -1.410  0.185 -1.480  0.189 -1.550  0.194 -1.619  0.198 -1.689
1c#apb#apb08#app0875/e  -1.072 -0.369  -0.930 -0.292  -0.787 -0.218  -0.633 -0.170  -0.479 -0.122  -0.328 -0.066  -0.179 -0.005  -0.030 0.057  0.118 0.121  0.266 0.185  0.406 0.259  0.515 0.379  0.623 0.498  0.708 0.635  0.777 0.777  0.777 0.939  0.690 1.074  0.547 1.142  0.395 1.184  0.234 1.173  0.076 1.152  -0.066 1.076  -0.208 0.999  -0.331 0.895  -0.452 0.788  -0.573 0.682  -0.674 0.559  -0.756 0.420  -0.838 0.281  -0.897 0.133  -0.937 -0.023  -0.972 -0.179  -0.900 -0.324  -0.828 -0.468  -0.715 -0.577  -0.582 -0.668  -0.449 -0.759  -0.299 -0.813  -0.143 -0.854  0.013 -0.895  0.173 -0.909  0.334 -0.916  0.495 -0.922  0.656 -0.929  0.815 -0.900  0.973 -0.871  1.132 -0.842  1.289 -0.808  1.446 -0.771  1.603 -0.734
1c#apb#apb08#app0875/c  0.397 0.850  0.362 0.943  0.313 1.025  0.234 1.075  0.136 1.088  0.038 1.088  -0.060 1.088  -0.154 1.059  -0.248 1.030  -0.336 0.989  -0.418 0.935  -0.500 0.880  -0.579 0.822  -0.634 0.741  -0.690 0.660  -0.746 0.579  -0.788 0.491  -0.818 0.398  -0.847 0.304  -0.877 0.210  -0.868 0.114  -0.850 0.017  -0.831 -0.079  -0.781 -0.162  -0.722 -0.240  -0.663 -0.319  -0.603 -0.396  -0.519 -0.448  -0.436 -0.500  -0.352 -0.552  -0.264 -0.594  -0.171 -0.628  -0.079 -0.661  0.013 -0.695  0.107 -0.724  0.204 -0.737  0.302 -0.751  0.399 -0.764  0.497 -0.775  0.594 -0.762  0.691 -0.748  0.789 -0.735  0.886 -0.722  0.983 -0.702  1.079 -0.682  1.175 -0.661  1.270 -0.637  1.363 -0.604  1.455 -0.571  1.548 -0.538
