2#apb#apb40#app4083/S  -0.827 -0.569  -0.905 -0.521  -0.841 -0.398  -0.761 -0.284  -0.680 -0.170  -0.599 -0.056  -0.518 0.057  -0.437 0.170  -0.355 0.284  -0.274 0.397  -0.186 0.505  -0.096 0.612  -0.007 0.719  0.083 0.825  0.171 0.934  0.255 1.045  0.338 1.157  0.422 1.269  0.507 1.379  0.594 1.488  0.618 1.405  0.613 1.266  0.600 1.127  0.587 0.988  0.574 0.849  0.559 0.710  0.545 0.571  0.530 0.433  0.516 0.294  0.498 0.156  0.479 0.018  0.460 -0.121  0.441 -0.259  0.419 -0.396  0.394 -0.534  0.370 -0.671  0.338 -0.807  0.300 -0.941  0.232 -1.059  0.140 -1.163  0.019 -1.229  -0.113 -1.272  -0.249 -1.301  -0.381 -1.259  -0.506 -1.200  -0.616 -1.114  -0.709 -1.013  -0.789 -0.899  -0.851 -0.774  -0.902 -0.645
2#apb#apb40#app4083/t  -0.673 -1.083  -0.670 -0.980  -0.558 -0.787  -0.431 -0.604  -0.301 -0.424  -0.166 -0.247  -0.025 -0.075  0.116 0.098  0.250 0.274  0.379 0.456  0.507 0.638  0.619 0.830  0.720 1.028  0.815 1.228  0.856 1.447  0.886 1.666  0.800 1.636  0.701 1.437  0.601 1.238  0.514 1.034  0.439 0.824  0.364 0.615  0.289 0.405  0.220 0.194  0.153 -0.019  0.087 -0.231  0.021 -0.444  -0.014 -0.663  -0.050 -0.883  -0.037 -1.100  0.025 -1.313  0.169 -1.483  0.380 -1.507  0.327 -1.373  0.189 -1.198  0.052 -1.023  -0.085 -0.848  -0.222 -0.672  -0.360 -0.497  -0.497 -0.322  -0.634 -0.147  -0.772 0.028  -0.909 0.203  -1.046 0.378  -1.050 0.295  -0.831 0.303  -0.613 0.344  -0.395 0.391  -0.178 0.441  0.038 0.491
2#apb#apb40#app4083/a  0.950 0.766  0.950 0.924  0.919 1.076  0.840 1.199  0.700 1.269  0.550 1.254  0.398 1.216  0.264 1.143  0.148 1.037  0.032 0.931  -0.084 0.825  -0.197 0.717  -0.302 0.600  -0.407 0.483  -0.512 0.366  -0.617 0.250  -0.722 0.133  -0.807 0.002  -0.882 -0.136  -0.958 -0.274  -1.033 -0.411  -1.109 -0.549  -1.144 -0.701  -1.171 -0.856  -1.134 -0.990  -1.023 -1.101  -0.880 -1.111  -0.726 -1.082  -0.581 -1.029  -0.445 -0.950  -0.309 -0.871  -0.174 -0.792  -0.054 -0.691  0.057 -0.580  0.168 -0.469  0.279 -0.358  0.390 -0.247  0.494 -0.130  0.599 -0.013  0.704 0.104  0.809 0.221  0.914 0.338  0.891 0.294  0.801 0.166  0.726 0.028  0.651 -0.110  0.575 -0.248  0.522 -0.394  0.488 -0.547  0.454 -0.701
2#apb#apb40#app4083/n  -0.203 0.686  -0.211 0.867  -0.166 1.055  -0.037 1.205  0.145 1.279  0.298 1.186  0.298 0.985  0.265 0.794  0.155 0.626  0.046 0.457  -0.068 0.291  -0.184 0.127  -0.300 -0.037  -0.419 -0.199  -0.545 -0.356  -0.670 -0.513  -0.803 -0.663  -0.950 -0.800  -1.096 -0.938  -1.247 -1.071  -1.329 -1.136  -1.230 -0.962  -1.124 -0.791  -1.004 -0.630  -0.884 -0.468  -0.765 -0.307  -0.638 -0.151  -0.505 -0.000  -0.371 0.150  -0.238 0.300  -0.095 0.440  0.062 0.566  0.219 0.691  0.378 0.815  0.516 0.828  0.599 0.648  0.621 0.448  0.633 0.249  0.582 0.055  0.531 -0.140  0.495 -0.337  0.460 -0.535  0.495 -0.733  0.653 -0.829  0.837 -0.773  1.021 -0.691  1.197 -0.597  1.361 -0.481  1.525 -0.365  1.689 -0.249
2#apb#apb40#app4083/f  0.365 0.266  0.352 0.383  0.410 0.506  0.479 0.624  0.551 0.740  0.627 0.854  0.703 0.968  0.780 1.081  0.857 1.194  0.894 1.326  0.907 1.455  0.807 1.362  0.716 1.260  0.631 1.153  0.547 1.045  0.462 0.937  0.391 0.821  0.322 0.703  0.253 0.584  0.184 0.466  0.115 0.348  0.049 0.228  -0.016 0.108  -0.081 -0.013  -0.145 -0.133  -0.210 -0.254  -0.275 -0.375  -0.339 -0.496  -0.403 -0.617  -0.466 -0.738  -0.530 -0.859  -0.590 -0.982  -0.650 -1.105  -0.710 -1.228  -0.769 -1.351  -0.838 -1.469  -0.808 -1.358  -0.767 -1.227  -0.718 -1.100  -0.657 -0.978  -0.595 -0.855  -0.534 -0.733  -0.473 -0.610  -0.412 -0.488  -0.339 -0.374  -0.238 -0.282  -0.132 -0.196  -0.013 -0.129  0.111 -0.179  0.194 -0.287
2#apb#apb40#app4083/o  0.033 0.606  -0.100 0.517  -0.200 0.400  -0.272 0.257  -0.336 0.112  -0.380 -0.041  -0.429 -0.193  -0.476 -0.346  -0.518 -0.500  -0.561 -0.653  -0.611 -0.805  -0.662 -0.956  -0.684 -1.112  -0.669 -1.264  -0.544 -1.364  -0.399 -1.338  -0.249 -1.283  -0.106 -1.215  0.028 -1.128  0.162 -1.042  0.296 -0.955  0.417 -0.855  0.508 -0.724  0.598 -0.592  0.689 -0.461  0.769 -0.324  0.830 -0.177  0.891 -0.029  0.952 0.118  0.968 0.272  0.952 0.431  0.935 0.590  0.918 0.748  0.841 0.880  0.734 0.998  0.627 1.116  0.487 1.166  0.327 1.177  0.168 1.188  0.024 1.143  -0.109 1.054  -0.242 0.966  -0.375 0.877  -0.503 0.784  -0.606 0.662  -0.709 0.540  -0.812 0.419  -0.855 0.272  -0.867 0.113  -0.880 -0.046
2#apb#apb40#app4083/r  0.010 0.476  0.010 0.361  0.010 0.246  -0.050 0.151  -0.117 0.057  -0.186 -0.034  -0.261 -0.121  -0.336 -0.208  -0.402 -0.301  -0.462 -0.399  -0.522 -0.497  -0.582 -0.595  -0.643 -0.692  -0.694 -0.795  -0.745 -0.898  -0.797 -1.000  -0.848 -1.103  -0.919 -1.173  -0.876 -1.161  -0.821 -1.060  -0.766 -0.960  -0.711 -0.859  -0.651 -0.762  -0.579 -0.672  -0.508 -0.582  -0.437 -0.492  -0.366 -0.402  -0.295 -0.312  -0.224 -0.222  -0.152 -0.132  -0.075 -0.047  0.002 0.039  0.078 0.124  0.155 0.209  0.232 0.295  0.309 0.380  0.386 0.465  0.463 0.550  0.544 0.631  0.625 0.713  0.706 0.794  0.787 0.875  0.868 0.956  0.952 1.033  1.053 1.088  1.154 1.143  1.255 1.198  1.361 1.232  1.476 1.232  1.591 1.232
2#apb#apb40#app4083/d  0.011 -0.138  -0.097 -0.185  -0.212 -0.265  -0.327 -0.344  -0.443 -0.423  -0.558 -0.501  -0.671 -0.584  -0.781 -0.669  -0.891 -0.755  -0.997 -0.847  -1.102 -0.938  -1.177 -1.055  -1.191 -1.170  -1.060 -1.156  -0.927 -1.114  -0.805 -1.046  -0.684 -0.976  -0.564 -0.905  -0.457 -0.816  -0.350 -0.725  -0.247 -0.632  -0.162 -0.521  -0.078 -0.410  0.003 -0.296  0.073 -0.175  0.144 -0.055  0.214 0.066  0.284 0.187  0.353 0.308  0.423 0.429  0.492 0.550  0.556 0.674  0.613 0.802  0.669 0.930  0.725 1.057  0.783 1.185  0.843 1.311  0.908 1.433  0.894 1.336  0.841 1.208  0.779 1.083  0.716 0.958  0.653 0.834  0.586 0.711  0.519 0.588  0.452 0.466  0.389 0.342  0.338 0.212  0.287 0.082  0.235 -0.048
2#apb#apb40#app4083/U  0.188 1.194  0.243 1.369  0.124 1.294  0.018 1.141  -0.069 0.975  -0.157 0.809  -0.244 0.642  -0.337 0.479  -0.430 0.316  -0.523 0.152  -0.615 -0.011  -0.701 -0.178  -0.773 -0.351  -0.846 -0.524  -0.919 -0.698  -0.989 -0.872  -1.033 -1.054  -1.066 -1.235  -0.962 -1.392  -0.781 -1.384  -0.610 -1.321  -0.453 -1.217  -0.297 -1.113  -0.154 -0.991  -0.019 -0.861  0.116 -0.731  0.238 -0.588  0.350 -0.438  0.462 -0.287  0.554 -0.124  0.629 0.048  0.703 0.220  0.741 0.404  0.777 0.589  0.800 0.775  0.806 0.962  0.799 1.149  0.747 1.269  0.675 1.096  0.606 0.921  0.535 0.747  0.462 0.574  0.388 0.401  0.314 0.229  0.248 0.053  0.190 -0.126  0.132 -0.305  0.078 -0.484  0.044 -0.669  0.010 -0.854
2#apb#apb40#app4083/n  -0.397 0.464  -0.436 0.375  -0.490 0.230  -0.545 0.087  -0.601 -0.057  -0.657 -0.200  -0.714 -0.343  -0.771 -0.486  -0.828 -0.629  -0.831 -0.782  -0.844 -0.934  -0.860 -0.878  -0.860 -0.724  -0.860 -0.570  -0.860 -0.416  -0.842 -0.265  -0.833 -0.148  -0.790 -0.001  -0.729 0.140  -0.655 0.275  -0.577 0.407  -0.481 0.528  -0.386 0.649  -0.291 0.770  -0.172 0.866  -0.050 0.960  0.072 1.054  0.216 1.102  0.365 1.139  0.512 1.132  0.656 1.078  0.759 0.966  0.857 0.847  0.941 0.722  0.976 0.572  1.011 0.422  1.047 0.272  1.040 0.119  1.031 -0.035  1.021 -0.188  0.973 -0.334  0.921 -0.479  0.865 -0.622  0.776 -0.748  0.688 -0.874  0.577 -0.979  0.461 -1.081  0.324 -1.148  0.177 -1.184  0.095 -1.069
2#apb#apb40#app4083/i  0.163 -0.158  0.116 -0.253  0.061 -0.344  0.007 -0.435  -0.048 -0.525  -0.103 -0.616  -0.160 -0.706  -0.217 -0.795  -0.275 -0.884  -0.333 -0.972  -0.394 -1.059  -0.455 -1.146  -0.498 -1.241  -0.528 -1.343  -0.506 -1.341  -0.425 -1.273  -0.350 -1.198  -0.275 -1.123  -0.213 -1.040  -0.188 -0.938  -0.162 -0.835  -0.137 -0.732  -0.111 -0.629  -0.086 -0.526  -0.060 -0.423  -0.035 -0.320  -0.009 -0.217  0.016 -0.114  0.042 -0.011  0.067 0.092  0.093 0.195  0.118 0.297  0.144 0.400  0.169 0.503  0.195 0.606  0.220 0.709  0.246 0.812  0.271 0.915  0.297 1.018  0.322 1.121  0.348 1.224  0.373 1.327  0.399 1.430  0.424 1.533  0.382 1.628  0.310 1.663  0.249 1.577  0.196 1.485  0.176 1.383  0.163 1.277
2#apb#apb40#app4083/v  -0.375 1.127  -0.412 0.943  -0.461 0.763  -0.532 0.590  -0.603 0.417  -0.660 0.240  -0.695 0.056  -0.730 -0.128  -0.765 -0.312  -0.767 -0.499  -0.767 -0.686  -0.729 -0.868  -0.674 -1.047  -0.605 -1.220  -0.521 -1.387  -0.392 -1.516  -0.249 -1.421  -0.138 -1.277  -0.073 -1.102  -0.008 -0.926  0.056 -0.750  0.121 -0.575  0.186 -0.399  0.251 -0.223  0.315 -0.048  0.380 0.128  0.445 0.304  0.509 0.479  0.574 0.655  0.639 0.831  0.704 1.006  0.768 1.182  0.833 1.357  0.903 1.508  0.954 1.360  0.880 1.188  0.806 1.016  0.713 0.854  0.618 0.693  0.523 0.531  0.418 0.376  0.311 0.223  0.204 0.069  0.096 -0.084  -0.028 -0.224  -0.155 -0.361  -0.282 -0.499  -0.407 -0.638  -0.532 -0.778  -0.647 -0.925
