2#apa#apa01#app0130/b  -0.922 1.538  -0.797 1.600  -0.674 1.663  -0.673 1.477  -0.673 1.291  -0.673 1.105  -0.673 0.919  -0.673 0.733  -0.673 0.547  -0.632 0.377  -0.548 0.226  -0.548 0.040  -0.548 -0.146  -0.548 -0.333  -0.482 -0.453  -0.424 -0.580  -0.424 -0.767  -0.424 -0.953  -0.424 -1.010  -0.424 -0.824  -0.424 -0.638  -0.424 -0.452  -0.424 -0.266  -0.424 -0.079  -0.380 0.089  -0.299 0.241  -0.169 0.300  -0.031 0.418  0.131 0.476  0.289 0.543  0.475 0.543  0.662 0.543  0.723 0.418  0.820 0.329  0.945 0.267  0.945 0.081  1.069 0.019  1.069 -0.167  1.174 -0.309  1.193 -0.487  1.125 -0.645  1.069 -0.808  0.913 -0.857  0.766 -0.950  0.580 -0.950  0.394 -0.950  0.241 -0.869  0.073 -0.826  -0.051 -0.763  -0.175 -0.701
2#apa#apa01#app0130/i  -0.054 -0.176  0.047 -0.176  0.128 -0.195  0.128 -0.296  0.128 -0.396  0.128 -0.497  0.128 -0.598  0.128 -0.699  0.128 -0.799  0.128 -0.900  0.128 -1.001  0.128 -1.101  0.128 -1.202  0.128 -1.303  0.128 -1.403  0.128 -1.395  0.128 -1.295  0.120 -1.194  0.109 -1.094  0.098 -0.994  0.087 -0.894  0.075 -0.794  0.064 -0.694  0.053 -0.594  0.042 -0.494  0.031 -0.394  0.020 -0.294  0.009 -0.193  -0.002 -0.093  -0.014 0.007  -0.025 0.107  -0.036 0.207  -0.047 0.307  -0.058 0.407  -0.069 0.507  -0.080 0.607  -0.091 0.707  -0.102 0.807  -0.114 0.907  -0.125 1.007  -0.136 1.108  -0.147 1.208  -0.158 1.308  -0.169 1.408  -0.180 1.508  -0.191 1.608  -0.203 1.708  -0.214 1.808  -0.225 1.908  -0.236 2.008
2#apa#apa01#app0130/g  0.213 1.056  0.117 1.113  0.022 1.169  -0.052 1.247  -0.204 1.247  -0.355 1.247  -0.412 1.152  -0.468 1.056  -0.551 0.988  -0.551 0.836  -0.637 0.770  -0.647 0.628  -0.639 0.483  -0.551 0.419  -0.527 0.292  -0.399 0.235  -0.263 0.197  -0.111 0.197  -0.054 0.292  0.022 0.368  0.058 0.483  0.117 0.576  0.117 0.728  0.117 0.851  0.117 0.699  0.149 0.579  0.213 0.491  0.262 0.388  0.308 0.283  0.308 0.131  0.395 0.015  0.404 -0.133  0.407 -0.284  0.499 -0.398  0.499 -0.549  0.526 -0.690  0.595 -0.814  0.584 -0.961  0.499 -1.078  0.499 -1.230  0.450 -1.332  0.393 -1.427  0.261 -1.475  0.129 -1.523  -0.023 -1.523  -0.145 -1.452  -0.287 -1.427  -0.360 -1.349  -0.495 -1.332  -0.551 -1.236
2#apa#apa01#app0130/i  -0.098 0.378  0.025 0.378  0.070 0.300  0.070 0.176  0.070 0.053  0.182 0.041  0.239 -0.025  0.239 -0.149  0.239 -0.272  0.239 -0.396  0.239 -0.519  0.239 -0.642  0.239 -0.766  0.239 -0.889  0.239 -1.012  0.239 -1.136  0.239 -1.259  0.314 -1.307  0.407 -1.337  0.407 -1.461  0.376 -1.371  0.341 -1.253  0.305 -1.135  0.270 -1.017  0.234 -0.899  0.199 -0.780  0.163 -0.662  0.128 -0.544  0.092 -0.426  0.057 -0.308  0.022 -0.190  -0.014 -0.071  -0.049 0.047  -0.085 0.165  -0.120 0.283  -0.156 0.401  -0.191 0.519  -0.227 0.638  -0.262 0.756  -0.297 0.874  -0.333 0.992  -0.368 1.110  -0.404 1.228  -0.439 1.347  -0.475 1.465  -0.510 1.583  -0.546 1.701  -0.581 1.819  -0.604 1.849  -0.604 1.726
2#apa#apa01#app0130/n  -1.073 0.377  -0.964 0.268  -0.904 0.139  -0.904 -0.015  -0.904 -0.169  -0.877 -0.296  -0.736 -0.308  -0.736 -0.462  -0.736 -0.616  -0.639 -0.730  -0.568 -0.854  -0.568 -1.008  -0.568 -1.112  -0.568 -0.958  -0.568 -0.804  -0.568 -0.650  -0.568 -0.496  -0.568 -0.342  -0.568 -0.188  -0.568 -0.034  -0.568 0.120  -0.568 0.274  -0.568 0.428  -0.568 0.581  -0.546 0.714  -0.392 0.714  -0.238 0.714  -0.231 0.861  -0.099 0.882  0.055 0.882  0.209 0.882  0.363 0.882  0.442 0.807  0.503 0.714  0.657 0.714  0.778 0.681  0.796 0.546  0.946 0.542  0.946 0.388  1.090 0.377  1.115 0.248  1.115 0.094  1.115 -0.059  1.115 -0.213  1.115 -0.367  1.115 -0.521  1.115 -0.675  1.115 -0.829  1.115 -0.983  1.115 -1.137
2#apa#apa01#app0130/k  -0.866 1.851  -0.732 1.669  -0.717 1.446  -0.597 1.330  -0.597 1.093  -0.462 0.990  -0.462 0.753  -0.462 0.516  -0.462 0.279  -0.462 0.042  -0.462 -0.195  -0.462 -0.433  -0.462 -0.670  -0.462 -0.907  -0.462 -1.144  -0.462 -1.381  -0.327 -1.283  -0.266 -1.055  -0.195 -0.829  -0.124 -0.603  -0.052 -0.377  0.019 -0.150  0.091 0.076  0.162 0.302  0.233 0.528  0.305 0.754  0.376 0.980  0.448 1.206  0.481 1.185  0.481 0.948  0.346 0.845  0.230 0.656  0.212 0.427  0.085 0.242  0.013 0.035  -0.155 -0.133  -0.242 -0.305  -0.327 -0.423  -0.208 -0.305  -0.106 -0.170  0.131 -0.170  0.322 -0.281  0.481 -0.374  0.616 -0.476  0.750 -0.578  0.750 -0.816  0.885 -0.997  0.970 -1.199  1.052 -1.383  1.155 -1.518
2#apa#apa01#app0130/y  -0.554 1.123  -0.528 0.999  -0.430 0.947  -0.430 0.798  -0.430 0.648  -0.338 0.537  -0.307 0.400  -0.214 0.289  -0.183 0.152  -0.059 0.126  -0.025 0.011  0.124 0.011  0.188 -0.076  0.188 -0.001  0.213 0.147  0.239 0.294  0.266 0.441  0.293 0.588  0.320 0.735  0.346 0.883  0.373 1.030  0.400 1.177  0.427 1.324  0.435 1.267  0.435 1.118  0.413 0.977  0.311 0.869  0.311 0.720  0.270 0.587  0.188 0.472  0.188 0.322  0.188 0.173  0.109 0.055  0.064 -0.076  0.064 -0.225  0.050 -0.360  -0.059 -0.401  -0.059 -0.550  -0.059 -0.700  -0.059 -0.850  -0.162 -0.957  -0.183 -1.098  -0.183 -1.247  -0.183 -1.397  -0.216 -1.539  -0.283 -1.673  -0.307 -1.817  -0.307 -1.966  -0.412 -2.072  -0.430 -2.214
2#apa#apa01#app0130/d  -0.038 -0.371  0.081 -0.259  0.081 -0.027  -0.038 0.086  -0.158 0.199  -0.362 0.226  -0.594 0.226  -0.686 0.057  -0.875 -0.027  -0.882 -0.252  -0.995 -0.372  -0.995 -0.604  -0.920 -0.805  -0.826 -0.969  -0.725 -1.119  -0.530 -1.208  -0.298 -1.208  -0.066 -1.208  0.141 -1.148  0.321 -1.061  0.321 -0.828  0.321 -0.596  0.321 -0.364  0.321 -0.132  0.321 0.100  0.321 0.332  0.321 0.564  0.256 0.770  0.201 0.979  0.096 1.168  0.081 1.394  -0.038 1.577  -0.038 1.809  -0.038 1.760  -0.024 1.542  0.081 1.415  0.081 1.183  0.081 0.951  0.201 0.768  0.201 0.536  0.321 0.423  0.321 0.191  0.341 -0.033  0.440 -0.224  0.440 -0.456  0.518 -0.610  0.560 -0.800  0.560 -1.033  0.679 -1.215  0.799 -1.328
2#apa#apa01#app0130/e  -0.710 0.104  -0.530 0.104  -0.521 -0.067  -0.359 -0.085  -0.179 -0.085  0.001 -0.085  0.182 -0.085  0.236 0.041  0.353 0.104  0.425 0.212  0.524 0.294  0.615 0.383  0.615 0.564  0.564 0.723  0.437 0.850  0.425 1.026  0.270 1.051  0.133 1.154  -0.012 1.240  -0.192 1.240  -0.332 1.199  -0.364 1.051  -0.537 1.035  -0.665 0.907  -0.710 0.746  -0.817 0.672  -0.900 0.575  -0.900 0.395  -0.900 0.214  -0.900 0.034  -0.839 -0.085  -0.710 -0.137  -0.680 -0.305  -0.553 -0.432  -0.521 -0.599  -0.394 -0.653  -0.332 -0.771  -0.223 -0.842  -0.043 -0.842  0.047 -0.933  0.128 -1.031  0.308 -1.031  0.489 -1.031  0.669 -1.031  0.849 -1.031  1.029 -1.031  1.210 -1.031  1.372 -1.013  1.381 -0.842  1.561 -0.842
2#apa#apa01#app0130/v  -1.427 0.732  -1.310 0.732  -1.210 0.715  -1.210 0.597  -1.185 0.490  -1.101 0.407  -1.018 0.324  -0.992 0.217  -0.992 0.099  -0.923 0.011  -0.840 -0.073  -0.756 -0.156  -0.673 -0.239  -0.590 -0.322  -0.557 -0.426  -0.557 -0.543  -0.469 -0.573  -0.351 -0.573  -0.265 -0.648  -0.181 -0.731  -0.122 -0.824  -0.122 -0.941  -0.071 -1.008  0.047 -1.008  0.144 -0.959  0.227 -0.876  0.311 -0.793  0.313 -0.677  0.313 -0.559  0.313 -0.441  0.345 -0.355  0.462 -0.355  0.531 -0.306  0.531 -0.189  0.531 -0.071  0.531 0.047  0.615 0.080  0.733 0.080  0.748 0.182  0.750 0.299  0.833 0.382  0.916 0.465  0.966 0.562  0.966 0.680  0.966 0.797  0.966 0.915  0.966 1.032  0.966 1.150  0.966 1.267  0.966 1.385
2#apa#apa01#app0130/i  -0.154 -0.302  -0.057 -0.302  -0.001 -0.343  -0.001 -0.440  -0.001 -0.537  -0.001 -0.635  -0.001 -0.732  -0.001 -0.829  -0.001 -0.926  -0.001 -1.023  -0.001 -1.120  -0.001 -1.217  0.093 -1.220  0.152 -1.258  0.152 -1.356  0.145 -1.295  0.136 -1.198  0.127 -1.101  0.118 -1.004  0.109 -0.908  0.101 -0.811  0.092 -0.714  0.083 -0.618  0.074 -0.521  0.065 -0.424  0.057 -0.327  0.048 -0.231  0.039 -0.134  0.030 -0.037  0.021 0.060  0.013 0.156  0.004 0.253  -0.005 0.350  -0.014 0.446  -0.022 0.543  -0.031 0.640  -0.040 0.737  -0.049 0.833  -0.058 0.930  -0.066 1.027  -0.075 1.124  -0.084 1.220  -0.093 1.317  -0.102 1.414  -0.110 1.510  -0.119 1.607  -0.128 1.704  -0.137 1.801  -0.146 1.897  -0.154 1.994
