2#apb#apb15#app1539/G  1.109 1.211  1.179 1.338  1.024 1.321  0.874 1.272  0.730 1.209  0.585 1.147  0.442 1.082  0.298 1.018  0.154 0.953  0.020 0.870  -0.114 0.788  -0.249 0.706  -0.373 0.610  -0.495 0.510  -0.617 0.410  -0.724 0.296  -0.817 0.169  -0.910 0.042  -0.999 -0.088  -1.063 -0.232  -1.127 -0.376  -1.151 -0.526  -1.137 -0.683  -1.062 -0.806  -0.933 -0.896  -0.795 -0.963  -0.639 -0.983  -0.483 -1.002  -0.327 -1.001  -0.172 -0.972  -0.017 -0.942  0.137 -0.913  0.290 -0.872  0.442 -0.831  0.587 -0.776  0.710 -0.678  0.808 -0.559  0.842 -0.414  0.809 -0.261  0.685 -0.163  0.552 -0.081  0.407 -0.019  0.259 0.030  0.103 0.056  -0.054 0.063  -0.070 0.012  0.084 -0.014  0.241 -0.022  0.399 -0.022  0.556 -0.022
2#apb#apb15#app1539/r  -0.162 0.901  -0.095 0.784  -0.030 0.666  0.021 0.541  0.071 0.416  0.097 0.286  0.097 0.151  0.097 0.016  0.097 -0.119  0.097 -0.254  0.097 -0.389  0.097 -0.523  0.097 -0.658  0.086 -0.793  0.067 -0.926  0.048 -1.060  0.022 -1.191  -0.032 -1.315  -0.087 -1.438  -0.175 -1.539  -0.280 -1.495  -0.364 -1.392  -0.431 -1.275  -0.467 -1.147  -0.488 -1.014  -0.508 -0.881  -0.512 -0.747  -0.498 -0.613  -0.485 -0.478  -0.471 -0.344  -0.458 -0.210  -0.422 -0.081  -0.376 0.046  -0.330 0.173  -0.284 0.300  -0.238 0.426  -0.190 0.552  -0.117 0.666  -0.044 0.779  0.029 0.893  0.104 1.004  0.211 1.087  0.317 1.170  0.432 1.236  0.563 1.269  0.694 1.301  0.826 1.318  0.960 1.309  1.095 1.299  1.229 1.290
2#apb#apb15#app1539/o  0.189 0.834  0.056 0.807  -0.076 0.781  -0.203 0.739  -0.321 0.673  -0.439 0.608  -0.540 0.519  -0.636 0.424  -0.731 0.328  -0.808 0.219  -0.864 0.097  -0.921 -0.026  -0.978 -0.149  -0.987 -0.282  -0.987 -0.417  -0.987 -0.552  -0.948 -0.675  -0.869 -0.785  -0.781 -0.885  -0.670 -0.962  -0.559 -1.040  -0.445 -1.099  -0.311 -1.076  -0.178 -1.052  -0.045 -1.029  0.088 -1.005  0.208 -0.947  0.324 -0.877  0.440 -0.808  0.556 -0.738  0.663 -0.659  0.748 -0.554  0.834 -0.450  0.920 -0.345  0.950 -0.221  0.950 -0.086  0.950 0.049  0.950 0.185  0.929 0.314  0.859 0.429  0.788 0.544  0.717 0.659  0.635 0.765  0.535 0.856  0.435 0.947  0.335 1.038  0.229 1.121  0.119 1.200  0.003 1.268  -0.122 1.318
2#apb#apb15#app1539/c  0.975 1.104  0.877 1.104  0.778 1.104  0.680 1.104  0.583 1.096  0.487 1.074  0.391 1.051  0.296 1.029  0.200 1.007  0.108 0.972  0.017 0.935  -0.074 0.899  -0.165 0.862  -0.257 0.826  -0.330 0.765  -0.390 0.687  -0.451 0.610  -0.512 0.533  -0.572 0.455  -0.633 0.378  -0.687 0.296  -0.737 0.212  -0.788 0.127  -0.838 0.043  -0.832 -0.052  -0.816 -0.149  -0.800 -0.246  -0.784 -0.343  -0.723 -0.417  -0.654 -0.486  -0.584 -0.556  -0.513 -0.623  -0.424 -0.665  -0.335 -0.706  -0.246 -0.748  -0.157 -0.789  -0.068 -0.831  0.026 -0.853  0.124 -0.864  0.222 -0.874  0.320 -0.884  0.417 -0.895  0.515 -0.905  0.613 -0.912  0.711 -0.912  0.809 -0.912  0.908 -0.912  1.006 -0.912  1.104 -0.912  1.203 -0.912
2#apb#apb15#app1539/e  -0.378 -0.275  -0.279 -0.181  -0.141 -0.131  -0.003 -0.080  0.136 -0.031  0.276 0.016  0.417 0.054  0.565 0.054  0.712 0.054  0.857 0.066  0.992 0.124  1.119 0.196  1.223 0.300  1.259 0.432  1.155 0.536  1.051 0.640  0.942 0.740  0.831 0.837  0.720 0.933  0.573 0.933  0.425 0.933  0.278 0.930  0.131 0.917  -0.015 0.903  -0.155 0.864  -0.289 0.803  -0.423 0.741  -0.557 0.679  -0.667 0.581  -0.776 0.482  -0.885 0.383  -0.979 0.274  -1.034 0.137  -1.088 -0.000  -1.093 -0.141  -1.064 -0.286  -1.032 -0.429  -0.940 -0.544  -0.848 -0.659  -0.756 -0.774  -0.632 -0.851  -0.503 -0.924  -0.375 -0.996  -0.246 -1.068  -0.113 -1.126  0.032 -1.154  0.177 -1.182  0.321 -1.209  0.466 -1.237  0.611 -1.264
2#apb#apb15#app1539/r  -0.275 0.888  -0.264 0.754  -0.254 0.619  -0.244 0.485  -0.231 0.351  -0.214 0.217  -0.197 0.084  -0.181 -0.050  -0.164 -0.183  -0.138 -0.315  -0.111 -0.448  -0.083 -0.579  -0.043 -0.708  -0.004 -0.836  0.036 -0.965  0.070 -1.095  0.096 -1.227  0.123 -1.359  0.159 -1.489  0.078 -1.494  -0.043 -1.434  -0.132 -1.340  -0.201 -1.225  -0.270 -1.109  -0.322 -0.987  -0.347 -0.855  -0.371 -0.722  -0.396 -0.590  -0.421 -0.457  -0.399 -0.325  -0.372 -0.193  -0.346 -0.061  -0.319 0.071  -0.293 0.203  -0.256 0.331  -0.196 0.452  -0.136 0.572  -0.076 0.693  -0.015 0.813  0.058 0.924  0.153 1.019  0.249 1.114  0.344 1.210  0.456 1.274  0.587 1.307  0.717 1.340  0.848 1.368  0.981 1.344  1.113 1.320  1.246 1.296
2#apb#apb15#app1539/y  -0.353 1.064  -0.409 0.967  -0.464 0.869  -0.506 0.769  -0.487 0.659  -0.446 0.555  -0.388 0.462  -0.305 0.391  -0.194 0.379  -0.082 0.386  0.021 0.421  0.117 0.479  0.177 0.568  0.221 0.671  0.268 0.772  0.321 0.871  0.373 0.970  0.413 1.074  0.454 1.179  0.457 1.187  0.424 1.080  0.390 0.974  0.356 0.867  0.320 0.761  0.285 0.655  0.249 0.549  0.214 0.442  0.186 0.334  0.164 0.225  0.142 0.115  0.120 0.005  0.098 -0.105  0.076 -0.215  0.055 -0.324  0.035 -0.435  0.015 -0.545  -0.005 -0.655  -0.024 -0.765  -0.044 -0.875  -0.065 -0.985  -0.088 -1.095  -0.112 -1.204  -0.136 -1.314  -0.159 -1.423  -0.183 -1.532  -0.213 -1.640  -0.257 -1.743  -0.301 -1.846  -0.344 -1.949  -0.388 -2.052
2#apb#apb15#app1539/L  -0.004 1.808  -0.022 1.774  -0.022 1.686  -0.024 1.598  -0.032 1.510  -0.040 1.422  -0.047 1.334  -0.055 1.246  -0.067 1.159  -0.082 1.072  -0.096 0.985  -0.111 0.898  -0.125 0.811  -0.140 0.724  -0.154 0.637  -0.167 0.549  -0.180 0.462  -0.193 0.375  -0.206 0.288  -0.220 0.201  -0.233 0.113  -0.247 0.026  -0.262 -0.061  -0.276 -0.148  -0.291 -0.235  -0.305 -0.322  -0.320 -0.409  -0.331 -0.496  -0.340 -0.584  -0.348 -0.672  -0.357 -0.760  -0.353 -0.847  -0.335 -0.933  -0.302 -1.012  -0.242 -1.069  -0.156 -1.051  -0.069 -1.033  0.014 -1.004  0.097 -0.975  0.180 -0.946  0.264 -0.917  0.348 -0.890  0.432 -0.865  0.517 -0.839  0.601 -0.813  0.685 -0.788  0.772 -0.773  0.859 -0.759  0.947 -0.745  1.034 -0.731
2#apb#apb15#app1539/i  -0.371 0.046  -0.386 -0.055  -0.394 -0.156  -0.386 -0.258  -0.378 -0.359  -0.368 -0.461  -0.336 -0.557  -0.303 -0.654  -0.271 -0.751  -0.225 -0.842  -0.180 -0.933  -0.136 -1.025  -0.098 -1.120  -0.061 -1.215  -0.008 -1.301  0.051 -1.384  0.077 -1.358  0.079 -1.256  0.081 -1.154  0.083 -1.052  0.086 -0.950  0.088 -0.848  0.090 -0.746  0.092 -0.644  0.094 -0.542  0.097 -0.440  0.099 -0.338  0.101 -0.236  0.103 -0.134  0.105 -0.033  0.108 0.069  0.110 0.171  0.112 0.273  0.114 0.375  0.117 0.477  0.119 0.579  0.121 0.681  0.123 0.783  0.125 0.885  0.128 0.987  0.130 1.089  0.132 1.191  0.134 1.293  0.136 1.395  0.139 1.496  0.141 1.598  0.143 1.700  0.145 1.802  0.148 1.904  0.150 2.006
2#apb#apb15#app1539/s  0.611 1.308  0.493 1.299  0.376 1.290  0.261 1.269  0.154 1.219  0.048 1.168  -0.059 1.118  -0.165 1.067  -0.275 1.024  -0.385 0.981  -0.495 0.938  -0.605 0.895  -0.692 0.817  -0.775 0.734  -0.859 0.651  -0.897 0.540  -0.931 0.427  -0.922 0.313  -0.896 0.198  -0.808 0.128  -0.705 0.072  -0.594 0.033  -0.482 -0.007  -0.371 -0.046  -0.258 -0.079  -0.142 -0.101  -0.026 -0.123  0.089 -0.145  0.205 -0.167  0.315 -0.210  0.424 -0.255  0.533 -0.300  0.642 -0.346  0.743 -0.406  0.844 -0.467  0.905 -0.560  0.942 -0.672  0.911 -0.773  0.842 -0.869  0.741 -0.926  0.634 -0.977  0.528 -1.027  0.421 -1.077  0.305 -1.097  0.188 -1.114  0.072 -1.132  -0.045 -1.149  -0.163 -1.154  -0.281 -1.154  -0.399 -1.154
2#apb#apb15#app1539/t  0.287 1.876  0.304 1.721  0.307 1.565  0.300 1.410  0.292 1.254  0.282 1.099  0.263 0.944  0.244 0.789  0.224 0.635  0.204 0.480  0.181 0.326  0.158 0.172  0.135 0.018  0.112 -0.136  0.082 -0.290  0.053 -0.443  0.023 -0.596  -0.006 -0.749  -0.023 -0.903  -0.039 -1.059  -0.054 -1.214  -0.075 -1.368  -0.099 -1.522  -0.109 -1.677  -0.134 -1.636  -0.174 -1.485  -0.213 -1.334  -0.252 -1.183  -0.292 -1.033  -0.331 -0.882  -0.371 -0.731  -0.410 -0.580  -0.449 -0.429  -0.489 -0.279  -0.528 -0.128  -0.568 0.023  -0.607 0.174  -0.646 0.325  -0.644 0.450  -0.493 0.488  -0.338 0.509  -0.184 0.529  -0.030 0.551  0.124 0.579  0.277 0.607  0.430 0.635  0.586 0.635  0.741 0.628  0.897 0.622  1.053 0.615
