2#tos#f1#f1057065/#  -0.690 0.438  -0.958 0.203  -0.633 0.294  -0.285 0.442  0.036 0.637  0.316 0.808  0.620 0.814  0.306 0.550  -0.008 0.287  -0.322 0.023  -0.636 -0.241  -0.950 -0.504  -1.060 -0.873  -1.269 -1.220  -1.132 -1.362  -0.789 -1.169  -0.436 -0.998  -0.113 -0.756  0.250 -0.585  0.595 -0.386  0.958 -0.206  1.347 -0.098  1.464 0.008  1.149 0.270  0.834 0.533  0.519 0.795  0.204 1.057  -0.138 1.244  -0.462 1.191  -0.355 0.818  -0.355 0.408  -0.355 -0.002  -0.355 -0.412  -0.355 -0.822  -0.355 -1.232  -0.287 -1.626  -0.204 -1.256  -0.117 -0.856  -0.030 -0.455  0.058 -0.055  0.145 0.346  0.232 0.747  0.319 1.147  0.289 1.398  0.418 1.074  0.518 0.736  0.518 0.326  0.518 -0.084  0.518 -0.494  0.518 -0.904
2#tos#f1#f1057065/$  0.914 1.037  0.887 1.094  0.476 1.143  0.054 1.151  -0.206 1.022  -0.446 0.751  -0.384 0.355  0.003 0.244  0.240 -0.045  0.531 -0.294  0.574 -0.707  0.404 -1.040  0.034 -1.172  -0.219 -1.003  -0.481 -0.705  -0.616 -0.324  -0.673 -0.461  -0.786 -0.862  -0.908 -1.257  -0.859 -1.144  -0.709 -0.748  -0.558 -0.352  -0.408 0.043  -0.258 0.439  -0.107 0.834  0.043 1.230  -0.065 1.465  -0.106 1.216  -0.106 0.793  -0.106 0.370  -0.106 -0.054  -0.219 -0.450  -0.219 -0.873  -0.219 -1.296  -0.147 -1.087  -0.052 -0.674  0.043 -0.262  0.138 0.150  0.233 0.563  0.329 0.975  0.424 1.387  0.404 1.458  0.461 1.092  0.461 0.668  0.461 0.245  0.347 -0.159  0.347 -0.583  0.347 -1.006  0.347 -1.429  0.461 -1.739
2#tos#f1#f1057065/(  0.723 1.368  0.723 1.284  0.723 1.200  0.723 1.116  0.694 1.062  0.610 1.062  0.527 1.062  0.443 1.062  0.359 1.062  0.295 1.042  0.253 1.001  0.172 0.997  0.172 0.913  0.172 0.829  0.109 0.785  0.032 0.756  -0.052 0.756  -0.108 0.703  -0.154 0.633  -0.202 0.565  -0.256 0.503  -0.256 0.419  -0.256 0.336  -0.256 0.252  -0.256 0.168  -0.256 0.084  -0.256 0.000  -0.270 -0.081  -0.296 -0.161  -0.318 -0.241  -0.318 -0.325  -0.318 -0.409  -0.318 -0.493  -0.318 -0.577  -0.318 -0.660  -0.318 -0.744  -0.318 -0.828  -0.256 -0.851  -0.256 -0.934  -0.256 -1.018  -0.242 -1.096  -0.182 -1.155  -0.123 -1.215  -0.073 -1.277  -0.073 -1.361  -0.073 -1.445  0.007 -1.449  0.050 -1.490  0.052 -1.573  0.111 -1.633
2#tos#f1#f1057065/.  -0.496 1.698  -0.496 1.612  -0.496 1.525  -0.496 1.439  -0.496 1.353  -0.496 1.267  -0.496 1.180  -0.496 1.094  -0.496 1.008  -0.496 0.921  -0.496 0.835  -0.496 0.749  -0.496 0.662  -0.496 0.576  -0.462 0.525  -0.375 0.525  -0.289 0.525  -0.203 0.524  -0.203 0.438  -0.203 0.352  -0.203 0.265  -0.203 0.179  -0.203 0.093  -0.203 0.007  -0.190 -0.075  -0.129 -0.136  -0.068 -0.197  -0.007 -0.258  0.054 -0.319  0.125 -0.355  0.211 -0.355  0.297 -0.355  0.384 -0.355  0.384 -0.441  0.384 -0.528  0.384 -0.614  0.384 -0.700  0.384 -0.787  0.384 -0.873  0.384 -0.959  0.384 -1.046  0.384 -1.132  0.384 -1.218  0.453 -1.235  0.539 -1.235  0.625 -1.235  0.712 -1.235  0.798 -1.235  0.884 -1.235  0.970 -1.235
2#tos#f1#f1057065/  0.822 1.504  0.822 1.426  0.813 1.353  0.748 1.310  0.683 1.267  0.619 1.224  0.607 1.153  0.607 1.075  0.607 0.997  0.600 0.922  0.545 0.867  0.490 0.812  0.435 0.757  0.380 0.702  0.325 0.647  0.288 0.579  0.253 0.510  0.247 0.433  0.247 0.356  0.194 0.300  0.139 0.245  0.091 0.185  0.056 0.115  0.021 0.046  -0.013 -0.024  -0.057 -0.082  -0.132 -0.101  -0.208 -0.120  -0.283 -0.139  -0.328 -0.182  -0.328 -0.259  -0.328 -0.337  -0.328 -0.415  -0.328 -0.493  -0.328 -0.570  -0.328 -0.648  -0.329 -0.726  -0.398 -0.761  -0.468 -0.795  -0.472 -0.870  -0.472 -0.948  -0.472 -1.026  -0.485 -1.098  -0.540 -1.153  -0.595 -1.208  -0.664 -1.229  -0.688 -1.283  -0.688 -1.361  -0.688 -1.439  -0.688 -1.517
2#tos#f1#f1057065/:  0.270 1.547  0.270 1.474  0.207 1.440  0.141 1.407  0.120 1.348  0.073 1.321  0.089 1.321  0.120 1.279  0.120 1.206  0.116 1.133  0.110 1.060  0.104 0.988  0.097 0.915  0.091 0.842  0.085 0.769  0.078 0.697  0.072 0.624  0.066 0.551  0.059 0.478  0.053 0.405  0.047 0.333  0.040 0.260  0.034 0.187  0.028 0.114  0.021 0.042  0.015 -0.031  0.009 -0.104  0.002 -0.177  -0.004 -0.249  -0.010 -0.322  -0.017 -0.395  -0.023 -0.468  -0.029 -0.540  -0.031 -0.613  -0.031 -0.686  -0.031 -0.760  -0.031 -0.833  -0.031 -0.906  -0.031 -0.979  -0.059 -1.040  -0.111 -1.092  -0.163 -1.143  -0.214 -1.195  -0.257 -1.250  -0.257 -1.323  -0.257 -1.396  -0.257 -1.469  -0.257 -1.542  -0.254 -1.613  -0.181 -1.613
2#tos#f1#f1057065/;  0.066 1.683  0.066 1.605  0.066 1.528  0.066 1.451  0.035 1.381  0.000 1.312  -0.059 1.282  -0.094 1.240  -0.094 1.163  -0.059 1.122  -0.013 1.089  -0.010 1.011  -0.006 0.934  -0.003 0.857  -0.000 0.780  0.003 0.702  0.006 0.625  0.010 0.548  0.013 0.471  0.016 0.393  0.019 0.316  0.023 0.239  0.026 0.162  0.029 0.084  0.032 0.007  0.035 -0.070  0.039 -0.147  0.042 -0.225  0.045 -0.302  0.048 -0.379  0.051 -0.457  0.055 -0.534  0.058 -0.611  0.061 -0.688  0.064 -0.766  0.032 -0.825  -0.033 -0.867  -0.097 -0.910  -0.161 -0.953  -0.113 -0.962  -0.053 -1.004  -0.014 -1.065  -0.014 -1.142  -0.014 -1.219  -0.014 -1.297  -0.014 -1.374  -0.014 -1.451  -0.014 -1.529  -0.017 -1.603  -0.094 -1.603
2#tos#f1#f1057065/<  0.544 1.596  0.544 1.494  0.506 1.402  0.485 1.306  0.447 1.243  0.352 1.227  0.309 1.144  0.250 1.067  0.191 0.990  0.190 0.890  0.089 0.890  0.002 0.865  -0.043 0.775  -0.044 0.674  -0.122 0.628  -0.218 0.596  -0.291 0.526  -0.362 0.454  -0.444 0.396  -0.530 0.345  -0.574 0.262  -0.597 0.184  -0.662 0.125  -0.691 0.030  -0.761 -0.028  -0.809 -0.099  -0.777 -0.169  -0.688 -0.210  -0.604 -0.266  -0.510 -0.289  -0.419 -0.335  -0.373 -0.419  -0.341 -0.515  -0.250 -0.552  -0.156 -0.587  -0.079 -0.652  0.012 -0.697  0.102 -0.742  0.154 -0.822  0.186 -0.918  0.267 -0.972  0.360 -1.010  0.456 -1.042  0.556 -1.052  0.616 -1.104  0.641 -1.203  0.662 -1.301  0.719 -1.346  0.808 -1.374  0.897 -1.404
2#tos#f1#f1057065/?  -0.249 1.189  -0.314 1.132  -0.403 1.132  -0.477 1.118  -0.432 1.075  -0.343 1.075  -0.254 1.075  -0.166 1.075  -0.077 1.075  0.012 1.075  0.100 1.075  0.189 1.075  0.217 1.008  0.286 0.961  0.321 0.908  0.359 0.828  0.424 0.790  0.435 0.712  0.407 0.632  0.357 0.559  0.305 0.488  0.242 0.425  0.189 0.355  0.150 0.276  0.150 0.187  0.105 0.117  0.042 0.054  0.036 -0.032  0.019 -0.118  -0.009 -0.202  -0.072 -0.237  -0.078 -0.320  -0.078 -0.409  -0.078 -0.498  -0.078 -0.586  -0.072 -0.675  -0.066 -0.763  -0.060 -0.852  -0.054 -0.940  -0.048 -1.029  -0.042 -1.117  -0.036 -1.206  -0.030 -1.294  -0.025 -1.383  -0.021 -1.471  -0.081 -1.523  -0.144 -1.577  -0.172 -1.661  -0.192 -1.746  -0.192 -1.835
2#tos#f1#f1057065/^  -1.014 -0.313  -1.104 -0.403  -1.195 -0.494  -1.272 -0.589  -1.212 -0.657  -1.100 -0.641  -1.100 -0.513  -1.001 -0.485  -0.873 -0.485  -0.842 -0.388  -0.842 -0.260  -0.758 -0.185  -0.657 -0.114  -0.600 0.000  -0.519 0.097  -0.428 0.187  -0.404 0.306  -0.347 0.420  -0.327 0.543  -0.215 0.602  -0.155 0.692  -0.155 0.820  -0.155 0.948  -0.055 0.976  0.017 1.031  0.028 1.148  0.103 1.095  0.145 0.977  0.189 0.860  0.189 0.732  0.290 0.667  0.395 0.597  0.446 0.491  0.456 0.369  0.571 0.312  0.618 0.214  0.618 0.086  0.618 -0.041  0.638 -0.161  0.723 -0.255  0.794 -0.362  0.865 -0.468  0.876 -0.592  0.904 -0.713  0.961 -0.827  1.048 -0.919  1.094 -1.000  1.220 -1.003  1.220 -1.130  1.305 -1.172
2#tos#f1#f1057065/|  0.232 1.535  0.161 1.517  0.090 1.499  0.020 1.482  -0.047 1.461  -0.047 1.388  -0.047 1.315  -0.047 1.242  -0.047 1.170  -0.033 1.102  0.018 1.051  0.023 0.980  0.023 0.907  0.023 0.834  0.023 0.761  0.023 0.688  0.023 0.615  0.023 0.542  0.023 0.469  0.023 0.396  0.023 0.323  0.023 0.251  0.023 0.178  0.023 0.105  0.023 0.032  0.023 -0.041  0.023 -0.114  0.023 -0.187  0.023 -0.260  0.023 -0.333  0.023 -0.406  0.023 -0.479  0.023 -0.552  0.023 -0.624  0.023 -0.697  0.023 -0.770  0.023 -0.843  0.023 -0.916  0.013 -0.983  -0.053 -1.016  -0.117 -1.049  -0.117 -1.122  -0.117 -1.194  -0.117 -1.267  -0.108 -1.336  -0.056 -1.388  -0.047 -1.457  -0.047 -1.530  -0.047 -1.603  -0.047 -1.676
