3#app#app13#app1397/f  0.699 0.955  0.699 1.070  0.637 1.158  0.557 1.239  0.476 1.320  0.386 1.380  0.272 1.380  0.158 1.380  0.044 1.380  -0.071 1.380  -0.150 1.345  -0.155 1.233  -0.236 1.152  -0.292 1.061  -0.292 0.946  -0.292 0.832  -0.292 0.718  -0.292 0.604  -0.292 0.489  -0.292 0.375  -0.292 0.261  -0.292 0.146  -0.292 0.032  -0.292 -0.082  -0.292 -0.196  -0.292 -0.311  -0.292 -0.425  -0.236 -0.516  -0.155 -0.597  -0.150 -0.709  -0.150 -0.823  -0.112 -0.922  -0.032 -1.003  -0.009 -1.108  -0.009 -1.222  0.011 -1.328  0.091 -1.409  0.142 -1.396  0.161 -1.283  0.180 -1.170  0.198 -1.057  0.217 -0.945  0.236 -0.832  0.255 -0.719  0.274 -0.607  0.166 -0.601  0.051 -0.601  -0.063 -0.601  -0.150 -0.629  -0.150 -0.743
3#app#app13#app1397/e  -0.393 0.145  -0.393 -0.007  -0.352 -0.119  -0.200 -0.119  -0.130 -0.037  -0.130 0.115  -0.007 0.145  0.134 0.156  0.134 0.308  0.171 0.445  0.278 0.552  0.386 0.660  0.397 0.807  0.422 0.934  0.574 0.934  0.660 1.000  0.660 1.152  0.553 1.197  0.401 1.197  0.249 1.197  0.108 1.171  0.000 1.063  -0.107 0.956  -0.215 0.849  -0.322 0.741  -0.445 0.671  -0.597 0.671  -0.656 0.577  -0.656 0.425  -0.656 0.273  -0.656 0.121  -0.656 -0.031  -0.656 -0.183  -0.656 -0.335  -0.656 -0.487  -0.656 -0.639  -0.553 -0.748  -0.445 -0.855  -0.323 -0.943  -0.187 -1.011  -0.051 -1.079  0.085 -1.147  0.231 -1.171  0.383 -1.171  0.494 -1.269  0.602 -1.376  0.730 -1.434  0.882 -1.434  1.034 -1.434  1.186 -1.434
3#app#app13#app1397/w  -1.230 1.071  -1.230 0.960  -1.230 0.849  -1.230 0.739  -1.230 0.628  -1.230 0.517  -1.230 0.407  -1.230 0.296  -1.221 0.189  -1.142 0.111  -1.064 0.033  -0.986 -0.046  -0.907 -0.124  -0.829 -0.202  -0.751 -0.281  -0.673 -0.359  -0.572 -0.383  -0.461 -0.383  -0.350 -0.383  -0.240 -0.383  -0.129 -0.383  -0.067 -0.334  -0.067 -0.224  -0.067 -0.113  -0.067 -0.002  -0.067 0.109  -0.046 0.199  0.065 0.199  0.175 0.199  0.224 0.136  0.224 0.026  0.224 -0.085  0.297 -0.165  0.375 -0.244  0.454 -0.322  0.539 -0.383  0.650 -0.383  0.760 -0.383  0.871 -0.383  0.982 -0.383  1.093 -0.383  1.172 -0.307  1.250 -0.229  1.328 -0.151  1.387 -0.064  1.387 0.046  1.387 0.157  1.456 0.199  1.567 0.199  1.678 0.199
3#app#app13#app1397/q  0.372 0.212  0.372 0.373  0.281 0.496  0.180 0.615  0.180 0.775  0.034 0.790  -0.127 0.790  -0.287 0.790  -0.448 0.790  -0.590 0.771  -0.590 0.611  -0.737 0.597  -0.783 0.482  -0.866 0.405  -0.975 0.353  -0.955 0.212  -0.794 0.212  -0.634 0.212  -0.473 0.212  -0.337 0.273  -0.224 0.386  -0.071 0.405  -0.013 0.507  0.058 0.597  0.180 0.636  0.180 0.797  0.180 0.957  0.044 0.982  -0.013 0.879  -0.013 0.718  -0.013 0.557  -0.007 0.399  0.107 0.285  0.180 0.155  0.180 -0.006  0.180 -0.166  0.180 -0.327  0.235 -0.475  0.306 -0.618  0.372 -0.763  0.372 -0.924  0.372 -1.085  0.450 -1.213  0.564 -1.326  0.565 -1.487  0.565 -1.647  0.565 -1.808  0.565 -1.969  0.565 -2.129  0.565 -2.290
3#app#app13#app1397/u  -1.326 1.075  -1.247 0.995  -1.167 0.916  -1.088 0.837  -1.009 0.758  -0.930 0.679  -0.851 0.600  -0.838 0.493  -0.838 0.381  -0.838 0.269  -0.838 0.157  -0.838 0.045  -0.838 -0.066  -0.838 -0.178  -0.838 -0.290  -0.825 -0.389  -0.713 -0.389  -0.601 -0.389  -0.489 -0.389  -0.377 -0.389  -0.290 -0.449  -0.211 -0.528  -0.132 -0.607  -0.052 -0.687  0.027 -0.766  0.106 -0.845  0.205 -0.877  0.317 -0.877  0.429 -0.877  0.540 -0.877  0.626 -0.850  0.626 -0.738  0.626 -0.626  0.626 -0.514  0.626 -0.402  0.626 -0.290  0.626 -0.178  0.626 -0.066  0.626 0.045  0.667 0.140  0.746 0.219  0.825 0.299  0.904 0.378  0.984 0.457  1.063 0.536  1.113 0.627  1.113 0.739  1.113 0.851  1.113 0.963  1.113 1.075
3#app#app13#app1397/i  -0.161 1.116  -0.161 1.190  -0.161 1.263  -0.161 1.336  -0.161 1.410  -0.161 1.464  -0.161 1.390  -0.161 1.317  -0.161 1.243  -0.161 1.170  -0.159 1.096  -0.148 1.024  -0.138 0.951  -0.127 0.878  -0.117 0.805  -0.107 0.733  -0.096 0.660  -0.086 0.587  -0.075 0.514  -0.065 0.442  -0.055 0.369  -0.044 0.296  -0.034 0.223  -0.023 0.151  -0.013 0.078  -0.003 0.005  0.008 -0.068  0.018 -0.140  0.028 -0.213  0.039 -0.286  0.049 -0.359  0.060 -0.431  0.070 -0.504  0.080 -0.577  0.091 -0.650  0.101 -0.722  0.112 -0.795  0.122 -0.868  0.132 -0.941  0.143 -1.013  0.153 -1.086  0.164 -1.159  0.174 -1.232  0.184 -1.304  0.195 -1.377  0.196 -1.450  0.196 -1.524  0.196 -1.597  0.196 -1.671  0.196 -1.744
3#app#app13#app1397/p  -0.792 0.732  -0.792 0.554  -0.691 0.419  -0.579 0.287  -0.579 0.110  -0.579 -0.068  -0.579 -0.246  -0.579 -0.423  -0.540 -0.584  -0.414 -0.710  -0.366 -0.868  -0.366 -1.045  -0.366 -1.223  -0.366 -1.401  -0.366 -1.578  -0.366 -1.462  -0.366 -1.284  -0.366 -1.106  -0.366 -0.929  -0.366 -0.751  -0.366 -0.573  -0.366 -0.396  -0.366 -0.218  -0.311 -0.064  -0.185 0.062  -0.154 0.227  -0.154 0.404  -0.154 0.582  -0.154 0.759  -0.154 0.937  -0.154 1.115  -0.058 1.253  0.070 1.370  0.248 1.370  0.426 1.370  0.569 1.287  0.694 1.161  0.698 0.985  0.795 0.847  0.910 0.718  0.910 0.540  0.910 0.362  0.910 0.185  0.910 0.007  0.910 -0.170  0.894 -0.332  0.717 -0.332  0.698 -0.490  0.610 -0.632  0.485 -0.758
3#app#app13#app1397/s  -0.039 1.569  -0.039 1.451  -0.039 1.333  -0.053 1.229  -0.171 1.229  -0.289 1.229  -0.379 1.201  -0.379 1.084  -0.379 0.966  -0.421 0.889  -0.539 0.889  -0.657 0.889  -0.719 0.834  -0.719 0.716  -0.719 0.598  -0.650 0.549  -0.532 0.549  -0.414 0.549  -0.379 0.466  -0.379 0.348  -0.379 0.230  -0.282 0.209  -0.164 0.209  -0.046 0.209  -0.039 0.098  -0.039 -0.020  -0.032 -0.131  0.086 -0.131  0.204 -0.131  0.301 -0.152  0.301 -0.270  0.301 -0.388  0.336 -0.471  0.454 -0.471  0.572 -0.471  0.641 -0.519  0.641 -0.637  0.641 -0.755  0.641 -0.873  0.641 -0.991  0.641 -1.109  0.565 -1.151  0.447 -1.151  0.329 -1.151  0.301 -1.241  0.301 -1.359  0.301 -1.477  0.197 -1.491  0.079 -1.491  -0.039 -1.491
3#app#app13#app1397/g  -0.063 0.569  0.082 0.603  0.082 0.782  0.082 0.961  0.082 1.139  -0.063 1.173  -0.122 1.293  -0.301 1.293  -0.479 1.293  -0.513 1.148  -0.642 1.099  -0.642 0.920  -0.642 0.741  -0.498 0.707  -0.457 0.569  -0.278 0.569  -0.131 0.646  0.019 0.714  0.082 0.830  0.227 0.864  0.227 0.964  0.227 0.786  0.227 0.607  0.227 0.428  0.227 0.249  0.227 0.071  0.227 -0.108  0.227 -0.287  0.227 -0.466  0.227 -0.644  0.227 -0.823  0.227 -1.002  0.227 -1.181  0.227 -1.360  0.227 -1.538  0.227 -1.717  0.225 -1.891  0.098 -1.765  0.077 -1.594  -0.003 -1.434  -0.063 -1.269  -0.063 -1.091  -0.063 -0.912  -0.063 -0.733  -0.063 -0.554  -0.063 -0.376  -0.063 -0.197  0.034 -0.058  0.193 -0.010  0.371 -0.010
3#app#app13#app1397/a  0.712 0.731  0.600 0.844  0.487 0.956  0.374 1.069  0.248 1.150  0.089 1.150  -0.071 1.150  -0.230 1.150  -0.390 1.150  -0.544 1.144  -0.544 0.985  -0.544 0.826  -0.590 0.685  -0.702 0.572  -0.815 0.460  -0.928 0.347  -0.962 0.202  -0.962 0.042  -0.962 -0.117  -0.962 -0.276  -0.962 -0.436  -0.962 -0.595  -0.962 -0.755  -0.962 -0.914  -0.833 -0.944  -0.673 -0.944  -0.514 -0.944  -0.355 -0.944  -0.195 -0.944  -0.062 -0.881  0.051 -0.768  0.164 -0.655  0.276 -0.543  0.294 -0.390  0.294 -0.231  0.329 -0.107  0.488 -0.107  0.648 -0.107  0.712 -0.012  0.712 0.148  0.712 0.307  0.712 0.158  0.712 -0.001  0.751 -0.145  0.864 -0.258  0.976 -0.370  1.089 -0.483  1.131 -0.625  1.131 -0.785  1.131 -0.944
3#app#app13#app1397/l  -0.186 1.689  -0.186 1.618  -0.186 1.547  -0.186 1.476  -0.186 1.406  -0.186 1.335  -0.186 1.264  -0.168 1.198  -0.136 1.134  -0.105 1.071  -0.073 1.008  -0.041 0.944  -0.035 0.875  -0.035 0.804  -0.035 0.734  -0.035 0.663  -0.035 0.592  -0.035 0.521  -0.035 0.451  -0.035 0.380  -0.035 0.309  -0.035 0.238  -0.035 0.168  -0.035 0.097  -0.035 0.026  -0.035 -0.045  -0.035 -0.115  -0.035 -0.186  -0.035 -0.257  -0.014 -0.323  0.018 -0.386  0.049 -0.449  0.081 -0.513  0.113 -0.576  0.117 -0.646  0.117 -0.717  0.117 -0.787  0.117 -0.858  0.117 -0.929  0.117 -1.000  0.117 -1.070  0.117 -1.141  0.117 -1.212  0.117 -1.283  0.117 -1.353  0.117 -1.424  0.118 -1.494  0.168 -1.544  0.218 -1.594  0.268 -1.644
