1c#apa#apa03#app0332/v  -0.732 1.522  -0.732 1.393  -0.732 1.265  -0.732 1.136  -0.732 1.007  -0.732 0.878  -0.732 0.749  -0.732 0.620  -0.701 0.521  -0.572 0.521  -0.481 0.484  -0.481 0.355  -0.481 0.226  -0.481 0.097  -0.481 -0.032  -0.481 -0.161  -0.481 -0.290  -0.481 -0.419  -0.481 -0.548  -0.481 -0.677  -0.428 -0.783  -0.337 -0.875  -0.245 -0.966  -0.231 -1.089  -0.231 -1.218  -0.115 -1.230  0.014 -1.230  0.019 -1.106  0.022 -0.980  0.151 -0.980  0.277 -0.973  0.368 -0.882  0.459 -0.791  0.520 -0.687  0.520 -0.558  0.555 -0.444  0.647 -0.353  0.738 -0.261  0.770 -0.146  0.770 -0.017  0.770 0.112  0.770 0.241  0.770 0.370  0.770 0.499  0.770 0.628  0.770 0.756  0.770 0.885  0.770 1.014  0.770 1.143  0.770 1.272
1c#apa#apa03#app0332/e  -0.294 0.220  -0.184 0.111  -0.061 0.035  0.093 0.035  0.248 0.035  0.361 0.134  0.480 0.220  0.632 0.223  0.632 0.377  0.632 0.532  0.728 0.590  0.818 0.656  0.783 0.776  0.632 0.780  0.632 0.934  0.632 1.089  0.535 1.146  0.380 1.146  0.226 1.146  0.077 1.140  0.077 0.986  -0.053 0.961  -0.178 0.891  -0.288 0.782  -0.440 0.776  -0.479 0.660  -0.539 0.530  -0.648 0.421  -0.757 0.312  -0.849 0.195  -0.849 0.041  -0.849 -0.114  -0.849 -0.269  -0.849 -0.423  -0.809 -0.561  -0.699 -0.670  -0.664 -0.810  -0.590 -0.891  -0.479 -0.934  -0.466 -1.076  -0.312 -1.076  -0.157 -1.076  -0.034 -1.151  0.076 -1.260  0.230 -1.261  0.384 -1.261  0.539 -1.261  0.694 -1.261  0.848 -1.261  1.003 -1.261
1c#apa#apa03#app0332/r  -0.957 0.777  -0.814 0.777  -0.723 0.726  -0.723 0.584  -0.723 0.441  -0.712 0.309  -0.570 0.309  -0.488 0.248  -0.488 0.105  -0.409 -0.005  -0.308 -0.105  -0.254 -0.226  -0.254 -0.368  -0.254 -0.511  -0.254 -0.653  -0.254 -0.796  -0.178 -0.862  -0.035 -0.862  -0.020 -0.989  -0.020 -1.132  -0.020 -1.274  0.041 -1.391  0.142 -1.492  0.214 -1.524  0.214 -1.381  0.214 -1.239  0.214 -1.096  0.214 -0.954  0.214 -0.811  0.214 -0.669  0.214 -0.526  0.214 -0.384  0.214 -0.241  0.214 -0.099  0.214 0.044  0.214 0.187  0.214 0.329  0.214 0.472  0.214 0.614  0.214 0.757  0.214 0.899  0.214 1.042  0.214 1.184  0.296 1.245  0.438 1.245  0.448 1.378  0.489 1.480  0.632 1.480  0.774 1.480  0.917 1.480
1c#apa#apa03#app0332/u  -1.033 1.174  -1.033 1.008  -1.033 0.843  -1.033 0.678  -1.033 0.512  -1.033 0.347  -1.033 0.181  -1.033 0.016  -1.033 -0.149  -1.033 -0.315  -1.033 -0.480  -0.873 -0.486  -0.826 -0.604  -0.826 -0.769  -0.792 -0.901  -0.627 -0.901  -0.461 -0.901  -0.411 -0.785  -0.338 -0.693  -0.203 -0.662  -0.203 -0.497  -0.094 -0.377  0.031 -0.278  0.196 -0.278  0.211 -0.128  0.211 0.037  0.211 0.202  0.235 0.344  0.401 0.344  0.419 0.491  0.419 0.657  0.419 0.822  0.419 0.987  0.419 1.153  0.419 1.029  0.491 0.894  0.608 0.777  0.626 0.619  0.626 0.454  0.666 0.305  0.783 0.188  0.834 0.043  0.834 -0.122  0.840 -0.285  0.957 -0.402  1.041 -0.532  1.044 -0.696  1.161 -0.813  1.249 -0.943  1.249 -1.108
1c#apa#apa03#app0332/n  -1.303 0.925  -1.181 0.803  -1.092 0.667  -1.086 0.498  -0.965 0.376  -0.882 0.238  -0.870 0.071  -0.748 -0.051  -0.671 -0.191  -0.654 -0.356  -0.532 -0.478  -0.460 -0.621  -0.460 -0.793  -0.460 -0.965  -0.460 -1.137  -0.460 -1.310  -0.460 -1.302  -0.409 -1.181  -0.250 -1.168  -0.250 -0.996  -0.250 -0.823  -0.250 -0.651  -0.179 -0.549  -0.039 -0.517  -0.039 -0.345  -0.039 -0.173  -0.039 -0.001  0.024 0.145  0.145 0.267  0.171 0.429  0.171 0.601  0.171 0.773  0.171 0.945  0.171 1.117  0.326 1.135  0.498 1.135  0.592 1.058  0.632 0.925  0.803 0.924  0.803 0.752  0.803 0.579  0.899 0.504  1.014 0.445  1.014 0.273  1.014 0.101  1.014 -0.071  1.014 -0.243  1.014 -0.416  1.014 -0.588  1.014 -0.760
1c#apa#apa03#app0332/o  0.010 0.567  0.010 0.712  0.010 0.856  -0.007 0.983  -0.152 0.983  -0.297 0.983  -0.432 0.958  -0.534 0.856  -0.615 0.744  -0.615 0.599  -0.727 0.567  -0.823 0.518  -0.823 0.373  -0.823 0.228  -0.823 0.083  -0.823 -0.062  -0.823 -0.207  -0.823 -0.352  -0.823 -0.497  -0.823 -0.641  -0.823 -0.786  -0.784 -0.892  -0.639 -0.892  -0.529 -0.977  -0.427 -1.080  -0.291 -1.101  -0.146 -1.101  -0.001 -1.101  0.144 -1.101  0.268 -1.051  0.371 -0.949  0.492 -0.892  0.637 -0.891  0.739 -0.789  0.842 -0.686  0.844 -0.542  0.844 -0.397  0.844 -0.252  0.844 -0.107  0.844 0.037  0.844 0.182  0.844 0.327  0.844 0.472  0.808 0.602  0.706 0.705  0.636 0.821  0.636 0.966  0.509 0.983  0.427 1.047  0.427 1.192
1c#apa#apa03#app0332/u  -0.988 1.205  -0.988 1.040  -1.072 0.909  -1.189 0.791  -1.201 0.630  -1.129 0.494  -1.012 0.377  -0.988 0.221  -0.988 0.056  -0.988 -0.110  -0.988 -0.276  -0.832 -0.286  -0.775 -0.395  -0.748 -0.554  -0.673 -0.702  -0.599 -0.851  -0.504 -0.983  -0.386 -1.101  -0.236 -1.138  -0.090 -1.091  0.028 -0.974  0.077 -0.829  0.077 -0.663  0.079 -0.499  0.244 -0.499  0.290 -0.379  0.290 -0.213  0.308 -0.055  0.425 0.063  0.503 0.196  0.503 0.362  0.503 0.528  0.503 0.694  0.560 0.836  0.677 0.953  0.716 1.103  0.716 1.142  0.716 0.976  0.716 0.811  0.716 0.645  0.716 0.479  0.716 0.313  0.716 0.147  0.716 -0.018  0.716 -0.184  0.716 -0.350  0.728 -0.511  0.845 -0.628  0.929 -0.759  0.929 -0.925
1c#apa#apa03#app0332/t  0.195 1.807  0.332 1.813  0.323 1.935  0.222 1.834  0.195 1.702  0.195 1.559  0.195 1.416  0.195 1.274  0.195 1.131  0.195 0.988  0.195 0.845  0.195 0.703  0.195 0.560  0.195 0.417  0.195 0.274  0.195 0.132  0.195 -0.011  0.195 -0.154  0.195 -0.297  0.195 -0.439  0.195 -0.582  0.195 -0.725  0.195 -0.868  0.195 -1.010  0.195 -1.153  0.195 -1.296  0.195 -1.439  0.126 -1.385  0.037 -1.273  -0.052 -1.162  -0.141 -1.050  -0.230 -0.939  -0.320 -0.827  -0.409 -0.716  -0.498 -0.604  -0.587 -0.493  -0.676 -0.381  -0.765 -0.270  -0.855 -0.158  -0.823 -0.105  -0.680 -0.105  -0.537 -0.105  -0.394 -0.105  -0.251 -0.105  -0.109 -0.105  0.034 -0.105  0.177 -0.105  0.320 -0.105  0.462 -0.105  0.605 -0.105
1c#apa#apa03#app0332/o  0.384 0.786  0.384 0.917  0.384 1.048  0.384 1.179  0.357 1.283  0.226 1.283  0.095 1.283  -0.036 1.283  -0.113 1.229  -0.113 1.098  -0.180 1.035  -0.312 1.035  -0.362 0.954  -0.362 0.823  -0.456 0.786  -0.587 0.786  -0.610 0.678  -0.610 0.547  -0.610 0.416  -0.610 0.285  -0.610 0.154  -0.610 0.023  -0.610 -0.108  -0.610 -0.239  -0.610 -0.370  -0.610 -0.501  -0.610 -0.632  -0.570 -0.747  -0.477 -0.839  -0.384 -0.932  -0.292 -1.025  -0.199 -1.117  -0.103 -1.203  0.028 -1.203  0.159 -1.203  0.290 -1.203  0.421 -1.203  0.552 -1.203  0.633 -1.153  0.633 -1.022  0.633 -0.891  0.633 -0.760  0.633 -0.629  0.633 -0.498  0.633 -0.367  0.633 -0.235  0.633 -0.104  0.633 0.027  0.633 0.158  0.633 0.289
1c#apa#apa03#app0332/f  0.482 1.247  0.482 1.372  0.482 1.497  0.482 1.622  0.426 1.691  0.301 1.691  0.201 1.633  0.148 1.530  0.148 1.405  0.148 1.280  0.148 1.155  0.148 1.030  0.148 0.905  0.148 0.780  0.148 0.655  0.148 0.530  0.148 0.405  0.148 0.280  0.148 0.155  0.148 0.030  0.148 -0.095  0.148 -0.220  0.148 -0.345  0.148 -0.470  0.148 -0.595  0.094 -0.697  0.037 -0.799  0.037 -0.924  0.037 -1.049  -0.024 -1.148  -0.074 -1.253  -0.142 -1.310  -0.229 -1.240  -0.295 -1.135  -0.361 -1.029  -0.427 -0.923  -0.494 -0.817  -0.560 -0.711  -0.626 -0.605  -0.692 -0.499  -0.708 -0.421  -0.583 -0.421  -0.476 -0.463  -0.379 -0.532  -0.254 -0.532  -0.129 -0.532  -0.005 -0.532  0.120 -0.532  0.245 -0.532  0.370 -0.532
1c#apa#apa03#app0332/p  -0.231 0.733  -0.346 0.604  -0.346 0.428  -0.346 0.251  -0.346 0.075  -0.346 -0.101  -0.346 -0.277  -0.346 -0.453  -0.346 -0.630  -0.346 -0.806  -0.346 -0.982  -0.346 -1.158  -0.346 -1.334  -0.346 -1.511  -0.473 -1.560  -0.575 -1.486  -0.590 -1.316  -0.690 -1.181  -0.690 -1.005  -0.690 -0.829  -0.690 -0.653  -0.667 -0.482  -0.588 -0.324  -0.575 -0.151  -0.508 -0.003  -0.460 0.154  -0.435 0.324  -0.357 0.482  -0.278 0.639  -0.180 0.783  -0.056 0.908  0.069 1.033  0.227 1.076  0.403 1.076  0.579 1.076  0.755 1.076  0.927 1.065  1.060 0.962  1.210 0.897  1.259 0.741  1.259 0.565  1.156 0.452  1.030 0.354  0.943 0.231  0.784 0.159  0.631 0.104  0.479 0.045  0.303 0.045  0.156 -0.026  -0.002 -0.070
1c#apa#apa03#app0332/i  0.058 0.235  0.058 0.122  0.001 0.033  -0.079 -0.046  -0.086 -0.156  -0.086 -0.269  -0.086 -0.382  -0.081 -0.492  -0.001 -0.572  0.058 -0.660  0.058 -0.773  0.058 -0.885  0.058 -0.998  0.058 -1.111  0.048 -1.219  -0.032 -1.299  -0.086 -1.389  -0.086 -1.493  -0.081 -1.380  -0.076 -1.267  -0.071 -1.155  -0.066 -1.042  -0.061 -0.929  -0.056 -0.817  -0.052 -0.704  -0.047 -0.592  -0.042 -0.479  -0.037 -0.366  -0.032 -0.254  -0.027 -0.141  -0.022 -0.028  -0.017 0.084  -0.012 0.197  -0.008 0.309  -0.003 0.422  0.002 0.535  0.007 0.647  0.012 0.760  0.017 0.873  0.022 0.985  0.027 1.098  0.032 1.210  0.037 1.323  0.041 1.436  0.046 1.548  0.051 1.661  0.056 1.774  0.122 1.823  0.203 1.855  0.203 1.967
1c#apa#apa03#app0332/n  -0.920 1.476  -0.920 1.308  -0.920 1.141  -0.823 1.014  -0.738 0.882  -0.738 0.715  -0.738 0.548  -0.738 0.381  -0.738 0.213  -0.629 0.091  -0.555 -0.046  -0.555 -0.213  -0.555 -0.380  -0.555 -0.547  -0.555 -0.715  -0.555 -0.882  -0.555 -1.049  -0.655 -1.175  -0.702 -1.222  -0.584 -1.104  -0.555 -0.949  -0.476 -0.814  -0.358 -0.696  -0.240 -0.578  -0.147 -0.441  -0.072 -0.292  -0.009 -0.139  0.001 0.018  0.168 0.018  0.174 0.180  0.174 0.347  0.174 0.514  0.256 0.647  0.382 0.747  0.538 0.758  0.538 0.926  0.702 0.929  0.720 0.780  0.815 0.652  0.902 0.521  0.902 0.354  0.902 0.187  0.902 0.019  0.902 -0.148  1.009 -0.271  1.085 -0.407  1.085 -0.574  1.085 -0.741  1.085 -0.908  1.085 -1.076
