3#apb#apb02#app0263/E  -0.459 0.596  -0.352 0.871  -0.349 1.158  -0.362 1.060  -0.377 0.764  -0.406 0.469  -0.429 0.173  -0.446 -0.123  -0.459 -0.419  -0.444 -0.716  -0.432 -1.012  -0.446 -0.914  -0.463 -0.618  -0.469 -0.321  -0.475 -0.024  -0.481 0.272  -0.487 0.569  -0.493 0.866  -0.521 1.084  -0.355 1.156  -0.075 1.242  0.221 1.263  0.516 1.294  0.812 1.302  0.906 1.245  0.695 1.037  0.484 0.829  0.272 0.620  0.061 0.412  -0.150 0.204  -0.362 -0.005  -0.333 -0.266  -0.042 -0.287  0.251 -0.238  0.540 -0.171  0.788 -0.014  0.894 0.030  0.684 -0.180  0.474 -0.389  0.264 -0.599  0.055 -0.809  -0.155 -1.019  -0.365 -1.229  -0.522 -1.429  -0.249 -1.457  0.034 -1.370  0.327 -1.324  0.614 -1.249  0.898 -1.168  1.169 -1.168
3#apb#apb02#app0263/d  0.203 -0.403  0.162 -0.197  0.103 0.005  -0.002 0.184  -0.162 0.317  -0.359 0.357  -0.551 0.273  -0.714 0.139  -0.861 -0.010  -0.985 -0.179  -1.080 -0.366  -1.137 -0.568  -1.137 -0.779  -1.078 -0.973  -0.927 -1.110  -0.723 -1.138  -0.517 -1.116  -0.320 -1.040  -0.165 -0.901  -0.020 -0.749  0.093 -0.572  0.185 -0.384  0.244 -0.182  0.275 0.025  0.286 0.235  0.276 0.445  0.253 0.654  0.218 0.862  0.177 1.068  0.146 1.276  0.121 1.486  0.103 1.692  0.032 1.719  0.032 1.509  0.060 1.300  0.085 1.091  0.109 0.882  0.130 0.672  0.151 0.462  0.184 0.255  0.225 0.048  0.277 -0.156  0.340 -0.357  0.435 -0.544  0.544 -0.723  0.693 -0.872  0.877 -0.969  1.074 -1.016  1.249 -0.902  1.392 -0.749
3#apb#apb02#app0263/i  -1.040 -0.927  -1.061 -0.979  -0.976 -0.875  -0.855 -0.781  -0.753 -0.667  -0.660 -0.545  -0.576 -0.418  -0.498 -0.286  -0.425 -0.152  -0.365 -0.011  -0.317 0.134  -0.284 0.283  -0.266 0.435  -0.338 0.353  -0.380 0.207  -0.392 0.055  -0.392 -0.098  -0.392 -0.251  -0.385 -0.403  -0.336 -0.549  -0.280 -0.690  -0.211 -0.827  -0.078 -0.893  0.067 -0.941  0.217 -0.975  0.365 -0.966  0.513 -0.927  0.653 -0.869  0.784 -0.790  0.917 -0.714  0.985 -0.584  0.941 -0.442  0.818 -0.353  0.760 -0.212  0.703 -0.070  0.645 0.072  0.587 0.214  0.529 0.356  0.472 0.497  0.414 0.639  0.356 0.781  0.298 0.923  0.241 1.065  0.183 1.206  0.125 1.348  0.067 1.490  0.009 1.632  -0.048 1.774  -0.118 1.898  -0.224 1.835
3#apb#apb02#app0263/t  0.032 0.993  0.009 1.162  -0.013 1.331  -0.028 1.501  -0.041 1.670  -0.092 1.833  -0.139 1.819  -0.141 1.649  -0.141 1.478  -0.123 1.309  -0.099 1.141  -0.075 0.972  -0.038 0.806  0.005 0.642  0.048 0.477  0.088 0.311  0.117 0.143  0.146 -0.024  0.176 -0.192  0.214 -0.358  0.253 -0.524  0.292 -0.689  0.320 -0.857  0.342 -1.026  0.386 -1.189  0.449 -1.348  0.452 -1.517  0.346 -1.417  0.252 -1.275  0.189 -1.117  0.098 -0.977  -0.025 -0.859  -0.147 -0.741  -0.270 -0.623  -0.393 -0.505  -0.516 -0.388  -0.677 -0.334  -0.843 -0.296  -0.933 -0.363  -0.767 -0.388  -0.597 -0.378  -0.427 -0.368  -0.261 -0.329  -0.098 -0.282  0.066 -0.236  0.232 -0.198  0.399 -0.167  0.568 -0.143  0.703 -0.086  0.699 -0.044
3#apb#apb02#app0263/o  -0.368 0.293  -0.467 0.363  -0.589 0.275  -0.688 0.158  -0.782 0.037  -0.871 -0.088  -0.908 -0.235  -0.937 -0.386  -0.937 -0.539  -0.885 -0.680  -0.816 -0.816  -0.682 -0.890  -0.547 -0.963  -0.403 -1.010  -0.252 -1.035  -0.101 -1.053  0.052 -1.040  0.205 -1.028  0.345 -0.969  0.482 -0.900  0.611 -0.822  0.709 -0.704  0.807 -0.586  0.902 -0.467  0.981 -0.335  1.060 -0.204  1.105 -0.058  1.146 0.090  1.144 0.240  1.119 0.391  1.077 0.535  0.989 0.661  0.902 0.786  0.790 0.890  0.674 0.991  0.531 1.036  0.381 1.066  0.231 1.044  0.082 1.010  -0.063 0.965  -0.189 0.878  -0.315 0.790  -0.438 0.700  -0.541 0.587  -0.643 0.473  -0.738 0.352  -0.823 0.225  -0.877 0.088  -0.800 -0.021  -0.667 -0.097
3#apb#apb02#app0263/r  -0.817 0.150  -0.848 0.273  -0.854 0.400  -0.939 0.491  -0.917 0.534  -0.853 0.423  -0.790 0.313  -0.718 0.209  -0.644 0.105  -0.573 -0.001  -0.508 -0.110  -0.443 -0.219  -0.378 -0.328  -0.341 -0.450  -0.303 -0.571  -0.266 -0.693  -0.231 -0.815  -0.213 -0.941  -0.191 -1.065  -0.134 -1.179  -0.078 -1.293  -0.021 -1.407  0.004 -1.386  0.060 -1.272  0.100 -1.154  0.112 -1.027  0.123 -0.901  0.134 -0.774  0.141 -0.647  0.149 -0.520  0.156 -0.393  0.164 -0.266  0.174 -0.139  0.191 -0.013  0.208 0.113  0.225 0.239  0.241 0.365  0.274 0.488  0.308 0.610  0.341 0.733  0.397 0.846  0.462 0.955  0.528 1.064  0.606 1.162  0.707 1.238  0.809 1.315  0.922 1.365  1.047 1.386  1.174 1.392  1.301 1.392
3#apb#apb02#app0263/V  -0.478 0.776  -0.507 0.908  -0.542 1.039  -0.593 1.164  -0.654 1.285  -0.699 1.346  -0.733 1.260  -0.733 1.125  -0.693 0.997  -0.647 0.869  -0.602 0.742  -0.557 0.614  -0.513 0.486  -0.478 0.356  -0.442 0.225  -0.406 0.095  -0.368 -0.035  -0.328 -0.164  -0.289 -0.294  -0.246 -0.422  -0.193 -0.546  -0.141 -0.671  -0.087 -0.795  -0.029 -0.917  0.028 -1.040  0.069 -1.169  0.109 -1.298  0.163 -1.422  0.221 -1.544  0.285 -1.474  0.330 -1.347  0.346 -1.212  0.362 -1.078  0.378 -0.944  0.396 -0.810  0.413 -0.676  0.431 -0.541  0.448 -0.407  0.466 -0.273  0.483 -0.139  0.497 -0.005  0.511 0.130  0.524 0.265  0.559 0.395  0.594 0.526  0.618 0.659  0.639 0.793  0.673 0.923  0.696 1.056  0.721 1.189
3#apb#apb02#app0263/P  -0.172 0.342  -0.174 0.553  -0.233 0.760  -0.303 0.637  -0.303 0.419  -0.290 0.202  -0.269 -0.015  -0.236 -0.229  -0.191 -0.442  -0.153 -0.657  -0.119 -0.872  -0.083 -1.086  -0.048 -1.301  0.039 -1.499  0.105 -1.706  0.049 -1.684  -0.037 -1.485  -0.114 -1.281  -0.192 -1.078  -0.270 -0.875  -0.348 -0.671  -0.425 -0.468  -0.503 -0.265  -0.581 -0.061  -0.659 0.142  -0.736 0.345  -0.814 0.549  -0.842 0.760  -0.733 0.932  -0.537 1.020  -0.325 1.072  -0.111 1.109  0.104 1.141  0.321 1.157  0.539 1.169  0.756 1.170  0.967 1.129  1.130 1.008  1.201 0.807  1.195 0.592  1.087 0.403  0.955 0.232  0.796 0.084  0.628 -0.054  0.452 -0.183  0.260 -0.283  0.059 -0.365  -0.149 -0.429  -0.346 -0.455  -0.347 -0.291
3#apb#apb02#app0263/O  0.107 0.610  0.053 0.741  -0.063 0.813  -0.204 0.826  -0.347 0.826  -0.481 0.792  -0.602 0.716  -0.708 0.622  -0.793 0.508  -0.869 0.387  -0.940 0.263  -0.968 0.123  -0.992 -0.018  -1.001 -0.160  -0.996 -0.302  -0.963 -0.441  -0.920 -0.576  -0.863 -0.707  -0.776 -0.815  -0.663 -0.903  -0.540 -0.973  -0.409 -1.031  -0.273 -1.064  -0.130 -1.071  0.012 -1.069  0.152 -1.044  0.290 -1.007  0.423 -0.955  0.552 -0.895  0.673 -0.819  0.782 -0.731  0.865 -0.614  0.945 -0.497  0.995 -0.363  1.038 -0.227  1.053 -0.085  1.060 0.056  1.015 0.191  0.968 0.326  0.900 0.452  0.824 0.571  0.719 0.668  0.606 0.755  0.486 0.832  0.352 0.873  0.211 0.897  0.069 0.897  -0.074 0.888  -0.216 0.876  -0.357 0.857
3#apb#apb02#app0263/p  -0.057 0.642  -0.187 0.795  -0.250 0.718  -0.228 0.517  -0.205 0.315  -0.187 0.112  -0.170 -0.090  -0.147 -0.292  -0.121 -0.493  -0.097 -0.695  -0.076 -0.897  -0.053 -1.099  -0.021 -1.300  0.011 -1.500  0.047 -1.700  0.071 -1.901  -0.014 -1.779  -0.060 -1.581  -0.099 -1.382  -0.133 -1.181  -0.167 -0.981  -0.201 -0.781  -0.235 -0.581  -0.269 -0.380  -0.303 -0.180  -0.337 0.020  -0.371 0.221  -0.405 0.421  -0.439 0.621  -0.473 0.821  -0.571 0.984  -0.573 1.101  -0.374 1.145  -0.176 1.187  0.023 1.230  0.222 1.263  0.426 1.263  0.622 1.212  0.807 1.131  0.916 0.967  0.966 0.771  0.932 0.573  0.833 0.396  0.686 0.262  0.522 0.142  0.357 0.024  0.171 -0.050  -0.031 -0.058  -0.229 -0.015  -0.357 0.063
3#apb#apb02#app0263/e  -0.431 -0.383  -0.533 -0.227  -0.656 -0.114  -0.813 -0.034  -0.857 -0.007  -0.674 -0.007  -0.483 -0.007  -0.292 -0.007  -0.100 -0.007  0.091 -0.007  0.279 0.025  0.465 0.068  0.641 0.140  0.782 0.267  0.828 0.446  0.798 0.634  0.740 0.815  0.634 0.974  0.488 1.085  0.306 1.143  0.119 1.170  -0.070 1.144  -0.247 1.075  -0.409 0.974  -0.562 0.859  -0.704 0.733  -0.824 0.584  -0.939 0.431  -1.048 0.275  -1.108 0.096  -1.151 -0.090  -1.109 -0.273  -1.028 -0.443  -0.909 -0.592  -0.757 -0.700  -0.583 -0.780  -0.400 -0.818  -0.209 -0.828  -0.018 -0.837  0.171 -0.813  0.359 -0.779  0.547 -0.745  0.732 -0.699  0.916 -0.647  1.100 -0.594  1.284 -0.543  1.468 -0.492  1.571 -0.444  1.387 -0.479  1.207 -0.544
