1c#tos#f3#f3073065/a  0.366 0.095  0.310 -0.001  0.366 -0.016  0.474 0.091  0.524 0.234  0.534 0.384  0.534 0.536  0.431 0.645  0.305 0.724  0.257 0.868  0.182 0.990  0.030 0.990  -0.121 0.990  -0.273 0.990  -0.423 0.967  -0.572 0.937  -0.683 0.836  -0.790 0.729  -0.884 0.610  -0.975 0.488  -1.083 0.381  -1.165 0.258  -1.201 0.112  -1.201 -0.040  -1.201 -0.192  -1.201 -0.344  -1.127 -0.465  -0.975 -0.465  -0.823 -0.465  -0.671 -0.465  -0.520 -0.452  -0.371 -0.422  -0.235 -0.362  -0.122 -0.266  -0.082 -0.123  0.020 -0.073  0.098 -0.196  0.201 -0.306  0.249 -0.450  0.384 -0.508  0.501 -0.600  0.622 -0.691  0.757 -0.744  0.909 -0.744  1.061 -0.744  1.213 -0.744  1.365 -0.744  1.517 -0.744  1.669 -0.744  1.820 -0.744
1c#tos#f3#f3073065/d  -0.253 -0.181  -0.253 -0.392  -0.210 -0.319  -0.210 -0.109  -0.210 0.102  -0.265 0.302  -0.419 0.377  -0.629 0.377  -0.817 0.285  -0.965 0.137  -1.027 -0.061  -1.057 -0.269  -1.069 -0.479  -1.069 -0.689  -1.069 -0.899  -1.050 -1.102  -0.867 -1.168  -0.657 -1.168  -0.447 -1.168  -0.243 -1.155  -0.116 -0.988  0.033 -0.839  0.154 -0.670  0.259 -0.487  0.375 -0.312  0.451 -0.121  0.491 0.085  0.549 0.287  0.562 0.496  0.562 0.706  0.562 0.916  0.562 1.126  0.492 1.323  0.436 1.525  0.302 1.664  0.176 1.580  0.176 1.370  0.176 1.160  0.215 0.953  0.219 0.743  0.237 0.536  0.304 0.337  0.361 0.135  0.444 -0.057  0.532 -0.245  0.596 -0.441  0.691 -0.620  0.848 -0.732  0.977 -0.896  1.163 -0.954
1c#tos#f3#f3073065/e  -1.007 -0.142  -1.110 -0.288  -1.126 -0.465  -0.980 -0.469  -0.811 -0.419  -0.653 -0.340  -0.482 -0.283  -0.321 -0.204  -0.166 -0.111  -0.006 -0.027  0.151 0.061  0.296 0.169  0.447 0.268  0.601 0.361  0.689 0.508  0.762 0.673  0.827 0.827  0.767 0.983  0.611 1.041  0.430 1.041  0.249 1.041  0.069 1.041  -0.102 0.996  -0.266 0.921  -0.431 0.846  -0.595 0.771  -0.713 0.644  -0.806 0.489  -0.904 0.338  -0.948 0.171  -0.948 -0.010  -0.948 -0.190  -0.948 -0.371  -0.827 -0.502  -0.727 -0.652  -0.563 -0.712  -0.385 -0.734  -0.205 -0.734  -0.024 -0.734  0.156 -0.734  0.337 -0.734  0.518 -0.734  0.691 -0.709  0.846 -0.617  1.008 -0.539  1.181 -0.489  1.355 -0.440  1.511 -0.348  1.666 -0.256  1.834 -0.202
1c#tos#f3#f3073065/f  0.564 -0.215  0.488 -0.111  0.529 0.062  0.564 0.237  0.564 0.417  0.564 0.596  0.564 0.775  0.564 0.955  0.564 1.134  0.564 1.314  0.502 1.482  0.450 1.651  0.332 1.742  0.174 1.691  0.126 1.524  0.089 1.348  0.045 1.174  0.008 0.999  -0.027 0.823  -0.039 0.644  -0.039 0.465  -0.039 0.285  -0.039 0.106  -0.039 -0.074  -0.039 -0.253  -0.039 -0.433  -0.039 -0.612  -0.029 -0.791  -0.001 -0.967  0.020 -1.143  0.093 -1.307  0.043 -1.310  -0.080 -1.180  -0.204 -1.050  -0.327 -0.920  -0.451 -0.790  -0.575 -0.660  -0.741 -0.629  -0.921 -0.629  -1.092 -0.579  -1.069 -0.554  -0.890 -0.562  -0.712 -0.587  -0.533 -0.592  -0.354 -0.592  -0.174 -0.592  0.005 -0.592  0.185 -0.592  0.364 -0.592  0.526 -0.516
1c#tos#f3#f3073065/g  0.313 0.542  0.409 0.425  0.572 0.435  0.650 0.629  0.650 0.843  0.606 1.042  0.554 1.240  0.385 1.349  0.186 1.409  -0.027 1.409  -0.240 1.409  -0.453 1.409  -0.537 1.217  -0.602 1.024  -0.602 0.810  -0.568 0.601  -0.460 0.448  -0.270 0.352  -0.057 0.350  0.156 0.350  0.367 0.344  0.409 0.149  0.409 -0.064  0.433 -0.275  0.458 -0.485  0.458 -0.698  0.409 -0.900  0.240 -1.023  0.060 -1.122  -0.147 -1.156  -0.341 -1.239  -0.554 -1.239  -0.726 -1.232  -0.523 -1.165  -0.504 -1.239  -0.650 -1.171  -0.794 -1.036  -0.890 -0.882  -0.890 -0.669  -0.762 -0.525  -0.608 -0.379  -0.422 -0.291  -0.250 -0.180  -0.038 -0.171  0.170 -0.132  0.383 -0.132  0.596 -0.132  0.801 -0.084  1.015 -0.084  1.228 -0.084
1c#tos#f3#f3073065/h  -0.554 1.218  -0.554 1.369  -0.554 1.520  -0.542 1.574  -0.513 1.427  -0.513 1.276  -0.513 1.125  -0.513 0.973  -0.513 0.822  -0.513 0.671  -0.513 0.520  -0.513 0.369  -0.510 0.218  -0.497 0.067  -0.483 -0.083  -0.473 -0.234  -0.473 -0.385  -0.473 -0.536  -0.473 -0.688  -0.464 -0.838  -0.428 -0.984  -0.389 -1.130  -0.311 -1.249  -0.263 -1.139  -0.230 -0.992  -0.230 -0.841  -0.230 -0.690  -0.230 -0.538  -0.230 -0.387  -0.216 -0.237  -0.192 -0.088  -0.156 0.059  -0.149 0.209  -0.126 0.357  -0.013 0.409  0.138 0.409  0.267 0.356  0.405 0.306  0.538 0.248  0.639 0.137  0.721 0.010  0.799 -0.120  0.881 -0.247  0.982 -0.358  1.050 -0.493  1.178 -0.559  1.265 -0.681  1.412 -0.704  1.560 -0.723  1.711 -0.723
1c#tos#f3#f3073065/i  0.127 -0.432  0.127 -0.526  0.127 -0.620  0.127 -0.714  0.127 -0.808  0.127 -0.902  0.127 -0.995  0.127 -1.089  0.127 -1.183  0.127 -1.277  0.127 -1.371  0.127 -1.465  0.118 -1.372  0.109 -1.279  0.099 -1.185  0.090 -1.092  0.081 -0.998  0.072 -0.905  0.063 -0.811  0.054 -0.718  0.044 -0.624  0.035 -0.531  0.026 -0.437  0.017 -0.344  0.008 -0.250  -0.001 -0.157  -0.011 -0.063  -0.020 0.030  -0.029 0.124  -0.038 0.217  -0.047 0.311  -0.056 0.404  -0.066 0.498  -0.075 0.591  -0.084 0.685  -0.093 0.778  -0.098 0.872  -0.098 0.966  -0.098 1.060  -0.098 1.154  -0.098 1.248  -0.098 1.342  -0.120 1.422  -0.204 1.464  -0.278 1.512  -0.278 1.575  -0.215 1.537  -0.131 1.495  -0.047 1.453  0.037 1.411
1c#tos#f3#f3073065/l  0.089 1.429  0.017 1.429  -0.024 1.398  -0.071 1.373  -0.143 1.373  -0.172 1.373  -0.120 1.339  -0.088 1.275  -0.080 1.204  -0.080 1.132  -0.080 1.060  -0.080 0.987  -0.080 0.915  -0.074 0.844  -0.051 0.776  -0.028 0.707  -0.005 0.638  0.018 0.570  0.033 0.500  0.033 0.428  0.033 0.356  0.033 0.284  0.033 0.211  0.033 0.139  0.033 0.067  0.033 -0.005  0.033 -0.078  0.033 -0.150  0.033 -0.222  0.033 -0.294  0.033 -0.367  0.033 -0.439  0.033 -0.511  0.033 -0.583  0.033 -0.656  0.033 -0.728  0.033 -0.800  0.033 -0.872  0.033 -0.945  0.033 -1.017  0.033 -1.089  0.033 -1.161  0.033 -1.233  0.033 -1.306  0.033 -1.378  0.033 -1.450  0.033 -1.522  0.033 -1.595  0.033 -1.667  0.033 -1.739
1c#tos#f3#f3073065/o  0.494 1.000  0.398 1.109  0.225 1.109  0.052 1.109  -0.121 1.109  -0.281 1.065  -0.399 0.948  -0.463 0.787  -0.536 0.630  -0.613 0.475  -0.651 0.311  -0.651 0.138  -0.651 -0.035  -0.651 -0.208  -0.651 -0.381  -0.651 -0.554  -0.651 -0.727  -0.581 -0.884  -0.471 -1.010  -0.317 -1.072  -0.144 -1.072  0.029 -1.072  0.202 -1.072  0.375 -1.072  0.543 -1.038  0.707 -0.983  0.853 -0.894  0.988 -0.786  1.115 -0.669  1.203 -0.532  1.203 -0.359  1.203 -0.186  1.203 -0.013  1.176 0.145  1.031 0.240  0.876 0.318  0.710 0.345  0.537 0.345  0.364 0.345  0.191 0.345  0.017 0.345  -0.156 0.345  -0.329 0.345  -0.502 0.345  -0.675 0.345  -0.846 0.322  -1.017 0.294  -1.182 0.241  -1.305 0.146  -1.196 0.018
1c#tos#f3#f3073065/p  -0.278 1.305  -0.278 1.101  -0.278 0.897  -0.278 0.693  -0.278 0.489  -0.278 0.285  -0.278 0.081  -0.278 -0.124  -0.278 -0.328  -0.278 -0.532  -0.278 -0.736  -0.278 -0.940  -0.278 -1.144  -0.278 -1.348  -0.278 -1.552  -0.177 -1.655  -0.183 -1.636  -0.194 -1.432  -0.205 -1.229  -0.216 -1.025  -0.227 -0.821  -0.238 -0.617  -0.249 -0.413  -0.260 -0.210  -0.271 -0.006  -0.313 0.187  -0.380 0.371  -0.380 0.575  -0.380 0.779  -0.380 0.984  -0.332 1.173  -0.177 1.288  0.024 1.305  0.228 1.305  0.432 1.305  0.626 1.260  0.794 1.149  0.892 0.985  0.892 0.781  0.892 0.577  0.892 0.373  0.884 0.171  0.793 -0.012  0.676 -0.178  0.506 -0.291  0.358 -0.424  0.251 -0.589  0.062 -0.665  -0.131 -0.731  -0.329 -0.781
1c#tos#f3#f3073065/s  0.722 0.526  0.750 0.657  0.800 0.759  0.816 0.880  0.816 1.016  0.704 1.044  0.572 1.078  0.437 1.087  0.301 1.087  0.165 1.087  0.028 1.087  -0.108 1.087  -0.244 1.087  -0.377 1.075  -0.499 1.014  -0.626 0.965  -0.680 0.868  -0.680 0.732  -0.673 0.597  -0.623 0.474  -0.497 0.421  -0.372 0.367  -0.271 0.285  -0.188 0.178  -0.082 0.093  0.024 0.008  0.121 -0.088  0.205 -0.194  0.295 -0.293  0.411 -0.363  0.509 -0.451  0.570 -0.572  0.617 -0.700  0.629 -0.834  0.628 -0.970  0.496 -1.003  0.397 -1.083  0.301 -1.157  0.165 -1.157  0.028 -1.157  -0.108 -1.157  -0.244 -1.157  -0.379 -1.151  -0.511 -1.118  -0.625 -1.047  -0.735 -0.966  -0.821 -0.883  -0.821 -0.747  -0.709 -0.710  -0.634 -0.596
