3#app#app06#app0612/O  -0.872 0.659  -0.811 0.763  -0.726 0.848  -0.640 0.934  -0.555 1.020  -0.469 1.105  -0.371 1.161  -0.274 1.219  -0.153 1.219  -0.038 1.204  0.072 1.176  0.169 1.108  0.262 1.033  0.327 0.932  0.408 0.844  0.483 0.750  0.537 0.642  0.591 0.533  0.630 0.419  0.682 0.309  0.722 0.198  0.751 0.084  0.765 -0.034  0.765 -0.155  0.765 -0.277  0.765 -0.398  0.722 -0.509  0.704 -0.626  0.650 -0.734  0.573 -0.826  0.510 -0.928  0.427 -1.015  0.332 -1.087  0.223 -1.141  0.104 -1.150  -0.017 -1.150  -0.138 -1.150  -0.251 -1.116  -0.358 -1.061  -0.444 -0.975  -0.530 -0.890  -0.591 -0.789  -0.635 -0.676  -0.680 -0.564  -0.718 -0.449  -0.743 -0.332  -0.743 -0.211  -0.743 -0.090  -0.743 0.031  -0.700 0.142
3#app#app06#app0612/N  -0.889 1.045  -0.831 0.931  -0.772 0.699  -0.713 0.464  -0.631 0.238  -0.526 0.017  -0.436 -0.211  -0.356 -0.442  -0.282 -0.672  -0.129 -0.854  -0.018 -1.053  0.105 -1.247  0.028 -1.274  -0.070 -1.059  -0.243 -0.886  -0.355 -0.674  -0.363 -0.430  -0.363 -0.185  -0.533 -0.055  -0.706 0.096  -0.772 0.325  -0.830 0.561  -0.889 0.797  -0.834 0.987  -0.725 0.823  -0.552 0.650  -0.415 0.449  -0.286 0.242  -0.115 0.074  0.033 -0.110  0.175 -0.305  0.371 -0.448  0.552 -0.610  0.703 -0.775  0.900 -0.919  1.088 -1.058  1.156 -1.115  1.098 -0.894  1.029 -0.664  0.959 -0.430  0.871 -0.202  0.793 0.031  0.716 0.264  0.638 0.496  0.552 0.725  0.455 0.941  0.356 1.145  0.324 1.380  0.280 1.618  0.455 1.571
3#app#app06#app0612/T  -0.037 0.626  -0.092 0.759  -0.092 0.774  -0.039 0.630  0.011 0.483  0.060 0.335  0.073 0.181  0.107 0.030  0.127 -0.122  0.171 -0.271  0.220 -0.419  0.283 -0.562  0.291 -0.716  0.349 -0.858  0.411 -1.001  0.449 -1.152  0.488 -1.300  0.510 -1.450  0.580 -1.578  0.561 -1.537  0.469 -1.411  0.377 -1.285  0.285 -1.159  0.193 -1.033  0.101 -0.907  0.009 -0.781  -0.083 -0.655  -0.175 -0.529  -0.266 -0.403  -0.358 -0.277  -0.450 -0.151  -0.542 -0.025  -0.634 0.101  -0.726 0.227  -0.818 0.353  -0.912 0.473  -0.910 0.628  -0.803 0.708  -0.705 0.818  -0.577 0.907  -0.450 0.994  -0.310 1.063  -0.168 1.096  -0.027 1.158  0.126 1.173  0.282 1.173  0.428 1.214  0.581 1.228  0.737 1.228  0.893 1.228
3#app#app06#app0612/H  -0.856 0.845  -0.792 0.641  -0.740 0.435  -0.688 0.228  -0.615 0.028  -0.522 -0.164  -0.506 -0.374  -0.438 -0.577  -0.371 -0.779  -0.282 -0.973  -0.173 -1.155  -0.113 -1.348  -0.020 -1.491  -0.052 -1.373  -0.174 -1.198  -0.297 -1.024  -0.420 -0.849  -0.543 -0.675  -0.665 -0.501  -0.788 -0.326  -0.911 -0.152  -1.006 0.008  -0.811 0.053  -0.603 0.064  -0.409 0.148  -0.207 0.213  -0.009 0.287  0.204 0.287  0.404 0.343  0.583 0.365  0.495 0.559  0.406 0.753  0.318 0.948  0.230 1.142  0.142 1.336  0.053 1.530  0.124 1.426  0.248 1.256  0.335 1.061  0.416 0.865  0.486 0.664  0.566 0.467  0.677 0.286  0.753 0.087  0.858 -0.098  0.962 -0.284  1.052 -0.477  1.150 -0.660  1.229 -0.851  1.318 -0.995
3#app#app06#app0612/E  -0.640 0.972  -0.535 0.759  -0.484 0.512  -0.368 0.288  -0.296 0.043  -0.186 -0.188  -0.105 -0.430  -0.024 -0.673  0.071 -0.909  0.165 -1.146  0.215 -1.390  0.293 -1.519  0.148 -1.340  0.052 -1.103  -0.081 -0.893  -0.177 -0.657  -0.275 -0.422  -0.385 -0.191  -0.499 0.037  -0.606 0.269  -0.690 0.498  -0.740 0.733  -0.740 0.989  -0.690 1.224  -0.509 1.405  -0.283 1.475  -0.027 1.475  0.211 1.402  0.453 1.329  0.482 1.189  0.301 1.008  0.121 0.827  -0.060 0.646  -0.241 0.466  -0.422 0.285  -0.206 0.268  0.048 0.277  0.299 0.318  0.543 0.369  0.555 0.199  0.466 -0.041  0.377 -0.280  0.288 -0.520  0.199 -0.760  0.120 -0.999  0.269 -1.140  0.525 -1.140  0.781 -1.140  1.016 -1.190  1.271 -1.190
3#app#app06#app0612/V  -0.625 1.229  -0.593 1.229  -0.573 1.111  -0.541 0.988  -0.472 0.870  -0.461 0.736  -0.418 0.606  -0.359 0.482  -0.316 0.352  -0.291 0.217  -0.269 0.082  -0.223 -0.045  -0.207 -0.179  -0.171 -0.307  -0.123 -0.435  -0.103 -0.569  -0.103 -0.706  -0.076 -0.838  -0.025 -0.965  0.002 -1.096  0.051 -1.221  0.089 -1.349  0.139 -1.469  0.162 -1.596  0.211 -1.577  0.211 -1.440  0.191 -1.306  0.159 -1.173  0.159 -1.036  0.159 -0.899  0.159 -0.762  0.150 -0.626  0.107 -0.496  0.106 -0.359  0.106 -0.222  0.106 -0.085  0.106 0.052  0.133 0.185  0.159 0.319  0.161 0.456  0.194 0.589  0.222 0.723  0.245 0.858  0.263 0.993  0.281 1.127  0.315 1.259  0.343 1.389  0.368 1.520  0.420 1.636  0.472 1.751
3#app#app06#app0612/E  -0.291 0.705  -0.257 0.636  -0.215 0.384  -0.193 0.127  -0.130 -0.125  -0.108 -0.382  -0.067 -0.638  -0.062 -0.898  -0.049 -1.155  -0.014 -1.406  0.029 -1.606  -0.070 -1.386  -0.177 -1.149  -0.251 -0.900  -0.355 -0.665  -0.383 -0.414  -0.383 -0.154  -0.383 0.106  -0.547 0.287  -0.655 0.510  -0.693 0.764  -0.703 1.022  -0.703 1.282  -0.538 1.420  -0.296 1.481  -0.044 1.515  0.213 1.529  0.473 1.529  0.568 1.437  0.431 1.216  0.294 0.996  0.157 0.775  0.019 0.554  -0.118 0.333  -0.113 0.160  0.143 0.166  0.392 0.223  0.649 0.247  0.746 0.167  0.588 -0.039  0.429 -0.245  0.271 -0.451  0.113 -0.657  -0.046 -0.863  -0.129 -1.081  -0.011 -1.173  0.245 -1.147  0.496 -1.094  0.737 -0.998  0.991 -0.944
3#app#app06#app0612/L  -0.484 1.584  -0.485 1.671  -0.526 1.626  -0.484 1.555  -0.484 1.468  -0.451 1.388  -0.441 1.303  -0.441 1.215  -0.441 1.128  -0.424 1.042  -0.403 0.957  -0.377 0.874  -0.351 0.790  -0.334 0.704  -0.317 0.619  -0.311 0.531  -0.303 0.446  -0.268 0.367  -0.268 0.279  -0.263 0.193  -0.224 0.114  -0.197 0.031  -0.164 -0.050  -0.124 -0.128  -0.096 -0.209  -0.088 -0.295  -0.060 -0.378  -0.052 -0.465  -0.024 -0.545  0.008 -0.627  0.034 -0.710  0.039 -0.795  0.077 -0.867  0.102 -0.945  0.120 -1.024  0.134 -1.106  0.164 -1.090  0.207 -1.045  0.255 -1.006  0.341 -1.002  0.412 -0.963  0.492 -0.928  0.559 -0.873  0.637 -0.834  0.699 -0.773  0.771 -0.724  0.849 -0.685  0.921 -0.637  0.996 -0.606  1.070 -0.574
3#app#app06#app0612/V  -0.756 1.434  -0.745 1.303  -0.713 1.174  -0.671 1.049  -0.638 0.920  -0.601 0.793  -0.563 0.666  -0.531 0.537  -0.499 0.409  -0.467 0.280  -0.426 0.155  -0.367 0.036  -0.322 -0.089  -0.266 -0.209  -0.212 -0.329  -0.170 -0.455  -0.127 -0.580  -0.078 -0.704  -0.031 -0.828  0.016 -0.951  0.066 -1.074  0.087 -1.203  0.131 -1.317  0.175 -1.432  0.227 -1.543  0.280 -1.505  0.308 -1.379  0.308 -1.246  0.308 -1.114  0.308 -0.981  0.308 -0.848  0.308 -0.716  0.308 -0.583  0.308 -0.451  0.308 -0.318  0.308 -0.185  0.308 -0.053  0.308 0.080  0.308 0.212  0.308 0.345  0.308 0.478  0.308 0.610  0.308 0.743  0.296 0.874  0.270 1.004  0.264 1.136  0.264 1.269  0.264 1.401  0.289 1.528  0.308 1.656
3#app#app06#app0612/E  -0.488 0.858  -0.444 0.723  -0.399 0.491  -0.359 0.254  -0.327 0.014  -0.276 -0.222  -0.215 -0.456  -0.156 -0.691  -0.089 -0.924  -0.052 -1.160  -0.015 -1.388  -0.000 -1.448  -0.089 -1.231  -0.130 -0.994  -0.194 -0.761  -0.253 -0.526  -0.363 -0.314  -0.430 -0.081  -0.503 0.150  -0.581 0.379  -0.630 0.610  -0.697 0.841  -0.710 1.082  -0.645 1.267  -0.411 1.301  -0.169 1.301  0.074 1.301  0.316 1.301  0.553 1.345  0.575 1.251  0.408 1.076  0.241 0.900  0.075 0.724  -0.092 0.549  -0.059 0.459  0.183 0.459  0.425 0.459  0.649 0.414  0.761 0.295  0.656 0.078  0.550 -0.140  0.444 -0.358  0.338 -0.576  0.232 -0.794  0.127 -1.012  0.044 -1.235  0.170 -1.403  0.412 -1.403  0.655 -1.403  0.886 -1.359
3#app#app06#app0612/T  -0.394 0.952  -0.349 0.812  -0.303 0.672  -0.276 0.519  -0.217 0.371  -0.176 0.218  -0.130 0.066  -0.089 -0.087  -0.030 -0.234  0.030 -0.380  0.073 -0.532  0.144 -0.674  0.197 -0.823  0.267 -0.966  0.325 -1.113  0.388 -1.259  0.445 -1.406  0.522 -1.542  0.617 -1.658  0.603 -1.556  0.528 -1.416  0.452 -1.277  0.376 -1.137  0.300 -0.998  0.225 -0.858  0.149 -0.718  0.073 -0.579  -0.002 -0.439  -0.078 -0.300  -0.154 -0.160  -0.229 -0.021  -0.305 0.119  -0.381 0.258  -0.456 0.398  -0.532 0.538  -0.608 0.677  -0.684 0.817  -0.759 0.956  -0.797 1.079  -0.672 0.998  -0.513 0.998  -0.354 0.998  -0.195 0.998  -0.039 1.009  0.115 1.043  0.273 1.050  0.427 1.088  0.577 1.138  0.729 1.181  0.888 1.181
3#app#app06#app0612/Q  -0.763 0.591  -0.841 0.732  -0.810 0.893  -0.715 1.027  -0.613 1.164  -0.472 1.260  -0.328 1.352  -0.169 1.418  -0.007 1.444  0.167 1.444  0.295 1.346  0.384 1.198  0.444 1.036  0.487 0.868  0.529 0.700  0.571 0.532  0.605 0.362  0.630 0.190  0.633 0.017  0.633 -0.156  0.633 -0.330  0.613 -0.498  0.523 -0.644  0.419 -0.777  0.261 -0.845  0.088 -0.845  -0.085 -0.845  -0.259 -0.845  -0.403 -0.749  -0.547 -0.652  -0.664 -0.529  -0.760 -0.384  -0.838 -0.230  -0.881 -0.062  -0.899 0.082  -0.730 0.044  -0.561 0.005  -0.391 -0.033  -0.222 -0.072  -0.057 -0.116  -0.009 -0.274  0.086 -0.413  0.149 -0.574  0.231 -0.726  0.339 -0.861  0.450 -0.994  0.538 -1.140  0.655 -1.254  0.756 -1.391  0.905 -1.465
3#app#app06#app0612/U  -0.593 1.470  -0.532 1.452  -0.532 1.250  -0.532 1.048  -0.532 0.846  -0.532 0.644  -0.504 0.445  -0.471 0.245  -0.422 0.049  -0.409 -0.151  -0.356 -0.344  -0.292 -0.536  -0.286 -0.737  -0.226 -0.929  -0.185 -1.122  -0.103 -1.304  -0.053 -1.498  0.081 -1.612  0.203 -1.617  0.203 -1.415  0.198 -1.214  0.142 -1.025  0.118 -0.833  0.081 -0.647  0.066 -0.447  0.019 -0.253  0.019 -0.051  0.019 0.151  0.019 0.354  0.019 0.556  0.019 0.758  0.019 0.960  0.019 1.162  0.019 1.364  0.019 1.566  0.019 1.418  0.081 1.242  0.136 1.053  0.143 0.852  0.192 0.657  0.265 0.481  0.304 0.289  0.340 0.095  0.403 -0.092  0.448 -0.283  0.505 -0.476  0.540 -0.674  0.571 -0.872  0.632 -1.049  0.693 -1.225
3#app#app06#app0612/I  -0.284 1.673  -0.279 1.604  -0.248 1.541  -0.224 1.476  -0.224 1.406  -0.224 1.336  -0.209 1.268  -0.186 1.202  -0.164 1.135  -0.147 1.067  -0.130 0.999  -0.113 0.931  -0.105 0.862  -0.105 0.792  -0.105 0.721  -0.103 0.651  -0.086 0.583  -0.069 0.515  -0.052 0.447  -0.045 0.378  -0.045 0.307  -0.045 0.237  -0.042 0.168  -0.025 0.099  -0.008 0.031  0.009 -0.037  0.026 -0.105  0.043 -0.173  0.060 -0.241  0.074 -0.310  0.074 -0.380  0.074 -0.450  0.074 -0.520  0.074 -0.590  0.077 -0.660  0.099 -0.727  0.121 -0.793  0.133 -0.862  0.133 -0.932  0.133 -1.002  0.133 -1.072  0.133 -1.142  0.144 -1.210  0.176 -1.273  0.215 -1.330  0.253 -1.384  0.253 -1.455  0.253 -1.525  0.253 -1.595  0.253 -1.665
3#app#app06#app0612/L  -0.318 1.767  -0.318 1.688  -0.318 1.608  -0.318 1.528  -0.318 1.448  -0.286 1.376  -0.270 1.300  -0.270 1.220  -0.270 1.140  -0.270 1.060  -0.270 0.981  -0.254 0.903  -0.235 0.825  -0.223 0.747  -0.223 0.667  -0.223 0.588  -0.223 0.508  -0.223 0.428  -0.221 0.349  -0.196 0.273  -0.176 0.196  -0.176 0.116  -0.165 0.039  -0.139 -0.037  -0.129 -0.115  -0.129 -0.195  -0.129 -0.275  -0.106 -0.349  -0.082 -0.423  -0.082 -0.503  -0.082 -0.583  -0.082 -0.663  -0.054 -0.736  -0.035 -0.811  -0.035 -0.891  0.005 -0.954  0.028 -1.024  0.085 -1.081  0.155 -1.102  0.235 -1.102  0.309 -1.087  0.375 -1.055  0.448 -1.025  0.524 -1.008  0.604 -1.008  0.677 -0.981  0.752 -0.961  0.812 -0.914  0.892 -0.914  0.952 -0.961
3#app#app06#app0612/T  -0.093 1.052  -0.044 1.129  0.013 0.980  0.055 0.816  0.074 0.648  0.123 0.485  0.160 0.318  0.181 0.149  0.202 -0.021  0.205 -0.191  0.247 -0.357  0.254 -0.526  0.254 -0.697  0.254 -0.868  0.254 -1.039  0.254 -1.209  0.300 -1.369  0.303 -1.539  0.303 -1.710  0.257 -1.673  0.184 -1.519  0.112 -1.364  0.039 -1.210  -0.033 -1.055  -0.106 -0.900  -0.178 -0.746  -0.251 -0.591  -0.323 -0.437  -0.396 -0.282  -0.468 -0.128  -0.541 0.027  -0.614 0.181  -0.686 0.336  -0.759 0.490  -0.831 0.645  -0.886 0.803  -0.935 0.953  -0.764 0.953  -0.594 0.953  -0.423 0.953  -0.259 0.909  -0.094 0.866  0.074 0.837  0.243 0.813  0.407 0.769  0.572 0.725  0.736 0.676  0.903 0.656  1.074 0.656  1.244 0.656
