1c#app#app18#app1855/f  0.361 -1.584  0.129 -1.584  0.109 -1.373  -0.083 -1.332  -0.144 -1.161  -0.250 -0.973  -0.396 -0.801  -0.396 -0.569  -0.396 -0.337  -0.396 -0.105  -0.396 0.127  -0.396 0.359  -0.396 0.591  -0.396 0.823  -0.314 1.021  -0.150 1.185  0.079 1.191  0.312 1.191  0.544 1.191  0.776 1.191  1.008 1.191  1.118 1.069  1.033 0.882  0.840 0.754  0.647 0.625  0.454 0.496  0.261 0.368  0.068 0.239  -0.125 0.110  -0.318 -0.019  -0.511 -0.147  -0.704 -0.276  -0.897 -0.405  -1.090 -0.533  -1.310 -0.575  -1.269 -0.575  -1.037 -0.575  -0.833 -0.508  -0.669 -0.343  -0.445 -0.323  -0.213 -0.323  0.019 -0.323  0.109 -0.181  0.230 -0.071  0.462 -0.071  0.694 -0.071  0.866 -0.010  0.906 0.182  1.138 0.182  1.370 0.182
1c#app#app18#app1855/y  -0.637 0.944  -0.744 0.836  -0.835 0.723  -0.835 0.571  -0.835 0.419  -0.777 0.292  -0.670 0.185  -0.637 0.047  -0.579 -0.047  -0.427 -0.047  -0.276 -0.047  -0.124 -0.047  0.007 0.002  0.114 0.110  0.221 0.217  0.328 0.324  0.354 0.465  0.354 0.616  0.354 0.768  0.354 0.919  0.226 0.944  0.156 1.024  0.190 1.142  0.342 1.142  0.354 1.002  0.354 1.036  0.354 1.095  0.354 0.944  0.354 0.792  0.354 0.641  0.354 0.489  0.354 0.338  0.354 0.186  0.271 0.069  0.164 -0.038  0.156 -0.186  0.156 -0.338  0.156 -0.490  0.156 -0.641  0.156 -0.793  0.156 -0.944  0.114 -1.079  0.007 -1.186  -0.042 -1.317  -0.042 -1.468  -0.042 -1.620  -0.042 -1.771  -0.042 -1.923  -0.042 -2.074  -0.042 -2.226
1c#app#app18#app1855/a  0.326 0.195  0.326 -0.031  0.326 -0.036  0.326 0.190  0.326 0.416  0.326 0.643  0.326 0.869  0.110 0.880  -0.116 0.880  -0.343 0.880  -0.569 0.880  -0.701 0.785  -0.701 0.559  -0.906 0.537  -1.043 0.448  -1.043 0.222  -1.243 0.195  -1.385 0.111  -1.385 -0.115  -1.385 -0.342  -1.307 -0.489  -1.080 -0.489  -1.043 -0.679  -0.970 -0.832  -0.743 -0.832  -0.517 -0.832  -0.290 -0.832  -0.064 -0.832  -0.016 -0.653  0.047 -0.489  0.273 -0.489  0.326 -0.316  0.326 -0.089  0.326 0.137  0.326 0.363  0.326 0.590  0.326 0.816  0.326 0.717  0.326 0.490  0.326 0.264  0.437 0.084  0.597 -0.076  0.668 -0.273  0.679 -0.489  0.905 -0.489  1.132 -0.489  1.358 -0.489  1.584 -0.489  1.811 -0.489  2.037 -0.489
1c#app#app18#app1855/m  -1.540 0.188  -1.338 0.188  -1.260 0.063  -1.260 -0.139  -1.260 -0.342  -1.088 -0.372  -0.980 -0.467  -0.980 -0.669  -0.980 -0.872  -0.980 -0.791  -0.980 -0.589  -0.980 -0.386  -0.980 -0.184  -0.869 -0.092  -0.700 -0.059  -0.700 0.143  -0.700 0.346  -0.620 0.468  -0.420 0.465  -0.420 0.263  -0.293 0.188  -0.090 0.188  0.112 0.188  0.140 0.013  0.237 -0.092  0.420 -0.112  0.420 -0.314  0.276 -0.372  0.074 -0.372  -0.128 -0.372  -0.005 -0.237  0.138 -0.094  0.140 0.107  0.262 0.188  0.420 0.232  0.420 0.435  0.590 0.468  0.700 0.559  0.714 0.748  0.917 0.748  1.119 0.748  1.261 0.687  1.261 0.484  1.261 0.282  1.261 0.080  1.291 -0.092  1.494 -0.092  1.541 -0.248  1.541 -0.450  1.541 -0.653
1c#app#app18#app1855/e  -0.664 0.372  -0.834 0.372  -0.860 0.372  -0.690 0.372  -0.664 0.229  -0.619 0.105  -0.450 0.105  -0.280 0.105  -0.111 0.105  0.058 0.105  0.201 0.169  0.321 0.289  0.456 0.372  0.625 0.372  0.670 0.496  0.670 0.665  0.670 0.834  0.601 0.975  0.482 1.095  0.345 1.173  0.176 1.173  0.006 1.173  -0.130 1.140  -0.130 0.971  -0.235 0.906  -0.397 0.899  -0.397 0.730  -0.453 0.584  -0.572 0.464  -0.664 0.333  -0.664 0.164  -0.664 -0.006  -0.664 -0.175  -0.664 -0.344  -0.605 -0.489  -0.485 -0.609  -0.365 -0.728  -0.245 -0.848  -0.124 -0.963  0.046 -0.963  0.137 -1.041  0.137 -1.210  0.286 -1.230  0.456 -1.230  0.625 -1.230  0.794 -1.230  0.964 -1.230  1.133 -1.230  1.302 -1.230  1.471 -1.230
1c#app#app18#app1855/o  0.379 0.909  0.379 1.073  0.379 1.175  0.379 1.012  0.379 0.970  0.379 1.133  0.379 1.115  0.379 0.952  0.258 0.909  0.095 0.909  0.234 0.909  0.361 0.909  0.197 0.909  0.034 0.909  -0.129 0.909  -0.214 0.831  -0.214 0.668  -0.323 0.613  -0.486 0.613  -0.510 0.474  -0.510 0.311  -0.510 0.148  -0.546 0.021  -0.709 0.021  -0.806 -0.046  -0.806 -0.209  -0.806 -0.372  -0.806 -0.535  -0.806 -0.699  -0.806 -0.862  -0.806 -1.025  -0.782 -1.164  -0.619 -1.164  -0.456 -1.164  -0.292 -1.164  -0.129 -1.164  0.034 -1.164  0.197 -1.164  0.361 -1.164  0.524 -1.164  0.675 -1.152  0.675 -0.989  0.675 -0.826  0.675 -0.662  0.675 -0.499  0.675 -0.336  0.675 -0.173  0.675 -0.010  0.675 0.154  0.675 0.317
1c#app#app18#app1855/u  -0.837 1.041  -1.003 1.041  -1.130 1.001  -1.130 0.835  -1.130 0.668  -1.130 0.502  -1.130 0.335  -1.130 0.169  -1.130 0.002  -1.130 -0.164  -1.130 -0.331  -1.057 -0.425  -0.891 -0.425  -0.837 -0.537  -0.837 -0.703  -0.685 -0.718  -0.518 -0.718  -0.352 -0.718  -0.185 -0.718  -0.019 -0.718  0.043 -0.613  0.043 -0.446  0.145 -0.322  0.263 -0.205  0.336 -0.068  0.336 0.098  0.336 0.265  0.336 0.431  0.336 0.598  0.336 0.764  0.336 0.931  0.336 0.985  0.336 0.818  0.336 0.652  0.336 0.485  0.336 0.319  0.336 0.152  0.336 -0.014  0.336 -0.181  0.336 -0.347  0.425 -0.425  0.591 -0.425  0.758 -0.425  0.924 -0.425  1.091 -0.425  1.257 -0.425  1.423 -0.425  1.566 -0.367  1.684 -0.249  1.802 -0.132
1c#app#app18#app1855/r  -0.745 0.658  -0.745 0.500  -0.745 0.341  -0.745 0.183  -0.745 0.024  -0.745 -0.134  -0.745 -0.293  -0.724 -0.430  -0.565 -0.430  -0.407 -0.430  -0.383 -0.564  -0.383 -0.722  -0.383 -0.881  -0.383 -1.039  -0.383 -1.198  -0.383 -1.356  -0.383 -1.515  -0.383 -1.362  -0.383 -1.203  -0.383 -1.045  -0.383 -0.886  -0.383 -0.728  -0.383 -0.569  -0.383 -0.411  -0.383 -0.252  -0.383 -0.094  -0.383 0.064  -0.383 0.223  -0.322 0.356  -0.210 0.468  -0.098 0.580  -0.020 0.707  -0.020 0.865  -0.017 1.021  0.141 1.021  0.300 1.021  0.458 1.021  0.616 1.021  0.705 0.951  0.705 0.792  0.729 0.658  0.888 0.658  1.046 0.658  1.068 0.521  1.068 0.363  1.159 0.296  1.317 0.296  1.430 0.250  1.430 0.091  1.430 -0.067
1c#app#app18#app1855/r  -0.231 0.274  -0.231 0.141  -0.231 0.009  -0.231 -0.123  -0.231 -0.256  -0.231 -0.388  -0.231 -0.520  -0.231 -0.653  -0.309 -0.708  -0.441 -0.708  -0.558 -0.723  -0.558 -0.855  -0.558 -0.987  -0.558 -1.120  -0.558 -1.252  -0.536 -1.362  -0.403 -1.362  -0.271 -1.362  -0.231 -1.269  -0.231 -1.136  -0.231 -1.004  -0.231 -0.872  -0.231 -0.739  -0.231 -0.607  -0.231 -0.475  -0.231 -0.342  -0.231 -0.210  -0.231 -0.078  -0.231 0.055  -0.231 0.187  -0.231 0.319  -0.231 0.452  -0.231 0.584  -0.150 0.682  -0.056 0.776  0.038 0.869  0.131 0.963  0.225 1.057  0.318 1.150  0.412 1.244  0.540 1.255  0.672 1.255  0.750 1.200  0.750 1.067  0.750 0.935  0.874 0.928  1.007 0.928  1.139 0.928  1.271 0.928  1.404 0.928
1c#app#app18#app1855/i  -0.406 1.616  -0.406 1.543  -0.406 1.470  -0.406 1.397  -0.406 1.325  -0.406 1.252  -0.406 1.179  -0.406 1.106  -0.387 1.041  -0.335 0.990  -0.284 0.938  -0.233 0.887  -0.181 0.835  -0.130 0.784  -0.078 0.732  -0.027 0.681  0.025 0.629  0.076 0.578  0.128 0.526  0.151 0.463  0.151 0.390  0.151 0.317  0.151 0.244  0.151 0.172  0.151 0.099  0.151 0.026  0.151 -0.047  0.151 -0.120  0.151 -0.192  0.151 -0.265  0.151 -0.338  0.151 -0.411  0.151 -0.484  0.151 -0.556  0.151 -0.629  0.151 -0.702  0.151 -0.775  0.151 -0.848  0.151 -0.920  0.151 -0.993  0.151 -1.066  0.151 -1.139  0.151 -1.212  0.151 -1.284  0.151 -1.357  0.151 -1.430  0.151 -1.503  0.151 -1.576  0.151 -1.649  0.151 -1.721
1c#app#app18#app1855/e  -0.821 0.143  -0.629 0.143  -0.484 0.095  -0.484 -0.097  -0.388 -0.193  -0.195 -0.193  -0.003 -0.193  0.190 -0.193  0.382 -0.193  0.527 -0.145  0.527 0.047  0.623 0.143  0.815 0.143  0.863 0.288  0.863 0.480  0.863 0.673  0.863 0.865  0.863 1.058  0.767 1.154  0.575 1.154  0.382 1.154  0.190 1.154  -0.003 1.154  -0.147 1.106  -0.147 0.913  -0.244 0.817  -0.436 0.817  -0.629 0.817  -0.821 0.817  -0.821 0.625  -0.821 0.432  -0.821 0.240  -0.821 0.047  -0.821 -0.145  -0.821 -0.338  -0.821 -0.530  -0.629 -0.530  -0.484 -0.579  -0.484 -0.771  -0.388 -0.867  -0.195 -0.867  -0.147 -1.012  -0.147 -1.204  0.045 -1.204  0.238 -1.204  0.430 -1.204  0.623 -1.204  0.815 -1.204  1.008 -1.204  1.200 -1.204
