3#apb#apb06#app0697/D  -0.608 0.758  -0.564 0.586  -0.547 0.403  -0.509 0.221  -0.467 0.041  -0.408 -0.135  -0.353 -0.313  -0.343 -0.495  -0.417 -0.656  -0.569 -0.647  -0.657 -0.487  -0.707 -0.309  -0.739 -0.127  -0.766 0.057  -0.792 0.241  -0.803 0.426  -0.811 0.611  -0.825 0.796  -0.759 0.945  -0.576 0.957  -0.392 0.932  -0.210 0.897  -0.028 0.859  0.153 0.821  0.333 0.774  0.511 0.724  0.690 0.674  0.865 0.613  1.040 0.552  1.211 0.481  1.355 0.365  1.471 0.230  1.524 0.052  1.469 -0.125  1.365 -0.274  1.241 -0.413  1.085 -0.510  0.923 -0.600  0.756 -0.680  0.582 -0.745  0.408 -0.810  0.226 -0.839  0.042 -0.858  -0.143 -0.877  -0.328 -0.864  -0.513 -0.850  -0.682 -0.790  -0.833 -0.683  -0.955 -0.546  -0.946 -0.380
3#apb#apb06#app0697/o  0.051 -0.327  0.184 -0.243  0.306 -0.145  0.408 -0.028  0.482 0.110  0.520 0.261  0.519 0.418  0.481 0.571  0.396 0.699  0.294 0.819  0.158 0.898  0.015 0.949  -0.142 0.949  -0.298 0.929  -0.452 0.900  -0.592 0.838  -0.717 0.743  -0.842 0.648  -0.931 0.521  -1.010 0.384  -1.088 0.248  -1.126 0.098  -1.144 -0.058  -1.163 -0.214  -1.161 -0.367  -1.103 -0.513  -1.044 -0.659  -0.950 -0.776  -0.820 -0.864  -0.690 -0.952  -0.549 -1.006  -0.392 -1.006  -0.235 -1.006  -0.081 -0.987  0.064 -0.927  0.209 -0.867  0.352 -0.803  0.471 -0.700  0.590 -0.597  0.708 -0.494  0.827 -0.391  0.906 -0.255  0.986 -0.120  1.065 0.016  1.108 0.163  1.120 0.320  1.132 0.476  1.099 0.629  1.060 0.781  1.020 0.933
3#apb#apb06#app0697/r  1.714 0.492  1.721 0.636  1.570 0.731  1.406 0.798  1.234 0.836  1.056 0.836  0.878 0.836  0.700 0.836  0.522 0.836  0.344 0.836  0.172 0.790  0.020 0.707  -0.113 0.588  -0.172 0.421  -0.229 0.253  -0.235 0.081  -0.196 -0.092  -0.157 -0.266  -0.111 -0.438  -0.062 -0.609  -0.013 -0.780  0.024 -0.954  0.059 -1.129  0.093 -1.304  0.125 -1.479  0.105 -1.587  0.058 -1.419  0.023 -1.245  -0.014 -1.071  -0.057 -0.898  -0.100 -0.725  -0.144 -0.553  -0.190 -0.381  -0.239 -0.210  -0.288 -0.038  -0.337 0.133  -0.391 0.302  -0.447 0.471  -0.504 0.640  -0.562 0.808  -0.634 0.971  -0.699 0.857  -0.726 0.681  -0.754 0.505  -0.754 0.328  -0.746 0.150  -0.738 -0.028  -0.737 -0.206  -0.737 -0.384  -0.737 -0.562
3#apb#apb06#app0697/o  0.312 -0.089  0.422 -0.006  0.497 0.103  0.545 0.231  0.545 0.369  0.545 0.506  0.522 0.641  0.493 0.776  0.463 0.910  0.398 1.031  0.334 1.153  0.253 1.259  0.140 1.338  0.018 1.335  -0.109 1.282  -0.235 1.228  -0.314 1.116  -0.393 1.003  -0.472 0.891  -0.551 0.778  -0.616 0.659  -0.658 0.528  -0.699 0.396  -0.740 0.265  -0.781 0.134  -0.813 0.002  -0.804 -0.136  -0.796 -0.273  -0.787 -0.410  -0.779 -0.548  -0.722 -0.668  -0.642 -0.779  -0.562 -0.891  -0.481 -1.003  -0.387 -1.096  -0.260 -1.150  -0.134 -1.204  -0.007 -1.250  0.124 -1.206  0.254 -1.163  0.384 -1.119  0.473 -1.015  0.559 -0.908  0.645 -0.801  0.732 -0.694  0.799 -0.579  0.808 -0.442  0.818 -0.305  0.827 -0.168  0.836 -0.030
3#apb#apb06#app0697/t  1.559 0.255  1.544 0.359  1.416 0.403  1.286 0.437  1.153 0.454  1.017 0.454  0.882 0.454  0.747 0.454  0.612 0.454  0.476 0.454  0.341 0.454  0.206 0.451  0.071 0.447  -0.064 0.444  -0.200 0.440  -0.335 0.432  -0.469 0.422  -0.604 0.412  -0.739 0.401  -0.873 0.387  -1.006 0.361  -1.139 0.334  -1.272 0.311  -1.352 0.340  -1.271 0.439  -1.136 0.434  -1.003 0.409  -0.870 0.385  -0.737 0.360  -0.604 0.336  -0.471 0.312  -0.338 0.287  -0.205 0.263  -0.086 0.240  -0.109 0.128  -0.079 -0.004  -0.040 -0.133  0.002 -0.262  0.047 -0.389  0.092 -0.517  0.138 -0.644  0.184 -0.771  0.231 -0.898  0.279 -1.024  0.327 -1.151  0.381 -1.275  0.434 -1.399  0.488 -1.523  0.510 -1.656  0.579 -1.766
3#apb#apb06#app0697/h  -1.354 1.267  -1.280 1.069  -1.221 0.867  -1.194 0.658  -1.155 0.451  -1.097 0.248  -1.032 0.048  -0.952 -0.148  -0.873 -0.343  -0.780 -0.533  -0.686 -0.721  -0.591 -0.910  -0.497 -1.099  -0.466 -1.307  -0.416 -1.103  -0.365 -0.899  -0.314 -0.694  -0.263 -0.489  -0.212 -0.285  -0.161 -0.080  -0.110 0.125  -0.059 0.329  -0.009 0.534  0.042 0.739  0.093 0.944  0.144 1.148  0.191 1.268  0.253 1.068  0.320 0.868  0.388 0.668  0.465 0.472  0.540 0.274  0.614 0.077  0.690 -0.120  0.774 -0.313  0.858 -0.507  0.926 -0.706  0.993 -0.906  1.056 -1.094  1.020 -0.886  0.983 -0.679  0.946 -0.471  0.910 -0.263  0.873 -0.056  0.836 0.152  0.654 0.234  0.445 0.253  0.235 0.264  0.025 0.285  -0.185 0.305
3#apb#apb06#app0697/y  -0.624 1.294  -0.669 1.414  -0.742 1.433  -0.750 1.293  -0.744 1.153  -0.732 1.013  -0.703 0.876  -0.664 0.742  -0.618 0.609  -0.554 0.485  -0.490 0.360  -0.412 0.244  -0.324 0.135  -0.237 0.025  -0.145 -0.081  -0.043 -0.171  0.074 -0.118  0.134 0.004  0.182 0.136  0.209 0.273  0.223 0.412  0.237 0.552  0.252 0.691  0.266 0.831  0.271 0.971  0.308 0.953  0.345 0.818  0.374 0.681  0.395 0.542  0.415 0.404  0.435 0.265  0.444 0.125  0.453 -0.015  0.462 -0.155  0.468 -0.295  0.465 -0.435  0.462 -0.576  0.459 -0.716  0.450 -0.855  0.420 -0.992  0.390 -1.130  0.360 -1.267  0.307 -1.391  0.210 -1.493  0.113 -1.594  -0.014 -1.624  -0.155 -1.624  -0.239 -1.514  -0.321 -1.400  -0.403 -1.287
3#apb#apb06#app0697/E  0.970 1.175  1.036 1.254  1.012 1.373  0.888 1.403  0.746 1.378  0.607 1.340  0.473 1.285  0.348 1.214  0.226 1.136  0.126 1.032  0.030 0.924  -0.054 0.807  -0.132 0.685  -0.202 0.560  -0.254 0.425  -0.298 0.288  -0.319 0.145  -0.254 0.023  -0.126 -0.022  0.019 -0.019  0.162 -0.000  0.298 0.048  0.420 0.122  0.499 0.220  0.363 0.253  0.219 0.242  0.081 0.202  -0.052 0.145  -0.176 0.072  -0.295 -0.010  -0.405 -0.104  -0.506 -0.206  -0.595 -0.320  -0.666 -0.446  -0.733 -0.574  -0.785 -0.708  -0.833 -0.844  -0.833 -0.989  -0.811 -1.131  -0.727 -1.233  -0.583 -1.233  -0.440 -1.215  -0.300 -1.182  -0.162 -1.137  -0.022 -1.110  0.123 -1.102  0.265 -1.076  0.407 -1.050  0.550 -1.030  0.693 -1.009
3#apb#apb06#app0697/m  -1.574 0.131  -1.404 0.286  -1.206 0.405  -0.992 0.492  -0.765 0.537  -0.589 0.432  -0.596 0.215  -0.713 0.016  -0.871 -0.153  -1.054 -0.294  -1.228 -0.445  -1.418 -0.578  -1.402 -0.569  -1.221 -0.427  -1.057 -0.265  -0.890 -0.104  -0.713 0.044  -0.529 0.185  -0.339 0.316  -0.127 0.409  0.094 0.471  0.324 0.490  0.519 0.394  0.466 0.189  0.306 0.023  0.120 -0.114  -0.076 -0.237  -0.263 -0.374  -0.448 -0.512  -0.402 -0.526  -0.212 -0.394  -0.027 -0.256  0.150 -0.106  0.324 0.047  0.501 0.194  0.698 0.315  0.910 0.405  1.131 0.473  1.360 0.506  1.591 0.518  1.656 0.345  1.500 0.175  1.302 0.056  1.094 -0.045  0.905 -0.178  0.745 -0.342  0.766 -0.539  0.994 -0.573  1.224 -0.561  1.435 -0.476
3#apb#apb06#app0697/m  -1.492 -0.072  -1.451 0.108  -1.306 0.253  -1.136 0.365  -0.945 0.440  -0.742 0.467  -0.537 0.461  -0.368 0.365  -0.398 0.177  -0.533 0.024  -0.688 -0.111  -0.844 -0.244  -0.996 -0.383  -1.144 -0.524  -1.264 -0.691  -1.250 -0.699  -1.105 -0.554  -0.977 -0.393  -0.850 -0.232  -0.720 -0.073  -0.587 0.083  -0.452 0.238  -0.284 0.357  -0.099 0.440  0.100 0.490  0.303 0.518  0.488 0.433  0.612 0.274  0.575 0.089  0.442 -0.066  0.264 -0.167  0.073 -0.241  -0.073 -0.381  0.059 -0.418  0.228 -0.302  0.381 -0.166  0.529 -0.023  0.684 0.112  0.836 0.249  0.981 0.394  1.155 0.500  1.354 0.527  1.512 0.419  1.544 0.218  1.504 0.016  1.440 -0.178  1.360 -0.367  1.243 -0.535  1.189 -0.632  1.384 -0.567
3#apb#apb06#app0697/a  0.286 0.469  0.370 0.625  0.324 0.798  0.223 0.954  0.094 1.079  -0.080 1.142  -0.261 1.135  -0.430 1.057  -0.539 0.906  -0.645 0.754  -0.748 0.598  -0.850 0.443  -0.952 0.287  -1.009 0.109  -1.065 -0.068  -1.120 -0.246  -1.128 -0.429  -1.114 -0.615  -1.068 -0.789  -0.959 -0.940  -0.826 -1.057  -0.647 -1.110  -0.479 -1.059  -0.314 -0.973  -0.179 -0.856  -0.088 -0.693  0.004 -0.531  0.094 -0.368  0.177 -0.202  0.261 -0.035  0.344 0.131  0.404 0.307  0.454 0.486  0.504 0.666  0.549 0.846  0.583 1.029  0.578 0.914  0.561 0.731  0.583 0.546  0.605 0.361  0.623 0.176  0.628 -0.010  0.632 -0.197  0.637 -0.383  0.674 -0.565  0.717 -0.746  0.761 -0.927  0.845 -1.091  0.943 -1.250  1.041 -1.408
