1b#apa#apa13#app1314/A  -0.024 1.517  0.124 1.683  0.059 1.519  0.053 1.256  -0.024 1.009  -0.073 0.756  -0.107 0.499  -0.252 0.294  -0.273 0.038  -0.352 -0.214  -0.436 -0.466  -0.521 -0.711  -0.543 -0.973  -0.609 -1.229  -0.687 -1.476  -0.683 -1.691  -0.637 -1.430  -0.591 -1.169  -0.546 -0.908  -0.500 -0.647  -0.454 -0.386  -0.409 -0.125  -0.363 0.135  -0.317 0.396  -0.272 0.657  -0.226 0.918  -0.180 1.179  -0.135 1.440  -0.107 1.498  -0.024 1.267  0.001 1.005  0.070 0.750  0.188 0.513  0.232 0.259  0.376 0.040  0.500 -0.193  0.639 -0.411  0.770 -0.627  0.888 -0.856  0.834 -0.823  0.593 -0.712  0.353 -0.601  0.112 -0.490  -0.107 -0.413  0.016 -0.555  0.247 -0.472  0.487 -0.376  0.723 -0.306  0.968 -0.224  1.220 -0.141
1b#apa#apa13#app1314/Q  -0.173 1.325  -0.280 1.410  -0.458 1.379  -0.594 1.243  -0.682 1.087  -0.767 0.931  -0.839 0.756  -0.904 0.575  -0.937 0.389  -0.937 0.197  -0.937 0.005  -0.937 -0.187  -0.937 -0.379  -0.887 -0.559  -0.801 -0.730  -0.685 -0.880  -0.514 -0.967  -0.357 -1.053  -0.165 -1.053  0.018 -1.032  0.183 -0.968  0.362 -0.913  0.510 -0.795  0.646 -0.659  0.782 -0.523  0.917 -0.388  0.931 -0.201  0.931 -0.010  0.931 0.182  0.846 0.339  0.747 0.490  0.612 0.626  0.476 0.761  0.319 0.867  0.147 0.953  -0.037 0.985  -0.152 0.933  -0.080 0.755  -0.009 0.576  0.062 0.398  0.133 0.220  0.205 0.042  0.276 -0.136  0.337 -0.316  0.337 -0.508  0.337 -0.700  0.417 -0.873  0.422 -1.064  0.505 -1.221  0.677 -1.308
1b#apa#apa13#app1314/U  -1.103 0.807  -1.103 0.645  -1.103 0.483  -1.103 0.321  -1.103 0.159  -1.103 -0.003  -1.103 -0.165  -1.103 -0.327  -1.103 -0.489  -1.087 -0.644  -1.013 -0.775  -0.973 -0.898  -0.844 -0.977  -0.702 -1.053  -0.546 -1.077  -0.393 -1.036  -0.258 -0.950  -0.118 -0.898  0.023 -0.848  0.158 -0.761  0.273 -0.659  0.352 -0.519  0.467 -0.405  0.581 -0.290  0.644 -0.143  0.700 0.008  0.781 0.136  0.781 0.298  0.781 0.460  0.781 0.622  0.671 0.738  0.602 0.871  0.569 1.020  0.455 1.134  0.340 1.249  0.181 1.256  0.153 1.122  0.153 0.960  0.153 0.798  0.153 0.636  0.182 0.481  0.261 0.340  0.333 0.208  0.427 0.085  0.541 -0.029  0.656 -0.144  0.770 -0.258  0.885 -0.373  1.000 -0.488  1.051 -0.628
1b#apa#apa13#app1314/I  0.023 1.259  0.023 1.035  0.023 0.811  0.109 0.622  0.115 0.401  0.115 0.176  0.115 -0.048  0.115 -0.272  0.115 -0.496  0.115 -0.721  0.115 -0.945  -0.105 -0.901  -0.325 -0.857  -0.544 -0.813  -0.764 -0.769  -0.984 -0.725  -1.204 -0.681  -1.137 -0.761  -0.913 -0.761  -0.781 -0.853  -0.556 -0.853  -0.332 -0.853  -0.108 -0.853  0.116 -0.853  0.326 -0.793  0.543 -0.761  0.756 -0.716  0.970 -0.670  1.194 -0.670  1.223 -0.602  1.047 -0.463  0.871 -0.323  0.696 -0.184  0.520 -0.045  0.344 0.094  0.168 0.233  -0.007 0.372  -0.183 0.512  -0.359 0.651  -0.535 0.790  -0.711 0.929  -0.886 1.068  -0.683 1.076  -0.459 1.076  -0.236 1.081  -0.023 1.152  0.199 1.167  0.410 1.223  0.625 1.259  0.849 1.259
1b#apa#apa13#app1314/C  0.454 0.870  0.551 0.773  0.552 0.638  0.552 0.502  0.552 0.365  0.552 0.229  0.617 0.120  0.650 -0.002  0.650 0.116  0.650 0.253  0.644 0.386  0.552 0.484  0.552 0.621  0.552 0.757  0.466 0.857  0.439 0.982  0.343 1.079  0.242 1.163  0.106 1.163  -0.030 1.163  -0.128 1.070  -0.224 0.974  -0.320 0.878  -0.417 0.781  -0.513 0.685  -0.524 0.553  -0.543 0.420  -0.586 0.291  -0.633 0.163  -0.693 0.042  -0.754 -0.080  -0.815 -0.202  -0.818 -0.337  -0.818 -0.474  -0.818 -0.610  -0.802 -0.743  -0.759 -0.872  -0.711 -0.998  -0.611 -1.087  -0.490 -1.122  -0.380 -1.185  -0.243 -1.185  -0.107 -1.185  0.029 -1.185  0.165 -1.185  0.301 -1.185  0.437 -1.185  0.573 -1.185  0.709 -1.185  0.846 -1.185
1b#apa#apa13#app1314/K  -0.979 1.191  -0.979 0.969  -0.979 0.748  -0.886 0.548  -0.865 0.331  -0.841 0.115  -0.751 -0.086  -0.745 -0.306  -0.646 -0.505  -0.636 -0.724  -0.550 -0.925  -0.409 -1.094  -0.269 -1.158  -0.178 -0.956  -0.086 -0.755  0.006 -0.553  0.098 -0.351  0.189 -0.149  0.281 0.053  0.373 0.255  0.465 0.457  0.557 0.659  0.648 0.861  0.740 1.063  0.832 1.265  0.680 1.278  0.507 1.163  0.393 1.055  0.302 0.871  0.111 0.795  -0.045 0.638  -0.239 0.532  -0.407 0.391  -0.564 0.234  -0.721 0.077  -0.865 -0.085  -0.854 -0.296  -0.667 -0.379  -0.458 -0.410  -0.236 -0.410  -0.014 -0.410  0.208 -0.410  0.429 -0.410  0.651 -0.410  0.833 -0.507  1.047 -0.524  1.214 -0.659  1.347 -0.832  1.422 -1.036  1.537 -1.210
1b#apa#apa13#app1314/B  -0.360 0.781  -0.451 0.557  -0.451 0.295  -0.451 0.033  -0.451 -0.228  -0.451 -0.490  -0.391 -0.727  -0.360 -0.976  -0.300 -0.916  -0.368 -0.663  -0.436 -0.411  -0.504 -0.158  -0.572 0.095  -0.640 0.347  -0.708 0.600  -0.776 0.853  -0.844 1.105  -0.868 1.324  -0.619 1.376  -0.366 1.415  -0.104 1.415  0.157 1.415  0.381 1.324  0.588 1.191  0.709 0.979  0.726 0.725  0.705 0.468  0.561 0.254  0.376 0.069  0.176 -0.099  -0.035 -0.252  -0.273 -0.309  -0.499 -0.396  -0.594 -0.305  -0.353 -0.215  -0.110 -0.135  0.143 -0.099  0.389 -0.034  0.651 -0.034  0.875 -0.124  1.043 -0.305  1.179 -0.519  1.163 -0.774  1.022 -0.939  0.830 -1.106  0.645 -1.291  0.387 -1.301  0.126 -1.301  -0.136 -1.301  -0.360 -1.210
1b#apa#apa13#app1314/R  -0.309 0.889  -0.309 0.628  -0.309 0.367  -0.309 0.106  -0.309 -0.156  -0.309 -0.417  -0.309 -0.678  -0.295 -0.933  -0.203 -1.156  -0.151 -1.396  -0.138 -1.272  -0.196 -1.018  -0.255 -0.764  -0.314 -0.509  -0.372 -0.255  -0.431 -0.000  -0.490 0.254  -0.549 0.509  -0.607 0.763  -0.666 1.017  -0.725 1.272  -0.581 1.468  -0.344 1.527  -0.127 1.633  0.129 1.621  0.338 1.470  0.542 1.313  0.648 1.096  0.686 0.851  0.755 0.618  0.861 0.401  0.861 0.139  0.808 -0.068  0.653 -0.175  0.436 -0.281  0.175 -0.281  -0.086 -0.281  -0.348 -0.281  -0.609 -0.281  -0.707 -0.379  -0.456 -0.308  -0.204 -0.236  0.010 -0.213  0.116 -0.430  0.223 -0.647  0.375 -0.836  0.542 -0.994  0.735 -1.112  0.944 -1.238  1.180 -1.345
1b#apa#apa13#app1314/O  -0.373 1.198  -0.478 1.173  -0.533 1.081  -0.606 1.039  -0.633 0.939  -0.714 0.858  -0.773 0.767  -0.820 0.672  -0.853 0.570  -0.853 0.455  -0.895 0.357  -0.932 0.258  -0.932 0.143  -0.932 0.028  -0.932 -0.087  -0.932 -0.202  -0.932 -0.317  -0.882 -0.420  -0.817 -0.514  -0.736 -0.595  -0.655 -0.677  -0.563 -0.743  -0.460 -0.795  -0.346 -0.798  -0.231 -0.798  -0.116 -0.798  -0.002 -0.785  0.109 -0.757  0.221 -0.730  0.335 -0.718  0.447 -0.708  0.550 -0.656  0.639 -0.585  0.743 -0.559  0.846 -0.508  0.939 -0.444  1.021 -0.362  1.064 -0.265  1.127 -0.176  1.144 -0.068  1.144 0.047  1.143 0.162  1.092 0.264  1.027 0.357  0.945 0.439  0.864 0.520  0.772 0.586  0.669 0.637  0.586 0.718  0.505 0.799
1b#apa#apa13#app1314/W  -1.396 1.312  -1.396 1.062  -1.396 0.811  -1.307 0.598  -1.234 0.365  -1.162 0.132  -1.004 -0.059  -0.873 -0.269  -0.685 -0.391  -0.596 -0.604  -0.495 -0.704  -0.406 -0.470  -0.316 -0.236  -0.226 -0.003  -0.136 0.231  -0.062 0.378  -0.145 0.162  -0.322 -0.015  -0.436 -0.218  -0.596 -0.402  -0.727 -0.598  -0.904 -0.775  -0.840 -0.677  -0.687 -0.479  -0.535 -0.281  -0.382 -0.082  -0.230 0.116  -0.077 0.314  0.027 0.197  0.116 -0.016  0.226 -0.221  0.395 -0.403  0.528 -0.612  0.731 -0.726  0.863 -0.714  0.942 -0.477  1.021 -0.239  1.101 -0.002  1.180 0.236  1.259 0.473  1.338 0.710  1.417 0.948  1.408 0.915  1.231 0.738  1.101 0.527  0.957 0.327  0.845 0.103  0.711 -0.102  0.611 -0.326  0.560 -0.555
1b#apa#apa13#app1314/N  -0.834 1.289  -0.834 1.047  -0.834 0.805  -0.834 0.563  -0.834 0.321  -0.834 0.079  -0.834 -0.163  -0.834 -0.405  -0.834 -0.647  -0.834 -0.890  -0.834 -1.132  -0.825 -1.018  -0.812 -0.777  -0.799 -0.535  -0.787 -0.293  -0.774 -0.052  -0.761 0.190  -0.749 0.432  -0.736 0.673  -0.700 0.804  -0.576 0.599  -0.444 0.400  -0.297 0.211  -0.188 -0.005  -0.017 -0.176  0.108 -0.380  0.294 -0.487  0.465 -0.659  0.570 -0.857  0.685 -0.906  0.708 -0.665  0.731 -0.424  0.754 -0.183  0.777 0.058  0.800 0.299  0.823 0.540  0.846 0.781  0.869 1.022  0.892 1.263  0.818 1.104  0.786 0.875  0.786 0.633  0.741 0.399  0.678 0.167  0.678 -0.075  0.678 -0.317  0.678 -0.559  0.781 -0.759  0.799 -0.993  0.894 -1.196
1b#apa#apa13#app1314/F  -0.546 0.681  -0.546 0.451  -0.467 0.253  -0.429 0.039  -0.429 -0.191  -0.429 -0.421  -0.429 -0.652  -0.429 -0.882  -0.429 -1.112  -0.429 -1.342  -0.433 -1.491  -0.453 -1.262  -0.473 -1.033  -0.492 -0.804  -0.512 -0.574  -0.532 -0.345  -0.552 -0.116  -0.572 0.113  -0.592 0.342  -0.612 0.571  -0.632 0.801  -0.652 1.030  -0.549 1.146  -0.319 1.146  -0.112 1.046  0.114 1.030  0.336 0.997  0.546 0.913  0.777 0.913  1.007 0.913  1.237 0.913  1.467 0.913  1.431 0.827  1.244 0.693  1.058 0.558  0.871 0.423  0.685 0.289  0.498 0.154  0.312 0.019  0.125 -0.115  -0.061 -0.250  -0.248 -0.385  -0.434 -0.519  -0.480 -0.665  -0.276 -0.735  -0.069 -0.833  0.161 -0.833  0.391 -0.833  0.621 -0.833  0.735 -0.949
1b#apa#apa13#app1314/O  -0.218 1.304  -0.330 1.298  -0.341 1.192  -0.442 1.175  -0.458 1.064  -0.541 0.980  -0.625 0.897  -0.666 0.797  -0.666 0.679  -0.716 0.582  -0.791 0.493  -0.844 0.388  -0.890 0.281  -0.890 0.163  -0.890 0.045  -0.890 -0.073  -0.890 -0.190  -0.890 -0.308  -0.890 -0.426  -0.851 -0.528  -0.768 -0.611  -0.685 -0.694  -0.575 -0.713  -0.485 -0.781  -0.385 -0.825  -0.268 -0.825  -0.150 -0.825  -0.032 -0.825  0.086 -0.825  0.203 -0.825  0.294 -0.761  0.387 -0.690  0.492 -0.638  0.601 -0.601  0.719 -0.601  0.823 -0.568  0.907 -0.485  0.990 -0.401  1.073 -0.318  1.127 -0.222  1.127 -0.105  1.127 0.013  1.127 0.131  1.097 0.242  1.045 0.347  0.965 0.408  0.863 0.447  0.777 0.526  0.672 0.579  0.566 0.632
1b#apa#apa13#app1314/X  1.108 0.982  0.978 0.847  0.894 0.679  0.752 0.605  0.656 0.455  0.553 0.301  0.420 0.168  0.286 0.035  0.153 -0.099  -0.001 -0.202  -0.160 -0.295  -0.244 -0.464  -0.373 -0.593  -0.529 -0.697  -0.681 -0.807  -0.780 -0.954  -0.858 -1.110  -0.888 -1.038  -0.860 -0.852  -0.832 -0.666  -0.804 -0.480  -0.776 -0.294  -0.748 -0.108  -0.720 0.078  -0.692 0.265  -0.664 0.451  -0.636 0.637  -0.609 0.823  -0.581 1.009  -0.553 1.195  -0.528 1.338  -0.528 1.150  -0.528 0.962  -0.528 0.774  -0.426 0.628  -0.293 0.495  -0.160 0.362  -0.116 0.192  0.017 0.059  0.163 -0.056  0.332 -0.140  0.469 -0.267  0.624 -0.373  0.781 -0.478  0.953 -0.528  1.132 -0.552  1.265 -0.685  1.398 -0.818  1.549 -0.906  1.612 -1.032
